Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Athletic Club,Getafe,2024-08-15,D,H,1,1,0,0,0,1,68,0,33,7,36.4,34.7,17,18,48.6,21,9,42.9,9,42.9,300,1732,1064,12,5,13,1,7.7,4,0,0,15,12,2,2,0,0,0,0,0,10,80.0,54.7,7,0.14,0.25,4,57.1,24.0,1,2,0,0,0,27,2,17.9,389,497,78.3,6,31,1,0,42,7089,2146,158,184,85.9,197,229,86.0,30,65,46.2,0,0,0,,0,0,,0,1,0,433,62,17,0,6,16,28,5,5,0,0,2,9,384,5,2,8,13,13,10,2,0,0,1,0,2,1,50.0,592,54,152,333,111,8,592,10,2,4,4,2,3,9,33.3,6,6,2,4,4,14,26,1,0.3,0.3,-0.5,-0.5,0.3,0.5,0.7,0.7,0.7,0.05,1,1.0,0.49,0.0
Rayo Vallecano,Getafe,2024-08-24,D,A,0,0,0,0,0,0,52,0,16,4,68.8,51.6,20,24,45.5,17,6,35.3,8,47.1,183,988,493,11,3,11,1,9.1,2,0,0,18,16,0,0,0,0,0,0,0,13,84.6,61.2,3,0.0,,0,0.0,29.0,0,4,0,0,0,37,0,7.7,219,353,62.0,3,21,4,1,21,4019,1787,113,135,83.7,69,105,65.7,31,88,35.2,0,0,0,,0,0,,0,0,0,295,54,14,0,0,14,24,2,1,1,0,4,9,217,3,2,17,11,6,4,1,0,0,1,0,0,0,,464,62,188,183,95,7,464,23,17,15,6,2,14,26,53.8,12,6,4,2,11,34,30,0,0.2,0.2,-0.2,-0.2,0.2,0.2,-0.2,-0.2,-0.2,0.08,0,0.0,,0.0
Real Sociedad,Getafe,2024-09-01,D,A,0,0,0,0,0,0,47,0,34,4,32.4,34.2,20,31,39.2,14,4,28.6,9,64.3,166,861,431,4,3,19,1,5.3,1,0,0,16,12,0,0,0,0,0,0,0,14,92.9,63.5,1,0.0,,0,0.0,31.8,0,1,0,0,0,36,0,5.0,227,359,63.2,1,14,0,0,20,4492,1806,86,117,73.5,106,149,71.1,29,70,41.4,0,0,0,,0,0,,0,0,0,296,62,15,0,1,9,31,1,1,0,0,1,5,222,3,1,13,8,1,0,1,0,0,0,0,1,1,100.0,496,104,264,171,64,2,496,19,10,12,5,2,13,24,54.2,11,13,8,5,10,29,57,0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.02,0,0.1,0.08,0.1
Sevilla,Getafe,2024-09-14,W,H,1,0,1,0,0,1,60,0,38,1,68.4,53.2,18,21,46.2,28,16,57.1,9,32.1,274,1314,522,13,10,21,1,4.8,3,1,1,19,15,2,2,0,0,0,0,0,10,50.0,45.7,10,0.1,0.25,4,40.0,17.3,0,1,0,0,0,39,0,4.7,370,467,79.2,7,32,4,1,34,6053,2321,187,205,91.2,141,162,87.0,29,74,39.2,0,0,0,,0,0,,0,0,0,421,45,17,0,1,9,14,3,2,0,0,1,7,369,10,4,16,21,15,11,1,3,0,0,0,4,4,100.0,590,76,180,290,127,14,590,19,9,10,6,3,4,8,50.0,4,11,5,6,6,25,22,1,1.4,1.4,0.4,0.4,0.9,0.3,-0.4,-0.4,0.1,0.14,0,0.4,0.1,0.4
Betis,Getafe,2024-09-18,W,H,2,1,1,1,0,1,65,1,36,6,22.2,27.4,15,18,45.5,24,19,79.2,5,20.8,420,1955,1080,20,11,15,1,6.7,3,0,0,10,18,3,2,0,0,1,0,0,9,66.7,50.6,16,0.06,0.17,6,37.5,16.2,0,0,0,0,0,36,0,13.0,429,550,78.0,12,34,7,2,39,7305,2734,204,236,86.4,189,220,85.9,31,66,47.0,0,0,0,,0,0,,0,1,0,490,60,20,3,2,20,21,8,3,2,0,0,14,425,11,7,19,7,31,21,2,4,4,0,0,5,4,80.0,666,66,233,285,155,31,665,22,13,12,7,3,14,22,63.6,8,7,3,4,5,27,24,0,2.6,1.9,2.0,1.3,1.4,1.0,-0.6,-0.9,-0.4,0.14,0,1.6,0.32,0.6
Leganés,Getafe,2024-09-22,D,A,1,1,0,0,0,1,41,0,19,0,84.2,58.5,19,25,43.2,18,7,38.9,9,50.0,191,789,282,7,10,20,2,10.0,2,0,0,17,15,2,0,1,0,0,1,0,10,100.0,71.7,6,0.17,0.5,2,33.3,23.6,0,1,0,1,0,36,1,7.4,207,339,61.1,4,10,1,1,17,3959,1539,90,108,83.3,82,125,65.6,33,94,35.1,1,1,0,0.0,1,0,0.0,0,0,0,283,55,14,1,2,11,27,2,2,0,0,1,6,205,10,4,15,10,8,5,1,0,1,1,0,4,3,100.0,477,62,217,199,66,9,477,29,20,16,10,3,9,18,50.0,9,17,7,10,7,36,40,0,0.6,0.6,-1.0,-0.2,0.5,0.2,0.4,0.4,0.5,0.1,0,1.4,0.16,0.4
Barcelona,Getafe,2024-09-25,W,H,1,0,1,0,0,1,76,0,38,8,13.2,26.0,15,8,65.2,33,12,36.4,15,45.5,424,2315,1343,23,14,10,0,0.0,1,0,0,4,14,2,2,0,0,0,0,0,5,40.0,36.4,15,0.07,0.25,4,26.7,19.1,2,5,0,0,0,31,6,24.4,585,679,86.2,10,59,8,1,58,10374,3207,253,282,89.7,269,291,92.4,50,72,69.4,0,0,0,,0,0,,0,0,0,620,54,19,1,7,19,22,7,5,1,0,5,9,582,14,7,17,9,24,16,1,1,2,3,1,1,1,100.0,801,47,167,420,219,27,801,13,9,7,4,2,8,11,72.7,3,7,3,4,4,17,21,0,1.9,1.9,1.2,1.2,1.4,0.9,-0.9,-0.9,-1.4,0.13,2,0.1,0.06,0.1
Alavés,Getafe,2024-09-28,L,A,0,2,-2,0,0,0,54,0,25,3,72.0,47.8,27,36,42.9,11,4,36.4,7,63.6,173,675,345,2,5,12,0,0.0,6,0,0,24,17,0,0,0,0,0,0,0,10,80.0,55.3,9,0.0,0.0,1,11.1,17.5,0,2,0,1,0,36,2,29.0,172,303,56.8,3,15,7,3,16,3591,1878,68,94,72.3,72,107,67.3,28,81,34.6,1,1,0,0.0,1,0,0.0,1,0,0,237,64,21,0,2,13,28,2,2,0,0,2,6,167,5,1,26,4,15,10,3,0,1,1,0,8,6,87.5,424,47,159,173,97,15,424,24,14,14,5,5,12,19,63.2,7,6,2,4,8,32,30,1,0.5,0.5,-1.6,-0.8,0.2,0.4,-0.5,-0.5,-0.2,0.06,0,2.4,0.18,0.4
Osasuna,Getafe,2024-10-05,D,A,1,1,0,0,0,1,59,0,37,5,35.1,35.2,27,26,50.9,18,9,50.0,9,50.0,227,991,420,8,6,13,1,7.7,4,0,0,10,16,1,1,0,0,0,0,0,8,25.0,35.0,6,0.17,0.5,2,33.3,18.9,0,0,0,0,0,27,2,23.7,261,398,65.6,4,18,6,5,27,4925,2234,110,139,79.1,117,160,73.1,29,80,36.3,0,0,0,,0,0,,0,0,0,332,66,22,0,2,25,32,2,1,1,0,0,8,255,6,2,20,4,7,4,1,1,0,1,0,3,2,66.7,514,72,204,223,95,12,514,24,15,15,7,2,10,18,55.6,8,7,3,4,6,30,34,0,0.3,0.3,-0.5,-0.5,0.3,0.4,0.7,0.7,0.7,0.06,0,1.4,0.47,0.4
Villarreal,Getafe,2024-10-20,D,H,1,1,0,0,0,1,56,0,25,2,52.0,42.8,17,28,37.8,18,9,50.0,4,22.2,308,1550,916,18,12,15,0,0.0,4,0,0,18,20,2,2,0,0,0,0,0,9,11.1,21.3,10,0.1,0.25,4,40.0,17.1,0,1,0,1,0,45,0,14.0,293,405,72.3,9,22,9,1,30,4916,2113,151,176,85.8,103,140,73.6,27,61,44.3,1,1,0,0.0,1,0,0.0,0,0,0,350,54,22,0,1,17,16,5,3,0,0,1,8,289,12,1,22,10,18,16,1,0,0,1,0,4,3,100.0,529,79,219,205,109,16,529,18,14,6,10,2,10,16,62.5,6,15,10,5,8,26,24,2,0.9,0.9,-1.1,-0.3,0.8,0.9,0.1,0.1,0.2,0.09,0,1.7,0.19,0.7
