Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Betis,Girona,2024-08-15,D,H,1,1,0,0,0,1,39,0,34,4,23.5,30.4,8,1,88.9,16,7,43.8,8,50.0,334,1634,767,17,7,15,0,0.0,2,0,0,11,7,2,0,1,0,1,0,0,8,12.5,20.8,19,0.05,0.25,4,21.1,20.3,0,1,0,0,0,43,2,26.5,328,403,81.4,15,26,9,2,28,5978,2127,131,142,92.3,154,170,90.6,36,66,54.5,0,0,0,,0,0,,0,0,0,362,40,10,2,4,12,16,4,2,1,0,1,15,325,7,9,13,13,35,27,2,1,3,0,2,2,1,50.0,530,72,238,173,126,29,530,18,11,9,4,5,7,15,46.7,8,11,5,6,13,31,27,1,1.4,1.4,-0.2,-0.2,1.1,0.9,-0.4,-0.4,-0.1,0.07,0,1.0,0.49,0.0
Atlético Madrid,Girona,2024-08-25,W,H,3,0,3,0,0,3,43,0,17,3,5.9,29.4,8,6,57.1,13,5,38.5,6,46.2,315,1586,695,11,9,21,0,0.0,1,0,0,11,10,5,5,0,0,0,0,0,4,0.0,14.0,11,0.27,0.5,6,54.5,19.8,1,2,0,0,0,37,0,9.3,420,488,86.1,8,29,8,1,30,7353,2282,180,194,92.8,185,207,89.4,34,57,59.6,0,0,0,,0,0,,0,0,0,453,33,12,0,8,6,15,1,0,0,0,2,6,416,9,4,10,7,16,15,0,0,0,0,1,4,4,100.0,602,86,226,261,120,18,602,23,15,14,6,3,7,19,36.8,12,11,5,6,10,33,33,0,1.2,1.2,0.5,0.5,1.0,1.1,1.8,1.8,1.0,0.11,1,0.5,0.12,0.5
Osasuna,Girona,2024-08-29,L,A,0,4,-4,0,0,0,40,0,41,1,29.3,35.4,8,3,72.7,13,7,53.8,4,30.8,294,1315,515,10,10,18,3,16.7,0,0,0,9,10,0,0,0,0,0,0,0,8,0.0,19.1,1,0.0,,0,0.0,30.0,0,2,0,0,0,32,1,13.8,344,419,82.1,1,22,1,0,18,5986,2300,147,170,86.5,161,180,89.4,27,51,52.9,0,0,0,,0,0,,0,0,0,376,41,14,0,0,6,14,0,0,0,0,2,7,340,10,0,9,7,2,1,0,1,0,0,0,5,1,20.0,491,75,236,193,67,2,491,15,5,8,5,2,7,14,50.0,7,7,2,5,9,24,17,1,0.0,0.0,-2.4,-2.4,0.0,0.1,0.0,0.0,0.0,0.04,0,3.4,0.69,-0.6
Sevilla,Girona,2024-09-01,L,H,0,2,-2,0,0,0,50,0,11,1,27.3,34.6,3,4,42.9,27,10,37.0,12,44.4,336,1716,922,18,11,17,0,0.0,3,0,0,6,13,0,0,0,0,0,0,0,6,16.7,21.8,16,0.0,0.0,5,31.3,19.4,2,4,0,1,0,41,0,,395,476,83.0,11,24,8,1,29,6063,1971,213,226,94.2,147,168,87.5,22,50,44.0,1,1,0,0.0,1,0,0.0,0,0,0,419,53,12,1,0,13,25,7,0,5,0,4,12,391,11,4,11,12,27,14,5,3,3,2,0,4,2,75.0,578,51,191,254,141,23,578,17,13,9,6,2,12,22,54.5,10,11,2,9,4,21,17,0,0.9,0.9,-1.0,-0.2,0.6,0.5,-0.9,-0.9,-0.6,0.06,2,1.7,0.24,-0.3
Barcelona,Girona,2024-09-15,W,A,4,1,3,0,0,4,55,0,41,5,19.5,29.6,5,1,83.3,23,10,43.5,9,39.1,353,1720,923,15,7,11,1,9.1,2,1,0,4,13,6,4,1,0,0,1,0,5,0.0,26.6,20,0.2,0.44,9,45.0,19.1,0,0,0,0,0,36,2,17.3,443,522,84.9,14,35,10,0,47,8299,2994,175,195,89.7,211,227,93.0,51,72,70.8,0,0,0,,0,0,,0,0,0,466,56,20,3,1,19,23,6,1,4,0,0,15,434,7,6,13,8,30,24,3,1,1,1,0,4,3,75.0,628,55,182,280,173,33,628,19,12,5,7,7,8,17,47.1,9,9,1,8,1,20,10,0,1.9,1.9,0.6,0.6,1.2,1.0,2.1,2.1,1.8,0.09,0,1.3,0.32,0.3
Valencia,Girona,2024-09-21,W,H,2,0,2,0,0,2,33,0,12,2,41.7,37.3,9,6,60.0,20,5,25.0,14,70.0,209,1159,634,18,7,12,1,8.3,3,0,0,13,10,3,2,0,0,0,0,1,7,57.1,38.9,8,0.25,1.0,2,25.0,18.2,0,1,0,0,0,37,1,12.0,224,321,69.8,8,22,3,2,24,3740,1313,107,118,90.7,95,124,76.6,16,55,29.1,0,0,0,,0,0,,0,0,0,276,44,12,1,0,15,19,5,4,1,0,1,12,222,7,6,5,8,15,10,1,1,0,2,1,3,3,100.0,416,42,129,182,111,13,416,17,8,9,5,3,11,21,52.4,10,10,2,8,8,25,26,0,0.4,0.4,0.0,0.0,0.4,0.5,1.6,1.6,1.6,0.05,0,0.7,0.22,0.7
Rayo Vallecano,Girona,2024-09-25,D,A,0,0,0,0,0,0,29,0,13,2,69.2,55.4,7,4,63.6,13,4,30.8,7,53.8,190,800,354,5,6,16,1,6.3,4,0,0,16,8,0,0,0,0,0,0,0,10,40.0,34.9,2,0.0,,0,0.0,17.2,0,0,0,0,0,42,0,4.0,211,288,73.3,2,15,3,1,22,3955,1750,100,113,88.5,83,109,76.1,26,55,47.3,0,0,0,,0,0,,0,0,0,250,38,10,0,3,12,14,3,1,2,0,0,7,211,6,2,16,8,4,4,0,0,0,0,0,1,1,100.0,398,60,170,157,75,7,398,23,13,12,8,3,7,13,53.8,6,9,3,6,13,36,26,0,0.5,0.5,-1.5,-1.5,0.5,0.2,-0.5,-0.5,-0.5,0.23,0,0.1,0.09,0.1
Celta Vigo,Girona,2024-09-29,D,H,1,1,0,0,0,1,48,0,22,5,22.7,30.8,7,11,38.9,11,5,45.5,6,54.5,508,2370,1233,21,9,13,2,15.4,1,0,0,9,13,2,2,0,0,0,0,0,3,0.0,14.7,12,0.08,0.5,2,16.7,19.5,1,0,0,0,0,38,1,12.5,507,597,84.9,10,44,11,4,43,8647,2672,204,227,89.9,237,265,89.4,41,69,59.4,0,0,0,,0,0,,0,0,0,555,42,14,0,0,24,19,4,0,3,0,0,4,505,9,13,7,5,22,18,1,1,0,2,0,4,3,75.0,677,52,151,325,202,36,677,14,8,4,8,2,6,14,42.9,8,11,4,7,2,16,17,1,0.5,0.5,-0.3,-0.3,0.4,1.0,0.5,0.5,0.6,0.04,1,1.5,0.38,0.5
Athletic Club,Girona,2024-10-06,L,A,1,2,-1,0,2,1,34,2,22,3,77.3,46.0,9,17,34.6,27,10,37.0,11,40.7,270,1325,672,15,12,21,0,0.0,3,1,1,13,12,2,2,0,0,0,0,0,9,88.9,60.8,11,0.09,0.5,2,18.2,22.9,1,0,2,1,0,37,1,12.0,261,332,78.6,8,19,5,1,20,4703,2043,122,139,87.8,107,131,81.7,28,51,54.9,1,1,0,0.0,1,0,0.0,0,0,0,297,35,13,2,0,8,9,1,1,0,0,0,7,259,12,6,18,9,20,14,1,2,0,3,0,6,4,83.3,449,61,153,206,94,18,447,19,8,8,10,1,8,16,50.0,8,10,2,8,7,26,21,1,3.1,1.5,1.2,0.3,1.5,1.1,-2.1,-0.5,-0.5,0.14,1,1.5,0.19,-0.5
Real Sociedad,Girona,2024-10-19,W,A,1,0,1,0,0,1,53,0,37,4,18.9,27.4,8,8,50.0,19,8,42.1,9,47.4,373,2121,1110,28,14,14,1,7.1,1,0,0,12,10,2,2,0,0,0,0,0,5,40.0,36.8,14,0.07,0.25,4,28.6,18.3,1,1,0,0,0,43,0,5.3,468,537,87.2,12,29,5,4,26,8388,2574,207,223,92.8,201,221,91.0,51,76,67.1,0,0,0,,0,0,,0,0,0,495,41,10,2,6,14,19,6,1,2,0,1,2,465,14,6,7,5,25,18,4,0,1,1,1,3,3,100.0,632,73,239,286,111,19,632,15,11,6,7,2,7,21,33.3,14,11,1,10,5,20,20,0,1.7,1.7,1.3,1.3,1.7,1.2,-0.7,-0.7,-0.7,0.12,1,0.2,0.07,0.2
