Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Sevilla,Las Palmas,2024-08-16,D,A,2,2,0,0,0,1,52,0,44,7,38.6,34.7,20,11,64.5,20,7,35.0,9,45.0,292,1531,806,18,11,22,0,0.0,2,0,0,15,13,2,2,0,0,0,0,0,6,33.3,28.5,18,0.06,0.2,5,27.8,17.4,0,2,0,0,1,44,2,23.0,426,525,81.1,15,27,8,5,33,6523,2122,227,259,87.6,151,173,87.3,27,56,48.2,0,0,0,,0,0,,0,0,1,476,47,15,1,5,15,20,3,2,0,0,2,10,421,11,4,19,7,33,29,1,1,1,1,0,5,4,60.0,653,84,215,311,134,29,653,13,11,7,5,1,7,10,70.0,3,11,4,7,10,23,26,0,1.8,1.8,0.4,0.4,1.5,1.5,-0.8,-0.8,-0.5,0.1,0,1.1,0.23,0.1
Leganés,Las Palmas,2024-08-25,W,H,2,1,1,0,1,2,39,1,24,2,45.8,40.3,15,12,55.6,11,3,27.3,8,72.7,231,1165,492,11,13,20,1,5.0,1,0,0,11,9,4,3,0,0,0,0,1,9,88.9,66.8,9,0.22,0.5,4,44.4,20.4,1,1,1,0,0,38,0,7.0,274,376,72.9,6,17,9,2,25,5269,2040,106,124,85.5,122,142,85.9,36,83,43.4,0,0,0,,0,0,,0,0,0,338,37,8,1,5,16,15,3,3,0,0,1,11,272,13,3,18,5,16,11,1,1,0,1,2,5,4,80.0,502,63,206,198,103,24,501,13,10,6,7,0,4,9,44.4,5,12,1,11,14,27,30,0,1.5,0.7,0.6,-0.2,0.6,0.6,0.5,1.3,1.4,0.08,1,2.3,0.47,1.3
Real Madrid,Las Palmas,2024-08-29,D,A,1,1,0,1,0,0,57,1,29,5,13.8,26.4,12,2,85.7,28,14,50.0,13,46.4,461,2605,1493,29,28,10,1,10.0,2,0,0,13,15,1,0,0,0,1,0,0,3,33.3,37.0,24,0.0,0.0,7,29.2,18.0,1,0,0,0,0,43,3,13.1,509,593,85.8,19,62,11,1,70,9177,2817,217,246,88.2,237,261,90.8,43,60,71.7,0,0,0,,0,0,,0,0,0,543,50,16,1,7,18,23,6,3,2,0,0,9,505,28,14,15,11,44,30,3,5,5,0,1,2,1,50.0,703,39,135,314,256,43,702,13,9,5,6,2,6,16,37.5,10,5,1,4,9,22,9,0,2.5,2.1,1.7,1.3,1.9,1.7,-1.5,-2.1,-1.9,0.09,1,0.8,0.42,-0.2
Alavés,Las Palmas,2024-09-01,W,H,2,0,2,0,1,2,30,1,29,2,72.4,48.6,12,18,40.0,13,7,53.8,5,38.5,185,1019,505,12,8,14,1,7.1,3,0,0,13,9,2,2,0,0,0,0,0,8,62.5,48.1,14,0.14,0.4,5,35.7,19.6,1,1,1,0,0,24,0,8.8,190,276,68.8,10,17,9,3,23,3858,1764,74,90,82.2,86,106,81.1,28,67,41.8,0,0,0,,0,0,,0,0,0,235,40,7,1,2,16,18,6,3,2,1,1,7,188,8,2,12,5,27,19,3,1,0,4,0,6,6,100.0,376,52,136,138,103,23,375,16,7,4,10,2,4,13,30.8,9,7,1,6,8,24,23,0,2.0,1.3,1.4,0.6,1.1,0.9,0.0,0.7,-0.1,0.09,1,1.1,0.18,1.1
Athletic Club,Las Palmas,2024-09-15,W,A,3,2,1,0,0,3,36,0,16,1,43.8,36.3,19,10,65.5,24,13,54.2,11,45.8,206,1325,670,17,10,22,2,9.1,2,1,0,12,8,5,4,0,0,1,0,0,9,88.9,58.0,9,0.33,0.75,4,44.4,14.2,0,1,0,0,0,55,0,9.8,253,372,68.0,8,22,2,2,31,4542,1904,117,158,74.1,104,131,79.4,27,61,44.3,0,0,0,,0,0,,1,1,0,325,46,8,1,5,13,23,3,2,0,0,1,8,252,10,6,14,8,15,10,1,2,1,0,1,5,3,60.0,505,79,184,230,98,14,505,14,8,4,9,1,10,14,71.4,4,17,6,11,10,24,33,0,1.7,1.7,0.3,0.3,2.1,0.6,1.3,1.3,0.9,0.24,0,1.2,0.26,-0.8
Osasuna,Las Palmas,2024-09-21,W,H,2,1,1,1,0,1,40,1,29,3,34.5,34.1,13,12,52.0,14,9,64.3,5,35.7,200,1438,853,17,11,14,1,7.1,2,0,0,15,11,4,2,0,1,0,1,0,8,12.5,25.3,12,0.08,0.33,3,25.0,16.7,0,3,1,0,0,47,4,20.4,260,363,71.6,10,24,5,3,39,4780,2048,107,129,82.9,130,160,81.3,20,59,33.9,0,0,0,,0,0,,0,1,0,309,51,13,1,1,21,26,2,0,0,0,3,7,259,11,6,14,12,24,17,3,1,0,3,0,6,5,83.3,468,59,153,192,127,20,467,16,10,6,9,1,9,20,45.0,11,7,0,7,10,26,23,0,1.9,1.2,1.1,0.3,1.0,0.8,0.1,-0.2,0.0,0.1,0,1.3,0.21,0.3
Betis,Las Palmas,2024-09-26,D,A,1,1,0,0,0,1,45,0,25,2,8.0,23.3,13,7,65.0,27,10,37.0,12,44.4,350,1854,983,14,6,8,0,0.0,2,0,0,10,18,2,2,0,0,0,0,0,7,14.3,20.0,13,0.08,0.2,5,38.5,14.6,0,4,0,0,0,58,4,26.0,391,487,80.3,9,42,14,4,44,6651,2689,195,222,87.8,162,187,86.6,30,55,54.5,0,0,0,,0,0,,0,0,0,433,50,23,2,6,20,14,4,2,1,0,4,9,389,6,4,15,11,22,18,2,0,1,1,0,2,1,50.0,596,43,147,284,169,35,596,12,7,5,5,2,5,10,50.0,5,16,2,14,7,19,14,0,1.9,1.9,0.9,0.9,1.6,2.1,-0.9,-0.9,-0.6,0.15,0,1.0,0.52,0.0
Villarreal,Las Palmas,2024-09-30,W,H,3,1,2,0,1,3,43,1,16,1,25.0,31.5,8,5,61.5,13,7,53.8,4,30.8,303,1654,970,21,23,6,0,0.0,0,0,0,15,10,4,3,0,0,0,0,1,5,0.0,18.6,19,0.16,0.5,6,31.6,15.2,0,5,1,0,0,37,0,10.5,406,484,83.9,14,31,8,4,47,7068,2317,195,215,90.7,166,193,86.0,38,54,70.4,0,0,0,,0,0,,0,0,0,446,33,10,1,4,22,13,3,3,0,0,5,6,403,23,11,12,0,33,22,2,1,5,2,1,3,2,66.7,583,41,139,269,180,39,582,20,12,12,7,1,10,14,71.4,4,5,1,4,11,31,15,0,2.8,2.0,1.9,1.1,1.6,2.0,0.2,1.0,1.4,0.11,0,0.4,0.15,-0.6
Celta Vigo,Las Palmas,2024-10-05,W,A,1,0,1,0,0,1,40,0,16,2,75.0,49.3,9,22,29.0,18,11,61.1,6,33.3,236,1174,480,8,6,35,2,5.7,8,2,2,13,9,2,2,0,0,0,0,0,16,75.0,53.9,8,0.13,1.0,1,12.5,24.8,1,2,0,0,0,40,0,5.7,305,383,79.6,4,26,3,1,28,5506,2205,131,142,92.3,151,180,83.9,22,53,41.5,0,0,0,,0,0,,0,0,0,335,46,9,1,1,8,18,2,1,0,0,2,7,304,6,5,16,6,12,8,0,1,2,1,0,5,5,100.0,509,85,169,256,87,13,509,12,7,7,3,2,6,21,28.6,15,22,9,13,12,24,34,0,0.8,0.8,-0.6,-0.6,0.5,0.5,0.2,0.2,0.5,0.1,1,0.9,0.18,0.9
Valencia,Las Palmas,2024-10-21,L,H,2,3,-1,1,0,1,48,1,21,3,23.8,33.4,10,12,45.5,16,6,37.5,7,43.8,291,1861,1057,26,11,3,0,0.0,4,1,0,12,12,3,2,0,0,0,1,0,4,75.0,46.5,13,0.08,0.17,6,46.2,16.3,0,3,1,0,0,48,0,5.0,349,478,73.0,7,31,9,3,50,6815,2312,139,166,83.7,162,209,77.5,48,81,59.3,0,0,0,,0,0,,0,0,0,422,53,10,0,3,35,24,11,2,6,2,3,17,344,11,7,11,8,22,14,2,1,2,1,2,6,3,50.0,565,38,135,269,165,36,564,19,10,7,5,7,11,15,73.3,4,9,3,6,7,26,7,0,1.6,0.9,0.4,-0.4,0.4,0.6,0.4,0.1,0.6,0.07,0,1.6,0.27,-1.4
