Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Osasuna,Leganés,2024-08-17,D,H,1,1,0,0,0,0,61,0,16,3,18.8,28.2,26,18,59.1,22,8,36.4,11,50.0,245,1488,777,21,13,12,0,0.0,3,0,0,14,12,0,0,0,0,0,0,0,3,66.7,49.3,16,0.0,0.0,6,37.5,13.8,0,1,0,0,0,46,5,30.5,384,528,72.7,13,35,9,5,35,6575,2394,185,224,82.6,155,194,79.9,34,83,41.0,0,0,0,,0,0,,0,0,0,471,56,14,0,6,37,31,6,3,3,0,1,11,375,13,2,19,9,32,25,3,2,1,1,0,4,3,75.0,647,33,132,320,201,26,647,15,9,3,8,4,5,10,50.0,5,9,4,5,5,20,23,0,1.7,1.7,0.8,0.8,1.5,1.4,-1.7,-1.7,-1.5,0.11,0,1.5,0.39,0.5
Las Palmas,Leganés,2024-08-25,L,A,1,2,-1,0,0,1,61,0,31,7,9.7,24.4,12,15,44.4,9,5,55.6,4,44.4,331,1820,1021,14,9,8,1,12.5,1,0,0,10,11,2,2,0,0,0,0,0,7,0.0,16.9,10,0.1,0.2,5,50.0,16.6,0,0,0,1,0,34,2,17.0,464,584,79.5,8,29,7,5,31,8165,2782,191,220,86.8,234,269,87.0,32,73,43.8,1,0,1,100.0,0,1,100.0,0,0,0,520,64,12,0,2,23,35,7,1,6,0,0,11,462,9,2,12,9,19,13,4,0,2,0,0,5,2,60.0,677,54,217,350,110,22,677,13,7,3,7,3,8,11,72.7,3,9,1,8,7,20,12,1,0.9,0.9,-0.6,0.2,0.8,0.7,0.1,0.1,0.2,0.09,0,1.8,0.25,-0.2
Valladolid,Leganés,2024-08-28,D,H,0,0,0,0,0,0,58,0,22,4,13.6,27.7,14,6,70.0,25,10,40.0,7,28.0,357,1738,962,16,13,8,0,0.0,1,0,0,13,17,0,0,0,0,0,0,0,6,0.0,20.5,12,0.0,0.0,2,16.7,14.2,0,0,0,0,0,35,0,,463,549,84.3,8,26,8,6,46,8504,2911,203,224,90.6,192,224,85.7,60,79,75.9,0,0,0,,0,0,,0,0,0,498,51,21,1,9,32,19,4,1,3,0,0,11,460,13,5,9,5,20,15,1,1,2,1,0,1,1,100.0,650,42,213,300,141,32,650,19,11,10,8,1,6,16,37.5,10,13,2,11,4,23,13,0,1.1,1.1,0.9,0.9,0.7,0.7,-1.1,-1.1,-0.7,0.09,0,0.0,0.02,0.0
Mallorca,Leganés,2024-08-31,W,A,1,0,1,0,0,1,46,0,21,3,66.7,50.7,26,17,60.5,10,3,30.0,6,60.0,268,1619,781,19,15,12,0,0.0,3,0,0,17,10,2,2,0,0,0,0,0,8,12.5,18.3,12,0.08,0.33,3,25.0,16.1,0,0,0,0,0,33,1,17.5,344,441,78.0,8,26,11,6,36,6733,2777,142,164,86.6,153,178,86.0,46,82,56.1,0,0,0,,0,0,,0,0,0,393,48,14,2,3,24,22,3,2,1,0,0,10,339,15,4,11,9,22,19,2,0,1,0,0,2,2,100.0,543,55,186,219,143,26,543,13,8,8,3,2,8,18,44.4,10,5,1,4,15,28,32,0,1.0,1.0,0.7,0.7,0.7,1.4,0.0,0.0,0.3,0.08,0,0.0,0.01,0.0
Betis,Leganés,2024-09-13,W,H,2,0,2,0,0,2,64,0,24,5,20.8,28.6,14,15,48.3,17,7,41.2,9,52.9,376,2148,1231,22,20,5,1,20.0,1,0,0,11,18,3,2,0,0,1,0,0,5,20.0,26.8,14,0.14,0.4,5,35.7,17.5,1,2,0,0,0,43,2,12.0,559,659,84.8,10,52,9,4,77,9560,2934,258,288,89.6,263,288,91.3,32,58,55.2,0,0,0,,0,0,,0,0,0,606,51,18,1,5,25,16,11,5,3,0,2,9,552,20,9,16,8,23,17,1,3,1,1,0,0,0,,756,36,131,413,220,26,756,11,6,3,6,2,6,14,42.9,8,8,1,7,6,17,8,0,2.1,2.1,2.0,2.0,1.4,1.0,-0.1,-0.1,-0.4,0.16,1,0.0,,0.0
Athletic Club,Leganés,2024-09-19,W,A,2,0,2,0,0,2,52,0,27,7,40.7,36.5,9,20,31.0,17,8,47.1,8,47.1,369,1688,857,17,11,14,2,14.3,0,0,0,11,12,4,3,1,0,0,0,0,7,100.0,67.0,10,0.2,0.5,4,40.0,13.4,0,3,0,0,0,48,1,13.8,416,515,80.8,9,37,5,2,51,7684,3010,174,193,90.2,188,217,86.6,48,82,58.5,0,0,0,,0,0,,0,0,0,456,56,16,0,5,24,25,7,4,1,0,3,13,414,11,4,22,16,20,16,3,0,0,1,0,3,3,100.0,620,57,173,307,146,13,620,4,3,1,3,0,1,5,20.0,4,5,1,4,14,18,23,1,1.3,1.3,0.4,0.4,1.3,1.3,0.7,0.7,0.7,0.13,0,0.6,0.21,0.6
Getafe,Leganés,2024-09-22,D,H,1,1,0,1,0,0,59,1,12,3,50.0,37.8,25,19,56.8,20,9,45.0,9,45.0,320,1507,811,20,8,10,1,10.0,3,0,0,16,16,2,0,0,1,0,1,0,6,50.0,42.8,12,0.0,0.0,3,25.0,21.9,1,0,1,0,0,41,1,15.3,345,485,71.1,9,43,10,3,46,6294,2713,159,193,82.4,127,169,75.1,45,90,50.0,0,0,0,,0,0,,0,0,0,419,66,16,1,5,26,36,6,1,4,0,0,10,345,8,3,21,20,22,15,3,2,0,2,0,2,1,50.0,604,36,141,286,183,24,603,19,9,8,8,3,9,16,56.3,7,8,2,6,5,24,20,0,1.5,0.8,1.0,0.2,0.7,0.9,-0.5,-0.8,-0.7,0.06,1,1.1,0.56,0.1
Rayo Vallecano,Leganés,2024-09-28,D,H,1,1,0,0,0,1,54,0,29,6,37.9,35.7,13,9,59.1,22,11,50.0,11,50.0,313,1771,954,21,16,22,3,13.6,2,0,0,12,5,2,0,0,1,0,0,1,7,57.1,49.7,15,0.07,0.17,6,40.0,19.2,0,2,0,0,0,51,0,7.4,421,521,80.8,13,30,7,2,41,7447,2868,181,202,89.6,194,216,89.8,35,76,46.1,0,0,0,,0,0,,0,0,0,468,51,9,0,1,19,28,5,2,3,0,2,7,419,16,6,13,10,30,21,1,5,1,0,2,3,2,66.7,648,72,272,234,146,23,648,15,10,6,7,2,6,17,35.3,11,10,4,6,10,25,29,0,0.9,0.9,0.0,0.0,0.7,0.7,0.1,0.1,-0.7,0.06,0,1.1,0.36,0.1
Valencia,Leganés,2024-10-04,D,A,0,0,0,0,0,0,41,0,29,5,44.8,36.6,15,15,50.0,17,5,29.4,8,47.1,208,1072,514,9,7,12,0,0.0,2,0,0,14,15,0,0,0,0,0,0,0,6,100.0,70.7,6,0.0,0.0,1,16.7,17.2,1,1,0,0,0,42,0,,289,400,72.3,4,16,8,2,21,5430,2243,122,140,87.1,129,156,82.7,33,84,39.3,0,0,0,,0,0,,0,0,0,346,53,23,2,4,19,21,2,0,2,0,1,9,286,7,2,12,7,12,7,3,0,0,1,1,0,0,,489,48,186,220,89,13,489,15,12,6,6,3,5,10,50.0,5,9,4,5,9,24,15,0,0.5,0.5,-0.3,-0.3,0.4,0.5,-0.5,-0.5,-0.4,0.09,1,0.0,,0.0
Atlético Madrid,Leganés,2024-10-20,W,H,3,1,2,0,0,3,63,0,19,6,26.3,30.2,13,8,61.9,23,16,69.6,7,30.4,522,2866,1775,39,25,4,1,25.0,5,0,0,14,8,5,3,0,1,1,0,0,3,33.3,41.3,24,0.13,0.38,8,33.3,15.2,0,0,0,0,0,54,1,18.3,518,632,82.0,16,52,13,2,56,7678,2708,280,315,88.9,186,219,84.9,24,55,43.6,0,0,0,,0,0,,0,0,0,584,48,9,2,2,32,26,8,2,5,0,0,7,515,25,6,21,5,41,31,0,5,3,0,2,2,1,50.0,748,36,137,352,267,41,748,19,12,5,10,4,10,21,47.6,11,6,1,5,12,31,7,0,4.4,4.4,4.1,4.1,3.2,1.9,-1.4,-1.4,-0.2,0.19,0,0.3,0.17,-0.7
