Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Real Madrid,Mallorca,2024-08-18,D,A,1,1,0,0,0,1,66,0,19,3,15.8,29.4,10,10,50.0,20,11,55.0,8,40.0,512,2692,1289,19,15,21,1,4.8,0,1,0,6,11,1,1,0,0,0,0,0,7,0.0,15.0,13,0.08,0.2,5,38.5,21.3,0,0,0,0,0,38,0,4.5,620,701,88.4,10,45,9,0,66,9785,2873,310,329,94.2,248,270,91.9,38,60,63.3,0,0,0,,0,0,,0,1,0,656,45,11,1,5,13,18,7,2,3,0,0,10,614,15,10,10,10,25,23,1,1,0,0,0,5,4,80.0,793,58,208,364,229,37,793,15,11,11,4,0,9,15,60.0,6,7,1,6,4,19,23,0,0.6,0.6,-0.4,-0.4,0.4,1.0,0.4,0.4,0.6,0.05,0,0.6,0.12,-0.4
Osasuna,Mallorca,2024-08-24,W,H,1,0,1,0,0,1,46,0,15,4,60.0,47.7,18,25,41.9,12,4,33.3,8,66.7,206,1265,620,18,10,20,2,10.0,2,0,0,10,8,1,0,0,0,1,0,0,11,81.8,63.5,15,0.07,0.2,5,33.3,19.2,1,1,0,0,0,40,0,7.0,262,371,70.6,8,23,4,3,32,5002,2081,114,135,84.4,105,134,78.4,38,88,43.2,0,0,0,,0,0,,0,0,0,318,52,6,0,3,23,29,5,1,0,0,1,10,257,10,5,11,15,25,15,5,0,4,1,0,1,1,100.0,488,45,135,209,146,16,488,23,12,7,14,2,14,23,60.9,9,15,5,10,10,33,19,0,0.6,0.6,0.0,0.0,0.2,0.3,0.4,0.4,-0.2,0.04,1,0.1,0.06,0.1
Sevilla,Mallorca,2024-08-27,D,A,0,0,0,0,0,0,55,0,31,3,38.7,38.5,12,14,46.2,10,5,50.0,5,50.0,346,1978,1004,17,15,20,1,5.0,1,1,0,10,14,0,0,0,0,0,0,0,7,28.6,28.7,16,0.0,0.0,7,43.8,22.3,0,1,0,0,0,38,1,11.6,431,525,82.1,14,26,8,0,44,7064,2315,215,237,90.7,182,210,86.7,24,56,42.9,0,0,0,,0,0,,0,0,0,472,52,18,1,3,19,17,9,5,0,0,1,7,427,15,4,11,8,30,24,3,1,2,0,0,4,4,100.0,634,71,236,281,122,16,634,13,8,9,3,1,3,9,33.3,6,10,2,8,8,21,28,0,0.7,0.7,-0.1,-0.1,0.6,0.5,-0.7,-0.7,-0.6,0.05,0,0.9,0.22,0.9
Leganés,Mallorca,2024-08-31,L,H,0,1,-1,0,0,0,54,0,22,4,36.4,34.6,17,26,39.5,19,10,52.6,8,42.1,342,1798,953,14,12,15,1,6.7,1,0,0,11,17,0,0,0,0,0,0,0,7,85.7,59.9,9,0.0,0.0,2,22.2,18.8,0,3,0,0,0,37,0,10.2,405,508,79.7,7,31,9,2,41,7689,2484,165,192,85.9,187,219,85.4,46,81,56.8,0,0,0,,0,0,,0,0,0,465,40,17,1,9,17,13,1,0,1,0,3,6,404,12,2,9,5,17,14,0,2,0,1,0,3,2,66.7,614,51,219,279,124,16,614,15,11,8,7,0,6,9,66.7,3,11,4,7,14,29,27,0,0.3,0.3,-0.7,-0.7,0.3,0.7,-0.3,-0.3,-0.3,0.04,0,1.2,0.39,0.2
Villarreal,Mallorca,2024-09-14,W,A,2,1,1,0,0,2,47,0,15,5,40.0,40.4,21,12,63.6,8,2,25.0,6,75.0,343,1855,1016,24,16,27,2,7.4,3,0,0,10,10,4,4,0,0,0,0,0,7,14.3,21.7,21,0.1,0.5,4,19.0,16.2,0,1,0,0,1,52,0,6.0,346,432,80.1,18,30,14,6,33,6070,2466,152,172,88.4,137,158,86.7,40,71,56.3,0,0,0,,0,0,,0,0,1,381,50,13,1,3,17,22,6,2,1,0,1,8,344,16,6,15,9,37,29,2,1,1,2,2,4,4,75.0,556,74,186,201,173,35,556,10,5,6,2,2,6,10,60.0,4,9,2,7,6,16,28,0,1.8,1.8,1.4,1.4,1.6,2.4,0.2,0.2,0.4,0.08,0,0.3,0.08,0.3
Real Sociedad,Mallorca,2024-09-17,L,A,0,1,-1,0,0,0,60,0,27,4,25.9,34.2,18,22,45.0,14,6,42.9,8,57.1,401,2126,1180,17,11,11,1,9.1,1,0,0,10,5,0,0,0,0,0,0,0,9,22.2,21.2,13,0.0,0.0,5,38.5,21.8,0,1,0,1,0,50,3,17.8,468,576,81.3,10,48,11,2,50,8386,2943,213,241,88.4,203,238,85.3,48,81,59.3,1,1,0,0.0,1,0,0.0,0,0,0,533,42,8,1,4,16,18,5,2,0,0,1,9,460,11,3,13,9,26,22,2,1,0,1,0,4,3,100.0,669,58,191,314,169,17,669,15,11,3,10,2,2,12,16.7,10,3,0,3,7,22,12,0,0.6,0.6,-0.6,0.2,0.5,0.6,-0.6,-0.6,-0.5,0.05,0,0.9,0.08,-0.1
Betis,Mallorca,2024-09-23,L,H,1,2,-1,0,0,1,61,0,22,3,13.6,27.8,14,12,53.8,11,6,54.5,4,36.4,476,2235,1022,20,18,10,0,0.0,3,0,0,12,11,2,1,0,0,0,0,1,2,0.0,17.5,16,0.06,0.17,6,37.5,19.2,0,1,0,0,0,39,1,15.3,554,639,86.7,13,34,10,4,47,9515,2835,243,258,94.2,248,275,90.2,46,73,63.0,0,0,0,,0,0,,0,1,0,583,55,17,1,6,26,27,6,4,1,0,1,10,551,18,4,24,11,27,22,2,2,0,0,1,6,4,66.7,755,41,185,370,204,25,755,22,10,8,7,7,8,14,57.1,6,6,0,6,7,29,16,0,1.0,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.1,0.06,0,1.3,0.21,-0.7
Valladolid,Mallorca,2024-09-27,L,H,1,2,-1,0,0,1,51,0,23,5,13.0,29.0,18,20,47.4,13,5,38.5,8,61.5,280,1587,726,13,9,18,2,11.1,3,0,0,16,11,2,2,0,0,0,0,0,10,20.0,31.6,13,0.08,1.0,1,7.7,17.5,0,2,0,0,0,36,0,5.3,356,464,76.7,9,32,6,3,38,7007,2663,127,143,88.8,184,222,82.9,41,76,53.9,0,0,0,,0,0,,0,0,0,409,53,12,1,5,26,21,7,4,2,0,2,9,351,9,3,11,11,25,24,0,0,1,0,0,6,4,66.7,564,54,182,257,130,19,564,13,6,4,7,2,6,16,37.5,10,9,3,6,7,20,18,2,1.2,1.2,-1.1,-1.1,0.6,0.6,-0.2,-0.2,0.4,0.1,0,2.8,0.47,0.8
Espanyol,Mallorca,2024-10-05,W,H,2,1,1,0,0,2,40,0,22,4,45.5,40.5,24,18,57.1,12,7,58.3,5,41.7,184,1021,593,15,13,26,1,3.8,1,0,0,14,17,4,3,1,0,0,0,0,7,85.7,56.6,8,0.25,0.67,3,37.5,18.4,0,0,0,0,0,37,0,7.3,229,318,72.0,7,22,4,2,22,4600,1758,81,107,75.7,113,135,83.7,32,64,50.0,0,0,0,,0,0,,0,1,0,266,52,19,3,1,15,20,4,2,0,0,0,10,228,13,4,10,7,13,8,3,0,0,1,1,5,4,80.0,454,66,178,198,88,15,454,29,21,22,5,2,7,19,36.8,12,14,4,10,10,39,44,1,0.9,0.9,-0.7,-0.7,0.9,0.8,1.1,1.1,1.1,0.12,0,2.6,0.52,1.6
Rayo Vallecano,Mallorca,2024-10-20,L,A,0,1,-1,0,0,0,49,0,22,4,59.1,49.0,11,20,35.5,9,4,44.4,3,33.3,268,1403,733,13,8,21,2,9.5,1,0,0,13,8,0,0,0,0,0,0,0,17,47.1,40.6,10,0.0,0.0,2,20.0,17.1,0,0,0,0,0,38,1,12.5,305,407,74.9,8,20,7,4,26,5599,2376,137,167,82.0,138,162,85.2,28,68,41.2,0,0,0,,0,0,,0,1,0,357,50,11,0,0,16,18,2,2,0,0,0,9,303,8,3,9,8,20,18,1,0,1,0,0,5,4,80.0,504,77,203,223,86,12,504,12,8,2,8,2,4,9,44.4,5,10,4,6,8,20,26,0,0.6,0.6,-1.4,-1.4,0.6,0.4,-0.6,-0.6,-0.6,0.06,0,1.6,0.31,0.6
Athletic Club,Mallorca,2024-10-28,D,A,0,0,0,0,0,0,67,0,20,6,0.0,22.0,12,23,34.3,18,5,27.8,11,61.1,399,2087,1358,33,17,6,2,33.3,1,0,0,12,8,0,0,0,0,0,0,0,1,0.0,22.0,20,0.0,0.0,1,5.0,19.4,0,4,0,0,0,50,0,14.2,490,598,81.9,13,53,12,5,76,8670,2560,212,241,88.0,223,257,86.8,45,78,57.7,0,0,0,,0,0,,0,0,0,549,45,10,1,5,32,19,14,4,6,0,4,8,488,17,6,12,9,36,30,2,2,2,0,0,1,1,100.0,694,30,126,340,237,29,694,18,10,10,6,2,11,16,68.8,5,7,1,6,6,24,13,0,0.6,0.6,0.1,0.1,0.4,1.0,-0.6,-0.6,-0.4,0.03,0,0.3,0.28,0.3
Alavés,Mallorca,2024-11-01,W,H,1,0,1,0,0,1,51,0,23,2,87.0,56.7,27,19,58.7,11,3,27.3,8,72.7,198,1115,627,15,7,12,1,8.3,3,0,0,19,11,1,1,0,0,0,0,0,6,66.7,48.7,13,0.08,0.33,3,23.1,16.3,0,0,0,0,0,29,0,6.0,254,372,68.3,8,27,5,1,29,4769,1868,110,142,77.5,113,142,79.6,28,76,36.8,0,0,0,,0,0,,0,0,0,320,52,15,0,3,23,23,7,2,3,0,0,7,248,7,3,11,8,21,10,6,1,4,0,0,2,2,100.0,467,40,139,221,112,21,467,22,13,13,8,1,7,14,50.0,7,4,2,2,7,29,22,0,1.1,1.1,0.6,0.6,0.7,0.6,-0.1,-0.1,-0.7,0.09,0,0.3,0.15,0.3
Atlético Madrid,Mallorca,2024-11-10,W,A,1,0,1,0,0,1,47,0,16,10,18.8,35.4,6,19,24.0,13,3,23.1,9,69.2,420,1816,970,19,9,20,0,0.0,3,0,0,16,9,2,2,0,0,0,0,0,6,16.7,29.8,9,0.11,0.5,2,22.2,19.7,0,1,0,0,0,34,1,23.0,450,515,87.4,7,31,3,0,31,7232,2538,237,252,94.0,155,176,88.1,42,61,68.9,0,0,0,,0,0,,0,0,0,474,40,13,2,3,7,18,2,0,1,0,1,5,449,9,1,11,10,17,15,1,0,1,0,0,5,5,100.0,615,61,178,316,124,8,615,20,11,9,9,2,8,15,53.3,7,5,3,2,10,30,23,1,0.6,0.6,0.0,0.0,0.6,0.6,0.4,0.4,0.4,0.07,0,0.2,0.04,0.2
Las Palmas,Mallorca,2024-11-23,L,H,2,3,-1,1,0,1,61,1,24,7,29.2,35.8,13,17,43.3,8,3,37.5,2,25.0,356,1778,845,14,10,15,1,6.7,4,0,0,10,15,3,2,0,0,0,1,0,6,0.0,13.5,13,0.08,0.5,2,15.4,23.4,1,1,0,0,0,29,0,10.0,436,535,81.5,7,39,10,5,41,7661,2412,190,212,89.6,189,229,82.5,44,72,61.1,0,0,0,,0,0,,0,0,0,487,47,16,1,3,27,17,4,0,4,0,1,6,430,10,4,13,9,22,19,0,0,1,2,0,3,0,0.0,625,53,161,320,148,24,624,11,7,5,6,0,5,10,50.0,5,6,0,6,1,12,21,0,1.2,0.4,-0.5,-1.3,0.2,0.6,0.8,0.6,-0.2,0.03,1,1.9,0.63,-1.1
Valencia,Mallorca,2024-11-29,L,A,1,2,-1,1,0,0,52,1,32,5,18.8,28.1,11,17,39.3,11,1,9.1,10,90.9,334,1761,757,11,17,9,0,0.0,1,0,0,14,8,1,0,1,0,0,0,0,8,37.5,39.8,6,0.0,,0,0.0,19.2,0,0,0,0,0,46,2,17.5,393,510,77.1,6,28,5,4,33,7515,2536,148,174,85.1,199,232,85.8,44,85,51.8,0,0,0,,0,0,,0,0,0,460,50,11,0,3,20,22,6,3,1,0,0,11,392,17,1,11,14,12,10,2,0,0,0,0,3,1,33.3,604,45,193,297,119,8,603,18,15,9,9,0,3,9,33.3,6,8,1,7,3,21,16,0,1.3,0.5,0.5,-0.2,0.5,0.4,-0.3,-0.5,-0.5,0.09,0,1.5,0.5,-0.5
