Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Leganés,Osasuna,2024-08-17,D,A,1,1,0,0,0,1,39,0,20,0,90.0,55.5,18,26,40.9,13,5,38.5,5,38.5,206,968,382,9,8,29,0,0.0,2,0,0,12,13,2,2,0,0,0,0,0,12,91.7,65.6,10,0.1,0.25,4,40.0,17.0,1,2,0,0,1,35,0,,213,340,62.6,6,9,3,0,16,3591,1643,99,124,79.8,82,121,67.8,17,66,25.8,0,0,0,,0,0,,0,0,1,286,52,14,1,0,15,20,4,1,3,0,2,6,211,8,1,24,10,19,9,3,1,2,3,1,6,6,83.3,478,83,198,220,65,8,478,20,11,9,10,1,11,19,57.9,8,11,5,6,9,29,43,0,1.0,1.0,-0.8,-0.8,0.8,0.5,0.0,0.0,0.2,0.1,1,1.2,0.21,1.2
Mallorca,Osasuna,2024-08-24,L,A,0,1,-1,0,0,0,54,0,22,5,54.5,50.0,25,18,58.1,24,9,37.5,14,58.3,269,1708,913,17,11,17,0,0.0,1,0,0,8,10,0,0,0,0,0,0,0,10,30.0,30.1,10,0.0,0.0,1,10.0,17.9,0,0,0,0,0,40,0,8.3,335,431,77.7,9,41,11,6,48,7174,2519,112,125,89.6,155,180,86.1,64,107,59.8,0,0,0,,0,0,,0,0,0,383,48,11,0,7,26,21,4,1,2,0,0,11,326,11,2,14,9,19,15,1,2,1,0,0,5,4,80.0,566,75,202,242,133,15,566,23,12,13,7,3,8,12,66.7,4,10,3,7,6,29,45,1,0.6,0.6,0.0,0.0,0.6,1.1,-0.6,-0.6,-0.6,0.06,0,0.6,0.12,-0.4
Girona,Osasuna,2024-08-29,W,H,4,0,4,0,0,4,60,0,24,3,4.2,21.3,3,8,27.3,15,7,46.7,7,46.7,450,2995,1604,27,24,5,1,20.0,0,0,0,10,9,8,8,0,0,0,0,0,2,0.0,9.0,10,0.4,0.8,5,50.0,14.3,0,5,0,0,0,47,2,24.7,545,620,87.9,6,47,15,4,66,9625,2468,237,262,90.5,278,295,94.2,30,53,56.6,0,0,0,,0,0,,0,0,0,578,37,11,1,5,22,18,5,1,1,0,5,5,525,24,7,11,8,15,12,2,0,0,0,1,0,0,,700,35,153,340,211,33,700,11,7,3,6,2,4,11,36.4,7,7,0,7,7,18,7,0,2.4,2.4,2.4,2.4,1.7,1.7,1.6,1.6,1.3,0.24,0,0.0,,0.0
Celta Vigo,Osasuna,2024-09-01,L,A,2,3,-1,0,0,1,50,0,28,5,10.7,23.9,6,13,31.6,16,4,25.0,9,56.3,383,1991,1044,18,19,14,0,0.0,0,1,0,10,19,2,1,0,1,0,0,0,5,0.0,18.6,12,0.08,0.25,4,33.3,19.5,3,3,0,0,1,34,3,24.4,403,495,81.4,8,24,5,1,38,6712,2182,196,215,91.2,160,183,87.4,33,64,51.6,0,0,0,,0,0,,0,1,1,440,52,19,2,4,9,21,3,0,3,0,3,15,402,19,8,15,9,21,16,0,2,0,3,0,3,1,0.0,584,61,215,213,161,18,584,9,5,7,2,0,7,16,43.8,9,9,5,4,4,13,17,0,1.7,1.7,0.7,0.7,1.5,1.3,-0.7,-0.7,-0.5,0.14,3,1.9,0.64,-0.1
Rayo Vallecano,Osasuna,2024-09-16,W,H,3,1,2,0,0,3,65,0,22,5,31.8,37.5,10,22,31.3,16,11,68.8,5,31.3,342,1769,876,23,16,9,0,0.0,3,0,0,12,14,3,3,0,0,0,0,0,9,22.2,31.4,17,0.18,0.5,6,35.3,18.9,0,3,0,0,0,52,1,24.0,416,547,76.1,15,34,11,3,52,7158,3065,194,227,85.5,165,197,83.8,41,86,47.7,0,0,0,,0,0,,0,0,0,485,59,14,0,5,28,27,7,3,4,0,3,16,415,16,7,25,13,25,22,0,1,1,1,0,2,1,50.0,654,48,183,295,187,25,654,18,16,10,8,0,8,19,42.1,11,6,0,6,3,21,14,0,1.6,1.6,1.3,1.3,1.6,0.8,1.4,1.4,1.4,0.1,0,0.2,0.08,-0.8
Las Palmas,Osasuna,2024-09-21,L,A,1,2,-1,0,0,1,60,0,38,7,36.8,32.1,12,13,48.0,21,11,52.4,9,42.9,397,1987,1108,13,9,16,0,0.0,5,0,0,11,11,2,2,0,0,0,0,0,10,10.0,23.8,11,0.09,0.17,6,54.5,15.7,0,3,0,1,0,44,1,40.0,428,535,80.0,9,31,4,1,42,7048,2504,207,231,89.6,177,210,84.3,31,67,46.3,1,1,0,0.0,1,0,0.0,0,0,0,477,55,18,4,1,17,20,4,3,0,0,3,8,423,9,7,11,7,21,15,1,4,0,1,0,4,2,75.0,637,68,212,304,126,21,637,17,11,7,8,2,5,14,35.7,9,7,2,5,6,23,23,0,0.8,0.8,-1.1,-0.3,0.8,1.0,0.2,0.2,0.2,0.08,0,1.8,0.25,-0.2
Valencia,Osasuna,2024-09-24,D,H,0,0,0,0,0,0,52,0,22,5,9.1,23.6,13,17,43.3,16,7,43.8,6,37.5,300,1872,1066,17,11,16,0,0.0,2,0,0,6,9,0,0,0,0,0,0,0,4,75.0,49.0,10,0.0,0.0,3,30.0,14.3,0,5,0,0,0,40,0,6.0,331,449,73.7,8,21,9,4,35,5735,2049,139,162,85.8,153,181,84.5,29,70,41.4,0,0,0,,0,0,,0,0,0,390,54,13,0,3,25,26,10,2,5,0,5,16,329,11,6,23,8,19,15,2,1,1,0,0,2,2,100.0,562,57,208,230,134,25,562,16,11,9,6,1,7,12,58.3,5,12,3,9,6,22,28,0,0.7,0.7,0.2,0.2,0.7,1.5,-0.7,-0.7,-0.7,0.07,0,0.1,0.05,0.1
Barcelona,Osasuna,2024-09-28,L,A,2,4,-2,0,0,2,73,0,23,5,21.7,26.1,7,15,31.8,24,12,50.0,10,41.7,438,2365,1275,22,12,11,0,0.0,2,0,0,3,13,2,2,0,0,0,0,0,7,14.3,25.6,12,0.17,0.33,6,50.0,19.8,1,0,0,1,0,45,5,22.9,615,713,86.3,11,66,14,3,58,10165,3299,295,323,91.3,266,296,89.9,40,67,59.7,1,1,0,0.0,1,0,0.0,0,0,0,653,60,22,4,2,16,18,8,3,1,0,0,9,613,12,4,26,8,21,15,3,2,0,1,0,5,1,40.0,831,56,185,415,234,22,831,15,10,5,9,1,6,11,54.5,5,7,0,7,7,22,21,1,0.8,0.8,-1.4,-0.6,0.8,1.3,1.2,1.2,1.2,0.07,1,2.9,0.39,-1.1
Getafe,Osasuna,2024-10-05,D,H,1,1,0,0,0,1,41,0,6,0,100.0,61.8,26,27,49.1,18,8,44.4,10,55.6,135,822,316,6,11,16,0,0.0,2,0,0,17,10,2,1,1,0,0,0,0,13,92.3,64.5,11,0.09,0.33,3,27.3,18.2,1,5,0,0,0,35,1,34.0,151,274,55.1,7,17,6,4,17,3263,1926,64,85,75.3,56,90,62.2,27,80,33.8,0,0,0,,0,0,,0,0,0,210,59,9,0,6,16,31,4,1,3,0,5,4,147,11,2,25,14,19,11,4,1,0,2,1,2,1,50.0,410,43,125,171,118,18,410,13,10,8,2,3,9,18,50.0,9,8,0,8,7,20,35,0,0.8,0.8,0.5,0.5,0.6,1.1,0.2,0.2,0.4,0.08,1,0.5,0.26,-0.5
Betis,Osasuna,2024-10-19,W,A,2,1,1,0,0,2,45,0,34,8,47.1,41.1,13,12,52.0,10,7,70.0,3,30.0,242,1211,619,10,12,23,3,13.0,1,1,0,8,12,3,2,0,0,1,0,0,8,62.5,54.0,11,0.18,0.33,6,54.5,11.0,0,4,0,0,0,33,2,12.0,263,367,71.7,9,16,7,1,24,4749,1955,115,137,83.9,118,146,80.8,24,61,39.3,0,0,0,,0,0,,0,0,0,317,46,15,4,1,14,19,2,0,1,0,4,10,260,12,4,14,8,18,11,2,1,2,1,1,6,5,83.3,488,83,192,199,99,20,488,11,7,3,5,3,5,14,35.7,9,13,6,7,12,23,38,0,2.1,2.1,0.0,0.0,1.5,1.3,-0.1,-0.1,-0.5,0.21,0,1.8,0.3,0.8
