Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Rayo Vallecano,Real Sociedad,2024-08-18,W,A,2,1,1,0,0,2,34,0,4,2,100.0,59.8,20,14,58.8,11,6,54.5,5,45.5,146,789,404,13,10,21,0,0.0,4,0,0,21,14,3,2,0,1,0,0,0,11,81.8,54.5,12,0.17,0.5,4,33.3,21.7,1,3,0,0,0,44,0,,167,269,62.1,6,14,2,0,21,2780,1252,87,98,88.8,58,90,64.4,16,55,29.1,0,0,0,,0,0,,0,0,0,219,47,13,1,1,12,16,5,3,0,0,3,11,165,10,4,12,8,19,9,6,2,1,1,0,4,3,75.0,392,58,146,154,98,17,392,18,10,8,8,2,5,11,45.5,6,8,2,6,7,25,39,0,1.1,1.1,0.0,0.0,0.6,0.6,0.9,0.9,1.4,0.09,1,0.6,0.15,-0.4
Espanyol,Real Sociedad,2024-08-24,L,H,0,1,-1,0,0,0,34,0,23,4,43.5,41.4,6,5,54.5,15,5,33.3,6,40.0,191,1269,729,19,12,14,2,14.3,2,0,0,14,18,0,0,0,0,0,0,0,7,0.0,10.4,13,0.0,0.0,3,23.1,14.7,0,1,0,0,0,36,3,16.7,205,294,69.7,8,21,6,0,23,3971,1598,89,108,82.4,84,108,77.8,32,67,47.8,0,0,0,,0,0,,0,0,0,246,47,20,0,3,19,11,7,1,5,0,1,8,203,12,3,12,5,21,14,1,3,2,0,1,3,2,66.7,388,63,136,160,100,19,388,18,11,10,6,2,8,14,57.1,6,8,2,6,7,25,23,0,1.6,1.6,0.9,0.9,1.2,0.4,-1.6,-1.6,-1.2,0.14,0,0.5,0.18,-0.5
Alavés,Real Sociedad,2024-08-28,W,A,2,1,1,1,0,1,47,1,17,2,76.5,46.3,13,23,36.1,13,6,46.2,5,38.5,239,1578,912,23,9,14,1,7.1,4,0,0,13,16,4,3,0,0,0,1,0,6,50.0,40.2,13,0.08,0.25,4,30.8,18.1,0,3,1,0,0,36,0,4.0,254,352,72.2,10,19,8,4,33,4908,1754,100,122,82.0,114,140,81.4,37,72,51.4,0,0,0,,0,0,,0,0,0,299,50,16,2,1,22,20,6,2,2,1,3,7,245,9,2,15,7,21,12,4,0,3,1,1,1,0,0.0,459,49,146,183,131,20,458,13,11,7,4,2,9,16,56.3,7,10,3,7,6,19,27,0,1.6,0.8,0.6,-0.2,0.4,0.7,0.4,0.2,-0.4,0.06,0,0.5,0.5,-0.5
Getafe,Real Sociedad,2024-09-01,D,H,0,0,0,0,0,0,53,0,10,3,50.0,42.3,31,20,60.8,24,11,45.8,13,54.2,244,1269,579,16,11,8,1,12.5,1,0,0,14,16,0,0,0,0,0,0,0,4,25.0,33.8,16,0.0,0.0,1,6.3,25.5,0,2,0,0,0,43,0,12.0,257,398,64.6,12,38,3,0,32,4893,2118,114,155,73.5,98,135,72.6,36,81,44.4,0,0,0,,0,0,,0,0,0,342,54,15,0,6,23,30,4,3,0,0,2,6,256,11,5,23,6,29,23,1,2,3,0,0,0,0,,522,24,101,259,170,28,522,17,10,10,5,2,9,13,69.2,4,8,1,7,5,22,20,0,0.6,0.6,0.5,0.5,0.3,0.8,-0.6,-0.6,-0.3,0.04,0,0.0,,0.0
Real Madrid,Real Sociedad,2024-09-14,W,A,2,0,2,2,0,0,52,2,24,5,25.0,29.9,8,8,50.0,18,5,27.8,9,50.0,403,2219,1062,14,13,11,1,9.1,1,0,0,9,11,3,0,0,1,1,1,0,11,36.4,31.8,14,0.0,0.0,4,28.6,19.4,1,1,1,0,0,34,0,8.5,459,528,86.9,10,36,8,0,34,7984,2552,206,220,93.6,196,216,90.7,44,66,66.7,0,0,0,,0,0,,0,0,0,482,45,11,0,4,12,16,6,1,2,0,1,6,456,13,6,20,6,25,13,4,3,2,3,0,2,2,100.0,645,88,253,233,163,22,643,17,12,11,4,2,7,11,63.6,4,11,4,7,6,23,12,0,2.3,0.8,1.3,-0.3,0.6,0.7,-0.3,-0.8,-0.6,0.06,1,0.9,0.45,0.9
Mallorca,Real Sociedad,2024-09-17,W,H,1,0,1,1,0,0,40,1,28,0,60.7,43.6,22,18,55.0,13,10,76.9,2,15.4,186,1226,513,12,9,13,0,0.0,1,0,0,5,9,1,0,0,0,1,0,0,9,44.4,43.0,9,0.0,0.0,3,33.3,17.4,0,3,0,0,0,50,0,7.0,293,392,74.7,8,16,4,1,19,5686,2323,117,133,88.0,115,144,79.9,48,86,55.8,0,0,0,,0,0,,0,0,0,353,36,10,1,1,14,11,5,1,3,1,3,3,288,9,1,11,13,17,10,5,0,1,1,0,5,5,100.0,503,68,187,234,89,14,502,17,11,10,4,3,8,14,57.1,6,8,2,6,11,28,31,0,1.2,0.4,0.6,-0.2,0.4,0.5,-0.2,-0.4,-0.4,0.04,0,0.2,0.05,0.2
Valladolid,Real Sociedad,2024-09-21,D,H,0,0,0,0,0,0,36,0,20,1,60.0,43.9,28,14,66.7,18,8,44.4,10,55.6,139,959,471,13,6,18,1,5.6,4,0,0,15,10,0,0,0,0,0,0,0,8,62.5,54.0,15,0.0,0.0,2,13.3,21.0,1,0,0,0,0,34,0,7.8,222,320,69.4,11,17,7,4,24,4571,2152,83,104,79.8,99,129,76.7,33,67,49.3,0,0,0,,0,0,,0,0,0,267,53,14,0,4,25,25,5,3,0,0,0,6,220,6,4,8,12,25,13,3,2,2,3,2,3,3,100.0,444,66,172,142,135,17,444,17,12,7,7,3,6,14,42.9,8,13,5,8,12,29,20,0,1.0,1.0,-0.4,-0.4,0.9,0.7,-1.0,-1.0,-0.9,0.07,1,0.5,0.17,0.5
Valencia,Real Sociedad,2024-09-28,L,A,0,3,-3,0,0,0,39,0,22,2,27.3,34.4,10,18,35.7,12,2,16.7,10,83.3,184,1058,471,8,6,10,1,10.0,0,0,0,12,7,0,0,0,0,0,0,0,8,50.0,40.5,9,0.0,0.0,4,44.4,23.3,0,2,0,0,0,49,1,16.0,274,375,73.1,7,19,4,1,24,4923,1808,130,148,87.8,120,148,81.1,24,58,41.4,0,0,0,,0,0,,0,0,0,317,56,12,0,4,13,28,4,1,2,0,2,15,273,6,1,22,17,16,10,4,0,0,1,1,6,3,50.0,477,53,171,205,106,7,477,16,12,6,6,4,6,13,46.2,7,10,1,9,5,21,15,1,0.8,0.8,-2.6,-2.6,0.7,0.4,-0.8,-0.8,-0.7,0.09,0,2.9,0.48,-0.1
Atlético Madrid,Real Sociedad,2024-10-06,D,A,1,1,0,0,0,1,34,0,24,7,37.5,35.8,19,11,63.3,13,3,23.1,9,69.2,210,809,422,7,6,25,1,4.0,2,0,0,9,10,2,2,0,0,0,0,0,19,63.2,47.5,4,0.25,1.0,1,25.0,19.3,0,2,0,0,0,34,0,5.0,266,365,72.9,4,12,4,0,12,4574,1737,131,153,85.6,95,122,77.9,28,60,46.7,0,0,0,,0,0,,0,0,0,309,54,11,1,4,2,21,1,0,1,0,2,12,263,6,0,10,8,8,7,0,1,0,0,0,7,6,85.7,474,88,246,154,76,7,474,11,6,8,3,0,6,20,30.0,14,6,0,6,5,16,43,1,0.5,0.5,-0.5,-0.5,0.5,0.3,0.5,0.5,0.5,0.14,0,1.0,0.15,0.0
Girona,Real Sociedad,2024-10-19,L,H,0,1,-1,0,0,0,47,0,29,5,24.1,31.6,8,8,50.0,23,14,60.9,7,30.4,357,1760,917,12,8,11,1,9.1,2,0,0,10,11,0,0,0,0,0,0,0,9,44.4,41.4,8,0.0,0.0,3,37.5,15.2,0,1,0,0,0,31,0,11.7,403,482,83.6,6,38,10,2,36,7389,2550,175,190,92.1,177,193,91.7,39,70,55.7,0,0,0,,0,0,,0,0,0,428,53,13,0,5,25,23,6,0,4,0,1,12,398,8,2,7,8,14,11,1,1,0,1,0,4,3,75.0,559,66,189,242,134,20,559,14,9,7,7,0,9,17,52.9,8,5,4,1,6,20,10,0,0.4,0.4,-1.3,-1.3,0.3,0.8,-0.4,-0.4,-0.3,0.05,0,0.3,0.07,-0.7
