Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Barcelona,Valencia,2024-08-17,W,A,2,1,1,1,0,1,63,1,36,6,19.4,32.0,9,13,40.9,21,9,42.9,8,38.1,419,1928,918,16,17,10,0,0.0,3,0,0,13,10,3,1,0,0,1,1,0,5,20.0,24.0,17,0.06,0.2,5,29.4,18.6,1,1,1,0,0,46,0,2.0,526,617,85.3,14,38,12,3,50,9276,3050,225,253,88.9,250,278,89.9,43,65,66.2,0,0,0,,0,0,,0,0,0,569,47,16,2,6,16,16,8,1,2,0,1,6,522,17,6,11,11,33,22,2,2,4,3,0,1,0,0.0,714,47,195,341,186,28,713,14,8,4,8,2,9,15,60.0,6,9,2,7,4,18,13,1,3.2,2.4,2.2,1.4,2.3,1.3,-1.2,-1.4,-1.3,0.14,1,0.9,0.91,-0.1
Celta Vigo,Valencia,2024-08-23,W,H,3,1,2,0,1,3,49,1,23,4,26.1,28.7,10,9,52.6,11,6,54.5,5,45.5,307,1499,645,11,5,21,1,4.8,3,0,0,9,10,4,4,0,0,0,0,0,7,28.6,30.0,6,0.5,0.75,4,66.7,17.6,0,2,0,0,0,30,0,6.0,452,526,85.9,5,27,8,3,26,8103,2846,167,184,90.8,229,250,91.6,42,65,64.6,0,0,0,,0,0,,0,1,0,476,48,11,4,5,11,24,4,2,0,0,2,10,450,5,4,13,12,11,7,1,2,0,1,0,4,3,75.0,636,74,229,310,99,14,635,16,8,6,10,0,7,11,63.6,4,9,2,7,9,25,34,0,1.3,0.5,0.4,-0.3,0.5,0.5,1.7,2.5,1.5,0.09,0,0.7,0.16,-0.3
Athletic Club,Valencia,2024-08-28,W,H,1,0,1,0,0,1,50,0,31,3,35.5,34.3,15,14,51.7,23,13,56.5,8,34.8,252,1372,724,17,10,11,2,18.2,1,0,0,14,9,2,2,0,0,0,0,0,5,60.0,41.0,13,0.08,0.25,4,30.8,14.5,0,1,0,0,0,46,3,18.1,360,467,77.1,8,29,10,4,36,6707,2256,143,178,80.3,177,204,86.8,36,75,48.0,0,0,0,,0,0,,0,0,0,420,46,12,4,4,22,23,5,0,3,0,1,3,352,10,4,16,15,22,13,2,2,3,1,1,0,0,,573,43,150,275,150,23,573,14,11,4,10,0,6,14,42.9,8,4,1,3,10,24,27,0,1.4,1.4,1.3,1.3,0.6,0.5,-0.4,-0.4,0.4,0.11,0,0.0,,0.0
Villarreal,Valencia,2024-08-31,D,A,1,1,0,0,0,1,42,0,21,1,23.8,32.9,22,8,73.3,17,7,41.2,6,35.3,235,1366,712,14,5,32,0,0.0,5,1,1,11,15,2,2,0,0,0,0,0,12,58.3,48.8,9,0.11,0.5,2,22.2,17.2,0,1,0,0,0,39,0,6.5,321,396,81.1,7,22,5,3,33,6637,2326,98,105,93.3,176,202,87.1,42,74,56.8,0,0,0,,0,0,,0,1,0,351,44,16,2,6,11,11,3,2,1,0,1,8,316,5,4,16,8,14,10,0,2,2,0,0,5,4,80.0,536,108,270,208,63,14,536,14,8,8,5,1,8,17,47.1,9,13,6,7,2,16,50,0,0.5,0.5,-0.6,-0.6,0.5,0.7,0.5,0.5,0.5,0.06,0,2.0,0.39,1.0
Atlético Madrid,Valencia,2024-09-15,W,H,3,0,3,0,0,3,53,0,13,3,23.1,30.8,12,8,60.0,11,5,45.5,5,45.5,366,1561,787,15,10,11,1,9.1,1,0,0,10,7,5,3,0,0,1,0,1,10,40.0,42.0,14,0.21,0.75,4,28.6,10.9,0,1,0,0,0,45,0,3.0,479,572,83.7,11,29,13,6,47,8620,2934,205,228,89.9,211,234,90.2,53,86,61.6,0,0,0,,0,0,,0,0,0,518,53,10,2,4,28,25,7,2,2,0,1,12,472,10,3,20,6,24,17,2,1,2,1,1,1,1,100.0,678,57,234,303,143,27,678,12,6,6,6,0,10,17,58.8,7,14,1,13,5,17,18,0,3.1,3.1,2.9,2.9,2.2,2.0,-0.1,-0.1,-0.2,0.23,0,0.1,0.07,0.1
Girona,Valencia,2024-09-21,L,A,0,2,-2,0,0,0,67,0,29,6,13.8,28.2,6,9,40.0,25,10,40.0,11,44.0,383,1852,1004,19,13,15,4,26.7,2,0,0,10,13,0,0,0,0,0,0,0,3,0.0,25.0,8,0.0,0.0,3,37.5,17.1,0,2,0,0,0,36,1,10.3,573,660,86.8,7,42,2,0,46,11299,3042,189,207,91.3,313,329,95.1,68,106,64.2,0,0,0,,0,0,,0,0,0,607,51,14,5,8,18,27,4,2,2,0,2,12,565,13,3,19,6,16,12,2,1,1,0,0,2,0,0.0,767,64,240,403,130,11,767,22,16,11,9,2,14,19,73.7,5,15,2,13,6,28,14,0,0.4,0.4,0.0,0.0,0.3,0.7,-0.4,-0.4,-0.3,0.05,0,0.3,0.16,-1.7
Osasuna,Valencia,2024-09-24,D,A,0,0,0,0,0,0,48,0,35,5,48.6,38.3,17,13,56.7,12,5,41.7,7,58.3,217,1185,522,6,5,21,2,9.5,3,0,0,11,4,0,0,0,0,0,0,0,9,55.6,44.9,9,0.0,0.0,2,22.2,19.8,0,2,0,0,0,30,4,18.4,302,416,72.6,7,22,8,4,30,5999,2390,112,133,84.2,138,169,81.7,44,84,52.4,0,0,0,,0,0,,0,0,0,360,54,11,0,5,24,28,5,2,2,0,2,14,296,5,3,16,9,17,12,4,0,0,1,0,3,3,100.0,524,68,174,226,127,16,524,14,7,6,7,1,6,13,46.2,7,17,4,13,3,17,34,0,0.5,0.5,-0.2,-0.2,0.4,0.5,-0.5,-0.5,-0.4,0.05,0,0.3,0.09,0.3
Real Sociedad,Valencia,2024-09-28,W,H,3,0,3,0,0,3,61,0,37,2,24.3,33.3,18,10,64.3,13,7,53.8,6,46.2,426,2087,1022,22,13,10,0,0.0,0,0,0,7,11,6,6,0,0,0,0,0,4,100.0,59.0,11,0.27,0.5,6,54.5,12.8,0,5,0,0,0,49,1,16.5,473,583,81.1,10,24,6,1,37,8556,2817,211,240,87.9,205,239,85.8,46,74,62.2,0,0,0,,0,0,,0,0,0,525,53,14,4,8,12,28,6,3,0,0,5,10,466,13,4,15,10,20,16,2,0,1,1,0,4,4,100.0,690,57,278,279,137,22,690,27,16,15,10,2,10,12,83.3,2,16,2,14,6,33,10,0,3.4,3.4,2.6,2.6,3.2,2.7,-0.4,-0.4,-0.2,0.32,0,0.2,0.04,0.2
Leganés,Valencia,2024-10-04,D,H,0,0,0,0,0,0,59,0,21,6,38.1,34.2,15,15,50.0,13,5,38.5,5,38.5,446,2026,1054,19,14,13,1,7.7,2,0,0,15,13,0,0,0,0,0,0,0,11,45.5,45.0,8,0.0,,0,0.0,16.8,0,9,0,0,0,37,1,14.4,461,567,81.3,6,30,4,1,38,7971,2706,226,244,92.6,176,202,87.1,48,86,55.8,0,0,0,,0,0,,0,0,0,515,43,15,1,3,12,15,1,1,0,0,9,5,459,14,4,14,10,15,9,2,2,1,1,0,1,1,100.0,661,59,238,304,125,11,661,15,7,5,8,2,8,13,61.5,5,7,1,6,5,20,20,0,0.8,0.8,0.3,0.3,0.7,0.5,-0.8,-0.8,-0.7,0.1,0,0.2,0.18,0.2
Las Palmas,Valencia,2024-10-21,W,A,3,2,1,0,0,3,52,0,41,5,61.0,42.6,12,10,54.5,15,4,26.7,11,73.3,342,1518,667,7,4,28,1,3.6,9,0,0,12,12,5,4,0,0,1,0,0,3,0.0,7.3,11,0.27,0.5,6,54.5,20.4,1,0,0,1,0,43,1,12.7,426,522,81.6,7,23,6,1,35,6605,2329,229,246,93.1,161,189,85.2,24,61,39.3,1,1,0,0.0,1,0,0.0,0,1,0,480,42,13,6,2,5,21,2,2,0,0,0,7,426,4,2,14,8,19,15,0,0,2,1,1,7,5,85.7,654,93,284,294,83,12,654,15,9,8,6,1,7,13,53.8,6,14,3,11,10,25,37,2,1.2,1.2,-0.4,0.4,0.8,0.9,1.8,1.8,1.2,0.11,1,2.2,0.18,0.2
