Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Atlético Madrid,Villarreal,2024-08-19,D,A,2,2,0,0,0,2,56,0,14,3,7.1,25.5,8,5,61.5,11,8,72.7,3,27.3,427,2022,985,11,10,9,0,0.0,3,0,0,12,6,4,4,0,0,0,0,0,6,16.7,35.7,9,0.22,0.5,4,44.4,14.3,0,2,0,0,1,40,2,15.7,547,631,86.7,8,36,12,5,51,9567,3085,219,245,89.4,287,304,94.4,34,54,63.0,0,0,0,,0,0,,0,0,1,589,40,9,0,3,15,19,3,1,1,0,2,16,545,10,4,14,8,17,15,1,1,0,0,0,3,2,33.3,705,58,230,324,154,22,705,17,9,11,4,2,10,24,41.7,14,8,2,6,2,19,10,1,1.1,1.1,0.3,0.3,1.1,0.6,0.9,0.9,0.9,0.12,0,0.8,0.25,-0.2
Sevilla,Villarreal,2024-08-23,L,H,1,2,-1,0,0,1,59,0,27,4,37.0,33.4,13,17,43.3,26,14,53.8,9,34.6,433,2107,1106,18,17,6,0,0.0,3,0,0,16,7,2,2,0,0,0,0,0,4,0.0,13.0,16,0.06,0.14,7,43.8,17.7,1,4,0,0,0,48,0,,477,583,81.8,10,30,6,1,41,7916,2507,226,249,90.8,207,234,88.5,29,69,42.0,0,0,0,,0,0,,0,0,0,530,49,11,1,4,24,24,7,4,2,0,4,12,474,17,4,18,7,25,13,3,3,3,2,1,6,4,66.7,692,45,225,344,129,17,692,20,12,8,7,5,8,11,72.7,3,10,0,10,8,28,11,0,1.0,1.0,0.2,0.2,0.5,0.6,0.0,0.0,0.5,0.07,1,0.9,0.15,-1.1
Celta Vigo,Villarreal,2024-08-26,L,A,3,4,-1,0,0,3,55,0,16,2,18.8,24.3,5,11,31.3,15,10,66.7,5,33.3,434,2196,1325,22,14,17,0,0.0,3,0,0,7,7,5,3,0,0,1,1,0,14,28.6,23.0,20,0.15,0.43,7,35.0,14.4,1,1,0,1,1,31,2,21.0,524,595,88.1,13,33,13,2,51,8602,2766,253,269,94.1,219,239,91.6,36,61,59.0,1,0,1,100.0,0,1,100.0,0,1,1,551,43,9,3,6,16,11,4,1,1,0,1,9,521,14,5,14,9,36,22,2,4,7,1,0,9,5,55.6,690,67,204,303,190,29,690,10,6,5,4,1,4,8,50.0,4,5,2,3,5,15,22,1,2.7,2.7,-0.9,0.0,2.0,2.0,0.3,0.3,-1.0,0.14,1,4.6,0.41,1.6
Valencia,Villarreal,2024-08-31,D,H,1,1,0,0,0,1,58,0,24,5,12.5,28.3,8,22,26.7,19,9,47.4,8,42.1,313,1663,1059,24,16,8,0,0.0,3,0,0,15,10,2,2,0,0,0,0,0,7,57.1,42.6,22,0.05,0.2,5,22.7,20.2,0,1,0,0,0,37,2,24.0,450,549,82.0,12,51,8,4,51,8712,2554,174,200,87.0,226,253,89.3,50,80,62.5,0,0,0,,0,0,,0,0,0,494,54,12,1,5,44,20,14,4,7,0,1,15,449,16,6,8,6,36,26,4,1,5,0,0,2,1,50.0,646,46,171,266,219,29,646,14,6,4,3,7,6,13,46.2,7,10,3,7,8,22,11,0,1.1,1.1,0.6,0.6,0.6,0.8,-0.1,-0.1,-0.6,0.05,0,1.1,0.53,0.1
Mallorca,Villarreal,2024-09-14,L,H,1,2,-1,0,0,0,53,0,31,7,38.7,37.5,12,21,36.4,12,4,33.3,6,50.0,375,1970,1059,20,20,15,1,6.7,3,1,0,11,9,0,0,0,0,0,0,0,13,30.8,30.2,9,0.0,0.0,4,44.4,16.9,0,2,0,0,0,41,0,4.0,381,493,77.3,7,29,8,3,42,6675,2707,192,226,85.0,152,181,84.0,35,70,50.0,0,0,0,,0,0,,0,1,0,444,47,11,0,3,31,13,7,3,4,0,2,10,379,20,0,11,4,18,12,4,1,1,0,0,4,2,50.0,580,76,196,220,171,21,580,15,14,10,3,2,6,8,75.0,2,15,7,8,4,19,12,0,0.3,0.3,-1.4,-1.4,0.2,0.5,-0.3,-0.3,-0.2,0.04,0,2.0,0.51,0.0
Barcelona,Villarreal,2024-09-22,W,A,5,1,4,0,1,5,63,1,31,3,6.5,26.5,6,5,54.5,16,9,56.3,5,31.3,426,2141,1319,27,29,13,0,0.0,1,0,0,12,10,9,8,0,0,1,0,0,11,9.1,24.3,16,0.31,0.56,9,56.3,14.6,0,0,1,0,0,29,0,17.0,575,644,89.3,14,32,11,3,57,10477,3127,235,260,90.4,283,297,95.3,50,66,75.8,0,0,0,,0,0,,0,0,0,600,44,17,4,6,17,11,3,2,0,0,0,10,568,29,5,7,13,29,22,2,0,3,1,1,4,3,75.0,748,73,218,338,201,29,747,15,11,4,9,2,8,16,50.0,8,6,2,4,9,24,23,1,3.9,3.2,1.8,1.0,2.0,1.9,1.1,1.8,2.0,0.21,0,1.1,0.28,0.1
Espanyol,Villarreal,2024-09-26,L,H,1,2,-1,0,0,1,56,0,30,8,30.0,35.8,8,17,32.0,20,8,40.0,11,55.0,390,1921,1000,14,14,8,1,12.5,5,0,0,12,14,2,0,1,0,0,1,0,8,12.5,15.8,9,0.11,0.5,2,22.2,20.9,1,0,0,0,0,35,1,16.3,457,548,83.4,6,30,4,1,47,8414,2916,187,204,91.7,208,223,93.3,55,94,58.5,0,0,0,,0,0,,0,0,0,503,45,14,1,5,18,16,4,0,3,0,0,5,457,14,5,11,8,17,11,2,1,1,2,0,4,2,50.0,645,66,229,294,126,16,645,12,6,6,4,2,5,15,33.3,10,7,4,3,6,18,21,0,0.4,0.4,-1.2,-1.2,0.3,0.4,0.6,0.6,0.7,0.05,1,1.4,0.36,-0.6
Las Palmas,Villarreal,2024-09-30,L,A,1,3,-2,0,0,1,57,0,37,3,10.8,25.9,5,8,38.5,17,4,23.5,10,58.8,391,1471,790,16,12,19,0,0.0,4,0,0,11,15,2,2,0,0,0,0,0,5,20.0,15.8,7,0.14,0.33,3,42.9,20.2,0,1,0,1,0,28,0,8.7,586,654,89.6,7,31,4,1,49,10308,3086,240,265,90.6,300,317,94.6,43,61,70.5,1,0,1,100.0,0,1,100.0,0,0,0,606,47,20,2,3,9,16,2,2,0,0,1,7,581,12,3,11,10,14,11,1,1,0,1,0,7,3,57.1,744,72,264,377,104,11,744,4,3,1,2,1,4,11,36.4,7,11,6,5,6,10,21,1,0.9,0.9,-1.9,-1.1,0.9,1.1,0.1,0.1,0.1,0.12,0,2.3,0.25,-0.7
Real Madrid,Villarreal,2024-10-05,W,H,2,0,2,0,0,2,55,0,22,2,9.1,24.5,4,5,44.4,21,9,42.9,10,47.6,495,2331,1143,23,20,14,0,0.0,0,0,0,7,11,4,2,2,0,0,0,0,12,25.0,31.5,11,0.18,1.0,2,18.2,22.0,0,1,0,0,0,37,1,9.5,612,672,91.1,10,49,8,0,44,10113,3000,314,328,95.7,235,245,95.9,49,69,71.0,0,0,0,,0,0,,0,0,0,630,41,13,0,13,7,13,2,1,0,0,1,9,608,20,11,9,5,19,10,4,3,0,1,1,1,1,100.0,756,69,201,354,206,19,756,20,14,9,7,4,13,16,81.3,3,6,3,3,11,31,12,0,0.5,0.5,-0.6,-0.6,0.5,0.6,1.5,1.5,1.5,0.04,0,0.0,0.01,0.0
Getafe,Villarreal,2024-10-20,D,A,1,1,0,1,0,0,44,1,24,0,79.2,48.8,28,17,62.2,19,6,31.6,10,52.6,152,936,408,8,12,12,0,0.0,3,0,0,21,17,2,1,0,0,0,1,0,7,100.0,61.9,20,0.0,0.0,3,15.0,17.7,0,1,1,0,0,38,0,5.5,223,318,70.1,16,20,11,7,23,4463,2025,87,112,77.7,81,104,77.9,42,76,55.3,0,0,0,,0,0,,0,0,0,258,59,18,1,6,21,27,5,2,1,0,1,7,219,12,4,14,8,36,25,3,2,3,2,1,4,3,75.0,452,42,119,206,133,28,451,14,9,6,7,1,4,13,30.8,9,7,1,6,16,30,26,0,1.9,1.1,1.1,0.3,0.9,0.9,-0.9,-1.1,-0.9,0.06,0,1.5,0.39,0.5
