Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Angers,Lens,2024-08-18,L,H,0,1,-1,0,0,0,0,42,29,8,58.6,40.6,15,13,53.6,24,8,33.3,15,62.5,224,1063,497,13,5,13,2,15.4,1,0,0,12,13,0,0,0,0,0,0,0,8,75.0,45.6,8,0.0,0.0,3,37.5,19.9,0,4,0,0,0,31,3,15.2,285,400,71.3,4,23,8,3,27,4890,2119,135,165,81.8,106,135,78.5,31,70,44.3,0,0,0,,0,0,,0,0,0,331,65,17,2,1,23,31,7,6,1,0,4,7,284,5,1,25,15,11,6,0,1,2,1,1,4,3,75.0,535,40,125,238,177,13,535,21,14,4,7,10,9,17,52.9,8,10,0,10,10,31,14,0,0.4,0.4,-0.8,-0.8,0.3,0.5,-0.4,-0.4,-0.3,0.05,0,1.2,0.31,0.2
Angers,Lille,2024-08-24,L,A,0,2,-2,0,0,0,0,36,28,9,25.0,33.0,8,9,47.1,16,5,31.3,11,68.8,284,1347,558,11,3,11,2,18.2,2,0,0,18,7,0,0,0,0,0,0,0,4,25.0,22.0,6,0.0,0.0,2,33.3,17.7,0,4,0,0,0,42,0,10.7,285,361,78.9,4,19,3,2,18,4732,1869,146,161,90.7,111,123,90.2,22,52,42.3,0,0,0,,0,0,,0,0,0,321,36,10,0,0,8,18,2,1,1,0,4,8,282,3,2,13,9,10,10,0,0,0,0,0,6,4,66.7,487,73,227,216,48,7,487,23,14,17,5,1,9,22,40.9,13,14,2,12,9,32,28,0,0.6,0.6,-0.3,-0.3,0.5,0.2,-0.6,-0.6,-0.5,0.1,0,1.5,0.26,-0.5
Angers,Nice,2024-09-01,L,H,1,4,-3,0,1,1,0,54,18,2,38.9,36.5,14,9,60.9,19,11,57.9,6,31.6,304,1802,940,23,17,10,0,0.0,6,0,0,14,13,2,1,0,0,0,1,0,5,40.0,34.8,13,0.0,0.0,6,46.2,22.7,1,0,1,0,0,51,0,12.0,406,488,83.2,12,36,10,1,53,6787,2161,199,215,92.6,175,194,90.2,26,57,45.6,0,0,0,,0,0,,0,1,0,448,40,11,4,0,18,15,4,3,0,0,0,9,403,17,6,13,13,27,22,1,2,0,2,0,8,4,50.0,604,49,156,286,166,23,603,25,12,14,8,3,12,21,57.1,9,8,3,5,12,37,17,3,1.4,0.6,-0.8,-1.6,0.6,0.8,-0.4,-0.6,-0.6,0.05,1,3.3,0.41,-0.7
Angers,Strasbourg,2024-09-15,D,A,1,1,0,1,0,0,0,48,21,3,38.1,34.9,9,9,50.0,20,5,25.0,14,70.0,251,1138,467,7,5,11,1,9.1,1,0,0,14,11,2,2,0,0,0,0,0,4,50.0,38.3,12,0.08,0.5,2,16.7,18.8,0,1,0,0,0,55,0,8.4,376,475,79.2,9,24,7,3,32,6390,2124,175,199,87.9,160,194,82.5,30,55,54.5,0,0,0,,0,0,,0,0,0,432,42,11,1,1,23,16,9,2,6,0,1,11,373,5,3,17,7,19,15,2,0,0,1,1,5,4,80.0,587,56,213,228,150,25,587,25,18,12,7,6,16,23,69.6,7,6,1,5,9,34,18,2,0.9,0.9,-1.3,-1.3,0.8,0.9,0.1,0.1,0.2,0.08,0,2.5,0.5,1.5
Angers,Nantes,2024-09-22,D,H,1,1,0,0,1,1,0,50,28,4,46.4,35.1,12,21,36.4,24,9,37.5,15,62.5,311,1657,793,11,8,12,2,16.7,1,0,0,13,16,2,1,0,0,0,1,0,6,33.3,34.0,3,0.0,,0,0.0,32.3,0,0,1,0,0,35,0,7.5,429,520,82.5,1,28,4,1,32,6950,2632,217,240,90.4,173,205,84.4,29,59,49.2,0,0,0,,0,0,,0,0,0,470,50,15,3,1,12,24,3,0,3,0,0,3,424,8,3,20,5,7,5,0,0,0,1,1,3,2,66.7,635,61,228,285,129,9,634,23,13,12,8,3,11,20,55.0,9,12,4,8,10,33,21,1,0.9,0.1,0.2,-0.6,0.0,0.3,0.1,-0.1,0.0,0.02,0,1.3,0.43,0.3
Angers,Reims,2024-09-29,L,H,1,3,-2,1,0,0,0,53,23,8,8.7,24.2,13,14,48.1,19,14,73.7,5,26.3,385,1991,1146,19,16,12,0,0.0,0,0,0,7,11,2,2,0,0,0,0,0,9,11.1,24.1,14,0.07,0.33,3,21.4,17.8,1,2,0,0,0,48,3,16.2,446,545,81.8,10,35,4,0,46,7986,3025,179,206,86.9,231,269,85.9,34,57,59.6,0,0,0,,0,0,,0,0,0,495,48,11,2,0,25,19,5,2,0,1,2,9,442,16,5,15,13,25,18,3,1,1,1,1,10,7,70.0,658,61,197,312,156,17,658,17,12,6,10,1,5,18,27.8,13,10,2,8,14,31,18,0,1.1,1.1,-1.8,-1.8,1.0,1.0,-0.1,-0.1,0.0,0.08,1,2.3,0.23,-0.7
Angers,Marseille,2024-10-04,D,A,1,1,0,1,0,0,0,24,12,0,66.7,46.8,6,16,27.3,22,7,31.8,14,63.6,149,1017,580,14,7,19,2,10.5,0,1,0,9,14,2,0,0,0,0,1,1,11,72.7,52.0,10,0.1,0.33,3,30.0,22.8,1,4,0,0,0,32,0,5.5,194,247,78.5,6,16,4,1,15,3548,1495,91,96,94.8,79,94,84.0,22,47,46.8,0,0,0,,0,0,,0,0,0,204,39,14,2,2,12,9,3,0,2,0,4,2,194,7,4,12,3,15,7,2,1,1,2,2,4,3,75.0,356,52,140,137,83,11,356,8,7,5,2,1,5,15,33.3,10,12,6,6,7,15,23,2,0.8,0.8,-0.1,-0.1,0.7,0.5,0.2,0.2,-0.7,0.08,1,1.3,0.33,0.3
Angers,Toulouse,2024-10-20,D,A,1,1,0,1,0,1,1,35,18,5,55.6,47.4,11,22,33.3,13,7,53.8,4,30.8,182,1125,631,17,14,19,4,21.1,4,0,0,9,11,2,2,0,0,0,0,0,13,84.6,59.9,7,0.14,0.33,3,42.9,22.9,0,1,1,0,0,38,2,13.5,214,314,68.2,6,14,5,3,27,3962,1663,91,112,81.3,102,135,75.6,20,60,33.3,0,0,0,,0,0,,0,0,0,268,45,10,0,1,12,18,2,0,1,0,1,7,213,14,4,19,5,14,9,0,2,1,1,1,5,4,80.0,440,74,185,185,80,14,439,22,15,14,7,1,11,26,42.3,15,11,6,5,11,33,37,1,1.4,0.6,-0.5,-1.3,0.6,0.6,-0.4,0.4,0.4,0.09,0,1.8,0.37,0.8
Angers,Saint-Étienne,2024-10-26,W,H,4,2,2,3,1,1,0,42,19,8,42.1,34.5,14,10,58.3,13,3,23.1,10,76.9,304,1877,1131,17,15,10,0,0.0,1,0,0,10,13,7,4,0,1,1,1,0,10,40.0,37.7,12,0.25,0.43,7,58.3,15.5,1,0,1,1,0,46,2,22.0,342,436,78.4,7,18,3,1,25,5749,2278,163,187,87.2,136,158,86.1,30,61,49.2,1,1,0,0.0,1,0,0.0,0,0,0,394,42,11,0,0,15,16,2,2,0,0,0,5,340,15,3,18,4,23,13,2,1,3,3,1,7,5,85.7,555,65,232,246,84,18,554,27,18,16,7,4,12,29,41.4,17,12,7,5,6,33,26,0,2.9,2.1,1.4,1.4,1.1,0.3,1.1,0.9,-0.1,0.18,1,1.9,0.15,-0.1
Angers,Monaco,2024-11-01,W,A,1,0,1,1,0,0,0,37,17,7,35.3,31.5,10,7,58.8,20,13,65.0,6,30.0,226,1428,743,19,15,13,3,23.1,1,0,0,12,15,2,1,0,0,1,0,0,8,87.5,58.4,10,0.1,0.33,3,30.0,21.9,0,2,0,0,0,43,0,9.0,255,353,72.2,8,15,4,1,18,4064,1906,139,158,88.0,90,127,70.9,18,46,39.1,0,0,0,,0,0,,0,0,0,297,54,16,3,2,8,25,4,2,0,0,2,10,252,15,4,15,8,19,15,0,1,1,1,1,3,3,100.0,480,67,209,182,103,15,480,13,9,8,3,2,4,10,40.0,6,13,4,9,17,30,34,0,0.5,0.5,-0.9,-0.9,0.3,0.4,0.5,0.5,0.7,0.05,0,0.5,0.17,0.5
