Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Auxerre,Nice,2024-08-18,W,H,2,1,1,2,0,0,0,45,34,1,73.5,45.8,9,9,50.0,17,7,41.2,8,47.1,237,1306,755,14,12,18,0,0.0,0,0,0,11,17,4,2,1,0,0,1,0,5,60.0,47.8,16,0.13,0.29,7,43.8,16.0,1,2,0,0,0,39,3,17.4,364,441,82.5,14,24,9,4,38,7090,2867,148,169,87.6,159,178,89.3,51,77,66.2,0,0,0,,0,0,,0,0,0,397,42,19,0,3,19,13,3,0,2,0,2,7,360,12,3,10,8,30,24,2,1,0,3,0,2,1,50.0,553,61,202,238,115,22,553,19,13,11,8,0,10,15,66.7,5,12,3,9,6,25,27,0,1.8,1.8,1.1,1.1,1.8,1.6,0.2,0.2,0.2,0.12,1,0.6,0.32,-0.4
Auxerre,Nantes,2024-08-25,L,A,0,2,-2,0,0,0,0,64,36,5,38.9,33.2,18,10,64.3,19,8,42.1,8,42.1,435,2189,945,20,17,15,2,13.3,1,1,0,6,9,0,0,0,0,0,0,0,4,50.0,39.0,12,0.0,0.0,3,25.0,16.4,0,1,0,0,0,43,1,15.0,498,615,81.0,9,30,7,2,45,8794,2986,214,248,86.3,229,260,88.1,42,76,55.3,0,0,0,,0,0,,0,0,0,562,52,11,0,4,32,22,12,5,6,0,1,11,492,17,4,18,13,23,19,2,1,0,1,0,5,3,60.0,736,61,237,359,148,21,736,22,15,17,3,2,9,18,50.0,9,8,1,7,10,32,31,1,1.1,1.1,-0.3,-0.3,1.1,1.3,-1.1,-1.1,-1.1,0.09,0,1.4,0.27,-0.6
Auxerre,Le Havre,2024-09-01,L,A,1,3,-2,1,0,0,0,50,25,7,48.0,40.6,8,17,32.0,9,3,33.3,4,44.4,369,1421,772,11,7,15,1,6.7,5,1,1,16,9,2,0,0,1,0,1,0,9,33.3,36.3,7,0.14,0.33,3,42.9,25.0,1,0,0,1,1,30,3,17.4,402,487,82.5,5,24,2,0,34,7033,2183,158,171,92.4,203,220,92.3,29,69,42.0,1,1,0,0.0,1,0,0.0,0,0,1,447,40,13,1,5,14,13,2,2,0,0,0,4,397,7,1,10,10,12,9,0,1,1,1,0,8,6,75.0,576,68,210,286,84,5,576,13,5,6,5,2,5,13,38.5,8,7,5,2,4,17,26,2,0.6,0.6,-2.2,-1.4,0.5,0.3,0.4,0.4,-0.5,0.08,1,2.5,0.21,0.5
Auxerre,Monaco,2024-09-14,L,H,0,3,-3,0,0,0,0,41,29,2,55.2,41.9,9,14,39.1,20,5,25.0,13,65.0,359,1825,901,22,19,11,0,0.0,3,0,0,13,15,0,0,0,0,0,0,0,6,50.0,43.3,13,0.0,0.0,3,23.1,21.7,0,1,0,0,0,55,0,12.6,339,440,77.0,8,32,8,1,49,5785,2317,158,179,88.3,133,161,82.6,34,66,51.5,0,0,0,,0,0,,0,2,0,394,45,19,0,7,18,15,1,1,0,0,1,17,337,19,1,16,14,22,19,0,0,1,1,1,9,6,66.7,579,58,169,230,190,14,579,19,10,7,7,5,8,28,28.6,20,16,6,10,11,30,23,1,0.6,0.6,-2.8,-2.8,0.4,0.5,-0.6,-0.6,-0.4,0.04,0,2.6,0.32,-0.4
Auxerre,Montpellier,2024-09-22,L,A,2,3,-1,2,0,0,0,46,26,5,69.2,48.2,14,13,51.9,21,7,33.3,13,61.9,234,1296,655,15,10,34,2,5.9,4,0,0,20,11,3,2,0,0,1,0,0,3,66.7,46.7,11,0.18,0.4,5,45.5,13.5,0,1,0,0,0,42,0,5.0,319,410,77.8,10,29,9,6,37,5754,2189,150,172,87.2,128,150,85.3,35,69,50.7,0,0,0,,0,0,,0,1,0,360,49,17,0,2,17,20,5,2,2,0,1,9,317,10,1,12,9,20,17,1,0,1,0,1,4,1,25.0,541,70,167,261,117,21,541,15,8,4,9,2,7,17,41.2,10,16,5,11,12,27,42,0,1.2,1.2,-0.8,-0.8,0.9,0.9,0.8,0.8,0.1,0.12,0,2.4,0.59,-0.6
Auxerre,Brest,2024-09-27,W,H,3,0,3,2,1,1,0,39,29,6,65.5,49.8,16,23,41.0,11,6,54.5,5,45.5,211,1148,524,14,11,9,1,11.1,2,0,0,13,13,5,4,0,0,1,0,0,4,100.0,72.5,14,0.14,0.67,3,21.4,16.7,1,2,0,0,0,41,2,18.2,233,347,67.1,11,25,10,5,40,4514,2228,100,129,77.5,96,124,77.4,30,71,42.3,0,0,0,,0,0,,0,0,0,300,45,15,0,4,20,23,2,0,1,0,2,11,233,11,0,8,8,28,18,3,0,3,2,2,4,4,100.0,448,55,146,178,128,18,447,19,15,12,7,0,11,18,61.1,7,5,0,5,14,33,23,0,2.5,1.8,1.7,1.0,1.7,1.0,0.5,0.2,0.3,0.13,1,0.4,0.1,0.4
Auxerre,Saint-Étienne,2024-10-05,L,A,1,3,-2,1,0,0,0,58,29,7,44.8,38.1,20,15,57.1,22,11,50.0,11,50.0,428,2086,1088,13,12,10,1,10.0,1,0,0,10,13,2,2,0,0,0,0,0,5,20.0,30.8,11,0.09,1.0,1,9.1,16.5,0,4,0,0,0,52,1,15.3,424,551,77.0,7,32,7,3,42,7059,2655,200,233,85.8,182,211,86.3,30,72,41.7,0,0,0,,0,0,,0,0,0,495,52,16,0,4,27,23,4,1,2,0,4,10,420,12,2,13,15,18,13,2,0,1,0,2,5,2,40.0,663,53,192,300,177,24,663,24,16,9,11,4,10,18,55.6,8,9,3,6,10,34,13,1,0.8,0.8,-1.9,-1.9,0.6,0.6,0.2,0.2,0.4,0.07,0,1.3,0.27,-1.7
Auxerre,Reims,2024-10-20,W,H,2,1,1,2,0,1,1,35,24,8,70.8,53.5,14,15,48.3,17,6,35.3,10,58.8,207,1113,569,14,10,28,2,7.1,2,0,0,6,10,4,1,1,1,0,1,0,6,100.0,71.7,9,0.22,0.29,7,77.8,15.5,0,2,1,0,0,46,0,4.0,215,299,71.9,9,16,9,2,22,4024,1770,94,109,86.2,80,105,76.2,31,67,46.3,0,0,0,,0,0,,0,0,0,262,35,11,1,3,14,11,5,2,3,0,2,6,214,10,2,13,7,18,12,1,1,1,2,1,3,2,66.7,440,74,190,150,108,18,439,22,16,12,7,3,8,24,33.3,16,18,8,10,9,31,37,0,2.8,2.0,1.7,0.9,2.0,1.2,-0.8,0.0,0.0,0.22,0,0.3,0.11,-0.7
Auxerre,Lyon,2024-10-27,D,A,2,2,0,2,0,0,0,38,27,5,59.3,45.6,9,10,47.4,19,5,26.3,13,68.4,204,1386,652,13,13,18,0,0.0,4,0,0,15,7,3,0,1,0,2,0,0,7,71.4,52.0,19,0.11,0.4,5,26.3,16.0,0,4,0,1,0,43,0,10.5,261,359,72.7,14,22,9,6,25,5232,2361,115,140,82.1,95,125,76.0,45,75,60.0,1,1,0,0.0,1,0,0.0,0,0,0,310,45,8,0,6,22,22,5,1,4,0,4,6,258,13,1,10,7,36,25,3,1,5,1,1,8,6,87.5,486,71,192,177,120,22,486,21,13,13,7,1,13,19,68.4,6,7,2,5,14,35,25,0,1.5,1.5,-0.6,0.2,1.1,0.6,0.5,0.5,0.9,0.08,0,2.4,0.2,0.4
Auxerre,Rennes,2024-11-03,W,H,4,0,4,3,1,1,0,39,32,10,62.5,45.8,19,22,46.3,23,12,52.2,10,43.5,291,1511,678,11,8,20,1,5.0,0,0,0,11,13,6,5,0,0,0,1,0,7,57.1,53.6,15,0.2,0.43,7,46.7,17.6,0,3,1,0,0,42,0,3.0,282,364,77.5,10,21,8,2,35,5857,2552,113,130,86.9,117,135,86.7,49,85,57.6,0,0,0,,0,0,,0,0,0,322,39,15,2,7,13,13,3,2,0,0,3,1,280,8,7,11,9,26,18,2,4,1,1,0,4,4,100.0,479,63,205,184,97,24,478,22,13,8,8,6,10,22,45.5,12,13,2,11,10,32,21,0,2.8,2.0,1.9,1.1,1.8,0.7,1.2,1.0,0.2,0.13,0,1.2,0.3,1.2
Auxerre,Marseille,2024-11-08,W,A,3,1,2,3,0,0,0,26,22,2,90.9,62.3,9,15,37.5,19,12,63.2,6,31.6,165,1034,587,15,7,22,2,9.1,2,0,0,16,13,6,2,1,2,0,1,0,11,90.9,63.0,10,0.3,0.5,6,60.0,18.0,0,2,0,1,0,40,2,16.3,160,254,63.0,9,12,2,2,17,3320,1600,60,78,76.9,59,72,81.9,31,76,40.8,1,1,0,0.0,1,0,0.0,0,0,0,203,49,19,2,8,10,14,3,0,3,0,2,5,159,7,5,10,12,18,10,5,2,0,1,0,5,4,100.0,377,80,182,134,67,12,377,23,15,13,8,2,12,22,54.5,10,13,6,7,8,31,29,0,1.9,1.9,-0.6,0.1,1.9,0.6,1.1,1.1,1.1,0.19,0,1.7,0.16,0.7
Auxerre,Angers,2024-11-24,W,H,1,0,1,1,0,0,0,48,29,10,27.6,29.7,13,11,54.2,17,6,35.3,11,64.7,417,2210,1209,21,15,11,1,9.1,4,0,0,13,6,2,2,0,0,0,0,0,6,50.0,42.3,10,0.1,0.17,6,60.0,19.4,0,0,0,0,0,56,0,11.0,400,497,80.5,9,28,6,2,40,6915,2457,179,205,87.3,181,207,87.4,32,65,49.2,0,0,0,,0,0,,0,0,0,465,32,8,0,6,17,15,2,2,0,0,0,7,396,15,3,11,3,19,16,1,0,0,0,2,5,5,100.0,598,60,185,303,118,12,598,22,14,10,10,2,14,18,77.8,4,12,2,10,10,32,11,1,0.6,0.6,-0.3,-0.3,0.5,0.4,0.4,0.4,0.5,0.06,0,1.4,0.27,1.4
Auxerre,Toulouse,2024-12-01,L,A,0,2,-2,0,0,0,0,48,30,5,53.3,42.3,15,11,57.7,18,6,33.3,11,61.1,254,1439,601,10,12,16,0,0.0,0,0,0,12,13,0,0,0,0,0,0,0,9,77.8,49.4,4,0.0,,0,0.0,20.0,0,3,0,1,0,59,6,22.1,331,448,73.9,3,22,8,3,39,6063,2375,138,159,86.8,139,168,82.7,42,88,47.7,1,1,0,0.0,1,0,0.0,0,0,0,402,43,16,1,6,11,13,2,0,2,0,3,16,327,12,0,18,5,8,8,0,0,0,0,0,6,4,83.3,552,69,183,288,89,17,552,14,11,5,6,3,8,21,38.1,13,11,4,7,10,24,20,1,0.2,0.2,-2.2,-1.4,0.1,0.3,-0.2,-0.2,-0.1,0.04,0,2.1,0.22,0.1
Auxerre,Paris S-G,2024-12-06,D,H,0,0,0,0,0,0,0,27,24,0,87.5,58.0,10,10,50.0,22,6,27.3,14,63.6,192,1004,443,5,7,25,2,8.0,2,0,0,8,7,0,0,0,0,0,0,0,10,100.0,66.2,6,0.0,0.0,2,33.3,18.7,0,3,0,0,0,47,1,7.8,181,278,65.1,5,18,5,0,26,3287,1747,90,109,82.6,57,77,74.0,25,71,35.2,0,0,0,,0,0,,0,0,0,233,42,11,1,2,10,17,3,1,1,0,3,6,181,7,1,18,15,12,9,1,1,1,0,0,11,11,100.0,419,90,194,137,93,18,419,26,16,17,6,3,16,33,48.5,17,14,4,10,9,35,37,0,0.3,0.3,-2.2,-2.2,0.2,0.5,-0.3,-0.3,-0.2,0.04,0,2.3,0.22,2.3
Auxerre,Lens,2024-12-14,D,H,2,2,0,2,0,0,0,40,23,5,47.8,38.2,14,13,51.9,21,9,42.9,11,52.4,319,1350,650,10,12,16,0,0.0,3,0,0,10,10,4,3,0,0,0,1,0,7,100.0,67.3,10,0.2,0.67,3,30.0,19.5,1,0,0,0,0,44,0,12.7,310,414,74.9,7,29,5,2,36,5867,2462,126,155,81.3,130,158,82.3,45,79,57.0,0,0,0,,0,0,,0,0,0,366,48,14,1,1,21,21,3,1,2,0,0,7,308,12,1,14,13,19,14,1,2,1,1,0,5,3,60.0,541,63,209,225,114,16,541,25,12,13,7,5,10,15,66.7,5,13,6,7,19,44,27,1,0.6,0.6,-1.0,-1.0,0.4,0.6,1.4,1.4,0.6,0.06,1,1.9,0.37,-0.1
Auxerre,Strasbourg,2025-01-05,L,A,1,3,-2,1,0,0,0,40,21,4,23.8,31.3,7,7,50.0,13,4,30.8,6,46.2,276,1169,521,11,8,14,1,7.1,2,0,0,13,10,2,2,0,0,0,0,0,6,66.7,50.0,14,0.07,0.14,7,50.0,17.3,1,0,0,1,0,44,3,15.0,297,382,77.7,8,24,5,1,34,5727,2304,106,122,86.9,143,163,87.7,40,75,53.3,1,1,0,0.0,1,0,0.0,0,0,0,345,37,10,2,3,19,14,3,2,1,0,0,5,296,8,2,13,14,26,19,2,1,2,1,1,4,1,50.0,493,59,180,225,91,16,493,19,9,8,8,3,10,22,45.5,12,7,3,4,8,27,26,1,1.4,1.4,-1.5,-0.7,1.0,0.5,-0.4,-0.4,-1.0,0.1,1,2.6,0.45,-0.4
Auxerre,Lille,2025-01-10,D,H,0,0,0,0,0,0,0,30,25,1,64.0,47.9,10,16,38.5,24,12,50.0,12,50.0,190,1081,591,9,10,24,2,8.3,0,1,0,7,7,0,0,0,0,0,0,0,6,100.0,60.7,13,0.0,0.0,3,23.1,19.8,0,0,0,1,0,46,0,9.3,185,285,64.9,8,10,2,1,13,3819,1741,77,105,73.3,75,103,72.8,33,74,44.6,1,0,1,100.0,0,1,100.0,0,0,0,242,43,9,0,4,15,21,6,3,2,0,0,6,185,10,6,19,14,21,12,3,1,2,0,3,5,4,100.0,443,85,198,154,102,16,443,20,11,9,7,4,9,16,56.3,7,19,6,13,15,35,37,0,0.8,0.8,-0.7,0.1,0.4,0.3,-0.8,-0.8,-0.4,0.06,0,0.9,0.05,0.9
Auxerre,Angers,2025-01-19,L,A,0,2,-2,0,0,0,0,52,35,7,28.6,29.4,8,14,36.4,24,9,37.5,11,45.8,461,2135,1081,16,12,19,1,5.3,1,1,0,10,9,0,0,0,0,0,0,0,7,42.9,36.1,10,0.0,0.0,4,40.0,18.7,1,1,0,0,1,39,3,18.1,471,549,85.8,6,27,4,2,31,8043,2520,200,215,93.0,205,226,90.7,48,71,67.6,0,0,0,,0,0,,0,0,1,500,48,12,1,1,12,24,2,0,2,0,1,12,465,12,8,5,16,17,13,0,1,1,1,1,4,3,50.0,660,65,234,318,115,18,660,22,10,7,10,5,11,21,52.4,10,12,4,8,13,35,23,2,0.7,0.7,-0.2,-0.2,0.4,0.4,-0.7,-0.7,-0.4,0.07,1,1.1,0.26,0.1
Auxerre,Saint-Étienne,2025-01-24,D,H,1,1,0,1,0,0,0,37,26,4,50.0,41.6,15,7,68.2,17,9,52.9,8,47.1,204,1179,663,19,9,7,2,28.6,2,0,0,15,12,2,1,1,0,0,0,0,4,100.0,64.3,11,0.09,0.2,5,45.5,15.9,0,0,0,0,0,50,4,20.4,286,385,74.3,10,23,10,1,35,5485,2319,126,139,90.6,106,131,80.9,46,85,54.1,0,0,0,,0,0,,0,0,0,342,43,16,0,12,11,18,3,0,1,0,0,11,285,9,8,18,10,20,18,2,0,0,0,0,3,2,66.7,527,48,170,244,120,28,527,26,11,14,9,3,9,12,75.0,3,14,3,11,14,40,32,1,0.8,0.8,-0.3,-0.3,0.8,0.6,0.2,0.2,0.2,0.08,0,1.0,0.43,0.0
Auxerre,Monaco,2025-02-01,L,A,2,4,-2,1,1,1,0,43,21,6,52.4,42.6,8,10,44.4,21,3,14.3,14,66.7,324,1573,720,12,6,9,1,11.1,2,0,0,15,17,4,2,0,0,1,1,0,6,66.7,43.0,11,0.09,0.17,6,54.5,17.9,0,5,1,0,0,49,8,19.3,318,413,77.0,8,16,5,2,34,5391,2266,165,184,89.7,106,133,79.7,34,62,54.8,0,0,0,,0,0,,0,1,0,355,53,17,2,8,13,21,4,2,1,0,5,13,318,6,5,12,14,23,15,2,0,5,1,0,6,2,33.3,549,51,236,234,85,15,548,22,15,14,8,0,10,15,66.7,5,17,1,16,13,35,30,0,1.2,0.7,-1.4,-2.0,0.6,0.6,0.8,0.3,0.4,0.06,0,4.1,0.68,0.1
Auxerre,Toulouse,2025-02-09,D,H,2,2,0,2,0,0,0,53,28,4,78.6,53.8,11,13,45.8,18,8,44.4,10,55.6,242,971,434,11,6,13,0,0.0,1,0,0,11,9,3,2,1,0,0,0,0,7,57.1,45.1,9,0.22,0.67,3,33.3,15.5,0,0,0,0,0,43,0,14.0,386,489,78.9,7,24,3,1,40,7267,2397,159,182,87.4,169,195,86.7,48,88,54.5,0,0,0,,0,0,,0,1,0,436,53,12,1,9,15,28,3,1,1,0,0,6,385,6,7,19,13,15,11,1,2,1,0,0,3,1,33.3,605,55,209,291,109,14,605,19,12,10,6,3,6,10,60.0,4,14,2,12,10,29,25,0,0.9,0.9,0.0,0.0,0.9,0.5,1.1,1.1,1.1,0.1,0,1.3,0.42,-0.7
Auxerre,Brest,2025-02-14,D,A,2,2,0,2,0,0,0,36,27,5,51.9,44.5,23,20,53.5,12,5,41.7,7,58.3,207,986,577,12,8,25,0,0.0,2,0,0,12,8,4,4,0,0,0,0,0,11,90.9,60.4,11,0.18,0.33,6,54.5,17.9,1,1,0,0,0,47,2,18.5,246,342,71.9,7,24,8,0,26,4935,2157,86,101,85.1,121,154,78.6,34,72,47.2,0,0,0,,0,0,,0,0,0,300,41,10,1,2,10,13,4,1,3,0,1,3,245,8,2,18,13,20,16,0,1,0,1,2,6,4,66.7,476,73,186,192,100,16,476,22,16,5,16,1,9,14,64.3,5,13,5,8,10,32,41,1,1.2,1.2,-1.0,-1.0,0.9,0.9,0.8,0.8,0.1,0.11,1,2.0,0.34,0.0
Auxerre,Marseille,2025-02-22,W,H,3,0,3,2,1,1,0,21,25,4,72.0,51.6,9,10,47.4,18,7,38.9,9,50.0,149,894,454,12,5,12,2,16.7,1,0,0,9,11,6,4,1,0,0,1,0,8,100.0,70.5,8,0.25,0.5,4,50.0,14.8,0,2,1,0,0,57,2,15.8,140,223,62.8,6,13,2,0,12,3011,1395,52,70,74.3,62,78,79.5,26,69,37.7,0,0,0,,0,0,,0,0,0,190,31,13,2,0,13,7,2,0,2,0,2,4,138,5,5,13,4,17,11,3,0,1,1,1,2,2,100.0,345,66,204,91,56,15,344,26,15,20,4,2,13,18,72.2,5,5,2,3,7,33,35,0,2.0,1.2,1.3,0.5,0.8,0.7,1.0,0.8,1.2,0.15,0,0.2,0.11,0.2
Auxerre,Strasbourg,2025-03-02,L,H,0,1,-1,0,0,0,0,45,29,3,58.6,46.1,15,9,62.5,18,3,16.7,13,72.2,377,1495,756,22,14,8,1,12.5,1,0,0,10,9,0,0,0,0,0,0,0,2,100.0,63.5,14,0.0,0.0,5,35.7,13.4,0,2,0,0,0,50,0,10.0,369,466,79.2,10,39,9,2,36,6895,2468,173,193,89.6,147,168,87.5,44,79,55.7,0,0,0,,0,0,,0,0,0,427,37,12,4,9,26,16,5,1,4,0,2,17,365,14,12,18,6,24,16,2,2,3,1,0,3,2,66.7,575,44,156,241,183,33,575,19,13,6,5,8,11,26,42.3,15,10,2,8,8,27,25,0,2.2,2.2,0.9,0.9,2.0,1.6,-2.2,-2.2,-2.0,0.16,0,1.4,0.46,0.4
Auxerre,Reims,2025-03-09,W,A,2,0,2,2,0,0,0,43,26,3,61.5,45.9,17,8,68.0,26,8,30.8,15,57.7,248,1387,745,18,8,14,0,0.0,1,0,0,13,9,3,1,1,0,1,0,0,12,91.7,64.1,13,0.15,0.22,9,69.2,14.3,0,1,0,0,0,35,0,13.0,279,361,77.3,12,24,7,0,33,5765,2091,86,100,86.0,151,169,89.3,39,80,48.8,0,0,0,,0,0,,0,0,0,309,51,11,1,4,17,15,12,5,5,0,1,4,279,8,6,11,13,21,11,7,0,2,1,0,4,4,100.0,496,56,184,201,115,25,496,27,14,18,6,3,13,21,61.9,8,13,8,5,11,38,33,0,2.1,2.1,0.7,0.7,1.3,0.7,-0.1,-0.1,-0.3,0.17,0,1.8,0.46,1.8
