Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Brest,Marseille,2024-08-17,L,H,1,5,-4,1,0,1,1,50,30,2,13.3,28.1,6,7,46.2,19,5,26.3,13,68.4,385,1914,934,20,15,1,0,0.0,4,0,0,12,8,2,2,0,0,0,0,0,3,0.0,25.3,9,0.11,0.17,6,66.7,21.1,0,2,1,2,0,45,2,20.7,442,534,82.8,6,40,3,1,33,8470,2693,178,204,87.3,213,248,85.9,51,72,70.8,2,2,0,0.0,2,0,0.0,0,0,0,494,38,7,0,3,20,17,5,2,3,0,2,11,440,15,6,13,5,13,10,1,0,0,1,1,5,0,40.0,636,39,153,319,170,16,635,28,18,5,15,8,15,23,65.2,8,14,1,13,9,37,3,0,1.3,0.5,-1.1,-0.3,0.3,0.3,-0.3,0.5,0.7,0.06,0,3.0,0.24,-2.0
Brest,Lens,2024-08-25,L,A,0,2,-2,0,0,0,0,48,50,6,50.0,38.2,15,23,39.5,20,9,45.0,11,55.0,304,1491,635,14,13,18,1,5.6,3,0,0,7,10,0,0,0,0,0,0,0,7,71.4,47.9,11,0.0,0.0,2,18.2,15.2,0,1,0,0,1,42,0,8.0,388,494,78.5,9,25,12,5,33,7071,2786,174,203,85.7,148,169,87.6,50,94,53.2,0,0,0,,0,0,,0,0,1,455,38,16,0,0,16,10,2,1,0,0,1,6,383,13,2,13,5,22,20,1,1,0,0,0,9,8,77.8,611,99,244,271,102,17,611,12,7,5,5,2,6,14,42.9,8,11,5,6,19,31,24,0,0.9,0.9,-2.1,-2.1,0.8,0.9,-0.9,-0.9,-0.8,0.08,0,1.8,0.2,0.8
Brest,Saint-Étienne,2024-08-31,W,H,4,0,4,2,2,2,0,47,27,3,59.3,43.0,23,16,59.0,14,3,21.4,10,71.4,206,1090,552,9,5,12,2,16.7,0,0,0,12,25,5,2,0,0,2,1,0,7,100.0,66.6,20,0.1,0.33,6,30.0,15.9,1,2,1,0,0,37,0,10.0,269,372,72.3,15,20,10,3,26,5503,2466,124,155,80.0,95,126,75.4,46,82,56.1,0,0,0,,0,0,,0,0,0,305,65,29,0,2,24,21,7,2,4,0,2,8,266,5,3,14,8,39,20,8,2,4,4,1,0,0,,485,46,164,190,136,35,483,23,18,11,8,4,13,19,68.4,6,6,2,4,8,31,19,0,3.1,1.5,2.9,1.4,0.6,1.9,0.9,0.5,-0.6,0.08,1,0.0,,0.0
Brest,Paris S-G,2024-09-14,L,A,1,3,-2,0,1,1,0,33,18,0,77.8,47.6,9,5,64.3,12,6,50.0,6,50.0,160,882,370,7,5,14,1,7.1,3,0,0,13,7,2,1,0,0,0,1,0,8,100.0,63.4,4,0.0,0.0,2,50.0,26.5,0,1,1,0,0,55,0,3.5,266,355,74.9,4,22,2,1,18,5019,2252,124,140,88.6,101,127,79.5,33,67,49.3,0,0,0,,0,0,,0,0,0,321,33,9,0,3,10,11,1,0,1,0,1,10,264,5,2,13,8,8,3,2,0,0,2,1,9,6,66.7,474,81,199,197,80,8,473,28,16,14,9,5,22,30,73.3,8,17,6,11,8,36,30,0,1.0,0.2,-1.8,-2.6,0.2,0.3,0.0,-0.2,-0.2,0.05,0,2.9,0.32,-0.1
Brest,Toulouse,2024-09-22,W,H,2,0,2,2,0,0,0,43,20,1,85.0,52.1,16,20,44.4,28,11,39.3,15,53.6,152,886,371,11,5,20,0,0.0,1,0,0,15,17,4,4,0,0,0,0,0,16,93.8,63.8,8,0.25,0.4,5,62.5,18.6,0,0,0,1,0,43,0,11.0,288,399,72.2,7,21,3,1,27,5012,2136,138,167,82.6,125,148,84.5,21,73,28.8,1,0,0,,0,0,,0,0,0,343,56,17,0,0,18,18,4,3,0,0,0,7,284,5,4,11,7,15,9,2,1,0,2,1,1,1,100.0,512,71,175,236,103,11,512,12,8,4,8,0,4,8,50.0,4,7,1,6,13,25,35,0,0.5,0.5,-2.3,-1.5,0.4,0.3,1.5,1.5,1.6,0.06,0,0.1,0.06,0.1
Brest,Auxerre,2024-09-27,L,A,0,3,-3,0,0,0,0,61,27,4,37.0,33.4,23,16,59.0,19,7,36.8,11,57.9,447,2401,1107,15,11,17,0,0.0,0,0,0,16,11,0,0,0,0,0,0,0,9,33.3,35.4,8,0.0,0.0,4,50.0,14.8,0,1,0,1,0,41,0,10.7,443,550,80.5,7,22,3,1,27,8313,3004,181,208,87.0,197,227,86.8,55,90,61.1,1,1,0,0.0,1,0,0.0,0,0,0,495,54,15,0,9,15,23,3,2,1,0,1,8,441,11,5,13,8,12,7,2,1,0,1,1,4,1,50.0,653,70,252,308,100,12,653,13,10,4,7,2,5,11,45.5,6,15,5,10,9,22,21,1,0.8,0.8,-1.7,-1.0,0.8,0.8,-0.8,-0.8,-0.8,0.1,0,1.4,0.13,-1.6
Brest,Le Havre,2024-10-06,W,H,2,0,2,2,0,0,0,53,24,4,33.3,33.4,18,16,52.9,24,8,33.3,14,58.3,248,1375,800,11,7,25,2,8.0,4,1,1,19,11,2,2,0,0,0,0,0,8,50.0,43.6,8,0.25,0.67,3,37.5,16.9,0,2,0,0,0,46,0,5.5,367,476,77.1,7,24,7,2,34,6752,2334,142,162,87.7,185,218,84.9,34,78,43.6,0,0,0,,0,0,,0,0,0,430,44,13,3,3,14,21,1,1,0,0,2,7,363,7,2,13,7,13,8,1,1,1,1,1,0,0,,609,78,232,282,100,15,609,15,9,4,7,4,5,9,55.6,4,16,5,11,12,27,40,0,0.7,0.7,-0.3,-0.3,0.7,0.6,1.3,1.3,1.3,0.09,0,0.0,,0.0
Brest,Rennes,2024-10-19,D,H,1,1,0,0,1,1,0,56,29,3,69.0,47.0,22,13,62.9,13,5,38.5,5,38.5,263,1376,631,7,11,8,0,0.0,2,0,0,18,12,1,0,0,0,1,0,0,6,66.7,49.2,11,0.0,0.0,1,9.1,21.1,0,2,0,0,0,45,5,29.0,385,504,76.4,9,19,5,2,25,7655,2701,152,184,82.6,176,208,84.6,57,99,57.6,0,0,0,,0,0,,0,0,0,453,49,16,1,6,15,23,2,0,2,0,2,13,383,11,1,13,6,19,13,3,0,1,1,1,4,3,75.0,593,54,200,270,126,15,592,23,13,8,10,5,11,18,61.1,7,6,0,6,7,30,11,0,1.5,0.7,0.3,-0.5,0.7,0.7,-0.5,-0.7,-0.7,0.06,0,1.7,0.42,0.7
Brest,Reims,2024-10-26,W,A,2,1,1,1,1,1,0,47,37,5,54.1,39.9,14,17,45.2,12,4,33.3,8,66.7,311,1429,607,9,8,26,1,3.8,2,0,0,11,12,3,2,0,0,1,0,0,10,80.0,52.5,12,0.08,0.33,3,25.0,21.1,1,1,0,0,0,43,1,11.5,319,410,77.8,9,16,4,1,21,5946,2346,141,161,87.6,105,126,83.3,53,86,61.6,0,0,0,,0,0,,0,1,0,364,45,16,0,4,13,14,3,1,2,0,1,7,317,8,3,17,7,24,18,1,0,3,1,1,3,2,66.7,531,88,230,197,106,19,530,18,9,11,5,2,10,23,43.5,13,8,2,6,8,26,37,0,1.5,0.7,0.7,0.0,0.6,0.5,0.5,0.3,0.4,0.06,1,0.3,0.1,-0.7
Brest,Nice,2024-11-02,L,H,0,1,-1,0,0,0,0,63,33,3,39.4,37.5,15,18,45.5,17,7,41.2,10,58.8,381,2163,1174,21,24,6,0,0.0,0,0,0,9,4,0,0,0,0,0,0,0,8,25.0,30.5,16,0.0,0.0,6,37.5,17.1,0,1,0,0,0,52,4,21.0,531,639,83.1,13,42,13,0,42,9997,3173,203,223,91.0,256,290,88.3,64,103,62.1,0,0,0,,0,0,,0,0,0,595,43,8,0,4,25,19,6,3,2,0,1,12,529,24,1,16,10,27,21,3,0,3,0,0,3,2,66.7,754,61,232,322,206,26,754,27,20,10,12,5,15,25,60.0,10,10,1,9,12,39,6,0,1.0,1.0,-0.4,-0.4,0.8,0.8,-1.0,-1.0,-0.8,0.06,0,0.9,0.31,-0.1
