Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Paris S-G,Le Havre,2024-08-16,W,A,4,1,3,1,0,3,76,1,fr Ligue 1,24,5,20.8,27.7,10,5,66.7,15,4,26.7,10,66.7,678,3200,1550,25,22,5,1,20.0,0,0,0,9,9,8,7,0,0,0,1,0,4,50.0,36.0,14,0.21,0.38,8,57.1,15.2,0,1,1,0,0,38,1,16.0,798,866,92.1,12,62,7,1,64,13370,3735,368,389,94.6,352,368,95.7,61,76,80.3,0,0,0,,0,0,,0,0,0,819,46,11,2,5,15,21,8,0,3,0,1,13,796,22,10,13,15,24,19,2,1,1,1,0,2,1,50.0,967,50,220,533,221,25,966,17,12,3,12,2,8,12,66.7,4,9,2,7,4,21,9,0,2.9,2.1,2.7,1.9,2.0,1.1,1.1,0.9,1.0,0.15,0,0.2,0.09,-0.8
Le Havre,Paris S-G,2024-08-16,L,H,1,4,-3,0,0,1,24,0,fr Ligue 1,20,1,35.0,31.0,5,10,33.3,13,4,30.8,8,61.5,196,1007,517,10,3,11,0,0.0,3,0,0,11,9,2,0,1,0,0,1,0,6,66.7,50.5,5,0.2,0.5,2,40.0,19.1,0,1,0,1,0,42,1,14.5,205,277,74.0,4,14,2,1,18,3738,1625,87,107,81.3,84,94,89.4,26,49,53.1,1,1,0,0.0,1,0,0.0,0,0,0,240,36,10,0,2,10,13,2,2,0,0,1,9,205,3,2,14,9,9,5,1,1,1,1,0,9,5,66.7,378,51,154,168,60,10,378,25,15,15,10,0,10,14,71.4,4,12,2,10,9,34,14,0,0.2,0.2,-2.7,-1.9,0.2,0.3,0.8,0.8,0.8,0.04,0,4.5,0.43,0.5
Reims,Lille,2024-08-17,L,H,0,2,-2,0,0,0,32,0,fr Ligue 1,28,6,35.7,39.1,9,13,40.9,23,11,47.8,11,47.8,206,1498,673,11,9,13,1,7.7,2,1,0,6,15,0,0,0,0,0,0,0,9,88.9,59.6,2,0.0,,0,0.0,26.6,0,0,0,0,0,37,1,15.0,226,311,72.7,1,13,5,0,27,4632,1858,84,96,87.5,97,117,82.9,41,79,51.9,0,0,0,,0,0,,0,1,0,268,43,17,1,1,8,14,0,0,0,0,0,11,224,9,2,14,7,3,2,0,0,0,0,1,6,4,66.7,416,82,205,151,68,10,416,25,16,13,8,4,15,22,68.2,7,12,9,3,10,35,17,1,0.1,0.1,-2.0,-2.0,0.1,0.2,-0.1,-0.1,-0.1,0.04,0,2.2,0.37,0.2
Marseille,Brest,2024-08-17,W,A,5,1,4,2,0,3,50,2,fr Ligue 1,43,6,14.0,22.7,7,6,53.8,25,8,32.0,15,60.0,420,1618,793,13,5,15,0,0.0,1,0,0,8,12,10,8,0,0,0,2,0,5,20.0,22.2,5,0.6,1.0,3,60.0,20.2,0,0,2,1,0,43,0,10.0,467,540,86.5,4,17,1,0,15,7221,2490,255,267,95.5,179,200,89.5,21,44,47.7,1,0,1,100.0,0,1,100.0,0,0,0,501,39,12,0,3,1,20,0,0,0,0,0,13,464,5,8,16,13,14,12,0,0,0,2,0,7,5,85.7,658,89,345,270,49,14,656,18,12,12,6,0,13,18,72.2,5,11,1,10,11,29,20,1,2.4,0.8,1.1,0.3,0.5,0.5,2.6,2.2,1.5,0.16,0,1.7,0.15,0.7
Lille,Reims,2024-08-17,W,A,2,0,2,0,0,2,68,0,fr Ligue 1,23,5,8.7,20.7,13,9,59.1,23,7,30.4,15,65.2,497,2748,1707,30,22,6,1,16.7,2,0,0,15,6,2,0,0,0,2,0,0,3,0.0,10.0,22,0.09,0.33,6,27.3,15.8,1,2,0,0,0,54,1,14.5,596,670,89.0,12,59,9,3,72,10201,2938,274,300,91.3,268,289,92.7,43,57,75.4,0,0,0,,0,0,,0,0,0,640,28,5,0,3,19,11,8,3,1,0,2,5,593,22,7,14,10,34,25,2,1,4,2,0,0,0,,790,50,152,379,263,36,790,18,9,2,11,5,11,22,50.0,11,11,1,10,7,25,13,0,2.1,2.1,2.0,2.0,1.1,1.3,-0.1,-0.1,-1.1,0.1,1,0.0,,0.0
Saint-Étienne,Monaco,2024-08-17,L,A,0,1,-1,0,0,0,39,0,fr Ligue 1,29,9,41.4,37.0,11,15,42.3,20,9,45.0,9,45.0,262,1342,694,14,15,9,0,0.0,1,0,0,14,13,0,0,0,0,0,0,0,9,66.7,41.1,11,0.0,0.0,4,36.4,19.8,0,3,0,0,0,46,2,14.8,234,331,70.7,7,14,1,0,20,4235,1820,111,126,88.1,88,126,69.8,31,63,49.2,0,0,0,,0,0,,0,0,0,277,51,15,0,3,10,21,4,1,3,0,3,2,234,15,6,17,10,17,9,2,1,2,2,1,6,5,83.3,446,74,200,184,67,10,446,22,15,13,7,2,14,21,66.7,7,13,7,6,13,35,19,0,0.4,0.4,-1.5,-1.5,0.2,0.2,-0.4,-0.4,-0.2,0.04,0,0.8,0.14,-0.2
Monaco,Saint-Étienne,2024-08-17,W,H,1,0,1,0,0,1,61,0,fr Ligue 1,18,5,5.6,23.1,15,11,57.7,23,7,30.4,14,60.9,414,2333,1227,18,16,9,1,11.1,1,0,0,13,13,2,2,0,0,0,0,0,6,33.3,33.0,17,0.06,0.17,6,35.3,16.1,0,2,0,0,0,57,1,12.0,440,526,83.7,15,45,11,2,47,7126,2802,218,249,87.6,177,194,91.2,27,51,52.9,0,0,0,,0,0,,0,0,0,471,53,17,8,1,12,24,5,2,1,0,2,8,436,16,9,29,8,33,27,3,2,1,0,0,4,4,100.0,658,42,143,340,180,40,658,19,15,9,6,4,9,18,50.0,9,4,2,2,6,25,11,1,2.0,2.0,1.5,1.5,1.9,1.8,-1.0,-1.0,-0.9,0.12,0,0.5,0.12,0.5
Brest,Marseille,2024-08-17,L,H,1,5,-4,0,1,1,50,1,fr Ligue 1,30,2,13.3,28.1,6,7,46.2,19,5,26.3,13,68.4,385,1914,934,20,15,1,0,0.0,4,0,0,12,8,2,2,0,0,0,0,0,3,0.0,25.3,9,0.11,0.17,6,66.7,21.1,0,2,1,2,0,45,2,20.7,442,534,82.8,6,40,3,1,33,8470,2693,178,204,87.3,213,248,85.9,51,72,70.8,2,2,0,0.0,2,0,0.0,0,0,0,494,38,7,0,3,20,17,5,2,3,0,2,11,440,15,6,13,5,13,10,1,0,0,1,1,5,0,40.0,636,39,153,319,170,16,635,28,18,5,15,8,15,23,65.2,8,14,1,13,9,37,3,0,1.3,0.5,-1.1,-0.3,0.3,0.3,-0.3,0.5,0.7,0.06,0,3.0,0.24,-2.0
Nantes,Toulouse,2024-08-18,D,A,0,0,0,0,0,0,46,0,fr Ligue 1,25,6,56.0,43.2,10,22,31.3,15,7,46.7,8,53.3,344,1861,788,15,13,20,2,10.0,3,0,0,11,14,0,0,0,0,0,0,0,7,85.7,56.7,10,0.0,0.0,2,20.0,15.5,0,0,0,0,0,40,0,4.6,374,461,81.1,8,25,5,3,27,6963,2113,148,160,92.5,181,204,88.7,40,83,48.2,0,0,0,,0,0,,0,0,0,419,42,14,0,1,22,15,5,2,3,0,0,4,372,13,4,16,12,18,13,2,1,1,1,0,6,6,100.0,575,73,176,255,151,17,575,18,11,11,5,2,7,12,58.3,5,10,3,7,5,23,33,0,0.5,0.5,-1.2,-1.2,0.4,0.4,-0.5,-0.5,-0.4,0.05,0,1.3,0.22,1.3
Lens,Angers,2024-08-18,W,A,1,0,1,0,0,1,58,0,fr Ligue 1,27,4,25.9,33.0,13,15,46.4,19,8,42.1,9,47.4,387,1803,893,14,15,21,1,4.8,0,0,0,14,10,2,2,0,0,0,0,0,6,50.0,37.3,10,0.1,0.25,4,40.0,16.2,0,3,0,0,0,37,0,6.7,437,548,79.7,9,31,6,4,37,6679,2542,242,274,88.3,143,175,81.7,34,62,54.8,0,0,0,,0,0,,0,0,0,494,51,16,2,6,15,25,3,3,0,0,3,12,433,15,1,21,12,18,16,0,2,0,0,0,3,3,100.0,687,56,227,318,148,12,687,30,14,13,14,3,15,23,65.2,8,10,3,7,11,41,25,0,1.2,1.2,0.8,0.8,0.9,0.9,-0.2,-0.2,0.1,0.12,0,0.5,0.16,0.5
