Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Le Havre,Paris S-G,2024-08-16,L,H,1,4,-3,1,0,0,0,24,20,1,35.0,31.0,5,10,33.3,13,4,30.8,8,61.5,196,1007,517,10,3,11,0,0.0,3,0,0,11,9,2,0,1,0,0,1,0,6,66.7,50.5,5,0.2,0.5,2,40.0,19.1,0,1,0,1,0,42,1,14.5,205,277,74.0,4,14,2,1,18,3738,1625,87,107,81.3,84,94,89.4,26,49,53.1,1,1,0,0.0,1,0,0.0,0,0,0,240,36,10,0,2,10,13,2,2,0,0,1,9,205,3,2,14,9,9,5,1,1,1,1,0,9,5,66.7,378,51,154,168,60,10,378,25,15,15,10,0,10,14,71.4,4,12,2,10,9,34,14,0,0.2,0.2,-2.7,-1.9,0.2,0.3,0.8,0.8,0.8,0.04,0,4.5,0.43,0.5
Le Havre,Saint-Étienne,2024-08-24,W,A,2,0,2,1,1,1,0,41,20,5,50.0,41.2,11,15,42.3,21,11,52.4,6,28.6,239,1370,695,15,12,10,1,10.0,3,0,0,10,12,3,1,1,0,0,1,0,8,50.0,39.8,13,0.08,0.25,4,30.8,20.4,0,3,1,0,0,38,0,9.0,262,348,75.3,8,21,7,3,37,4633,1922,120,141,85.1,107,127,84.3,26,59,44.1,0,0,0,,0,0,,0,0,0,301,44,13,1,1,19,18,4,3,1,0,3,5,260,12,5,17,1,24,11,4,2,2,3,2,5,5,100.0,463,50,147,201,121,16,462,17,13,5,9,3,9,20,45.0,11,10,5,5,10,27,21,0,2.4,1.6,1.3,0.5,1.4,1.0,-0.4,-0.6,-0.4,0.12,0,0.8,0.17,0.8
Le Havre,Auxerre,2024-09-01,W,H,3,1,2,1,1,1,0,50,19,6,10.5,24.2,17,8,68.0,13,8,61.5,5,38.5,345,1747,999,17,11,14,2,14.3,1,0,0,10,16,4,3,0,0,0,1,0,6,16.7,32.5,21,0.05,0.14,7,33.3,19.8,1,4,1,0,0,39,0,8.0,396,483,82.0,16,32,11,4,48,6718,2357,192,217,88.5,166,186,89.2,30,59,50.8,0,0,0,,0,0,,1,0,0,440,39,13,5,1,18,16,2,1,1,0,4,3,393,11,3,6,8,40,27,4,1,1,6,1,3,2,66.7,573,45,169,243,165,28,572,14,11,6,5,3,4,7,57.1,3,7,3,4,6,20,19,0,2.8,2.0,2.2,1.4,1.3,1.4,-0.8,-1.0,-0.3,0.09,1,0.7,0.22,-0.3
Le Havre,Toulouse,2024-09-15,L,A,0,2,-2,0,0,0,0,46,35,10,11.4,23.8,15,15,50.0,16,7,43.8,6,37.5,335,1895,862,19,9,15,1,6.7,1,0,0,11,10,0,0,0,0,0,0,0,7,0.0,13.1,5,0.0,0.0,3,60.0,29.0,0,0,0,0,0,58,1,10.2,378,478,79.1,3,26,4,1,39,6430,2538,162,180,90.0,198,238,83.2,16,46,34.8,0,0,0,,0,0,,0,0,0,438,40,9,0,0,14,16,5,0,4,0,0,10,375,9,3,28,13,9,6,0,2,0,0,1,6,4,66.7,603,75,264,249,98,9,603,20,14,10,7,3,5,16,31.3,11,13,4,9,13,33,27,1,0.2,0.2,-1.1,-1.1,0.2,0.2,-0.2,-0.2,-0.2,0.04,0,2.0,0.34,0.0
Le Havre,Monaco,2024-09-22,L,A,1,3,-2,1,0,0,0,39,18,4,44.4,39.3,9,17,34.6,14,7,50.0,7,50.0,224,1151,644,17,4,15,1,6.7,3,0,0,17,9,2,2,0,0,0,0,0,6,33.3,34.7,8,0.13,1.0,1,12.5,19.3,0,3,0,0,0,40,0,4.0,250,343,72.9,7,22,6,2,25,4351,1755,125,149,83.9,86,115,74.8,31,60,51.7,0,0,0,,0,0,,0,0,0,290,50,15,0,6,13,21,4,1,1,0,3,6,246,4,6,13,14,14,13,0,1,0,0,0,4,1,25.0,439,51,163,190,91,17,439,11,6,7,3,1,7,15,46.7,8,12,4,8,14,25,29,0,0.6,0.6,-1.4,-1.4,0.5,0.5,0.4,0.4,0.5,0.07,0,2.3,0.58,-0.7
Le Havre,Lille,2024-09-28,L,H,0,3,-3,0,0,0,0,38,26,7,23.1,30.3,14,10,58.3,22,10,45.5,9,40.9,288,1608,880,12,8,11,0,0.0,2,0,0,11,8,0,0,0,0,0,0,0,4,50.0,44.5,7,0.0,0.0,4,57.1,19.1,0,1,0,1,0,37,0,12.0,332,414,80.2,6,25,5,1,33,6133,1964,127,150,84.7,178,196,90.8,24,53,45.3,1,0,1,100.0,0,1,100.0,0,0,0,380,33,12,2,0,11,12,1,1,0,0,1,6,331,8,2,12,9,13,6,3,3,0,1,0,10,6,70.0,514,64,167,257,99,10,514,17,11,9,6,2,8,21,38.1,13,12,4,8,11,28,20,0,0.4,0.4,-2.7,-2.4,0.4,0.6,-0.4,-0.4,-0.4,0.06,0,4.8,0.45,1.8
Le Havre,Brest,2024-10-06,L,A,0,2,-2,0,0,0,0,47,23,5,39.1,32.6,16,18,47.1,11,4,36.4,5,45.5,264,1183,582,9,12,11,1,9.1,0,1,0,11,16,0,0,0,0,0,0,0,8,12.5,22.0,14,0.0,,0,0.0,17.3,1,2,0,0,0,45,0,11.5,290,415,69.9,12,26,10,5,37,5344,2282,122,155,78.7,125,154,81.2,36,76,47.4,0,0,0,,0,0,,0,0,0,350,63,20,0,1,35,23,9,6,3,0,2,15,286,12,3,21,10,22,15,2,1,2,2,0,3,1,33.3,526,52,163,206,162,28,526,21,11,7,9,5,14,22,63.6,8,10,3,7,9,30,11,0,1.0,1.0,0.3,0.3,1.0,1.4,-1.0,-1.0,-1.0,0.08,1,1.2,0.39,-0.8
Le Havre,Lyon,2024-10-20,L,H,0,4,-4,0,0,0,0,39,19,3,42.1,37.5,8,11,42.1,14,6,42.9,7,50.0,185,1093,613,16,9,8,0,0.0,3,0,0,17,11,0,0,0,0,0,0,0,6,50.0,38.8,7,0.0,0.0,1,14.3,20.0,1,3,0,0,0,34,0,8.3,260,344,75.6,3,25,6,3,30,4984,1817,114,132,86.4,103,124,83.1,37,68,54.4,0,0,0,,0,0,,0,0,0,300,41,11,1,5,20,15,4,1,1,0,3,6,254,9,0,10,4,13,9,2,0,0,2,0,8,4,50.0,450,55,160,183,112,10,450,17,8,11,3,3,5,15,33.3,10,9,4,5,7,24,28,0,0.4,0.4,-2.3,-2.3,0.2,0.2,-0.4,-0.4,-0.2,0.06,1,2.9,0.37,-1.1
Le Havre,Rennes,2024-10-25,L,A,0,1,-1,0,0,0,0,40,23,1,52.2,40.9,13,11,54.2,15,7,46.7,6,40.0,262,1432,721,18,11,26,1,3.8,4,1,1,7,10,0,0,0,0,0,0,0,8,50.0,32.9,5,0.0,0.0,1,20.0,15.9,0,2,0,0,0,49,3,23.0,309,395,78.2,4,15,4,2,23,5337,1840,147,170,86.5,134,152,88.2,26,54,48.1,0,0,0,,0,0,,0,0,0,352,41,10,2,5,10,21,0,0,0,0,2,11,307,11,4,19,8,8,4,1,1,0,1,1,4,3,75.0,533,87,263,185,91,10,533,19,11,15,3,1,15,22,68.2,7,13,8,5,13,32,44,1,0.4,0.4,-1.1,-1.1,0.4,0.5,-0.4,-0.4,-0.4,0.09,0,2.0,0.51,1.0
Le Havre,Montpellier,2024-11-03,W,H,1,0,1,0,1,1,0,48,16,3,43.8,41.1,23,13,63.9,7,3,42.9,4,57.1,342,1734,838,9,14,23,2,8.7,2,0,0,11,12,1,1,0,0,0,0,0,8,37.5,25.1,11,0.0,0.0,3,27.3,20.9,0,3,0,0,0,37,0,8.0,380,471,80.7,8,35,8,3,42,6816,2598,165,191,86.4,170,198,85.9,35,52,67.3,0,0,0,,0,0,,0,0,0,427,41,12,2,1,15,18,2,0,2,0,3,8,377,14,1,12,11,20,16,2,0,0,2,0,1,1,100.0,591,59,173,290,136,18,590,15,11,7,6,2,9,17,52.9,8,15,6,9,8,23,30,1,2.2,1.4,1.2,0.4,0.8,1.1,-1.2,-1.4,-0.8,0.13,0,0.6,0.6,0.6
