Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lens,Angers,2024-08-18,W,A,1,0,1,1,0,0,0,58,27,4,25.9,33.0,13,15,46.4,19,8,42.1,9,47.4,387,1803,893,14,15,21,1,4.8,0,0,0,14,10,2,2,0,0,0,0,0,6,50.0,37.3,10,0.1,0.25,4,40.0,16.2,0,3,0,0,0,37,0,6.7,437,548,79.7,9,31,6,4,37,6679,2542,242,274,88.3,143,175,81.7,34,62,54.8,0,0,0,,0,0,,0,0,0,494,51,16,2,6,15,25,3,3,0,0,3,12,433,15,1,21,12,18,16,0,2,0,0,0,3,3,100.0,687,56,227,318,148,12,687,30,14,13,14,3,15,23,65.2,8,10,3,7,11,41,25,0,1.2,1.2,0.8,0.8,0.9,0.9,-0.2,-0.2,0.1,0.12,0,0.5,0.16,0.5
Lens,Brest,2024-08-25,W,H,2,0,2,1,0,0,0,52,16,4,56.3,44.3,23,15,60.5,14,8,57.1,6,42.9,370,1506,736,12,12,13,3,23.1,2,1,0,10,7,2,2,0,0,0,0,0,12,33.3,28.6,20,0.05,0.11,9,45.0,14.0,1,6,0,0,0,50,0,4.7,429,543,79.0,16,36,20,3,58,7119,2900,221,254,87.0,164,185,88.6,36,67,53.7,0,0,0,,0,0,,0,0,0,496,41,7,2,0,22,16,5,3,2,0,6,7,425,12,0,12,6,35,24,3,2,4,2,0,2,2,100.0,643,49,150,313,183,34,643,16,7,7,4,5,11,20,55.0,9,6,0,6,10,26,15,0,2.9,2.9,2.1,2.1,2.1,2.1,-1.9,-1.9,-1.1,0.15,1,0.5,0.23,0.5
Lens,Monaco,2024-09-01,D,A,1,1,0,0,1,1,0,38,18,4,38.9,36.1,13,9,59.1,14,3,21.4,11,78.6,142,770,401,7,10,12,2,16.7,4,0,0,21,9,1,0,0,0,1,0,0,10,60.0,39.1,11,0.0,0.0,3,27.3,17.5,0,1,0,0,0,53,0,6.3,214,301,71.1,8,17,6,0,33,3926,2127,93,111,83.8,84,112,75.0,28,52,53.8,0,0,0,,0,0,,0,1,0,260,40,12,1,1,20,9,7,5,1,0,1,10,210,10,1,17,11,18,13,3,0,2,0,0,3,2,66.7,422,51,146,186,98,17,421,19,10,9,8,2,12,21,57.1,9,11,5,6,8,27,34,0,2.2,1.4,1.2,0.4,1.4,1.2,-1.2,-1.4,-1.4,0.14,0,0.7,0.22,-0.3
Lens,Lyon,2024-09-15,D,H,0,0,0,0,0,0,0,54,27,1,37.0,35.4,15,10,60.0,18,7,38.9,10,55.6,273,1578,808,22,16,10,1,10.0,0,0,0,12,10,0,0,0,0,0,0,0,5,0.0,16.6,12,0.0,0.0,4,33.3,18.3,0,4,0,0,0,49,2,15.0,433,545,79.4,10,34,9,3,37,6619,2500,226,257,87.9,154,185,83.2,30,57,52.6,0,0,0,,0,0,,0,0,0,491,50,14,6,0,23,25,5,2,2,0,4,20,430,16,3,14,9,22,18,1,1,2,0,0,3,3,100.0,683,52,180,302,205,21,683,12,8,7,3,2,7,12,58.3,5,27,4,23,12,24,29,0,1.0,1.0,0.5,0.5,0.9,1.5,-1.0,-1.0,-0.9,0.09,0,0.3,0.1,0.3
Lens,Rennes,2024-09-21,D,A,1,1,0,1,0,0,0,60,42,6,35.7,32.7,25,13,65.8,16,5,31.3,10,62.5,288,1621,840,17,6,8,2,25.0,4,0,0,20,16,2,2,0,0,0,0,0,2,0.0,15.0,10,0.1,0.5,2,20.0,18.8,1,3,0,1,0,49,1,9.2,418,547,76.4,6,27,10,3,33,7217,2638,193,232,83.2,190,217,87.6,29,75,38.7,1,1,0,0.0,1,0,0.0,0,0,0,494,50,16,1,2,19,27,3,1,1,0,3,7,413,6,3,22,10,19,16,1,1,0,1,0,6,5,100.0,664,62,193,319,156,19,664,12,7,6,4,2,6,9,66.7,3,15,1,14,7,19,19,0,0.6,0.6,-0.8,0.0,0.2,0.7,0.4,0.4,-0.2,0.06,1,1.4,0.08,0.4
Lens,Nice,2024-09-28,D,H,0,0,0,0,0,0,0,56,32,4,46.9,36.9,16,7,69.6,26,6,23.1,19,73.1,410,2115,981,19,21,10,2,20.0,3,1,1,16,7,0,0,0,0,0,0,0,5,40.0,38.0,22,0.0,0.0,6,27.3,15.9,0,1,0,0,0,54,2,15.8,410,504,81.3,17,34,18,5,63,6946,2838,208,229,90.8,148,174,85.1,42,63,66.7,0,0,0,,0,0,,0,0,0,461,42,8,0,1,30,17,11,2,4,0,1,10,404,21,2,17,13,43,28,8,1,3,2,1,4,4,100.0,634,73,171,239,231,38,634,17,14,7,7,3,10,21,47.6,11,12,8,4,8,25,18,0,1.9,1.9,0.8,0.8,1.2,1.6,-1.9,-1.9,-1.2,0.09,0,0.9,0.22,0.9
Lens,Strasbourg,2024-10-06,D,A,2,2,0,2,0,0,0,63,41,6,14.6,25.4,9,11,45.0,8,4,50.0,3,37.5,428,2024,1037,16,9,8,2,25.0,4,0,0,18,13,2,2,0,0,0,0,0,4,25.0,24.0,12,0.17,0.4,5,41.7,15.6,0,3,0,1,0,37,2,20.8,486,580,83.8,9,32,16,5,37,7971,2758,273,292,93.5,160,179,89.4,46,80,57.5,1,1,0,0.0,1,0,0.0,0,1,0,531,46,17,3,3,22,17,5,2,0,0,3,12,483,9,2,18,4,21,18,1,2,0,0,0,5,3,80.0,675,69,223,287,169,26,675,16,12,10,2,4,9,12,75.0,3,7,0,7,11,27,13,0,1.0,1.0,-0.3,0.5,0.9,1.5,1.0,1.0,0.1,0.08,0,2.5,0.32,0.5
Lens,Saint-Étienne,2024-10-19,W,A,2,0,2,2,0,0,0,63,41,4,24.4,28.7,15,12,55.6,26,16,61.5,10,38.5,462,1961,725,12,13,3,0,0.0,2,0,0,16,12,2,1,0,1,0,0,0,10,10.0,19.5,13,0.15,0.4,5,38.5,20.5,1,3,0,0,0,43,1,27.7,535,628,85.2,8,36,15,1,43,9078,3565,246,272,90.4,216,238,90.8,50,79,63.3,0,0,0,,0,0,,0,0,0,567,58,12,0,2,25,28,7,5,0,0,3,6,529,13,2,18,19,23,17,1,2,2,1,0,1,1,100.0,716,62,265,283,171,31,716,5,2,3,1,1,3,9,33.3,6,14,7,7,3,8,12,0,1.2,1.2,0.4,0.4,0.4,0.8,0.8,0.8,0.6,0.09,1,0.4,0.39,0.4
Lens,Lille,2024-10-26,L,H,0,2,-2,0,0,0,0,58,25,1,48.0,39.3,21,15,58.3,13,6,46.2,6,46.2,319,1494,689,14,14,5,0,0.0,4,0,0,16,13,0,0,0,0,0,0,0,6,16.7,29.8,11,0.0,0.0,4,36.4,17.7,0,4,0,1,0,43,1,29.0,348,482,72.2,10,22,7,3,42,5789,2137,171,210,81.4,130,169,76.9,30,65,46.2,1,1,0,0.0,1,0,0.0,0,0,0,424,54,15,2,3,23,22,8,1,5,0,4,11,346,14,5,21,5,17,12,1,1,1,0,2,3,1,66.7,603,45,173,290,146,20,603,25,16,6,16,3,11,19,57.9,8,12,6,6,11,36,8,0,1.0,1.0,-0.8,-0.1,1.1,0.7,-1.0,-1.0,-1.1,0.1,0,2.0,0.33,0.0
Lens,Paris S-G,2024-11-02,L,A,0,1,-1,0,0,0,0,32,22,2,45.5,36.5,7,7,50.0,23,10,43.5,13,56.5,289,1685,830,23,16,9,1,11.1,4,1,0,20,3,0,0,0,0,0,0,0,10,50.0,34.3,13,0.0,0.0,2,15.4,15.9,0,3,0,0,0,50,4,19.8,264,345,76.5,9,22,9,1,33,4304,1889,143,169,84.6,81,102,79.4,28,46,60.9,0,0,0,,0,0,,0,0,0,314,28,5,1,2,11,7,4,4,0,0,3,6,261,16,8,20,7,23,16,2,1,3,0,1,8,7,87.5,473,62,138,201,144,22,473,20,12,9,9,2,11,21,52.4,10,14,5,9,8,28,19,2,0.7,0.7,-2.1,-2.1,0.6,0.6,-0.7,-0.7,-0.6,0.06,0,2.9,0.36,1.9
