Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lille,Reims,2024-08-17,W,A,2,0,2,2,0,0,0,68,23,5,8.7,20.7,13,9,59.1,23,7,30.4,15,65.2,497,2748,1707,30,22,6,1,16.7,2,0,0,15,6,2,0,0,0,2,0,0,3,0.0,10.0,22,0.09,0.33,6,27.3,15.8,1,2,0,0,0,54,1,14.5,596,670,89.0,12,59,9,3,72,10201,2938,274,300,91.3,268,289,92.7,43,57,75.4,0,0,0,,0,0,,0,0,0,640,28,5,0,3,19,11,8,3,1,0,2,5,593,22,7,14,10,34,25,2,1,4,2,0,0,0,,790,50,152,379,263,36,790,18,9,2,11,5,11,22,50.0,11,11,1,10,7,25,13,0,2.1,2.1,2.0,2.0,1.1,1.3,-0.1,-0.1,-1.1,0.1,1,0.0,,0.0
Lille,Angers,2024-08-24,W,H,2,0,2,2,0,0,0,64,22,0,36.4,36.9,9,8,52.9,22,13,59.1,9,40.9,454,2440,1195,17,20,8,0,0.0,1,0,0,9,17,4,3,0,1,0,0,0,6,16.7,25.2,11,0.18,0.33,6,54.5,18.8,1,1,0,0,0,49,1,24.0,538,637,84.5,9,47,12,2,56,9697,2909,213,239,89.1,270,292,92.5,45,71,63.4,0,0,0,,0,0,,0,0,0,584,52,21,1,2,12,21,3,1,1,0,1,12,534,20,6,14,14,21,19,0,1,0,1,0,2,2,100.0,722,43,142,401,186,28,722,20,10,2,13,5,11,16,68.8,5,10,1,9,6,26,8,0,0.9,0.9,0.3,0.3,0.8,0.8,1.1,1.1,1.2,0.08,1,0.5,0.27,0.5
Lille,Paris S-G,2024-09-01,L,H,1,3,-2,1,0,0,0,42,18,2,33.3,34.2,4,8,33.3,17,8,47.1,9,52.9,387,2048,926,26,26,2,0,0.0,3,0,0,9,9,2,2,0,0,0,0,0,4,0.0,10.5,8,0.13,0.25,4,50.0,15.7,0,5,0,1,0,52,0,11.0,377,459,82.1,8,29,5,0,36,5933,2223,203,224,90.6,144,168,85.7,22,40,55.0,1,1,0,0.0,1,0,0.0,0,0,0,420,34,8,0,0,15,15,3,1,0,0,5,6,373,26,10,12,13,16,13,1,1,0,1,0,7,4,71.4,547,39,148,225,180,28,547,19,10,10,6,3,10,22,45.5,12,9,2,7,8,27,5,1,1.4,1.4,-1.2,-0.4,1.4,0.9,-0.4,-0.4,-0.4,0.18,0,2.9,0.3,-0.1
Lille,Saint-Étienne,2024-09-13,L,A,0,1,-1,0,0,0,0,70,29,5,13.8,24.4,13,4,76.5,17,10,58.8,7,41.2,565,3095,1561,31,26,5,2,40.0,1,0,0,10,12,0,0,0,0,0,0,0,7,0.0,27.3,17,0.0,0.0,4,23.5,15.8,0,1,0,0,0,41,1,19.0,636,745,85.4,12,47,16,4,65,10780,3249,317,345,91.9,268,303,88.4,43,65,66.2,0,0,0,,0,0,,0,0,0,694,50,15,1,4,29,19,7,1,5,0,1,15,632,26,5,14,8,29,24,2,1,2,0,0,5,4,80.0,839,40,160,416,269,33,839,20,14,10,8,2,11,17,64.7,6,8,0,8,2,22,10,1,1.2,1.2,0.0,0.0,1.0,1.6,-1.2,-1.2,-1.0,0.07,0,1.1,0.22,0.1
Lille,Strasbourg,2024-09-21,D,H,3,3,0,2,1,1,0,63,11,3,36.4,34.0,8,9,47.1,15,10,66.7,5,33.3,337,1837,960,23,14,6,0,0.0,2,0,0,16,12,5,3,0,0,1,1,0,2,0.0,15.5,14,0.14,0.33,6,42.9,18.1,0,4,1,0,0,42,0,,522,614,85.0,9,48,12,1,61,9653,3066,212,229,92.6,239,263,90.9,62,89,69.7,0,0,0,,0,0,,0,0,0,567,43,13,1,7,27,15,9,2,4,0,4,9,517,14,8,13,4,26,18,1,2,3,1,1,9,6,66.7,696,40,149,353,197,26,695,17,12,6,9,2,11,18,61.1,7,5,2,3,4,21,10,1,2.6,1.8,-0.6,-1.4,0.9,0.9,0.4,0.2,0.1,0.15,0,3.0,0.37,0.0
Lille,Le Havre,2024-09-28,W,A,3,0,3,3,0,1,1,62,24,7,33.3,32.5,10,14,41.7,23,13,56.5,8,34.8,479,2256,1226,26,17,11,1,9.1,1,0,0,9,11,6,6,0,0,0,0,0,5,20.0,20.4,17,0.18,0.33,9,52.9,17.7,0,3,1,0,0,42,0,8.0,596,674,88.4,16,44,21,3,47,10364,3217,271,292,92.8,290,309,93.9,33,63,52.4,0,0,0,,0,0,,0,0,0,637,34,11,3,1,13,12,5,1,4,0,3,8,593,17,4,15,9,35,31,1,1,1,1,0,4,4,100.0,785,55,218,379,193,41,784,18,12,5,8,5,9,19,47.4,10,5,0,5,13,31,12,0,3.1,2.8,2.7,2.4,2.8,3.1,-0.1,0.2,0.2,0.16,0,0.5,0.13,0.5
Lille,Toulouse,2024-10-05,W,H,2,1,1,2,0,0,0,57,33,4,36.4,34.2,18,13,58.1,22,12,54.5,9,40.9,433,1890,1159,17,13,20,2,10.0,3,0,0,13,8,4,3,0,1,0,0,0,6,16.7,26.0,10,0.2,0.67,3,30.0,16.9,1,0,0,0,0,41,0,10.6,470,555,84.7,7,31,8,2,45,8162,2518,203,225,90.2,229,256,89.5,29,53,54.7,0,0,0,,0,0,,0,0,0,519,36,9,4,1,11,15,4,3,0,0,0,8,467,13,4,13,8,20,16,1,2,0,1,0,2,1,50.0,660,66,225,324,118,16,660,22,12,14,8,0,13,19,68.4,6,7,1,6,10,32,23,0,1.6,1.6,0.5,0.5,1.5,1.3,0.4,0.4,0.5,0.16,1,1.1,0.54,0.1
Lille,Monaco,2024-10-18,D,A,0,0,0,0,0,0,0,48,25,3,52.0,38.2,11,10,52.4,17,7,41.2,8,47.1,363,1927,876,14,11,13,0,0.0,5,0,0,14,13,0,0,0,0,0,0,0,15,33.3,27.3,3,0.0,0.0,1,33.3,15.9,0,1,0,0,0,40,1,14.6,380,471,80.7,3,32,1,0,29,6579,2199,173,192,90.1,161,187,86.1,37,70,52.9,0,0,0,,0,0,,0,0,0,421,49,15,0,3,5,17,1,0,1,0,1,8,377,11,1,22,8,6,5,0,1,0,0,0,4,4,100.0,567,87,198,268,107,5,567,15,9,10,1,4,7,10,70.0,3,6,3,3,17,32,12,2,0.2,0.2,-1.0,-1.0,0.2,0.5,-0.2,-0.2,-0.2,0.08,0,0.9,0.22,0.9
Lille,Lens,2024-10-26,W,A,2,0,2,1,1,1,0,42,34,3,70.6,44.6,15,21,41.7,22,8,36.4,11,50.0,213,1105,569,10,5,21,3,14.3,5,0,0,14,15,2,1,0,0,1,0,0,6,16.7,21.5,10,0.1,0.5,2,20.0,16.3,0,1,0,0,0,44,1,14.7,255,351,72.6,6,20,6,1,21,4552,1754,119,142,83.8,105,133,78.9,26,62,41.9,0,0,0,,0,0,,0,0,0,298,52,18,2,1,6,25,2,0,1,0,1,6,251,5,3,24,14,19,15,1,1,2,0,0,4,4,100.0,497,78,182,200,117,21,496,11,6,6,2,3,6,12,50.0,6,15,5,10,9,20,31,1,1.8,1.1,0.8,0.1,0.8,0.6,0.2,-0.1,0.2,0.12,0,0.5,0.13,0.5
Lille,Lyon,2024-11-01,D,H,1,1,0,1,0,0,0,47,34,4,32.4,36.5,14,13,51.9,24,10,41.7,13,54.2,303,1550,751,16,9,20,0,0.0,3,0,0,12,9,1,0,0,1,0,0,0,8,25.0,33.1,14,0.07,0.5,2,14.3,17.4,2,1,0,0,0,43,1,13.8,348,430,80.9,7,34,6,1,38,6457,2305,147,172,85.5,169,181,93.4,30,60,50.0,0,0,0,,0,0,,0,0,0,392,37,11,0,2,14,12,4,2,2,0,1,14,344,9,7,12,12,22,12,2,4,1,3,0,3,2,66.7,555,103,220,221,119,25,555,13,7,8,5,0,7,17,41.2,10,18,5,13,10,23,29,0,1.7,1.7,0.5,0.5,0.6,0.6,-0.7,-0.7,-0.6,0.12,2,0.5,0.18,-0.5
Lille,Nice,2024-11-10,D,A,2,2,0,2,0,0,0,57,30,6,23.3,28.4,14,15,48.3,19,9,47.4,9,47.4,336,1995,1138,21,11,12,2,16.7,2,0,0,9,11,4,3,0,0,1,0,0,11,45.5,36.0,13,0.15,0.33,6,46.2,18.8,1,0,0,0,0,35,0,4.5,471,547,86.1,10,38,3,1,27,8488,2740,200,218,91.7,216,238,90.8,47,72,65.3,0,0,0,,0,0,,0,0,0,503,44,13,1,3,7,16,2,1,1,0,0,5,468,11,6,17,7,23,16,2,1,2,2,0,5,3,60.0,663,72,191,320,153,21,663,13,7,4,7,2,7,18,38.9,11,14,6,8,10,23,23,0,1.7,1.7,-0.4,-0.4,1.7,1.8,0.3,0.3,0.3,0.14,1,1.7,0.34,-0.3
Lille,Rennes,2024-11-24,W,H,1,0,1,1,0,0,0,52,26,2,50.0,41.7,11,10,52.4,17,5,29.4,12,70.6,372,1908,943,18,12,11,0,0.0,3,0,0,19,16,2,2,0,0,0,0,0,2,0.0,7.0,5,0.2,0.5,2,40.0,18.4,0,2,0,0,0,53,0,14.0,412,496,83.1,4,28,7,1,37,7239,2173,190,211,90.0,173,193,89.6,38,66,57.6,0,0,0,,0,0,,0,0,0,454,40,16,0,5,11,18,3,1,0,0,2,6,407,12,5,14,12,10,10,0,0,0,0,0,1,1,100.0,592,44,163,325,107,14,592,17,10,5,10,2,6,10,60.0,4,8,2,6,8,25,17,0,0.4,0.4,0.2,0.2,0.2,0.5,0.6,0.6,-0.2,0.08,0,0.0,0.02,0.0
Lille,Montpellier,2024-12-01,D,A,2,2,0,0,2,2,0,58,21,1,52.4,39.9,18,15,54.5,22,11,50.0,10,45.5,302,1823,1019,17,14,13,0,0.0,5,1,0,21,8,4,2,0,0,0,2,0,6,33.3,28.7,11,0.0,0.0,2,18.2,20.7,0,1,2,0,0,36,0,13.5,402,486,82.7,9,39,7,0,42,6950,2149,158,183,86.3,207,230,90.0,27,47,57.4,0,0,0,,0,0,,0,1,0,446,39,10,0,1,9,18,2,2,0,0,1,6,399,14,7,13,5,22,17,1,0,1,3,0,5,3,60.0,603,54,133,323,152,25,601,24,14,6,11,7,12,20,60.0,8,5,1,4,8,32,25,1,2.2,0.6,0.8,-0.8,0.6,0.7,-0.2,-0.6,-0.6,0.06,0,1.6,0.32,-0.4
Lille,Brest,2024-12-06,W,H,3,1,2,2,1,1,0,61,42,5,19.0,27.4,10,10,50.0,20,12,60.0,8,40.0,471,2474,1415,23,18,8,0,0.0,1,0,0,13,16,5,2,1,0,1,1,0,10,0.0,17.6,9,0.22,0.4,5,55.6,15.5,0,1,1,0,0,45,1,15.0,575,661,87.0,7,35,7,0,44,10280,3000,220,243,90.5,292,319,91.5,50,71,70.4,0,0,0,,0,0,,0,0,0,609,51,16,1,3,8,21,2,0,0,0,1,8,567,18,3,10,11,17,12,1,0,2,1,1,3,2,66.7,744,67,246,365,140,14,743,12,6,3,8,1,7,11,63.6,4,6,0,6,10,22,15,0,2.5,1.7,1.9,1.1,1.2,1.9,0.5,0.3,-0.2,0.19,0,0.4,0.15,-0.6
Lille,Marseille,2024-12-14,D,A,1,1,0,1,0,0,0,44,20,3,45.0,34.2,8,4,66.7,18,5,27.8,12,66.7,266,1315,680,13,10,9,0,0.0,3,0,0,9,13,2,0,1,0,0,1,0,3,0.0,28.3,10,0.1,0.2,5,50.0,16.4,0,0,0,0,0,41,0,13.7,398,475,83.8,8,44,13,5,39,7234,2640,165,186,88.7,172,192,89.6,48,72,66.7,0,0,0,,0,0,,0,0,0,429,46,17,3,0,21,16,8,4,0,0,0,6,393,10,6,10,13,18,13,4,0,0,1,0,3,2,66.7,569,38,136,284,151,26,569,18,9,7,8,3,10,20,50.0,10,8,3,5,3,21,13,1,1.4,1.4,0.2,0.2,1.0,1.2,-0.4,-0.4,0.0,0.14,0,1.3,0.43,0.3
