Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lyon,Rennes,2024-08-18,L,A,0,3,-3,0,0,1,1,53,17,3,35.3,36.2,8,12,40.0,23,5,21.7,15,65.2,342,2076,1084,30,10,9,0,0.0,1,0,0,12,13,0,0,0,0,0,0,0,9,22.2,32.4,15,0.0,0.0,1,6.7,15.8,0,2,1,0,0,39,4,22.2,413,507,81.5,12,34,13,2,58,6711,2590,208,235,88.5,153,174,87.9,38,60,63.3,0,0,0,,0,0,,1,0,0,446,59,13,0,5,21,26,7,2,3,0,2,12,409,10,5,9,7,31,22,3,3,2,1,0,8,5,62.5,622,68,177,282,166,40,621,22,12,13,8,1,7,13,53.8,6,8,4,4,13,35,22,1,2.1,1.2,0.0,-0.9,0.6,1.4,-2.1,-1.2,-0.6,0.08,0,2.6,0.33,-0.4
Lyon,Monaco,2024-08-24,L,H,0,2,-2,0,0,0,0,40,19,8,57.9,46.1,4,9,30.8,24,8,33.3,15,62.5,205,1312,575,15,10,22,2,9.1,2,0,0,19,9,0,0,0,0,0,0,0,15,6.7,21.9,1,0.0,,0,0.0,29.7,0,4,0,0,0,42,0,6.0,281,362,77.6,0,24,6,2,26,4946,2234,137,162,84.6,103,128,80.5,33,56,58.9,0,0,0,,0,0,,0,0,0,304,54,10,1,2,7,26,0,0,0,0,4,5,278,10,4,20,10,2,2,0,0,0,0,0,6,4,66.7,492,75,209,199,90,10,492,25,14,9,11,5,12,19,63.2,7,12,5,7,12,37,25,0,0.0,0.0,-2.2,-2.2,0.0,0.3,0.0,0.0,0.0,0.03,0,2.5,0.42,0.5
Lyon,Strasbourg,2024-08-30,W,H,4,3,1,4,0,0,0,48,17,4,35.3,36.4,12,12,50.0,17,7,41.2,9,52.9,364,1555,737,17,8,7,2,28.6,3,0,0,11,6,6,4,0,0,2,0,0,3,33.3,33.0,20,0.2,0.33,12,60.0,14.6,0,4,0,0,0,50,0,10.0,359,452,79.4,16,37,15,2,46,5761,2410,177,201,88.1,146,176,83.0,22,44,50.0,0,0,0,,0,0,,0,1,0,412,36,8,2,2,20,12,9,7,2,0,4,11,357,8,5,16,9,34,28,1,1,4,0,0,8,5,62.5,567,50,155,233,184,33,567,20,15,8,9,3,7,16,43.8,9,17,5,12,8,28,8,2,2.9,2.9,0.2,0.2,2.3,2.8,1.1,1.1,-0.3,0.15,0,3.5,0.43,0.5
Lyon,Lens,2024-09-15,D,A,0,0,0,0,0,0,0,46,36,7,52.8,40.5,10,15,40.0,14,5,35.7,7,50.0,268,1241,597,17,12,16,1,6.3,0,0,0,11,11,0,0,0,0,0,0,0,6,83.3,56.0,8,0.0,0.0,3,37.5,20.7,0,3,0,0,0,43,2,19.2,346,466,74.2,7,21,11,0,39,5626,2329,163,190,85.8,139,161,86.3,28,65,43.1,0,0,0,,0,0,,0,0,0,411,52,16,0,0,14,21,8,6,0,0,3,24,339,12,6,20,5,12,10,1,1,0,0,0,4,4,100.0,579,68,192,229,167,26,579,19,8,8,5,6,10,17,58.8,7,17,2,15,12,31,25,0,0.6,0.6,-0.5,-0.5,0.5,1.2,-0.6,-0.6,-0.5,0.07,0,0.9,0.24,0.9
Lyon,Marseille,2024-09-22,L,H,2,3,-1,2,0,1,1,63,14,1,28.6,28.3,11,14,44.0,21,11,52.4,9,42.9,286,1517,942,20,13,5,0,0.0,4,0,0,17,7,4,3,0,1,0,0,0,2,0.0,29.5,21,0.1,0.29,7,33.3,16.6,0,3,0,0,0,48,3,21.6,473,567,83.4,16,66,15,5,67,8554,2608,206,232,88.8,219,252,86.9,45,68,66.2,0,0,0,,0,0,,0,0,0,521,43,10,3,4,43,17,10,9,0,0,3,8,468,13,4,10,7,41,29,4,3,2,2,1,4,1,25.0,648,18,84,277,295,42,647,13,8,1,9,3,9,14,64.3,5,5,3,2,6,19,4,1,3.0,2.1,2.2,1.4,1.6,3.0,-1.0,-0.1,0.4,0.1,0,1.8,0.45,-1.2
Lyon,Toulouse,2024-09-29,W,A,2,1,1,1,0,0,0,54,37,10,21.6,30.0,6,13,31.6,17,8,47.1,8,47.1,307,1451,724,18,6,15,3,20.0,2,0,0,15,10,1,0,0,0,1,0,0,5,40.0,38.4,4,0.25,1.0,1,25.0,8.7,0,1,0,0,0,41,1,12.9,432,519,83.2,3,40,3,1,37,7401,2610,187,197,94.9,202,225,89.8,32,68,47.1,0,0,0,,0,0,,0,0,0,479,39,15,0,4,16,13,4,2,2,0,1,12,429,6,5,12,17,7,3,1,2,1,0,0,4,3,75.0,605,76,196,286,125,9,605,17,9,6,9,2,10,21,47.6,11,10,2,8,7,24,19,0,0.4,0.4,-0.5,-0.5,0.3,0.4,0.6,0.6,-0.3,0.11,0,0.9,0.23,-0.1
Lyon,Nantes,2024-10-06,W,H,2,0,2,1,0,0,0,61,28,5,25.0,24.8,6,6,50.0,19,8,42.1,10,52.6,441,2477,1324,32,23,16,0,0.0,1,0,0,10,5,2,2,0,0,0,0,0,5,40.0,31.2,17,0.06,0.17,6,35.3,14.5,0,1,0,0,0,51,3,19.0,574,666,86.2,14,34,19,1,60,9557,3247,270,293,92.2,239,273,87.5,44,68,64.7,0,0,0,,0,0,,0,0,0,630,35,6,1,4,21,17,6,2,4,0,1,7,570,23,9,13,7,31,25,1,2,3,0,0,6,6,100.0,794,55,206,376,217,43,794,21,15,14,4,3,15,26,57.7,11,11,2,9,8,29,27,2,3.2,3.2,2.3,2.3,2.4,2.7,-2.2,-2.2,-1.4,0.2,0,1.0,0.17,1.0
Lyon,Le Havre,2024-10-20,W,A,4,0,4,4,0,0,0,61,26,5,34.6,33.4,11,8,57.9,15,10,66.7,5,33.3,288,1543,904,17,14,19,1,5.3,4,0,0,11,17,8,7,0,1,0,0,0,9,66.7,58.6,16,0.25,0.5,8,50.0,19.2,0,1,0,0,0,27,0,7.0,462,544,84.9,13,33,11,2,50,8202,2943,205,231,88.7,220,240,91.7,35,60,58.3,0,0,0,,0,0,,0,0,0,488,55,20,3,0,11,19,6,1,4,0,1,5,460,14,3,17,12,28,25,1,1,1,0,0,1,1,100.0,647,58,197,302,150,22,647,11,5,8,3,0,7,13,53.8,6,9,3,6,8,19,20,0,2.7,2.7,2.3,2.3,2.6,2.3,1.3,1.3,0.4,0.17,0,0.2,0.17,0.2
Lyon,Auxerre,2024-10-27,D,H,2,2,0,1,1,1,0,62,21,3,23.8,27.9,10,9,52.6,23,6,26.1,13,56.5,360,1990,1244,24,13,19,0,0.0,0,0,0,7,14,3,2,0,0,0,1,0,6,33.3,40.8,11,0.09,0.14,7,63.6,14.4,0,2,1,0,0,43,2,17.8,488,590,82.7,10,52,9,2,52,8393,2522,225,256,87.9,230,255,90.2,31,66,47.0,0,0,0,,0,0,,0,1,0,535,53,18,3,2,22,21,5,3,2,0,2,5,483,13,4,12,8,22,18,2,1,0,1,0,5,3,60.0,712,57,171,344,201,32,711,20,13,10,6,4,13,18,72.2,5,13,7,6,8,28,23,0,2.0,1.2,0.6,-0.2,1.2,1.5,0.0,-0.2,-0.2,0.11,0,1.9,0.44,-0.1
Lyon,Lille,2024-11-01,D,A,1,1,0,1,0,0,0,53,25,5,32.0,29.4,13,14,48.1,17,10,58.8,7,41.2,329,1729,950,25,13,12,1,8.3,1,0,0,10,10,2,2,0,0,0,0,0,9,44.4,36.8,14,0.07,0.33,3,21.4,13.3,0,3,0,0,0,42,0,11.0,381,492,77.4,11,23,9,2,28,6861,2450,164,198,82.8,170,203,83.7,39,67,58.2,0,0,0,,0,0,,0,0,0,438,51,13,0,4,22,18,9,4,4,0,3,13,371,13,10,11,6,25,18,3,1,2,1,0,2,1,50.0,584,64,201,237,154,46,584,25,12,14,6,5,13,23,56.5,10,16,4,12,4,29,10,2,1.2,1.2,-0.5,-0.5,1.1,1.8,-0.2,-0.2,-0.1,0.09,0,1.5,0.73,0.5
