Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Marseille,Brest,2024-08-17,W,A,5,1,4,3,2,2,0,50,43,6,14.0,22.7,7,6,53.8,25,8,32.0,15,60.0,420,1618,793,13,5,15,0,0.0,1,0,0,8,12,10,8,0,0,0,2,0,5,20.0,22.2,5,0.6,1.0,3,60.0,20.2,0,0,2,1,0,43,0,10.0,467,540,86.5,4,17,1,0,15,7221,2490,255,267,95.5,179,200,89.5,21,44,47.7,1,0,1,100.0,0,1,100.0,0,0,0,501,39,12,0,3,1,20,0,0,0,0,0,13,464,5,8,16,13,14,12,0,0,0,2,0,7,5,85.7,658,89,345,270,49,14,656,18,12,12,6,0,13,18,72.2,5,11,1,10,11,29,20,1,2.4,0.8,1.1,0.3,0.5,0.5,2.6,2.2,1.5,0.16,0,1.7,0.15,0.7
Marseille,Reims,2024-08-25,D,H,2,2,0,2,0,0,0,66,27,5,14.8,27.1,10,3,76.9,11,5,45.5,6,54.5,413,2479,1288,19,10,14,2,14.3,1,0,0,10,12,3,2,0,0,1,0,0,8,0.0,11.0,21,0.1,0.2,10,47.6,15.7,0,3,0,0,0,40,5,19.0,599,676,88.6,13,42,14,5,51,10380,3082,247,262,94.3,300,324,92.6,42,65,64.6,0,0,0,,0,0,,0,1,0,626,47,14,2,2,15,20,2,0,1,0,3,13,595,10,7,13,6,36,28,1,1,5,1,0,3,1,33.3,761,62,210,406,146,30,761,6,2,2,4,0,3,13,23.1,10,8,5,3,4,10,17,1,3.0,3.0,2.2,2.2,1.4,1.1,-1.0,-1.0,-0.4,0.16,0,0.9,0.38,-1.1
Marseille,Toulouse,2024-08-31,W,A,3,1,2,2,0,0,0,76,27,5,7.4,24.7,7,7,50.0,15,5,33.3,7,46.7,769,3102,1379,16,17,6,0,0.0,2,0,0,15,10,4,4,0,0,0,0,0,3,33.3,28.3,12,0.17,0.5,4,33.3,16.4,2,0,0,0,0,36,4,25.0,838,913,91.8,6,61,14,1,54,12746,3932,449,465,96.6,349,374,93.3,25,50,50.0,0,0,0,,0,0,,0,0,0,878,35,8,0,0,12,19,3,1,0,0,0,6,828,17,4,15,7,23,17,1,0,3,2,0,1,0,0.0,1003,47,251,561,194,28,1003,15,8,9,3,3,8,11,72.7,3,3,0,3,7,22,11,1,0.8,0.8,-0.1,-0.1,0.4,1.2,1.2,1.2,1.6,0.07,2,1.0,1.0,0.0
Marseille,Nice,2024-09-14,W,H,2,0,2,2,0,0,0,56,38,7,47.4,39.0,11,3,78.6,14,6,42.9,8,57.1,411,1893,829,12,16,9,0,0.0,5,1,1,18,4,4,4,0,0,0,0,0,8,37.5,29.3,10,0.2,0.4,5,50.0,19.4,0,1,0,0,0,37,0,4.0,446,530,84.2,8,32,3,0,25,6978,2484,241,268,89.9,175,191,91.6,20,50,40.0,0,0,0,,0,0,,0,0,0,493,36,9,1,1,6,17,1,1,0,0,1,8,436,16,4,6,10,18,15,1,1,0,0,1,4,4,100.0,625,82,234,273,129,12,625,22,16,12,6,4,11,17,64.7,6,10,3,7,8,30,21,0,0.7,0.7,-1.2,-1.2,0.5,0.4,1.3,1.3,0.5,0.07,0,1.3,0.36,1.3
Marseille,Lyon,2024-09-22,W,A,3,2,1,3,0,0,0,37,30,3,40.0,33.8,14,11,56.0,15,5,33.3,9,60.0,155,988,448,11,1,35,3,8.6,3,1,1,8,16,5,4,0,1,0,0,0,11,100.0,61.0,9,0.33,0.75,4,44.4,23.4,0,4,0,1,0,35,0,10.8,258,336,76.8,7,10,2,1,12,4482,1784,119,132,90.2,112,136,82.4,21,49,42.9,1,0,1,100.0,0,1,100.0,0,1,0,283,49,20,2,0,6,12,3,3,0,0,4,2,255,1,1,14,4,15,10,2,1,2,0,0,8,5,75.0,455,97,235,187,37,8,455,16,11,13,3,0,9,20,45.0,11,10,5,5,8,24,38,1,0.8,0.8,-2.2,-1.4,0.7,0.3,2.2,2.2,1.3,0.09,0,2.8,0.27,0.8
Marseille,Strasbourg,2024-09-29,L,A,0,1,-1,0,0,0,0,59,37,6,27.0,28.5,7,11,38.9,13,7,53.8,6,46.2,471,2491,1038,14,8,16,2,12.5,1,0,0,7,17,0,0,0,0,0,0,0,9,33.3,24.1,10,0.0,0.0,3,30.0,19.2,0,4,0,0,0,46,4,18.7,506,594,85.2,10,33,5,1,30,8016,3138,261,281,92.9,199,221,90.0,28,57,49.1,0,0,0,,0,0,,0,0,0,545,45,18,1,5,14,13,3,1,0,0,4,9,498,8,4,18,10,19,16,1,2,0,0,0,6,5,83.3,686,80,301,286,102,16,686,14,9,10,4,0,7,11,63.6,4,8,2,6,9,23,22,0,0.5,0.5,-0.8,-0.8,0.5,0.5,-0.5,-0.5,-0.5,0.05,0,0.4,0.07,-0.6
Marseille,Angers,2024-10-04,D,H,1,1,0,1,0,0,0,76,21,3,4.8,16.5,16,6,72.7,15,10,66.7,5,33.3,566,2884,1740,18,28,9,1,11.1,4,1,1,15,9,2,2,0,0,0,0,0,5,0.0,25.6,16,0.06,0.25,4,25.0,19.2,1,0,0,0,0,30,1,17.0,700,773,90.6,12,78,13,0,79,10558,2897,368,385,95.6,298,327,91.1,20,36,55.6,0,0,0,,0,0,,1,0,0,731,42,12,1,1,23,14,9,8,0,0,0,9,694,28,6,14,3,31,23,3,2,1,1,1,3,2,66.7,848,26,84,455,311,29,848,17,14,6,7,4,14,21,66.7,7,4,3,1,4,21,6,0,0.9,0.9,0.1,0.1,0.5,1.4,0.1,0.1,-0.5,0.06,1,0.3,0.11,-0.7
Marseille,Montpellier,2024-10-20,W,A,5,0,5,5,0,0,0,65,16,5,18.8,29.6,5,10,33.3,24,10,41.7,13,54.2,427,1820,1058,22,9,8,0,0.0,3,0,0,18,11,9,7,0,1,1,0,0,3,0.0,14.0,21,0.24,0.5,10,47.6,14.3,0,2,0,0,0,43,2,23.0,538,599,89.8,16,36,15,6,63,8063,2800,308,332,92.8,186,202,92.1,31,42,73.8,0,0,0,,0,0,,0,0,0,557,40,17,4,0,13,17,2,1,0,0,2,5,534,9,11,9,15,37,28,1,3,4,0,1,5,5,100.0,695,39,129,406,163,35,695,16,14,4,9,3,8,18,44.4,10,8,5,3,9,25,9,0,3.2,3.2,1.9,1.9,2.7,1.8,1.8,1.8,1.3,0.16,0,0.4,0.07,0.4
Marseille,Paris S-G,2024-10-27,L,H,0,3,-3,0,0,0,0,26,35,4,45.7,35.7,4,6,40.0,18,9,50.0,9,50.0,226,1127,433,7,3,8,0,0.0,1,1,0,4,7,0,0,0,0,0,0,0,13,84.6,53.8,5,0.0,0.0,1,20.0,16.3,0,2,0,0,1,41,0,2.0,260,333,78.1,3,10,3,0,12,4565,2070,127,146,87.0,94,112,83.9,31,56,55.4,0,0,0,,0,0,,0,0,1,284,47,14,0,1,5,15,1,1,0,0,2,8,259,3,3,18,12,9,5,2,1,0,1,0,8,6,62.5,424,77,225,157,47,8,424,16,11,9,6,1,8,13,61.5,5,10,2,8,9,25,10,3,0.2,0.2,-2.9,-2.9,0.2,0.1,-0.2,-0.2,-0.2,0.05,0,2.0,0.27,0.0
Marseille,Nantes,2024-11-03,W,A,2,1,1,2,0,0,0,73,48,3,8.3,23.1,8,10,44.4,22,13,59.1,7,31.8,626,3508,1918,25,16,5,2,40.0,1,0,0,6,17,4,4,0,0,0,0,0,4,0.0,11.5,9,0.22,0.5,4,44.4,19.5,0,1,0,0,0,41,1,12.5,771,852,90.5,9,59,9,3,68,13901,4096,312,339,92.0,394,418,94.3,58,80,72.5,0,0,0,,0,0,,0,0,0,807,44,21,1,5,23,12,5,4,0,0,1,7,759,16,9,16,12,18,15,1,1,1,0,0,3,2,66.7,946,61,227,512,210,22,946,14,9,6,6,2,10,15,66.7,5,10,1,9,5,19,14,2,1.2,1.2,-0.1,-0.1,1.2,1.3,0.8,0.8,0.8,0.14,0,2.0,0.66,1.0
