Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Monaco,Saint-Étienne,2024-08-17,W,H,1,0,1,1,0,0,0,61,18,5,5.6,23.1,15,11,57.7,23,7,30.4,14,60.9,414,2333,1227,18,16,9,1,11.1,1,0,0,13,13,2,2,0,0,0,0,0,6,33.3,33.0,17,0.06,0.17,6,35.3,16.1,0,2,0,0,0,57,1,12.0,440,526,83.7,15,45,11,2,47,7126,2802,218,249,87.6,177,194,91.2,27,51,52.9,0,0,0,,0,0,,0,0,0,471,53,17,8,1,12,24,5,2,1,0,2,8,436,16,9,29,8,33,27,3,2,1,0,0,4,4,100.0,658,42,143,340,180,40,658,19,15,9,6,4,9,18,50.0,9,4,2,2,6,25,11,1,2.0,2.0,1.5,1.5,1.9,1.8,-1.0,-1.0,-0.9,0.12,0,0.5,0.12,0.5
Monaco,Lyon,2024-08-24,W,A,2,0,2,2,0,0,0,60,24,3,25.0,28.9,9,4,69.2,20,7,35.0,12,60.0,347,2274,1177,32,20,5,1,20.0,3,1,1,9,18,4,4,0,0,0,0,0,7,28.6,28.9,21,0.1,0.33,6,28.6,17.9,0,1,0,0,0,51,2,17.0,450,542,83.0,15,30,10,3,50,7196,2613,227,251,90.4,165,199,82.9,38,60,63.3,0,0,0,,0,0,,0,0,0,480,61,23,0,7,25,24,6,3,2,0,1,9,448,20,7,11,13,37,30,3,2,2,0,0,0,0,,651,48,154,337,163,26,651,25,20,16,7,2,15,23,65.2,8,5,0,5,8,33,14,0,2.2,2.2,2.2,2.2,1.4,1.7,-0.2,-0.2,0.6,0.11,0,0.0,,0.0
Monaco,Lens,2024-09-01,D,H,1,1,0,1,0,0,0,62,28,1,57.1,42.0,9,13,40.9,23,9,39.1,12,52.2,355,1764,889,18,17,15,2,13.3,1,0,0,11,19,2,1,1,0,0,0,0,9,55.6,39.7,14,0.07,0.33,3,21.4,19.5,1,2,0,1,0,53,1,12.0,390,484,80.6,11,28,12,2,40,6414,2684,191,212,90.1,163,187,87.2,29,64,45.3,1,1,0,0.0,1,0,0.0,0,0,0,424,58,21,5,0,15,19,7,2,3,0,2,9,386,17,4,14,7,24,20,2,0,0,2,0,4,3,100.0,597,55,162,292,150,17,597,22,10,6,13,3,11,14,78.6,3,8,2,6,14,36,15,0,1.0,1.0,-1.2,-0.4,0.9,1.4,0.0,0.0,0.1,0.07,1,1.1,0.06,0.1
Monaco,Auxerre,2024-09-14,W,A,3,0,3,3,0,0,0,59,18,3,27.8,32.6,14,9,60.9,30,20,66.7,8,26.7,459,2650,1398,31,24,16,1,6.3,0,0,0,16,13,4,1,1,1,1,0,0,10,10.0,21.8,19,0.16,0.33,9,47.4,12.9,0,3,0,0,0,65,0,6.5,501,622,80.5,16,21,10,2,39,8304,3158,245,282,86.9,232,273,85.0,22,55,40.0,0,0,0,,0,0,,0,0,0,571,48,14,2,1,12,17,6,5,0,0,3,11,498,24,10,14,11,34,24,2,5,2,1,0,3,3,100.0,739,68,280,329,143,30,739,27,22,14,10,3,13,18,72.2,5,19,4,15,7,34,22,0,3.4,3.4,2.8,2.8,2.8,1.6,-0.4,-0.4,-0.8,0.19,0,0.2,0.08,0.2
Monaco,Le Havre,2024-09-22,W,H,3,1,2,3,0,0,0,61,25,4,24.0,31.6,17,9,65.4,18,8,44.4,7,38.9,402,2215,1158,19,18,11,0,0.0,1,0,0,10,16,6,3,0,0,1,0,2,5,40.0,29.6,12,0.25,0.75,4,33.3,16.8,0,5,0,0,0,41,3,28.7,444,538,82.5,11,42,5,0,44,7464,2813,209,237,88.2,197,218,90.4,30,58,51.7,0,0,0,,0,0,,0,0,0,482,51,19,1,4,17,19,6,4,2,0,5,9,438,18,5,16,4,21,14,3,0,2,0,2,1,0,0.0,634,49,157,323,161,18,634,21,10,10,9,2,7,14,50.0,7,8,3,5,8,29,16,1,1.9,1.9,1.4,1.4,1.9,1.2,1.1,1.1,1.1,0.17,0,0.9,0.91,-0.1
Monaco,Montpellier,2024-09-28,W,H,2,1,1,2,0,0,0,65,13,4,7.7,22.2,11,15,42.3,22,14,63.6,8,36.4,421,2321,1235,23,25,5,0,0.0,4,0,0,17,16,4,4,0,0,0,0,0,5,0.0,26.2,21,0.1,0.33,6,28.6,12.3,0,2,0,0,0,54,1,13.3,478,571,83.7,18,41,15,1,67,7505,3068,244,269,90.7,183,212,86.3,31,52,59.6,0,0,0,,0,0,,0,0,0,513,56,19,4,1,15,24,6,4,1,0,2,8,473,25,8,25,18,37,25,3,2,5,2,0,3,2,66.7,703,39,144,400,172,44,703,24,15,11,12,1,10,20,50.0,10,7,3,4,12,36,14,2,3.2,3.2,2.4,2.4,3.0,3.0,-1.2,-1.2,-1.0,0.16,0,0.9,0.3,-0.1
Monaco,Rennes,2024-10-05,W,A,2,1,1,2,0,0,0,42,21,2,42.9,38.0,16,16,50.0,27,6,22.2,20,74.1,224,1117,461,9,9,19,1,5.3,4,0,0,16,8,4,2,1,1,0,0,0,8,100.0,59.6,5,0.4,1.0,2,40.0,12.7,0,1,0,0,0,58,0,8.7,303,411,73.7,5,21,4,0,26,5338,2060,151,179,84.4,121,155,78.1,29,62,46.8,0,0,0,,0,0,,0,0,0,365,45,9,0,4,7,22,4,1,2,0,1,8,297,9,5,24,11,9,6,2,1,0,0,0,3,2,66.7,557,70,190,280,92,13,557,24,18,8,12,4,15,25,60.0,10,12,6,6,16,40,33,0,0.6,0.6,-0.2,-0.2,0.6,0.4,1.4,1.4,1.4,0.12,0,0.5,0.15,-0.5
Monaco,Lille,2024-10-18,D,H,0,0,0,0,0,0,0,52,18,3,33.3,32.8,10,11,47.6,14,3,21.4,7,50.0,373,1669,853,16,14,3,1,33.3,1,1,0,13,14,0,0,0,0,0,0,0,7,28.6,29.1,14,0.0,0.0,4,28.6,16.1,1,2,0,0,0,48,0,6.0,410,504,81.3,11,39,11,1,43,6738,2396,201,231,87.0,160,178,89.9,33,64,51.6,0,0,0,,0,0,,0,0,0,452,50,14,1,1,19,22,6,3,0,0,2,5,408,14,9,15,8,23,15,1,1,2,2,2,1,1,100.0,591,35,150,269,178,28,591,16,11,8,5,3,8,15,53.3,7,8,0,8,8,24,3,0,1.2,1.2,1.0,1.0,1.1,0.9,-1.2,-1.2,-1.1,0.09,1,0.5,0.5,0.5
Monaco,Nice,2024-10-27,L,A,1,2,-1,1,0,0,0,59,21,4,33.3,34.8,18,16,52.9,18,5,27.8,13,72.2,363,2306,1164,25,21,15,2,13.3,5,1,1,11,16,2,2,0,0,0,0,0,9,22.2,28.2,11,0.09,0.2,5,45.5,20.0,0,1,0,0,0,50,0,12.8,418,513,81.5,10,37,13,2,56,7355,2834,188,216,87.0,182,198,91.9,39,69,56.5,0,0,0,,0,0,,0,0,0,462,50,17,2,1,16,15,6,6,0,0,1,12,415,21,5,22,15,21,14,3,0,1,2,1,9,7,77.8,630,59,172,302,161,24,630,26,22,17,7,2,16,32,50.0,16,6,2,4,6,32,21,1,0.5,0.5,-1.1,-1.1,0.5,0.8,0.5,0.5,0.5,0.04,0,3.7,0.42,1.7
Monaco,Angers,2024-11-01,L,H,0,1,-1,0,0,0,0,63,22,5,9.1,27.5,7,10,41.2,12,6,50.0,4,33.3,486,2610,1495,30,17,8,1,12.5,1,0,0,16,12,0,0,0,0,0,0,0,5,0.0,19.2,11,0.0,0.0,3,27.3,18.3,1,0,0,0,0,46,0,9.0,498,604,82.5,7,55,17,1,79,8353,3078,231,268,86.2,222,252,88.1,34,57,59.6,0,0,0,,0,0,,0,0,0,561,43,13,2,9,21,19,4,1,3,0,0,10,489,17,2,22,9,15,13,0,0,1,1,0,3,2,66.7,703,45,135,328,247,36,703,14,8,3,7,4,6,19,31.6,13,14,4,10,11,25,12,0,1.4,1.4,0.9,0.9,1.2,2.1,-1.4,-1.4,-1.2,0.13,1,0.5,0.17,-0.5
