Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Montpellier,Strasbourg,2024-08-18,D,H,1,1,0,0,1,1,0,42,29,1,75.9,51.2,7,17,29.2,14,3,21.4,10,71.4,190,1261,512,11,7,9,0,0.0,4,0,0,19,16,2,0,0,0,1,1,0,11,18.2,20.5,7,0.0,0.0,4,57.1,17.9,0,0,1,0,0,46,2,17.8,269,356,75.6,5,20,7,2,35,5365,2033,93,108,86.1,129,153,84.3,39,81,48.1,0,0,0,,0,0,,0,0,0,304,52,16,1,3,19,17,6,0,6,0,0,3,266,7,2,18,14,15,11,1,0,1,1,1,4,3,75.0,454,66,158,202,98,15,453,22,13,7,13,2,10,19,52.6,9,7,1,6,3,25,12,0,1.3,0.6,0.4,-0.3,0.5,0.7,-0.3,-0.6,-0.5,0.09,0,1.5,0.39,0.5
Montpellier,Paris S-G,2024-08-23,L,A,0,6,-6,0,0,0,0,32,29,3,34.5,36.3,6,5,54.5,13,3,23.1,8,61.5,235,1119,520,10,4,11,1,9.1,4,0,0,17,10,0,0,0,0,0,0,0,13,53.8,33.3,8,0.0,0.0,3,37.5,15.9,1,2,0,0,0,41,0,8.8,296,361,82.0,6,15,5,3,25,5230,2215,141,155,91.0,83,96,86.5,53,79,67.1,0,0,0,,0,0,,0,0,0,318,41,10,0,5,9,9,2,0,2,0,2,4,295,4,2,16,13,14,10,2,1,1,0,0,11,5,45.5,461,79,197,206,60,10,461,19,11,10,8,1,17,27,63.0,10,8,3,5,12,31,15,0,0.6,0.6,-3.2,-3.2,0.5,0.3,-0.6,-0.6,-0.5,0.08,1,3.8,0.34,-2.2
Montpellier,Nantes,2024-08-31,L,H,1,3,-2,1,0,0,0,69,15,2,33.3,33.3,10,15,40.0,28,10,35.7,16,57.1,364,2191,998,15,12,9,1,11.1,2,0,0,11,13,1,0,0,0,1,0,0,6,16.7,19.5,10,0.1,0.25,4,40.0,22.6,2,0,0,1,0,38,2,19.4,524,627,83.6,6,43,4,1,42,9095,2778,219,235,93.2,255,280,91.1,39,75,52.0,1,1,0,0.0,1,0,0.0,0,0,0,570,57,13,0,2,35,27,8,4,2,0,0,18,520,12,6,8,8,17,8,2,1,1,5,0,4,1,50.0,726,43,163,370,201,23,726,15,7,9,2,4,8,13,61.5,5,8,1,7,4,19,12,0,0.9,0.9,-0.5,0.2,0.2,0.5,0.1,0.1,-0.2,0.09,2,1.5,0.16,-1.5
Montpellier,Rennes,2024-09-15,L,A,0,3,-3,0,0,0,0,49,22,3,50.0,38.2,9,10,47.4,17,9,52.9,7,41.2,375,2186,1089,21,14,16,1,6.3,3,0,0,7,9,0,0,0,0,0,0,0,8,12.5,20.3,12,0.0,0.0,4,33.3,23.5,0,3,0,0,0,49,2,17.8,402,476,84.5,11,39,2,2,35,7608,2652,186,201,92.5,164,180,91.1,50,83,60.2,0,0,0,,0,0,,0,0,0,437,36,9,1,8,15,11,4,1,2,0,3,3,401,14,4,18,8,23,20,1,0,1,0,1,6,3,50.0,583,55,182,262,143,9,583,23,13,13,8,2,13,27,48.1,14,4,0,4,15,38,21,1,0.3,0.3,-1.0,-1.0,0.3,0.4,-0.3,-0.3,-0.3,0.03,0,2.0,0.33,-1.0
Montpellier,Auxerre,2024-09-22,W,H,3,2,1,3,0,0,0,54,23,5,34.8,32.8,13,14,48.1,17,10,58.8,7,41.2,294,1556,851,21,7,16,1,6.3,3,0,0,13,19,6,4,1,1,0,0,0,9,66.7,52.0,14,0.21,0.75,4,28.6,14.4,0,4,0,0,0,37,0,10.0,359,482,74.5,14,31,8,2,40,6970,2856,149,180,82.8,157,188,83.5,51,98,52.0,0,0,0,,0,0,,0,0,0,407,71,21,3,4,36,27,11,2,7,0,4,12,357,7,4,11,8,27,21,3,1,1,0,1,5,3,60.0,577,53,201,245,141,17,577,22,12,10,10,2,13,20,65.0,7,12,3,9,12,34,13,0,2.0,2.0,0.8,0.8,2.0,1.4,1.0,1.0,1.0,0.15,0,1.3,0.26,-0.7
Montpellier,Monaco,2024-09-28,L,A,1,2,-1,1,0,0,0,35,27,6,63.0,46.1,15,11,57.7,20,10,50.0,10,50.0,176,1004,446,12,7,14,6,42.9,3,1,1,17,17,2,2,0,0,0,0,0,11,72.7,48.5,9,0.11,0.33,3,33.3,20.4,1,2,0,0,0,43,0,10.1,210,310,67.7,5,22,3,1,31,4009,2012,92,113,81.4,79,104,76.0,30,70,42.9,0,0,0,,0,0,,0,0,0,261,47,17,3,3,11,14,2,1,1,0,2,6,207,7,5,13,14,13,11,0,0,0,1,1,6,4,66.7,430,80,175,174,82,14,430,26,16,10,15,1,8,22,36.4,14,13,5,8,6,32,26,0,0.9,0.9,-2.4,-2.4,0.6,0.2,0.1,0.1,0.4,0.1,1,2.2,0.38,0.2
Montpellier,Reims,2024-10-06,L,A,2,4,-2,2,0,0,0,52,14,3,21.4,28.4,7,10,41.2,22,7,31.8,15,68.2,359,1738,861,18,14,13,1,7.7,5,0,0,13,15,3,1,1,1,0,0,0,7,0.0,18.7,10,0.2,0.67,3,30.0,23.2,0,0,0,1,0,35,2,17.2,403,482,83.6,8,33,7,2,44,7206,2657,172,191,90.1,185,202,91.6,35,65,53.8,1,1,0,0.0,1,0,0.0,0,0,0,430,52,18,0,5,20,18,4,2,2,0,0,11,397,14,5,17,5,19,15,1,3,0,0,0,5,1,40.0,578,51,183,267,132,21,578,11,8,6,5,0,6,15,40.0,9,8,4,4,9,20,14,0,0.5,0.5,-2.5,-1.7,0.3,0.9,1.5,1.5,0.7,0.05,0,2.8,0.42,-1.2
Montpellier,Marseille,2024-10-20,L,H,0,5,-5,0,0,0,0,35,24,7,37.5,36.3,10,5,66.7,20,10,50.0,8,40.0,242,1654,827,19,7,9,0,0.0,1,1,0,11,17,0,0,0,0,0,0,0,7,42.9,32.0,13,0.0,0.0,5,38.5,18.9,1,6,0,0,0,36,0,12.0,259,326,79.4,9,24,3,2,19,4874,2051,106,126,84.1,117,132,88.6,33,54,61.1,0,0,0,,0,0,,0,0,0,273,47,19,3,2,8,12,3,0,2,0,6,3,256,7,9,10,8,22,11,2,3,1,3,2,10,5,50.0,417,64,170,183,73,17,417,28,12,13,13,2,13,23,56.5,10,6,2,4,7,35,16,2,1.3,1.3,-1.9,-1.9,0.7,0.6,-1.3,-1.3,-0.7,0.1,1,4.7,0.47,-0.3
Montpellier,Toulouse,2024-10-27,L,H,0,3,-3,0,0,0,0,51,34,7,41.2,34.4,15,14,51.7,19,9,47.4,9,47.4,440,2444,1135,21,16,9,2,22.2,1,1,0,8,19,0,0,0,0,0,0,0,7,28.6,28.3,9,0.0,0.0,2,22.2,27.3,2,0,0,0,0,43,0,6.5,434,524,82.8,6,30,2,1,33,7440,2219,188,203,92.6,178,209,85.2,44,77,57.1,0,0,0,,0,0,,0,0,0,480,44,19,0,6,20,13,1,1,0,0,0,5,430,16,3,12,7,16,10,1,1,2,2,0,6,3,50.0,620,68,204,294,133,7,620,14,9,4,9,1,7,14,50.0,7,8,4,4,8,22,21,2,0.2,0.2,-1.7,-1.7,0.1,0.2,-0.2,-0.2,-0.1,0.02,2,2.2,0.37,-0.8
Montpellier,Le Havre,2024-11-03,L,A,0,1,-1,0,0,0,0,52,24,1,33.3,35.0,13,23,36.1,18,8,44.4,9,50.0,338,1858,860,21,11,12,0,0.0,1,0,0,13,11,0,0,0,0,0,0,0,6,16.7,22.2,15,0.0,0.0,1,6.7,18.0,0,0,0,1,0,50,2,14.5,402,507,79.3,11,44,8,5,44,7512,2595,174,204,85.3,171,202,84.7,53,83,63.9,1,1,0,0.0,1,0,0.0,0,0,0,463,44,14,3,2,32,12,10,2,7,0,0,12,397,11,5,17,6,23,19,1,1,1,1,0,4,3,100.0,613,59,173,291,156,23,613,15,8,7,7,1,4,7,57.1,3,11,4,7,10,25,17,2,1.0,1.0,-1.2,-0.4,0.9,0.9,-1.0,-1.0,-0.9,0.07,0,2.0,0.25,1.0
Montpellier,Brest,2024-11-10,W,H,3,1,2,2,1,2,1,33,29,5,44.8,39.0,12,23,34.3,18,7,38.9,9,50.0,175,758,365,4,6,24,1,4.2,5,0,0,18,12,5,3,1,0,0,1,0,13,84.6,56.5,12,0.17,0.33,6,50.0,23.0,1,3,1,0,0,29,1,19.0,190,275,69.1,9,14,5,2,14,3906,1711,66,84,78.6,83,105,79.0,38,69,55.1,0,0,0,,0,0,,0,0,0,228,44,11,0,2,8,15,3,1,2,0,3,4,189,6,1,10,6,21,11,6,0,0,3,1,6,5,83.3,408,80,183,147,84,16,406,25,13,12,9,4,13,19,68.4,6,8,1,7,10,35,34,0,2.5,0.9,1.6,0.0,0.8,0.9,0.5,1.1,0.2,0.08,1,1.1,0.18,0.1
Montpellier,Saint-Étienne,2024-11-23,L,A,0,1,-1,0,0,0,0,67,36,4,11.1,21.9,11,13,45.8,13,2,15.4,7,53.8,409,2065,1064,14,11,8,2,25.0,5,0,0,11,18,0,0,0,0,0,0,0,6,16.7,33.8,11,0.0,0.0,3,27.3,20.4,2,0,0,0,0,36,0,9.3,493,583,84.6,7,30,7,3,40,9637,3003,196,219,89.5,227,248,91.5,64,92,69.6,0,0,0,,0,0,,0,0,0,527,56,18,1,6,23,19,11,5,3,0,0,13,491,11,7,15,9,19,12,2,1,2,1,1,4,3,75.0,675,46,231,320,132,20,675,16,9,8,6,2,4,12,33.3,8,9,3,6,12,28,13,0,0.9,0.9,-0.6,-0.6,0.6,1.0,-0.9,-0.9,-0.6,0.09,2,1.0,0.24,0.0
Montpellier,Lille,2024-12-01,D,H,2,2,0,2,0,0,0,42,42,2,47.6,37.8,15,18,45.5,22,8,36.4,12,54.5,200,1278,650,15,5,8,1,12.5,4,1,0,9,21,2,0,1,0,1,0,0,8,50.0,37.3,11,0.18,0.4,5,45.5,17.0,0,3,0,2,0,36,0,4.7,261,356,73.3,10,17,5,2,16,5209,1903,95,117,81.2,112,129,86.8,44,89,49.4,2,2,0,0.0,2,0,0.0,0,0,0,298,55,22,3,1,18,15,7,3,3,0,3,6,257,5,1,10,12,19,12,4,1,1,1,0,4,2,100.0,465,58,179,205,93,14,465,15,8,9,6,0,10,21,47.6,11,8,2,6,10,25,14,0,1.4,1.4,-0.8,0.8,0.7,0.6,0.6,0.6,0.3,0.13,0,2.1,0.08,0.1
Montpellier,Lens,2024-12-08,L,A,0,2,-2,0,0,0,0,45,35,2,45.7,36.4,10,10,50.0,20,8,40.0,9,45.0,357,1787,813,20,13,19,0,0.0,3,0,0,7,14,0,0,0,0,0,0,0,12,33.3,33.5,7,0.0,0.0,3,42.9,13.0,0,1,0,0,1,41,0,13.5,365,456,80.0,5,21,4,2,26,6956,2521,142,162,87.7,168,192,87.5,45,80,56.3,0,0,0,,0,0,,0,0,1,404,51,19,1,6,18,14,3,1,1,0,1,8,358,13,4,15,7,12,9,1,0,2,0,0,3,2,33.3,574,77,251,215,115,18,574,20,14,10,6,4,13,20,65.0,7,13,5,8,7,27,27,1,1.0,1.0,-0.2,-0.2,0.8,0.6,-1.0,-1.0,-0.8,0.16,0,0.5,0.18,-0.5
Montpellier,Nice,2024-12-15,D,H,2,2,0,2,0,0,0,52,35,5,42.9,36.9,14,14,50.0,22,6,27.3,13,59.1,321,1739,915,24,12,17,0,0.0,1,0,0,15,13,4,4,0,0,0,0,0,6,33.3,34.8,21,0.1,0.25,8,38.1,16.3,0,1,0,0,0,44,0,10.5,352,448,78.6,17,33,10,3,44,7253,2879,149,183,81.4,133,153,86.9,69,97,71.1,0,0,0,,0,0,,0,0,0,393,54,13,2,3,32,23,9,2,7,0,1,13,349,12,10,13,12,36,26,4,2,2,1,1,6,4,66.7,573,64,183,229,165,37,573,25,15,15,7,3,13,24,54.2,11,12,5,7,2,27,22,0,2.0,2.0,0.5,0.5,1.9,2.4,0.0,0.0,0.1,0.09,0,2.1,0.34,0.1
Montpellier,Lyon,2025-01-04,L,A,0,1,-1,0,0,0,0,43,40,5,55.0,41.9,10,12,45.5,19,9,47.4,10,52.6,230,1610,768,18,8,15,0,0.0,2,0,0,10,8,0,0,0,0,0,0,0,7,85.7,55.7,16,0.0,0.0,6,37.5,19.7,1,0,0,0,1,42,2,20.3,327,418,78.2,12,23,7,3,34,6529,2599,113,128,88.3,162,189,85.7,45,85,52.9,0,0,0,,0,0,,0,0,1,366,52,8,5,4,22,30,5,2,3,0,0,6,323,8,5,20,5,29,22,3,1,2,1,0,1,1,0.0,553,76,187,258,118,19,553,21,11,14,6,1,10,18,55.6,8,13,4,9,9,30,31,0,1.2,1.2,-0.2,-0.2,0.9,0.8,-1.2,-1.2,-0.9,0.07,1,0.5,0.5,0.5
Montpellier,Angers,2025-01-12,L,H,1,3,-2,0,1,1,0,58,21,2,28.6,28.9,13,15,46.4,14,9,64.3,3,21.4,385,2580,1456,25,18,11,0,0.0,6,2,1,11,13,2,1,0,0,0,1,0,9,22.2,29.3,7,0.0,0.0,2,28.6,22.1,0,2,1,0,0,44,1,25.0,437,559,78.2,4,42,5,2,44,8124,2578,172,207,83.1,186,217,85.7,60,95,63.2,0,0,0,,0,0,,0,0,0,501,56,15,3,3,32,26,3,1,2,0,2,12,432,18,3,13,7,14,11,1,0,1,1,0,8,5,62.5,666,54,151,348,175,26,665,16,6,6,7,3,11,20,55.0,9,13,5,8,3,19,23,3,1.2,0.4,-2.6,-3.4,0.3,0.3,-0.2,-0.4,-0.3,0.06,0,4.3,0.53,1.3
Montpellier,Monaco,2025-01-17,W,H,2,1,1,2,0,0,0,33,28,4,57.1,42.8,23,20,53.5,22,10,45.5,12,54.5,191,1074,677,18,11,30,2,6.7,1,0,0,7,9,2,1,0,1,0,0,0,9,88.9,51.0,12,0.17,0.5,4,33.3,16.1,2,3,0,0,0,45,0,10.3,176,296,59.5,6,9,6,3,22,3097,1649,85,110,77.3,53,82,64.6,28,68,41.2,0,0,0,,0,0,,0,1,0,251,42,10,0,2,15,17,4,1,3,0,3,11,172,11,4,12,10,17,9,1,5,0,2,0,11,10,90.9,438,90,171,184,89,18,438,13,7,8,5,0,8,17,47.1,9,16,9,7,8,21,42,1,2.4,2.4,0.6,0.6,1.5,0.8,-0.4,-0.4,-0.5,0.2,2,2.9,0.28,1.9
Montpellier,Toulouse,2025-01-26,W,A,2,1,1,2,0,0,0,34,28,3,75.0,48.4,15,10,60.0,14,5,35.7,9,64.3,143,838,345,3,5,18,1,5.6,2,0,0,15,8,4,2,0,1,0,1,0,8,100.0,61.0,6,0.33,0.5,4,66.7,17.1,0,1,0,0,0,45,1,12.2,194,302,64.2,4,16,1,0,21,3563,1554,75,101,74.3,87,114,76.3,24,66,36.4,0,0,0,,0,0,,0,0,0,256,45,11,1,1,9,22,2,1,1,0,1,8,190,5,0,15,7,10,4,1,2,2,1,0,5,4,80.0,434,65,167,207,63,7,434,21,13,7,14,0,7,20,35.0,13,13,5,8,17,38,39,0,0.5,0.5,-0.4,-0.4,0.4,0.4,1.5,1.5,0.6,0.09,0,0.8,0.16,-0.2
