Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Nantes,Toulouse,2024-08-18,D,A,0,0,0,0,0,0,0,46,25,6,56.0,43.2,10,22,31.3,15,7,46.7,8,53.3,344,1861,788,15,13,20,2,10.0,3,0,0,11,14,0,0,0,0,0,0,0,7,85.7,56.7,10,0.0,0.0,2,20.0,15.5,0,0,0,0,0,40,0,4.6,374,461,81.1,8,25,5,3,27,6963,2113,148,160,92.5,181,204,88.7,40,83,48.2,0,0,0,,0,0,,0,0,0,419,42,14,0,1,22,15,5,2,3,0,0,4,372,13,4,16,12,18,13,2,1,1,1,0,6,6,100.0,575,73,176,255,151,17,575,18,11,11,5,2,7,12,58.3,5,10,3,7,5,23,33,0,0.5,0.5,-1.2,-1.2,0.4,0.4,-0.5,-0.5,-0.4,0.05,0,1.3,0.22,1.3
Nantes,Auxerre,2024-08-25,W,H,2,0,2,2,0,0,0,36,13,2,46.2,41.2,10,18,35.7,20,9,45.0,9,45.0,173,1067,535,15,14,28,1,3.6,2,0,0,9,5,3,1,0,2,0,0,0,7,42.9,41.0,9,0.22,0.4,5,55.6,16.7,1,2,0,0,0,44,0,5.8,240,346,69.4,5,22,7,2,27,4204,1974,103,129,79.8,111,142,78.2,21,51,41.2,0,0,0,,0,0,,0,0,0,297,47,6,1,2,22,30,3,1,1,0,2,12,239,14,7,12,13,15,8,1,4,1,1,0,3,3,100.0,488,73,180,177,136,20,488,21,13,10,6,5,8,16,50.0,8,15,5,10,10,31,41,0,1.4,1.4,0.3,0.3,0.9,0.6,0.6,0.6,0.1,0.16,1,0.3,0.11,0.3
Nantes,Montpellier,2024-08-31,W,A,3,1,2,2,1,1,0,31,16,4,37.5,38.2,15,10,60.0,14,5,35.7,8,57.1,193,949,455,14,6,27,3,11.1,2,0,0,14,10,5,4,0,0,1,0,0,6,100.0,69.8,8,0.25,0.67,3,37.5,18.8,0,1,0,0,0,36,1,9.3,209,285,73.3,8,17,7,1,24,3778,1807,96,112,85.7,92,112,82.1,19,49,38.8,0,0,0,,0,0,,0,0,0,249,35,10,3,0,9,14,3,1,2,0,1,6,207,6,5,16,7,16,12,2,1,1,0,0,4,3,75.0,415,66,182,151,86,16,414,24,17,16,6,2,16,26,61.5,10,14,2,12,8,32,46,1,1.5,0.7,0.5,-0.2,0.7,0.6,1.5,1.3,1.3,0.09,0,0.5,0.14,-0.5
Nantes,Reims,2024-09-15,L,H,1,2,-1,1,0,0,0,45,23,4,17.4,28.7,9,8,52.9,24,12,50.0,12,50.0,282,1682,903,23,10,11,0,0.0,3,0,0,14,5,2,2,0,0,0,0,0,6,83.3,53.5,18,0.06,0.17,6,33.3,18.4,0,2,0,0,0,42,0,15.3,428,501,85.4,14,30,11,4,42,7590,2605,180,192,93.8,204,224,91.1,36,63,57.1,0,0,0,,0,0,,0,0,0,459,40,7,0,2,21,18,6,1,3,0,2,7,426,10,4,12,3,32,21,4,4,2,0,1,4,2,50.0,604,51,182,307,124,23,604,21,14,9,9,3,11,21,52.4,10,3,2,1,5,26,30,0,1.5,1.5,1.0,1.0,1.3,1.1,-0.5,-0.5,-0.3,0.09,0,0.9,0.23,-1.1
Nantes,Angers,2024-09-22,D,A,1,1,0,1,0,0,0,50,23,6,21.7,31.8,21,12,63.6,20,9,45.0,11,55.0,402,1908,848,20,22,12,2,16.7,4,0,0,16,12,2,2,0,0,0,0,0,6,83.3,57.0,9,0.11,0.33,3,33.3,14.8,0,0,0,1,0,30,0,10.7,424,526,80.6,5,33,5,1,39,7294,2802,212,240,88.3,152,182,83.5,49,79,62.0,1,1,0,0.0,1,0,0.0,0,0,0,468,58,13,0,1,16,31,6,5,1,0,0,11,424,22,6,14,12,16,10,3,2,1,0,0,1,0,100.0,628,42,164,323,143,21,628,20,11,12,5,3,15,24,62.5,9,4,1,3,5,25,21,0,0.6,0.6,-0.2,0.6,0.5,0.7,0.4,0.4,0.5,0.07,0,0.6,0.0,-0.4
Nantes,Saint-Étienne,2024-09-29,D,H,2,2,0,2,0,0,0,61,18,4,11.1,25.2,14,12,53.8,22,13,59.1,9,40.9,292,1676,951,24,14,10,0,0.0,2,1,0,11,12,4,3,0,1,0,0,0,3,0.0,16.3,16,0.13,0.67,3,18.8,13.4,0,2,0,1,0,34,0,13.0,508,605,84.0,13,60,13,6,67,9119,3245,220,241,91.3,229,258,88.8,46,73,63.0,1,1,0,0.0,1,0,0.0,0,1,0,549,54,13,1,3,35,27,8,2,5,0,2,13,507,14,5,10,8,32,19,5,4,3,1,0,3,1,66.7,690,34,119,385,189,31,690,16,11,5,9,2,10,13,76.9,3,6,0,6,6,22,10,0,1.8,1.8,0.8,1.6,1.6,2.2,0.2,0.2,-0.6,0.11,0,1.1,0.13,-0.9
Nantes,Lyon,2024-10-06,L,A,0,2,-2,0,0,0,0,39,19,6,26.3,29.3,6,6,50.0,26,11,42.3,15,57.7,314,1427,705,15,11,19,0,0.0,2,0,0,5,10,0,0,0,0,0,0,0,7,42.9,43.6,11,0.0,0.0,6,54.5,15.0,0,1,0,0,1,47,0,10.5,327,420,77.9,7,26,4,1,28,5474,2352,165,184,89.7,129,152,84.9,26,64,40.6,0,0,0,,0,0,,0,1,1,364,55,11,2,2,20,25,9,5,4,0,1,10,324,11,5,13,6,20,14,2,1,0,1,2,6,5,66.7,543,72,209,222,120,20,543,17,12,9,4,4,10,18,55.6,8,9,4,5,8,25,35,0,0.9,0.9,-2.3,-2.3,0.4,0.2,-0.9,-0.9,-0.4,0.08,0,1.3,0.22,0.3
Nantes,Nice,2024-10-20,D,H,1,1,0,1,0,0,0,43,37,8,40.5,38.9,11,7,61.1,15,4,26.7,10,66.7,350,1759,812,16,15,13,3,23.1,2,0,0,10,10,2,2,0,0,0,0,0,5,40.0,33.6,11,0.09,0.14,7,63.6,19.5,0,0,0,0,0,41,0,6.3,355,440,80.7,11,23,7,4,33,6277,2306,163,184,88.6,165,181,91.2,23,60,38.3,0,0,0,,0,0,,0,0,0,393,47,13,1,2,19,23,4,1,1,0,0,9,351,15,3,13,6,22,21,1,0,0,0,0,7,6,85.7,566,84,203,249,121,17,566,23,15,13,8,2,13,23,56.5,10,11,1,10,13,36,27,0,0.5,0.5,-0.3,-0.3,0.5,0.8,0.5,0.5,0.5,0.04,0,2.1,0.31,1.1
Nantes,Strasbourg,2024-10-27,L,A,1,3,-2,1,0,0,0,50,39,1,30.8,34.9,10,14,41.7,7,1,14.3,6,85.7,374,1495,525,6,4,12,0,0.0,3,0,0,17,12,2,2,0,0,0,0,0,4,25.0,32.8,8,0.13,0.17,6,75.0,12.5,0,2,0,0,0,39,2,18.7,431,518,83.2,7,33,10,4,37,8117,3050,158,179,88.3,228,242,94.2,40,67,59.7,0,0,0,,0,0,,0,0,0,467,49,15,0,1,15,22,4,2,2,0,2,14,429,4,4,13,5,14,11,2,0,1,0,0,5,2,40.0,617,50,203,310,106,24,617,21,10,7,13,1,12,23,52.2,11,15,3,12,6,27,14,0,0.7,0.7,-1.0,-1.0,0.7,1.3,0.3,0.3,0.3,0.1,0,2.9,0.58,-0.1
Nantes,Marseille,2024-11-03,L,H,1,2,-1,1,0,0,0,27,27,8,40.7,37.9,10,8,55.6,15,5,33.3,10,66.7,210,1049,478,11,8,15,1,6.7,1,0,0,17,5,2,2,0,0,0,0,0,3,66.7,54.0,7,0.14,0.33,3,42.9,13.1,0,4,0,0,0,41,1,13.4,237,322,73.6,5,17,2,1,25,4136,1741,108,127,85.0,101,119,84.9,24,49,49.0,0,0,0,,0,0,,0,0,0,284,34,7,0,1,8,19,2,0,2,0,4,12,237,8,4,17,4,10,6,2,1,0,0,1,4,2,50.0,418,57,174,164,86,20,418,19,15,10,5,4,7,20,35.0,13,8,2,6,7,26,19,0,1.4,1.4,0.1,0.1,0.8,0.7,-0.4,-0.4,0.2,0.19,0,1.7,0.42,-0.3
