Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Nice,Auxerre,2024-08-18,L,A,1,2,-1,1,0,0,0,55,17,6,5.9,19.8,9,9,50.0,17,5,29.4,10,58.8,380,2055,1284,22,12,14,1,7.1,0,0,0,17,11,2,2,0,0,0,0,0,9,0.0,15.2,9,0.11,0.5,2,22.2,14.4,1,3,0,0,0,39,0,9.0,446,530,84.2,8,32,12,3,56,7287,2716,216,230,93.9,206,232,88.8,23,50,46.0,0,0,0,,0,0,,0,0,0,485,42,12,0,0,20,13,5,4,0,0,3,9,445,12,4,15,9,18,16,0,0,0,1,1,7,5,71.4,630,54,174,335,127,23,630,16,10,5,8,3,8,15,53.3,7,6,1,5,8,24,17,2,0.7,0.7,-1.1,-1.1,0.7,1.0,0.3,0.3,0.3,0.08,1,2.2,0.4,0.2
Nice,Toulouse,2024-08-25,D,H,1,1,0,1,0,0,0,57,28,3,0.0,18.8,18,15,54.5,29,10,34.5,18,62.1,287,1476,636,10,10,12,3,25.0,4,0,0,12,21,2,2,0,0,0,0,0,6,50.0,38.2,11,0.09,0.33,3,27.3,13.6,1,1,0,0,0,42,0,5.3,406,502,80.9,7,20,5,1,26,7040,2550,173,198,87.4,205,231,88.7,25,56,44.6,0,0,0,,0,0,,0,0,0,444,57,21,4,1,20,24,4,0,4,0,1,12,401,10,4,23,8,21,11,5,3,0,2,0,3,2,66.7,625,54,221,299,108,21,625,19,7,5,14,0,12,21,57.1,9,17,5,12,6,25,12,2,1.3,1.3,0.3,0.3,1.1,0.9,-0.3,-0.3,-0.1,0.12,1,1.1,0.36,0.1
Nice,Angers,2024-09-01,W,A,4,1,3,4,0,0,0,46,33,6,30.3,36.5,9,14,39.1,24,9,37.5,12,50.0,286,1774,1037,16,10,14,3,21.4,4,1,1,13,13,6,2,1,1,2,0,0,10,10.0,15.6,14,0.29,0.5,8,57.1,15.3,0,0,0,1,0,40,0,6.2,332,413,80.4,8,18,7,1,33,5886,2411,142,162,87.7,151,179,84.4,32,56,57.1,1,1,0,0.0,1,0,0.0,0,0,0,368,45,14,3,0,14,12,7,4,2,0,0,4,327,10,4,17,13,19,13,2,2,2,0,0,7,6,100.0,526,68,180,255,97,20,526,19,15,7,10,2,6,17,35.3,11,8,2,6,7,26,22,0,2.2,2.2,0.8,1.6,1.0,1.3,1.8,1.8,2.0,0.17,0,1.6,0.12,0.6
Nice,Marseille,2024-09-14,L,A,0,2,-2,0,0,0,0,44,25,4,24.0,28.2,3,11,21.4,21,6,28.6,11,52.4,310,1671,926,23,11,3,0,0.0,2,0,0,4,18,0,0,0,0,0,0,0,3,33.3,24.3,12,0.0,0.0,4,33.3,13.6,1,5,0,0,0,47,3,21.0,350,424,82.5,8,31,5,0,35,5691,2182,176,193,91.2,139,163,85.3,23,39,59.0,0,0,0,,0,0,,0,1,0,378,41,19,2,2,16,14,2,1,1,0,5,8,344,11,9,12,11,21,15,2,0,2,2,0,5,3,60.0,521,45,155,258,116,28,521,18,15,6,10,2,8,14,57.1,6,6,2,4,9,27,14,1,1.9,1.9,1.2,1.2,1.1,0.5,-1.9,-1.9,-1.1,0.17,1,1.8,0.35,-0.2
Nice,Saint-Étienne,2024-09-20,W,H,8,0,8,6,1,1,0,59,33,5,3.0,22.0,4,3,57.1,19,10,52.6,9,47.4,583,2713,1407,20,12,5,1,20.0,0,0,0,7,13,12,6,1,2,2,1,0,6,0.0,13.0,17,0.35,0.55,11,64.7,15.3,0,3,1,0,0,44,0,10.7,637,703,90.6,11,33,6,1,33,9603,3089,365,384,95.1,223,242,92.1,31,48,64.6,0,0,0,,0,0,,0,0,0,665,35,12,6,1,9,13,3,1,2,0,3,3,632,12,6,14,5,32,22,3,3,2,2,0,2,2,100.0,806,59,287,399,123,21,805,15,11,9,5,1,6,10,60.0,4,5,2,3,11,26,12,0,4.7,3.9,4.4,3.6,2.2,1.2,2.3,2.1,0.8,0.27,0,0.4,0.18,0.4
Nice,Lens,2024-09-28,D,A,0,0,0,0,0,0,0,44,33,8,36.4,34.4,7,16,30.4,22,11,50.0,10,45.5,251,1615,900,19,12,25,1,4.0,2,0,0,7,16,0,0,0,0,0,0,0,14,42.9,36.4,15,0.0,0.0,4,26.7,18.6,3,1,0,0,0,40,1,9.6,316,403,78.4,7,20,4,1,29,5117,2303,168,196,85.7,122,141,86.5,21,53,39.6,0,0,0,,0,0,,0,0,0,361,41,14,2,0,11,8,4,2,1,0,1,4,311,12,6,14,7,25,13,2,2,2,4,2,6,6,100.0,547,89,226,196,131,18,547,32,15,16,9,7,19,25,76.0,6,14,6,8,12,44,26,2,1.1,1.1,-0.8,-0.8,0.6,0.5,-1.1,-1.1,-0.6,0.08,3,1.5,0.25,1.5
Nice,Paris S-G,2024-10-06,D,H,1,1,0,1,0,0,0,29,29,5,48.3,37.3,12,10,54.5,21,8,38.1,11,52.4,251,1251,692,17,7,25,0,0.0,1,0,0,7,9,0,0,0,0,0,0,0,7,14.3,16.7,9,0.11,0.33,3,33.3,17.3,0,2,0,0,1,42,0,5.0,248,313,79.2,8,14,7,3,28,4028,1825,121,136,89.0,99,118,83.9,20,42,47.6,0,0,0,,0,0,,0,0,1,276,35,10,1,0,11,11,5,1,3,0,2,7,247,7,3,16,11,14,11,3,0,0,0,0,7,7,85.7,444,100,226,145,80,12,444,24,13,20,3,1,11,20,55.0,9,15,6,9,7,31,36,0,0.5,0.5,-0.8,-0.8,0.4,0.7,0.5,0.5,-0.4,0.05,0,0.7,0.1,0.7
Nice,Nantes,2024-10-20,D,A,1,1,0,1,0,0,0,57,23,6,8.7,22.3,7,11,38.9,25,10,40.0,13,52.0,432,2387,1410,32,14,13,0,0.0,1,0,0,11,8,2,2,0,0,0,0,0,5,20.0,22.6,13,0.08,0.14,7,53.8,17.6,0,2,0,0,0,52,0,11.5,502,589,85.2,13,41,9,2,53,8322,2624,235,258,91.1,226,256,88.3,32,52,61.5,0,0,0,,0,0,,0,0,0,541,46,10,1,4,25,21,8,3,4,0,2,12,492,14,8,18,10,25,20,3,1,1,0,0,7,6,85.7,711,58,169,361,188,34,711,16,10,4,12,0,10,14,71.4,4,9,1,8,10,26,24,0,0.8,0.8,0.3,0.3,0.8,1.4,0.2,0.2,0.2,0.06,0,1.9,0.28,0.9
Nice,Monaco,2024-10-27,W,H,2,1,1,2,0,0,0,41,18,6,50.0,37.7,16,18,47.1,32,16,50.0,16,50.0,208,1303,764,23,22,13,0,0.0,2,0,0,16,11,2,0,1,0,0,1,0,3,33.3,32.0,17,0.12,0.22,9,52.9,18.8,0,2,0,0,0,62,0,6.3,267,355,75.2,16,21,14,2,42,4579,2056,124,147,84.4,106,129,82.2,29,61,47.5,0,0,0,,0,0,,0,0,0,314,39,12,5,2,18,16,6,2,1,0,2,4,265,22,8,16,10,30,18,4,4,1,1,2,5,4,80.0,508,56,182,174,166,35,508,28,20,12,11,5,13,18,72.2,5,14,4,10,17,45,30,0,1.6,1.6,1.1,1.1,1.4,1.8,0.4,0.4,-0.4,0.1,0,0.6,0.12,-0.4
Nice,Brest,2024-11-02,W,A,1,0,1,1,0,0,0,37,26,4,38.5,39.3,18,15,54.5,26,10,38.5,15,57.7,235,1138,604,13,8,20,0,0.0,2,0,0,4,9,2,2,0,0,0,0,0,13,61.5,41.9,12,0.08,0.33,3,25.0,14.2,0,4,0,0,0,48,1,15.3,284,376,75.5,9,19,8,2,29,5332,2202,127,148,85.8,112,129,86.8,36,69,52.2,0,0,0,,0,0,,0,0,0,327,45,10,2,5,7,19,2,2,0,0,4,9,282,8,3,15,12,19,14,1,2,2,0,0,6,6,100.0,505,83,203,213,92,14,505,20,11,15,3,2,10,17,58.8,7,13,1,12,11,31,30,1,1.4,1.4,0.4,0.4,1.1,1.0,-0.4,-0.4,-0.1,0.12,0,1.3,0.22,1.3
