Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Paris S-G,Le Havre,2024-08-16,W,A,4,1,3,3,1,1,0,76,24,5,20.8,27.7,10,5,66.7,15,4,26.7,10,66.7,678,3200,1550,25,22,5,1,20.0,0,0,0,9,9,8,7,0,0,0,1,0,4,50.0,36.0,14,0.21,0.38,8,57.1,15.2,0,1,1,0,0,38,1,16.0,798,866,92.1,12,62,7,1,64,13370,3735,368,389,94.6,352,368,95.7,61,76,80.3,0,0,0,,0,0,,0,0,0,819,46,11,2,5,15,21,8,0,3,0,1,13,796,22,10,13,15,24,19,2,1,1,1,0,2,1,50.0,967,50,220,533,221,25,966,17,12,3,12,2,8,12,66.7,4,9,2,7,4,21,9,0,2.9,2.1,2.7,1.9,2.0,1.1,1.1,0.9,1.0,0.15,0,0.2,0.09,-0.8
Paris S-G,Montpellier,2024-08-23,W,H,6,0,6,6,0,0,0,68,23,2,13.0,23.4,5,6,45.5,29,10,34.5,17,58.6,641,3329,1760,37,29,9,0,0.0,1,0,0,11,14,12,11,0,1,0,0,0,7,42.9,28.1,27,0.22,0.55,11,40.7,17.0,4,0,0,0,0,46,1,12.7,713,774,92.1,22,34,12,1,61,10239,3038,407,425,95.8,224,237,94.5,41,58,70.7,0,0,0,,0,0,,0,0,0,730,44,15,5,4,17,11,10,1,3,0,0,7,708,29,15,17,2,53,39,3,5,1,4,1,3,3,100.0,890,45,143,465,289,38,890,21,10,7,11,3,8,11,72.7,3,6,2,4,10,31,7,1,3.8,3.8,3.2,3.2,3.6,2.6,2.2,2.2,2.4,0.14,4,0.3,0.11,0.3
Paris S-G,Lille,2024-09-01,W,A,3,1,2,2,1,1,0,58,36,4,22.2,27.9,8,4,66.7,22,12,54.5,10,45.5,438,2318,1234,25,15,11,0,0.0,2,0,0,9,9,6,4,1,0,0,1,0,8,75.0,43.8,10,0.2,0.33,6,60.0,13.4,0,2,1,0,0,44,1,24.0,566,641,88.3,10,32,7,1,38,9736,2727,255,269,94.8,268,290,92.4,38,63,60.3,0,0,0,,0,0,,0,0,0,595,44,14,0,1,5,19,1,0,0,0,2,7,562,15,11,13,9,22,16,1,3,0,1,1,4,3,75.0,737,98,271,344,126,22,736,22,14,17,4,1,9,17,52.9,8,5,0,5,7,29,16,1,2.6,1.8,1.2,0.4,1.8,1.2,0.4,0.2,0.2,0.18,0,1.5,0.38,0.5
Paris S-G,Brest,2024-09-14,W,H,3,1,2,3,0,0,0,67,18,4,5.6,23.6,5,9,35.7,30,8,26.7,22,73.3,430,2973,1749,39,26,9,0,0.0,2,0,0,7,13,5,4,0,0,1,0,0,2,0.0,15.5,22,0.14,0.33,9,40.9,16.2,0,3,0,1,0,55,0,20.0,655,733,89.4,19,49,16,2,71,10880,3337,305,330,92.4,295,320,92.2,43,55,78.2,1,1,0,0.0,1,0,0.0,0,0,0,678,52,14,2,3,22,25,9,2,2,0,3,13,652,26,13,23,6,40,33,1,1,4,0,1,3,2,100.0,852,54,206,374,276,42,852,14,8,6,6,2,6,12,50.0,6,12,2,10,5,19,7,0,2.8,2.8,1.8,2.6,2.6,2.2,0.2,0.2,-0.6,0.13,0,1.1,0.1,0.1
Paris S-G,Reims,2024-09-21,D,A,1,1,0,1,0,0,0,78,15,3,6.7,24.3,7,5,58.3,26,11,42.3,15,57.7,459,2035,1211,17,10,10,1,10.0,1,0,0,6,11,2,2,0,0,0,0,0,6,0.0,28.0,11,0.09,0.25,4,36.4,14.6,0,1,0,0,0,48,5,25.4,783,849,92.2,11,93,21,5,82,13657,3981,337,355,94.9,379,398,95.2,61,83,73.5,0,0,0,,0,0,,0,0,0,806,42,12,2,5,20,17,5,4,1,0,1,5,775,10,5,18,11,21,18,1,2,0,0,0,1,0,0.0,941,30,123,547,275,34,941,14,7,3,4,7,4,12,33.3,8,10,4,6,6,20,11,0,1.6,1.6,1.3,1.3,1.6,2.2,-0.6,-0.6,-0.6,0.14,0,0.1,0.1,-0.9
Paris S-G,Rennes,2024-09-27,W,H,3,1,2,3,0,0,0,61,40,10,35.0,31.1,6,7,46.2,27,11,40.7,15,55.6,529,2231,1040,23,12,11,0,0.0,1,0,0,12,12,5,4,0,0,1,0,0,4,50.0,31.3,23,0.13,0.43,7,30.4,16.0,0,5,0,1,0,56,0,11.5,591,674,87.7,21,39,9,1,39,9135,2861,298,320,93.1,236,249,94.8,33,60,55.0,1,1,0,0.0,1,0,0.0,0,0,0,632,37,13,3,2,9,12,6,2,2,0,5,14,588,12,9,7,9,42,32,4,3,3,0,0,5,4,100.0,800,99,304,376,130,35,800,21,14,13,6,2,11,24,45.8,13,18,4,14,6,27,18,0,3.0,3.0,1.6,2.3,2.6,1.9,0.0,0.0,-0.6,0.13,0,1.1,0.08,0.1
Paris S-G,Nice,2024-10-06,D,A,1,1,0,0,0,0,0,71,21,6,4.8,18.4,10,12,45.5,22,9,40.9,11,50.0,529,2087,1189,31,19,9,0,0.0,2,0,0,9,7,0,0,0,0,0,0,0,4,0.0,23.3,19,0.0,0.0,7,36.8,18.6,0,1,0,0,0,46,1,19.5,666,751,88.7,14,64,16,4,54,10921,2977,329,351,93.7,280,311,90.0,48,68,70.6,0,0,0,,0,0,,0,1,0,709,41,9,2,3,32,11,15,3,2,0,1,10,663,19,9,16,13,36,28,3,2,1,1,1,3,2,66.7,854,44,140,400,317,36,854,22,13,6,10,6,11,19,57.9,8,9,3,6,8,30,7,0,1.3,1.3,0.8,0.8,1.2,1.5,-1.3,-1.3,-1.2,0.07,0,1.1,0.38,0.1
Paris S-G,Strasbourg,2024-10-19,W,H,4,2,2,4,0,0,0,55,37,6,18.9,25.9,6,11,35.3,24,9,37.5,12,50.0,366,1940,811,18,8,14,1,7.1,2,0,0,10,12,7,5,0,1,1,0,0,3,100.0,48.7,18,0.22,0.4,10,55.6,11.3,0,2,0,0,0,56,2,21.6,512,590,86.8,15,32,10,4,39,8800,3003,247,269,91.8,218,238,91.6,40,66,60.6,0,0,0,,0,0,,0,1,0,555,33,12,5,3,12,10,5,2,1,0,2,4,508,8,10,14,11,32,27,1,2,2,0,0,7,5,71.4,714,87,306,310,106,24,714,28,15,12,13,3,17,33,51.5,16,18,7,11,8,36,15,1,3.5,3.5,1.6,1.6,2.4,2.3,0.5,0.5,0.6,0.2,0,2.5,0.36,0.5
Paris S-G,Marseille,2024-10-27,W,A,3,0,3,2,0,0,0,74,17,4,5.9,25.9,6,4,60.0,13,5,38.5,8,61.5,815,3820,1968,33,40,4,1,25.0,0,0,0,7,3,4,3,0,0,1,0,0,5,0.0,17.4,19,0.11,0.25,8,42.1,16.1,1,8,0,0,0,62,0,4.0,878,945,92.9,16,101,15,4,77,13341,3350,473,494,95.7,326,343,95.0,50,60,83.3,0,0,0,,0,0,,0,0,0,916,21,5,7,6,9,8,2,0,0,0,8,8,873,40,16,15,8,34,31,0,0,2,1,0,1,1,100.0,1038,28,103,558,383,38,1038,21,14,5,8,8,9,18,50.0,9,9,2,7,11,32,2,1,3.1,3.1,2.9,2.9,2.4,2.2,-1.1,-1.1,-1.4,0.17,1,0.1,0.09,0.1
Paris S-G,Lens,2024-11-02,W,H,1,0,1,1,0,0,0,68,40,4,30.0,31.9,7,7,50.0,27,10,37.0,11,40.7,612,3131,1592,30,25,8,0,0.0,1,0,0,3,20,1,1,0,0,0,0,0,8,0.0,16.6,18,0.06,0.13,8,44.4,16.7,0,2,0,0,0,48,1,23.0,661,750,88.1,17,33,10,1,42,10452,3085,342,371,92.2,249,266,93.6,50,79,63.3,0,0,0,,0,0,,0,0,0,697,51,22,1,2,11,13,7,1,2,0,2,9,655,25,19,18,9,33,30,0,0,1,0,2,2,2,100.0,873,80,243,400,240,46,873,20,12,7,10,3,13,23,56.5,10,11,5,6,7,27,13,0,2.9,2.9,2.1,2.1,2.8,1.3,-1.9,-1.9,-1.8,0.16,0,0.5,0.24,0.5
