Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Reims,Lille,2024-08-17,L,H,0,2,-2,0,0,0,0,32,28,6,35.7,39.1,9,13,40.9,23,11,47.8,11,47.8,206,1498,673,11,9,13,1,7.7,2,1,0,6,15,0,0,0,0,0,0,0,9,88.9,59.6,2,0.0,,0,0.0,26.6,0,0,0,0,0,37,1,15.0,226,311,72.7,1,13,5,0,27,4632,1858,84,96,87.5,97,117,82.9,41,79,51.9,0,0,0,,0,0,,0,1,0,268,43,17,1,1,8,14,0,0,0,0,0,11,224,9,2,14,7,3,2,0,0,0,0,1,6,4,66.7,416,82,205,151,68,10,416,25,16,13,8,4,15,22,68.2,7,12,9,3,10,35,17,1,0.1,0.1,-2.0,-2.0,0.1,0.2,-0.1,-0.1,-0.1,0.04,0,2.2,0.37,0.2
Reims,Marseille,2024-08-25,D,A,2,2,0,2,0,0,0,34,24,2,41.7,39.3,3,10,23.1,13,10,76.9,3,23.1,263,1376,717,15,9,14,0,0.0,1,0,0,13,10,3,0,0,2,1,0,0,5,60.0,46.0,13,0.15,0.67,3,23.1,18.0,0,1,0,0,0,46,0,3.0,276,355,77.7,9,25,6,3,25,5062,1892,121,141,85.8,117,131,89.3,29,65,44.6,0,0,0,,0,0,,0,0,0,320,34,12,1,3,15,10,4,3,0,0,1,4,274,9,3,18,3,23,16,1,3,2,0,1,10,8,80.0,463,66,172,188,109,14,463,12,10,2,6,4,6,11,54.5,5,18,6,12,6,18,24,2,0.9,0.9,-2.2,-2.2,0.6,0.5,1.1,1.1,-0.6,0.07,0,3.2,0.35,1.2
Reims,Rennes,2024-09-01,W,H,2,1,1,2,0,0,0,53,35,4,31.4,37.2,6,15,28.6,24,10,41.7,12,50.0,241,1438,657,15,12,12,0,0.0,2,0,0,9,12,4,4,0,0,0,0,0,8,50.0,33.1,11,0.18,0.29,7,63.6,15.8,0,0,0,0,0,44,1,17.0,355,438,81.1,10,28,7,1,33,6698,2569,133,145,91.7,179,203,88.2,35,72,48.6,0,0,0,,0,0,,0,1,0,392,46,14,3,7,15,19,3,1,1,0,0,10,351,12,0,13,9,19,13,3,2,0,1,0,5,4,80.0,548,68,206,221,125,14,548,16,9,7,8,1,6,13,46.2,7,15,5,10,8,24,18,1,1.4,1.4,0.6,0.6,1.3,1.4,0.6,0.6,0.7,0.13,0,1.1,0.22,0.1
Reims,Nantes,2024-09-15,W,A,2,1,1,2,0,0,0,55,39,3,17.9,26.9,8,9,47.1,21,10,47.6,11,52.4,531,2782,1423,25,16,17,1,5.9,1,0,0,5,14,4,4,0,0,0,0,0,8,0.0,14.1,11,0.18,0.5,4,36.4,19.6,0,2,0,0,0,38,1,16.0,550,621,88.6,9,29,9,1,52,8690,2876,281,300,93.7,225,249,90.4,29,49,59.2,0,0,0,,0,0,,0,0,0,570,49,16,0,1,14,20,3,2,1,0,2,2,547,16,4,14,10,22,18,2,0,1,1,0,6,5,83.3,727,92,282,316,135,23,727,15,9,10,4,1,12,24,50.0,12,13,7,6,3,18,21,0,0.5,0.5,-1.0,-1.0,0.5,1.0,1.5,1.5,1.5,0.05,0,2.1,0.38,1.1
Reims,Paris S-G,2024-09-21,D,H,1,1,0,1,0,0,0,22,16,2,68.8,50.1,5,7,41.7,12,8,66.7,4,33.3,146,917,468,15,13,17,1,5.9,2,0,0,11,6,1,0,0,0,1,0,0,12,50.0,41.9,8,0.13,1.0,1,12.5,21.6,0,1,0,0,0,47,0,8.5,167,243,68.7,4,7,7,3,12,2670,1308,86,100,86.0,60,77,77.9,13,46,28.3,0,0,0,,0,0,,0,0,0,211,31,7,0,2,14,7,3,2,1,0,1,7,165,13,1,16,10,11,5,1,2,2,1,0,4,3,75.0,348,73,206,101,52,9,348,26,23,22,4,0,15,26,57.7,11,7,2,5,10,36,21,0,0.3,0.3,-1.3,-1.3,0.2,0.3,0.7,0.7,-0.2,0.04,0,0.9,0.23,-0.1
Reims,Angers,2024-09-29,W,A,3,1,2,3,0,0,0,47,44,4,27.3,32.2,14,13,51.9,18,13,72.2,5,27.8,330,1782,958,22,14,20,2,10.0,3,0,0,11,7,5,3,1,0,1,0,0,10,30.0,23.3,21,0.14,0.3,10,47.6,17.2,1,1,0,0,0,48,0,10.3,388,484,80.2,13,23,7,2,34,6545,2678,195,216,90.3,149,184,81.0,34,57,59.6,0,0,0,,0,0,,0,0,0,446,37,8,5,4,17,13,4,1,3,0,1,7,384,14,9,21,12,35,28,1,0,3,1,2,3,2,66.7,607,94,270,247,103,29,607,18,13,10,6,2,5,19,26.3,14,13,5,8,7,25,25,0,2.9,2.9,1.8,1.8,1.9,1.1,0.1,0.1,-0.9,0.14,1,0.8,0.26,-0.2
Reims,Montpellier,2024-10-06,W,H,4,2,2,3,1,1,0,48,26,5,61.5,47.5,10,7,58.8,15,9,60.0,6,40.0,302,1928,1126,19,10,15,0,0.0,3,0,0,15,12,7,4,1,1,1,0,0,12,33.3,27.8,17,0.18,0.75,4,23.5,15.8,1,3,0,0,0,42,0,9.0,375,448,83.7,12,29,13,4,41,6619,2656,175,191,91.6,153,169,90.5,34,64,53.1,0,0,0,,0,0,,0,0,0,405,40,11,2,4,17,10,4,1,3,0,3,3,367,10,6,21,5,32,23,2,2,3,1,1,3,1,33.3,555,69,189,255,116,30,554,20,13,12,5,3,15,22,68.2,7,12,3,9,7,27,20,0,3.0,2.2,2.5,1.7,2.0,2.5,1.0,0.8,0.0,0.13,1,0.9,0.29,-1.1
Reims,Auxerre,2024-10-20,L,A,1,2,-1,1,0,0,0,65,22,10,13.6,22.8,15,14,51.7,24,16,66.7,8,33.3,416,2338,1204,20,11,13,0,0.0,3,0,0,10,6,2,2,0,0,0,0,0,5,0.0,15.6,15,0.07,0.33,3,20.0,16.6,1,2,0,1,0,39,1,15.0,453,555,81.6,10,48,11,5,48,8010,2801,202,219,92.2,203,229,88.6,40,73,54.8,1,0,1,100.0,0,1,100.0,0,0,0,496,57,7,0,2,33,33,9,8,1,0,2,10,450,11,5,18,14,25,20,1,2,1,1,0,8,5,75.0,653,42,161,333,162,33,653,17,10,9,4,4,10,16,62.5,6,6,0,6,6,23,13,0,1.1,1.1,-1.7,-0.9,0.8,1.1,-0.1,-0.1,0.2,0.07,1,3.2,0.3,1.2
Reims,Brest,2024-10-26,L,H,1,2,-1,1,0,0,0,53,19,3,15.8,24.7,17,14,54.8,23,13,56.5,10,43.5,334,1857,1058,23,22,7,0,0.0,3,0,0,15,10,2,1,1,0,0,0,0,5,20.0,29.2,11,0.09,0.33,3,27.3,15.8,0,3,0,1,0,53,0,,379,467,81.2,10,28,6,3,46,7119,2428,151,167,90.4,167,192,87.0,48,79,60.8,1,1,0,0.0,1,0,0.0,0,0,0,418,46,12,1,13,30,19,7,2,5,0,3,7,376,22,5,18,8,22,16,4,0,1,1,0,4,2,75.0,576,40,174,239,170,21,576,15,9,8,6,1,8,12,66.7,4,11,4,7,10,25,9,1,0.7,0.7,-0.7,0.0,0.7,1.4,0.3,0.3,0.3,0.07,0,1.6,0.21,-0.4
Reims,Toulouse,2024-11-03,L,A,0,1,-1,0,0,0,0,49,24,3,50.0,33.9,18,22,45.0,24,11,45.8,9,37.5,307,1711,852,22,13,16,0,0.0,3,0,0,15,15,0,0,0,0,0,0,0,10,70.0,43.5,13,0.0,0.0,2,15.4,24.1,0,3,0,0,0,42,2,17.8,317,416,76.2,8,15,6,1,33,5659,2246,154,174,88.5,120,151,79.5,35,67,52.2,0,0,0,,0,0,,0,0,0,362,51,16,4,4,18,16,7,1,5,0,3,8,312,13,6,24,6,23,14,4,2,2,1,0,5,4,80.0,559,80,221,234,114,18,559,25,19,17,5,3,13,18,72.2,5,11,3,8,11,36,33,1,1.1,1.1,0.2,0.2,0.6,0.5,-1.1,-1.1,-0.6,0.08,0,1.7,0.34,0.7
