Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Rennes,Lyon,2024-08-18,W,H,3,0,3,3,0,0,0,47,16,2,43.8,38.4,12,8,60.0,15,6,40.0,7,46.7,288,1630,969,27,14,15,0,0.0,2,0,0,13,11,5,2,1,1,0,1,0,11,54.5,38.9,22,0.14,0.38,8,36.4,14.9,1,1,0,1,0,47,0,,367,445,82.5,17,30,16,2,43,6110,2481,195,218,89.4,137,159,86.2,31,55,56.4,1,0,1,100.0,0,1,100.0,0,0,0,401,43,14,3,2,12,10,7,5,1,0,1,6,365,14,10,12,15,36,22,6,2,2,2,2,2,1,100.0,576,67,160,248,173,38,576,22,11,10,9,3,15,20,75.0,5,14,6,8,11,33,26,0,2.0,2.0,0.0,0.9,1.5,1.4,1.0,1.0,0.5,0.09,1,0.7,0.05,0.7
Rennes,Strasbourg,2024-08-25,L,A,1,3,-2,1,0,0,0,41,25,5,40.0,34.3,12,11,52.2,20,6,30.0,14,70.0,223,1304,651,12,9,7,0,0.0,4,0,0,19,9,2,2,0,0,0,0,0,3,33.3,33.7,14,0.07,0.2,5,35.7,19.6,1,1,0,0,1,47,0,2.0,308,399,77.2,8,32,10,1,48,6048,2176,96,110,87.3,160,196,81.6,42,70,60.0,0,0,0,,0,0,,0,1,1,357,41,10,0,5,16,19,5,4,1,0,1,5,303,9,3,13,7,24,15,2,1,4,1,1,5,3,40.0,509,32,117,243,153,25,509,19,11,6,11,2,8,11,72.7,3,12,3,9,11,30,10,0,1.1,1.1,0.4,0.4,0.5,0.8,-0.1,-0.1,-0.5,0.08,1,1.4,0.28,-0.6
Rennes,Reims,2024-09-01,L,A,1,2,-1,1,0,0,0,47,23,9,30.4,32.7,15,6,71.4,14,7,50.0,6,42.9,273,1161,685,10,12,12,0,0.0,1,0,0,13,8,2,0,1,0,1,0,0,5,60.0,48.0,13,0.08,0.2,5,38.5,15.9,0,2,0,0,0,35,0,10.0,311,394,78.9,11,30,7,2,43,6299,2528,105,124,84.7,156,183,85.2,48,72,66.7,0,0,0,,0,0,,0,0,0,352,40,9,2,1,15,18,5,5,0,0,2,13,306,12,5,19,10,26,17,3,2,2,1,1,7,5,71.4,497,46,142,247,116,21,497,21,11,10,9,2,12,22,54.5,10,10,1,9,5,26,23,0,0.8,0.8,-0.6,-0.6,0.7,0.6,0.2,0.2,0.3,0.06,0,1.6,0.22,-0.4
Rennes,Montpellier,2024-09-15,W,H,3,0,3,3,0,0,0,51,23,4,43.5,38.1,10,9,52.6,28,14,50.0,13,46.4,394,1940,1078,19,19,12,1,8.3,1,0,0,10,7,6,3,1,1,0,1,0,7,42.9,34.3,11,0.27,0.5,6,54.5,16.6,0,1,0,0,0,43,0,8.5,424,497,85.3,7,37,14,3,47,7631,2865,176,196,89.8,193,211,91.5,43,70,61.4,0,0,0,,0,0,,0,0,0,455,41,10,0,0,20,20,3,3,0,0,1,6,422,19,8,13,10,19,14,1,1,1,1,1,4,4,100.0,600,61,195,235,176,30,600,15,7,6,6,3,7,16,43.8,9,6,4,2,5,20,20,0,1.3,1.3,1.0,1.0,0.5,0.9,1.7,1.7,2.5,0.12,0,0.2,0.04,0.2
Rennes,Lens,2024-09-21,D,H,1,1,0,0,1,1,0,40,31,0,51.6,40.5,13,25,34.2,10,3,30.0,6,60.0,243,1052,511,12,11,16,2,12.5,2,0,0,16,20,2,1,0,0,0,1,0,4,75.0,52.5,10,0.0,0.0,5,50.0,19.5,0,1,1,0,0,44,2,12.2,245,368,66.6,9,15,4,1,24,4417,1956,92,122,75.4,130,161,80.7,17,55,30.9,0,0,0,,0,0,,0,0,0,313,54,22,0,1,9,22,4,2,0,0,1,16,242,11,4,19,6,21,13,4,1,0,3,0,2,1,50.0,497,63,185,210,105,15,496,20,10,10,10,0,10,15,66.7,5,12,5,7,15,35,29,0,1.4,0.6,0.8,0.0,0.5,0.8,-0.4,-0.6,-0.5,0.06,0,0.7,0.33,-0.3
Rennes,Paris S-G,2024-09-27,L,A,1,3,-2,0,1,1,0,39,23,4,43.5,36.8,7,6,53.8,25,13,52.0,11,44.0,300,1380,680,19,10,6,0,0.0,3,0,0,13,11,1,0,1,0,0,0,0,8,12.5,19.4,11,0.0,0.0,4,36.4,22.5,0,1,0,0,0,49,0,8.0,338,425,79.5,6,23,8,1,28,5839,2135,161,178,90.4,139,168,82.7,30,55,54.5,0,0,0,,0,0,,0,0,0,373,51,17,2,3,13,18,4,4,0,0,1,13,336,10,3,9,10,17,10,2,2,1,0,2,7,4,57.1,539,67,166,240,142,23,538,24,13,15,6,3,15,26,57.7,11,21,7,14,7,31,14,0,1.4,0.7,-1.6,-2.3,0.5,0.7,-0.4,-0.7,-0.5,0.06,0,2.8,0.4,-0.2
Rennes,Monaco,2024-10-05,L,H,1,2,-1,1,0,0,0,58,17,1,17.6,35.0,16,16,50.0,27,10,37.0,15,55.6,415,1734,715,17,9,7,0,0.0,2,0,0,9,15,1,1,0,0,0,0,0,2,0.0,18.5,14,0.07,0.33,3,21.4,22.3,0,1,0,0,0,63,2,20.3,443,566,78.3,11,41,9,1,55,7410,2611,212,244,86.9,187,231,81.0,33,63,52.4,0,0,0,,0,0,,0,1,0,507,58,17,1,2,24,26,10,7,0,0,1,8,438,9,7,23,9,22,17,2,1,2,0,0,2,0,0.0,692,40,197,298,201,25,692,31,22,13,11,7,20,26,76.9,6,9,1,8,11,42,15,0,0.7,0.7,0.2,0.2,0.5,0.6,0.3,0.3,0.5,0.05,0,0.8,0.42,-1.2
Rennes,Brest,2024-10-19,D,A,1,1,0,1,0,0,0,44,24,5,45.8,39.8,13,22,37.1,22,7,31.8,11,50.0,261,1453,767,11,9,13,0,0.0,2,0,0,15,16,2,1,0,1,0,0,0,7,28.6,27.0,6,0.17,0.25,4,66.7,13.3,0,2,0,1,0,40,0,7.0,306,398,76.9,4,34,5,0,35,5421,2131,144,158,91.1,120,144,83.3,34,71,47.9,1,1,0,0.0,1,0,0.0,0,0,0,346,50,20,2,6,13,17,4,4,0,0,2,9,305,9,3,17,12,12,10,1,1,0,0,0,2,1,100.0,516,49,190,237,94,14,516,11,6,7,4,0,5,10,50.0,5,16,3,13,13,24,13,0,1.2,1.2,-0.3,0.5,0.2,0.2,-0.2,-0.2,-0.2,0.19,0,1.1,0.06,0.1
Rennes,Le Havre,2024-10-25,W,H,1,0,1,1,0,0,0,60,22,3,22.7,27.2,11,13,45.8,26,7,26.9,15,57.7,474,2414,1235,29,21,9,0,0.0,2,0,0,10,7,2,2,0,0,0,0,0,4,25.0,34.0,20,0.05,0.25,4,20.0,15.4,0,0,0,0,0,46,2,18.3,496,598,82.9,12,40,12,3,51,8750,2619,212,244,86.9,238,266,89.5,39,69,56.5,0,0,0,,0,0,,0,0,0,542,56,9,1,3,32,28,14,12,1,0,0,8,487,21,6,19,4,34,24,5,1,4,0,0,1,1,100.0,719,41,141,337,246,39,719,14,9,8,5,1,6,13,46.2,7,13,2,11,12,26,13,0,1.5,1.5,1.1,1.1,1.1,1.6,-0.5,-0.5,-1.1,0.08,0,0.3,0.3,0.3
Rennes,Auxerre,2024-11-03,L,A,0,4,-4,0,0,0,0,61,14,6,14.3,28.0,22,19,53.7,22,12,54.5,10,45.5,448,2182,1174,16,7,11,0,0.0,2,0,0,15,10,0,0,0,0,0,0,0,9,0.0,19.9,7,0.0,0.0,4,57.1,12.7,0,2,0,1,0,38,1,35.0,468,562,83.3,7,40,4,2,50,8768,2922,182,205,88.8,238,265,89.8,45,72,62.5,1,1,0,0.0,1,0,0.0,0,0,0,502,58,14,1,3,23,22,8,5,3,0,2,12,462,7,2,14,12,14,11,2,0,1,0,0,8,4,62.5,659,45,172,366,127,13,659,19,8,7,7,5,10,22,45.5,12,2,1,1,5,24,20,0,0.9,0.9,-1.9,-1.1,0.9,1.2,-0.9,-0.9,-0.9,0.13,0,3.0,0.28,-1.0
