Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Saint-Étienne,Monaco,2024-08-17,L,A,0,1,-1,0,0,0,0,39,29,9,41.4,37.0,11,15,42.3,20,9,45.0,9,45.0,262,1342,694,14,15,9,0,0.0,1,0,0,14,13,0,0,0,0,0,0,0,9,66.7,41.1,11,0.0,0.0,4,36.4,19.8,0,3,0,0,0,46,2,14.8,234,331,70.7,7,14,1,0,20,4235,1820,111,126,88.1,88,126,69.8,31,63,49.2,0,0,0,,0,0,,0,0,0,277,51,15,0,3,10,21,4,1,3,0,3,2,234,15,6,17,10,17,9,2,1,2,2,1,6,5,83.3,446,74,200,184,67,10,446,22,15,13,7,2,14,21,66.7,7,13,7,6,13,35,19,0,0.4,0.4,-1.5,-1.5,0.2,0.2,-0.4,-0.4,-0.2,0.04,0,0.8,0.14,-0.2
Saint-Étienne,Le Havre,2024-08-24,L,H,0,2,-2,0,0,0,0,59,20,3,40.0,37.4,15,11,57.7,20,11,55.0,9,45.0,308,2012,989,15,14,17,0,0.0,3,0,0,12,9,0,0,0,0,0,0,0,10,20.0,27.5,19,0.0,0.0,5,26.3,17.5,1,2,0,1,0,37,2,19.2,408,495,82.4,9,35,5,1,39,7598,2336,144,168,85.7,222,250,88.8,35,60,58.3,1,1,0,0.0,1,0,0.0,0,1,0,444,49,12,1,5,11,22,2,1,1,0,2,6,406,14,3,17,8,32,18,4,4,4,2,0,5,3,80.0,588,51,178,270,144,18,588,7,4,4,2,1,6,17,35.3,11,7,2,5,6,13,18,0,1.1,1.1,-1.3,-0.5,0.6,0.5,-1.1,-1.1,-0.6,0.06,1,1.4,0.17,-0.6
Saint-Étienne,Brest,2024-08-31,L,A,0,4,-4,0,0,0,0,53,25,5,32.0,33.6,16,23,41.0,19,6,31.6,13,68.4,264,1502,742,11,9,19,1,5.3,5,0,0,28,11,0,0,0,0,0,0,0,10,30.0,36.7,6,0.0,,0,0.0,23.3,0,4,0,2,0,46,1,15.5,335,415,80.7,5,33,7,2,42,6645,2774,132,147,89.8,152,178,85.4,46,78,59.0,2,2,0,0.0,2,0,0.0,0,1,0,363,48,14,0,4,16,17,2,0,2,0,4,4,330,9,0,24,10,10,9,0,0,0,0,1,8,4,75.0,536,66,203,257,83,9,536,18,13,6,10,2,10,13,76.9,3,12,6,6,5,23,28,2,0.2,0.2,-2.9,-1.4,0.1,0.6,-0.2,-0.2,-0.1,0.03,0,3.5,0.23,-0.5
Saint-Étienne,Lille,2024-09-13,W,H,1,0,1,1,0,0,0,30,23,2,73.9,49.1,4,13,23.5,19,6,31.6,11,57.9,220,1022,465,13,8,21,1,4.8,1,0,0,12,10,2,1,0,1,0,0,0,12,66.7,39.7,10,0.1,0.2,5,50.0,18.9,1,3,0,0,0,38,0,10.0,230,315,73.0,7,8,4,1,20,3843,1672,127,152,83.6,73,84,86.9,24,61,39.3,0,0,0,,0,0,,0,0,0,267,45,10,1,3,8,20,2,2,0,0,3,8,230,8,2,17,9,17,11,0,4,1,1,0,4,4,100.0,450,100,215,153,89,9,450,15,11,8,6,1,7,17,41.2,10,18,5,13,9,24,37,1,1.2,1.2,0.0,0.0,0.6,0.4,-0.2,-0.2,0.4,0.13,1,0.7,0.18,0.7
Saint-Étienne,Nice,2024-09-20,L,A,0,8,-8,0,0,0,0,41,34,3,32.4,35.7,3,4,42.9,10,4,40.0,6,60.0,261,1357,671,11,7,8,0,0.0,1,0,0,13,5,0,0,0,0,0,0,0,3,66.7,42.0,8,0.0,0.0,2,25.0,20.4,0,0,0,1,1,40,0,11.3,405,481,84.2,7,32,8,1,27,7160,2400,183,207,88.4,189,208,90.9,31,59,52.5,1,1,0,0.0,1,0,0.0,0,0,1,445,36,10,0,0,10,12,2,0,2,0,0,4,405,7,3,12,9,16,14,0,1,0,0,1,12,5,41.7,564,61,193,262,113,16,564,14,11,7,6,1,9,19,47.4,10,6,3,3,13,27,12,0,0.3,0.3,-4.4,-3.6,0.3,0.3,-0.3,-0.3,-0.3,0.04,0,5.3,0.41,-1.7
Saint-Étienne,Nantes,2024-09-29,D,A,2,2,0,1,1,1,0,39,30,3,46.7,39.4,12,14,46.2,13,3,23.1,10,76.9,236,866,439,9,2,26,1,3.8,2,0,0,12,10,4,3,0,0,0,1,0,8,87.5,52.9,4,0.25,0.5,2,50.0,18.9,0,1,1,0,0,35,0,6.0,303,383,79.1,3,27,5,2,26,5441,2069,127,143,88.8,146,163,89.6,23,59,39.0,0,0,0,,0,0,,0,0,0,345,37,11,0,2,11,11,4,3,0,0,1,7,302,2,0,14,6,8,5,1,0,0,2,0,3,1,33.3,502,77,208,215,83,11,501,17,8,12,4,1,9,22,40.9,13,16,7,9,5,22,40,1,1.0,0.2,-0.8,-1.6,0.2,0.6,1.0,0.8,0.8,0.06,0,1.9,0.63,-0.1
Saint-Étienne,Auxerre,2024-10-05,W,H,3,1,2,3,0,0,0,42,30,1,60.0,40.9,15,20,42.9,20,8,40.0,10,50.0,315,1561,773,19,10,24,3,12.5,3,0,0,13,10,6,5,0,1,0,0,0,9,77.8,48.1,13,0.23,0.6,5,38.5,15.2,0,3,0,0,0,54,2,15.7,292,394,74.1,12,22,2,0,28,5326,2268,122,135,90.4,140,170,82.4,27,72,37.5,0,0,0,,0,0,,0,0,0,341,50,14,7,1,12,20,5,3,0,0,3,7,288,10,10,11,14,25,19,3,3,0,0,0,1,0,0.0,534,81,226,238,79,17,534,26,14,13,11,2,11,22,50.0,11,15,5,10,20,46,31,0,2.7,2.7,1.9,1.9,2.3,1.2,0.3,0.3,0.7,0.21,0,0.9,0.88,-0.1
Saint-Étienne,Lens,2024-10-19,L,H,0,2,-2,0,0,0,0,37,37,3,62.2,45.8,12,15,44.4,10,6,60.0,3,30.0,203,937,364,9,4,16,1,6.3,1,0,0,12,16,0,0,0,0,0,0,0,8,37.5,30.8,15,0.0,0.0,1,6.7,20.3,1,1,0,0,0,40,2,14.4,272,363,74.9,8,30,4,1,26,5160,2154,114,127,89.8,110,129,85.3,40,85,47.1,0,0,0,,0,0,,0,1,0,314,48,17,1,2,6,18,2,0,1,0,1,9,270,4,3,16,2,25,10,6,2,4,3,0,5,3,60.0,481,82,188,193,104,18,481,29,20,17,12,0,10,26,38.5,16,6,1,5,12,41,18,1,0.8,0.8,-0.4,-0.4,0.2,0.4,-0.8,-0.8,-0.2,0.05,1,1.2,0.23,-0.8
Saint-Étienne,Angers,2024-10-26,L,A,2,4,-2,1,1,1,0,58,33,6,18.2,29.0,10,14,41.7,29,17,58.6,12,41.4,369,2100,1201,25,10,11,1,9.1,3,0,0,13,10,4,1,1,1,0,1,0,5,0.0,17.8,18,0.06,0.17,6,33.3,24.6,1,0,1,1,0,47,1,15.7,516,611,84.5,13,42,7,1,55,9222,3013,226,256,88.3,233,255,91.4,44,70,62.9,1,1,0,0.0,1,0,0.0,0,0,0,568,43,8,0,6,16,22,3,0,2,0,0,8,512,10,6,11,15,33,22,3,3,1,2,2,8,4,62.5,722,49,198,313,217,27,721,14,7,4,6,4,10,13,76.9,3,6,1,5,12,26,10,2,1.5,0.7,-1.4,-1.4,0.6,0.7,0.5,0.3,0.4,0.04,1,3.2,0.31,-0.8
Saint-Étienne,Strasbourg,2024-11-02,W,H,2,0,2,2,0,0,0,36,35,5,42.9,37.1,8,6,57.1,10,3,30.0,6,60.0,273,1300,634,11,6,14,1,7.1,2,0,0,9,4,3,2,0,0,1,0,0,11,45.5,36.7,13,0.15,0.67,3,23.1,16.3,0,3,0,0,0,44,0,7.0,345,421,81.9,10,22,7,2,30,6253,2507,155,168,92.3,155,175,88.6,32,62,51.6,0,0,0,,0,0,,0,0,0,384,34,4,1,1,10,16,2,0,2,0,3,7,345,6,1,16,10,22,18,1,1,2,0,0,3,3,100.0,536,82,240,220,76,16,536,14,12,8,5,1,6,18,33.3,12,10,2,8,14,28,20,1,2.8,2.8,2.3,2.3,2.4,1.3,-0.8,-0.8,-1.4,0.22,0,0.3,0.09,0.3
