Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Strasbourg,Montpellier,2024-08-18,D,A,1,1,0,1,0,0,0,58,29,8,20.7,27.4,17,7,70.8,19,9,47.4,10,52.6,322,1556,765,13,11,17,2,11.8,3,0,0,18,18,2,2,0,0,0,0,0,7,0.0,7.4,11,0.09,0.25,4,36.4,14.7,0,0,0,1,0,40,0,11.0,403,493,81.7,9,18,6,2,28,6529,2529,180,200,90.0,171,191,89.5,29,59,49.2,1,1,0,0.0,1,0,0.0,0,0,0,437,56,19,0,3,9,24,4,2,1,0,0,6,392,11,1,15,12,22,12,5,0,1,4,0,5,4,100.0,592,73,215,307,78,15,592,24,9,12,11,1,10,13,76.9,3,4,2,2,8,32,17,0,0.9,0.9,-0.4,0.3,0.6,0.6,0.1,0.1,0.4,0.08,0,1.9,0.19,0.9
Strasbourg,Rennes,2024-08-25,W,H,3,1,2,2,0,0,0,59,52,7,17.3,25.5,11,12,47.8,12,3,25.0,8,66.7,374,1812,965,17,11,13,0,0.0,2,0,0,9,19,3,1,0,0,1,1,0,6,16.7,18.8,11,0.18,0.4,5,45.5,13.9,0,3,0,0,0,38,3,12.0,486,580,83.8,7,24,4,3,18,8256,2725,221,247,89.5,232,262,88.5,31,63,49.2,0,0,0,,0,0,,0,0,0,530,47,20,0,2,9,17,2,1,1,0,3,9,482,11,2,15,11,17,12,1,0,1,1,2,5,4,80.0,690,107,356,250,86,11,690,21,12,16,4,1,14,20,70.0,6,7,3,4,7,28,27,0,0.7,0.7,-0.4,-0.4,0.4,0.5,1.3,1.3,0.6,0.07,0,1.0,0.21,0.0
Strasbourg,Lyon,2024-08-30,L,A,3,4,-1,3,0,0,0,52,25,6,16.0,26.0,12,12,50.0,17,9,52.9,7,41.2,336,1656,819,18,8,18,0,0.0,2,0,0,6,10,6,5,0,0,0,0,1,10,20.0,25.3,15,0.2,0.38,8,53.3,16.9,1,2,0,0,0,35,0,7.5,403,486,82.9,12,31,6,2,27,7033,2650,175,206,85.0,201,226,88.9,25,45,55.6,0,0,0,,0,0,,0,0,0,440,44,13,5,1,9,14,2,1,0,0,2,12,396,8,9,9,13,26,22,1,1,0,1,1,12,8,66.7,596,83,256,251,94,23,596,18,11,9,6,3,9,16,56.3,7,17,6,11,7,25,22,0,2.7,2.7,-0.2,-0.2,1.9,1.0,0.3,0.3,0.1,0.18,1,3.8,0.32,-0.2
Strasbourg,Angers,2024-09-15,D,H,1,1,0,1,0,0,0,52,43,2,20.9,29.0,9,9,50.0,23,7,30.4,16,69.6,375,1598,760,17,11,20,0,0.0,4,0,0,11,13,2,2,0,0,0,0,0,7,0.0,7.3,10,0.1,0.2,5,50.0,15.1,1,0,0,0,0,45,1,13.8,423,507,83.4,7,19,4,1,28,7641,2746,161,190,84.7,210,241,87.1,39,57,68.4,0,0,0,,0,0,,0,0,0,455,52,14,1,0,13,23,6,0,6,0,0,6,419,11,6,21,9,17,10,2,1,2,1,1,2,1,50.0,630,87,312,228,97,17,630,21,14,8,5,8,14,19,73.7,5,16,5,11,8,29,29,0,2.3,2.3,1.3,1.3,2.2,1.5,-1.3,-1.3,-1.2,0.23,1,1.0,0.5,0.0
Strasbourg,Lille,2024-09-21,D,A,3,3,0,3,0,0,0,37,43,3,30.2,35.2,9,8,52.9,20,7,35.0,11,55.0,200,1380,760,18,6,22,3,13.6,2,0,0,12,16,5,4,0,0,1,0,0,8,37.5,34.0,12,0.25,0.33,9,75.0,11.5,0,2,0,1,0,40,0,4.5,275,354,77.7,6,16,4,1,24,5082,2014,122,137,89.1,119,141,84.4,33,65,50.8,1,1,0,0.0,1,0,0.0,0,0,0,302,50,20,1,0,9,13,5,2,2,0,2,4,273,6,7,9,6,19,14,1,2,2,0,0,7,4,71.4,461,81,247,164,57,17,461,9,7,4,4,1,5,15,33.3,10,9,2,7,14,23,26,1,3.2,3.2,0.6,1.4,2.1,1.2,-0.2,-0.2,-0.1,0.31,0,2.3,0.26,-0.7
Strasbourg,Marseille,2024-09-29,W,H,1,0,1,1,0,0,0,41,36,0,36.1,33.4,11,7,61.1,11,4,36.4,7,63.6,206,861,464,15,8,10,1,10.0,2,0,0,17,7,2,2,0,0,0,0,0,8,62.5,43.4,14,0.07,0.17,6,42.9,19.2,1,1,0,0,0,52,1,17.3,328,413,79.4,12,33,7,1,37,5913,2300,138,156,88.5,160,183,87.4,26,60,43.3,0,0,0,,0,0,,0,0,0,375,37,9,2,2,20,11,8,3,5,0,1,8,325,8,6,14,7,24,19,2,0,2,1,0,3,3,100.0,523,56,174,224,128,18,523,16,11,3,9,4,6,13,46.2,7,10,2,8,10,26,22,0,1.3,1.3,0.8,0.8,1.3,0.9,-0.3,-0.3,-0.3,0.09,1,0.3,0.11,0.3
Strasbourg,Lens,2024-10-06,D,H,2,2,0,1,1,1,0,37,45,2,55.6,43.4,11,9,55.0,13,3,23.1,9,69.2,231,987,461,10,5,21,1,4.8,2,0,0,15,17,3,1,1,0,0,1,0,9,44.4,30.6,7,0.14,0.25,4,57.1,21.4,0,2,1,0,0,32,0,12.5,260,343,75.8,5,17,2,0,13,4952,2100,104,117,88.9,122,138,88.4,31,68,45.6,0,0,0,,0,0,,0,0,0,290,51,19,2,1,8,17,3,0,2,0,2,7,249,5,4,14,7,13,10,2,0,0,1,0,5,3,60.0,447,70,209,160,83,11,446,7,5,2,5,0,3,7,42.9,4,16,4,12,8,15,28,1,1.2,0.5,0.3,-0.5,0.2,0.4,0.8,0.5,0.8,0.06,0,1.3,0.25,-0.7
Strasbourg,Paris S-G,2024-10-19,L,A,2,4,-2,2,0,0,0,45,51,4,37.3,34.8,11,6,64.7,35,16,45.7,17,48.6,390,1794,722,20,12,11,0,0.0,2,0,0,12,10,2,0,0,0,2,0,0,4,25.0,17.5,16,0.13,0.29,7,43.8,15.3,0,1,0,0,0,55,0,2.5,400,484,82.6,14,30,6,1,42,6881,2765,180,199,90.5,170,193,88.1,36,63,57.1,0,0,0,,0,0,,0,0,0,437,46,12,0,2,14,20,5,2,3,0,1,11,396,12,10,15,11,26,14,2,5,3,0,2,10,6,60.0,585,72,221,239,133,21,585,23,14,7,12,4,12,21,57.1,9,7,3,4,7,30,10,1,1.9,1.9,-1.6,-1.6,1.5,0.6,0.1,0.1,-0.5,0.13,0,4.7,0.49,0.7
Strasbourg,Nantes,2024-10-27,W,H,3,1,2,3,0,0,0,50,58,5,36.2,31.3,14,10,58.3,23,11,47.8,12,52.2,406,1886,918,22,19,11,1,9.1,2,0,0,15,17,6,5,0,0,0,1,0,3,0.0,8.0,9,0.33,0.6,5,55.6,10.0,0,0,0,0,0,40,1,13.0,434,526,82.5,8,10,9,1,33,7201,2498,202,225,89.8,187,209,89.5,29,59,49.2,0,0,0,,0,0,,0,0,0,475,51,19,0,1,13,22,5,3,2,0,0,13,431,19,3,10,9,17,13,1,2,0,1,0,6,5,83.3,619,82,287,239,98,19,619,11,7,6,4,1,6,7,85.7,1,13,1,12,6,17,19,1,1.7,1.7,1.0,1.0,1.7,1.6,1.3,1.3,1.3,0.19,0,1.4,0.23,0.4
Strasbourg,Saint-Étienne,2024-11-02,L,A,0,2,-2,0,0,0,0,64,33,4,9.1,22.1,6,8,42.9,19,12,63.2,6,31.6,628,2670,1518,22,15,5,0,0.0,1,0,0,4,9,0,0,0,0,0,0,0,8,25.0,29.4,9,0.0,0.0,3,33.3,14.4,0,0,0,0,0,45,0,15.0,687,760,90.4,8,43,7,1,62,11926,3687,290,305,95.1,354,378,93.7,34,55,61.8,0,0,0,,0,0,,0,1,0,723,37,12,3,2,19,11,3,0,3,0,0,9,684,15,5,13,8,18,11,2,2,0,2,1,3,1,33.3,854,45,241,482,139,16,854,16,9,8,5,3,6,9,66.7,3,7,2,5,11,27,11,0,0.5,0.5,-2.3,-2.3,0.5,0.6,-0.5,-0.5,-0.5,0.06,0,2.2,0.72,0.2
