Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Toulouse,Nantes,2024-08-18,D,H,0,0,0,0,0,0,0,54,16,5,12.5,25.6,22,10,68.8,13,5,38.5,7,53.8,380,1705,884,18,8,16,1,6.3,1,0,0,14,10,0,0,0,0,0,0,0,8,62.5,42.6,12,0.0,0.0,6,50.0,12.4,0,0,0,0,0,40,0,10.3,434,538,80.7,9,37,8,2,54,7700,2697,193,218,88.5,195,223,87.4,40,77,51.9,0,0,0,,0,0,,0,0,0,485,53,11,0,4,27,23,10,3,7,0,0,8,429,8,6,15,11,21,10,5,2,2,2,0,2,2,100.0,644,66,178,294,179,28,644,20,12,9,8,3,8,15,53.3,7,6,3,3,8,28,20,0,1.7,1.7,1.2,1.2,1.4,0.9,-1.7,-1.7,-1.4,0.14,0,0.8,0.4,0.8
Toulouse,Nice,2024-08-25,D,A,1,1,0,1,0,0,0,43,24,2,50.0,39.3,15,18,45.5,21,9,42.9,12,57.1,211,1093,654,18,10,12,1,8.3,1,0,0,21,11,2,2,0,0,0,0,0,11,45.5,35.4,15,0.07,0.33,3,20.0,17.8,1,1,0,0,0,42,2,14.7,275,372,73.9,11,16,5,0,28,5108,1917,105,130,80.8,137,165,83.0,26,56,46.4,0,0,0,,0,0,,0,0,0,325,46,11,0,1,13,18,4,1,3,0,1,12,270,10,5,13,7,26,15,3,3,2,2,1,3,2,66.7,474,54,156,225,103,18,474,26,15,9,14,3,18,28,64.3,10,9,2,7,5,31,19,0,1.0,1.0,-0.3,-0.3,0.8,0.8,0.0,0.0,0.2,0.07,1,0.6,0.21,-0.4
Toulouse,Marseille,2024-08-31,L,H,1,3,-2,1,0,0,0,24,21,5,33.3,32.5,7,7,50.0,11,3,27.3,8,72.7,214,915,402,8,5,10,0,0.0,4,1,0,10,13,2,1,0,1,0,0,0,9,66.7,43.2,3,0.33,1.0,1,33.3,16.2,0,0,0,0,1,36,0,14.8,219,293,74.7,3,12,0,0,18,4033,1809,106,126,84.1,82,102,80.4,28,54,51.9,0,0,0,,0,0,,0,0,1,253,40,15,1,3,7,10,2,1,1,0,0,4,215,5,3,11,7,6,4,1,1,0,0,0,4,2,25.0,385,67,166,167,57,6,385,14,6,7,6,1,7,12,58.3,5,11,5,6,9,23,16,1,1.0,1.0,0.1,0.1,1.0,0.3,0.0,0.0,0.0,0.33,0,0.7,0.18,-1.3
Toulouse,Le Havre,2024-09-15,W,H,2,0,2,2,0,0,0,54,24,2,16.7,27.9,15,15,50.0,19,11,57.9,5,26.3,438,1998,914,12,10,11,0,0.0,1,0,0,10,11,3,2,0,0,0,0,1,7,42.9,36.4,15,0.13,0.33,6,40.0,14.6,0,0,0,0,0,58,0,9.0,457,570,80.2,11,38,6,1,42,7760,2848,204,230,88.7,211,244,86.5,32,66,48.5,0,0,0,,0,0,,0,0,0,515,55,11,2,0,18,30,6,1,4,0,0,10,452,10,3,19,15,23,15,2,1,2,1,2,3,3,100.0,685,53,191,368,134,25,685,19,10,5,11,3,6,13,46.2,7,8,1,7,8,27,17,0,1.3,1.3,1.1,1.1,0.9,0.7,0.7,0.7,1.1,0.09,0,0.7,0.25,0.7
Toulouse,Brest,2024-09-22,L,A,0,2,-2,0,0,1,1,57,32,3,12.5,23.4,20,16,55.6,8,4,50.0,4,50.0,385,1641,945,12,18,15,0,0.0,1,0,0,18,15,0,0,0,0,0,0,0,3,0.0,19.7,10,0.0,0.0,1,10.0,14.2,0,0,1,0,0,50,1,18.5,405,524,77.3,8,32,7,1,57,7190,2663,179,222,80.6,182,215,84.7,36,67,53.7,0,0,0,,0,0,,0,0,0,478,46,14,0,4,25,23,3,1,1,0,0,6,399,18,1,10,8,20,11,5,1,0,3,0,5,3,60.0,618,48,191,284,147,20,617,22,14,7,10,5,15,26,57.7,11,8,2,6,10,32,18,0,2.7,1.9,2.3,1.5,1.4,1.4,-2.7,-1.9,-1.4,0.19,0,0.6,0.12,-1.4
Toulouse,Lyon,2024-09-29,L,H,1,2,-1,1,0,0,0,46,25,2,36.0,30.1,13,6,68.4,22,11,50.0,10,45.5,333,1667,780,16,11,12,0,0.0,2,0,0,12,15,2,2,0,0,0,0,0,2,0.0,16.0,10,0.1,0.25,4,40.0,18.3,0,4,0,0,1,56,0,12.0,340,442,76.9,7,27,8,1,37,5663,2467,170,200,85.0,141,167,84.4,24,43,55.8,0,0,0,,0,0,,0,0,1,395,43,16,4,1,16,19,3,2,1,0,4,8,337,11,3,13,7,19,12,3,0,1,3,0,1,0,-100.0,545,55,208,224,126,21,545,25,14,13,12,0,8,16,50.0,8,12,2,10,8,33,17,0,0.9,0.9,0.5,0.5,0.8,0.9,0.1,0.1,0.2,0.09,0,0.3,0.26,-0.7
Toulouse,Lille,2024-10-05,L,A,1,2,-1,1,0,0,0,43,25,2,36.0,36.0,13,18,41.9,21,6,28.6,13,61.9,278,1382,714,15,6,9,0,0.0,2,0,0,8,12,1,0,0,0,1,0,0,7,42.9,33.0,9,0.11,0.5,2,22.2,15.8,0,2,0,0,0,36,1,15.0,331,417,79.4,5,28,6,3,36,6163,2207,132,145,91.0,158,187,84.5,34,63,54.0,0,0,0,,0,0,,0,0,0,370,45,13,0,2,23,16,6,5,1,0,2,8,326,6,5,10,9,15,12,1,1,1,0,0,3,1,33.3,512,57,168,228,121,21,512,17,6,2,11,4,9,21,42.9,12,10,3,7,7,24,19,1,1.1,1.1,-0.5,-0.5,0.8,1.1,-0.1,-0.1,-0.8,0.14,0,1.7,0.55,-0.3
Toulouse,Angers,2024-10-20,D,H,1,1,0,1,0,0,0,65,15,3,26.7,28.7,22,11,66.7,27,15,55.6,11,40.7,450,2300,1366,33,19,10,0,0.0,2,0,0,11,9,1,0,0,0,1,0,0,2,0.0,23.5,18,0.06,0.2,5,27.8,14.9,0,0,0,1,0,55,2,22.3,474,592,80.1,14,43,15,2,70,8487,2827,183,222,82.4,254,287,88.5,32,59,54.2,1,0,1,100.0,0,1,100.0,0,1,0,547,45,10,1,3,31,23,8,4,3,0,0,11,469,19,8,15,11,33,23,1,6,3,0,0,4,2,75.0,699,36,128,389,194,32,699,9,6,4,3,2,4,11,36.4,7,8,2,6,3,12,21,0,2.0,2.0,0.5,1.3,1.2,1.3,-1.0,-1.0,-0.2,0.11,0,1.2,0.12,0.2
Toulouse,Montpellier,2024-10-27,W,A,3,0,3,3,0,0,0,49,22,1,27.3,28.0,14,15,48.3,14,7,50.0,7,50.0,346,1682,1021,19,13,17,0,0.0,2,0,0,20,7,6,5,0,1,0,0,0,10,80.0,49.9,15,0.2,0.5,6,40.0,18.1,0,1,0,0,0,51,0,10.3,417,494,84.4,12,22,10,0,38,7059,2512,206,220,93.6,171,201,85.1,30,52,57.7,0,0,0,,0,0,,0,0,0,456,37,8,3,4,10,15,3,2,1,0,1,4,416,13,7,20,7,24,16,2,2,1,0,3,2,2,100.0,608,64,197,304,115,34,608,16,10,9,5,2,9,18,50.0,9,4,2,2,8,24,26,0,1.9,1.9,1.7,1.7,1.7,1.9,1.1,1.1,1.3,0.13,0,0.1,0.06,0.1
Toulouse,Reims,2024-11-03,W,H,1,0,1,1,0,0,0,51,31,5,32.3,30.7,22,18,55.0,19,5,26.3,13,68.4,234,1289,753,18,9,12,0,0.0,0,0,0,16,15,2,2,0,0,0,0,0,3,33.3,24.7,13,0.08,0.2,5,38.5,15.9,0,0,0,0,0,43,3,19.4,321,428,75.0,8,17,11,2,37,5296,2080,156,182,85.7,132,170,77.6,23,53,43.4,0,0,0,,0,0,,0,0,0,377,51,18,6,1,23,23,6,3,2,0,0,8,319,9,6,16,12,20,12,4,0,2,1,1,2,2,100.0,545,67,178,215,156,34,545,15,10,9,6,0,9,20,45.0,11,11,6,5,4,19,23,1,0.9,0.9,-0.2,-0.2,0.6,1.0,0.1,0.1,0.4,0.07,0,0.2,0.11,0.2
Toulouse,Rennes,2024-11-10,W,A,2,0,2,1,0,0,0,33,20,1,65.0,44.3,14,11,56.0,25,9,36.0,14,56.0,224,925,427,11,7,16,0,0.0,1,0,0,16,16,2,1,1,0,0,0,0,11,54.5,37.4,9,0.11,1.0,1,11.1,15.6,0,1,0,0,0,51,0,,226,321,70.4,5,16,9,1,21,3687,1646,116,130,89.2,84,109,77.1,17,58,29.3,0,0,0,,0,0,,0,0,0,275,45,18,1,1,7,12,3,3,0,0,1,9,225,7,4,16,7,16,12,3,0,1,0,0,1,1,100.0,461,66,203,159,105,22,461,25,16,15,4,6,10,22,45.5,12,12,4,8,17,42,31,1,1.4,1.4,0.8,0.8,1.1,0.8,-0.4,-0.4,-0.1,0.15,0,0.1,0.07,0.1
Toulouse,Paris S-G,2024-11-22,L,A,0,3,-3,0,0,0,0,28,18,3,44.4,37.6,3,8,27.3,18,9,50.0,8,44.4,217,1097,480,11,15,13,0,0.0,2,0,0,14,10,0,0,0,0,0,0,0,5,40.0,30.0,11,0.0,0.0,2,18.2,18.2,0,0,0,0,0,46,0,8.3,230,314,73.2,8,18,8,0,28,4090,1885,112,131,85.5,86,112,76.8,27,48,56.3,0,0,0,,0,0,,0,1,0,267,47,13,1,3,15,20,5,2,2,0,0,12,228,15,1,20,9,19,14,1,0,2,1,1,8,5,62.5,447,65,142,181,128,20,447,19,11,9,7,3,14,26,53.8,12,18,5,13,13,32,24,1,1.4,1.4,0.3,0.3,0.7,0.9,-1.4,-1.4,-0.7,0.13,0,3.0,0.37,0.0
Toulouse,Auxerre,2024-12-01,W,H,2,0,2,1,1,1,0,52,36,4,30.6,31.4,11,15,42.3,23,13,56.5,8,34.8,349,1783,888,20,10,10,0,0.0,0,0,0,14,11,4,3,0,0,0,1,0,6,66.7,50.0,11,0.09,0.2,5,45.5,19.1,0,2,1,0,0,51,2,22.0,376,481,78.2,8,20,7,3,26,6797,2748,149,172,86.6,183,212,86.3,36,73,49.3,0,0,0,,0,0,,0,0,0,427,52,14,3,0,18,25,6,1,5,0,2,10,375,10,7,16,6,18,15,0,1,1,1,0,0,0,,596,65,229,284,92,25,595,16,10,8,6,2,11,17,64.7,6,19,3,16,12,28,20,0,2.3,1.5,2.2,1.4,1.2,0.8,-0.3,-0.5,-0.2,0.14,0,0.0,,0.0
Toulouse,Monaco,2024-12-07,L,A,0,2,-2,0,0,0,0,42,24,4,33.3,30.6,18,15,54.5,17,11,64.7,6,35.3,247,1373,626,15,11,8,1,12.5,2,0,0,16,11,0,0,0,0,0,0,0,12,16.7,24.2,6,0.0,0.0,3,50.0,17.1,0,1,0,0,0,52,3,18.3,280,401,69.8,6,26,6,2,35,5057,2251,125,154,81.2,121,159,76.1,29,65,44.6,0,0,0,,0,0,,0,0,0,341,59,19,1,3,13,22,3,1,1,0,1,11,279,11,1,24,15,11,8,2,0,0,0,1,5,3,60.0,515,63,180,222,122,14,515,15,10,6,6,3,9,26,34.6,17,12,3,9,13,28,19,1,0.5,0.5,-2.7,-2.7,0.5,0.7,-0.5,-0.5,-0.5,0.09,0,1.5,0.29,-0.5
Toulouse,Saint-Étienne,2024-12-13,W,H,2,1,1,2,0,0,0,39,11,1,36.4,34.6,16,15,51.6,18,4,22.2,13,72.2,327,1555,827,17,15,9,0,0.0,3,0,0,16,15,4,4,0,0,0,0,0,1,0.0,28.0,11,0.18,0.5,4,36.4,11.4,0,0,0,0,0,48,0,10.0,364,450,80.9,11,20,10,1,44,6191,2167,164,186,88.2,171,194,88.1,23,47,48.9,0,0,0,,0,0,,0,0,0,410,40,15,2,4,17,20,2,1,1,0,0,4,362,15,5,17,5,20,16,2,0,0,1,1,2,1,50.0,558,26,133,283,146,21,558,17,12,3,9,5,10,18,55.6,8,11,0,11,12,29,13,0,1.4,1.4,0.9,0.9,1.4,1.9,0.6,0.6,0.6,0.13,0,0.4,0.2,-0.6
