Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lens,Angers,2024-08-18,W,A,1,0,1,1,0,0,0,58,27,4,25.9,33.0,13,15,46.4,19,8,42.1,9,47.4,387,1803,893,14,15,21,1,4.8,0,0,0,14,10,2,2,0,0,0,0,0,6,50.0,37.3,10,0.1,0.25,4,40.0,16.2,0,3,0,0,0,37,0,6.7,437,548,79.7,9,31,6,4,37,6679,2542,242,274,88.3,143,175,81.7,34,62,54.8,0,0,0,,0,0,,0,0,0,494,51,16,2,6,15,25,3,3,0,0,3,12,433,15,1,21,12,18,16,0,2,0,0,0,3,3,100.0,687,56,227,318,148,12,687,30,14,13,14,3,15,23,65.2,8,10,3,7,11,41,25,0,1.2,1.2,0.8,0.8,0.9,0.9,-0.2,-0.2,0.1,0.12,0,0.5,0.16,0.5
Lille,Angers,2024-08-24,W,H,2,0,2,2,0,0,0,64,22,0,36.4,36.9,9,8,52.9,22,13,59.1,9,40.9,454,2440,1195,17,20,8,0,0.0,1,0,0,9,17,4,3,0,1,0,0,0,6,16.7,25.2,11,0.18,0.33,6,54.5,18.8,1,1,0,0,0,49,1,24.0,538,637,84.5,9,47,12,2,56,9697,2909,213,239,89.1,270,292,92.5,45,71,63.4,0,0,0,,0,0,,0,0,0,584,52,21,1,2,12,21,3,1,1,0,1,12,534,20,6,14,14,21,19,0,1,0,1,0,2,2,100.0,722,43,142,401,186,28,722,20,10,2,13,5,11,16,68.8,5,10,1,9,6,26,8,0,0.9,0.9,0.3,0.3,0.8,0.8,1.1,1.1,1.2,0.08,1,0.5,0.27,0.5
Nice,Angers,2024-09-01,W,A,4,1,3,4,0,0,0,46,33,6,30.3,36.5,9,14,39.1,24,9,37.5,12,50.0,286,1774,1037,16,10,14,3,21.4,4,1,1,13,13,6,2,1,1,2,0,0,10,10.0,15.6,14,0.29,0.5,8,57.1,15.3,0,0,0,1,0,40,0,6.2,332,413,80.4,8,18,7,1,33,5886,2411,142,162,87.7,151,179,84.4,32,56,57.1,1,1,0,0.0,1,0,0.0,0,0,0,368,45,14,3,0,14,12,7,4,2,0,0,4,327,10,4,17,13,19,13,2,2,2,0,0,7,6,100.0,526,68,180,255,97,20,526,19,15,7,10,2,6,17,35.3,11,8,2,6,7,26,22,0,2.2,2.2,0.8,1.6,1.0,1.3,1.8,1.8,2.0,0.17,0,1.6,0.12,0.6
Strasbourg,Angers,2024-09-15,D,H,1,1,0,1,0,0,0,52,43,2,20.9,29.0,9,9,50.0,23,7,30.4,16,69.6,375,1598,760,17,11,20,0,0.0,4,0,0,11,13,2,2,0,0,0,0,0,7,0.0,7.3,10,0.1,0.2,5,50.0,15.1,1,0,0,0,0,45,1,13.8,423,507,83.4,7,19,4,1,28,7641,2746,161,190,84.7,210,241,87.1,39,57,68.4,0,0,0,,0,0,,0,0,0,455,52,14,1,0,13,23,6,0,6,0,0,6,419,11,6,21,9,17,10,2,1,2,1,1,2,1,50.0,630,87,312,228,97,17,630,21,14,8,5,8,14,19,73.7,5,16,5,11,8,29,29,0,2.3,2.3,1.3,1.3,2.2,1.5,-1.3,-1.3,-1.2,0.23,1,1.0,0.5,0.0
Nantes,Angers,2024-09-22,D,A,1,1,0,1,0,0,0,50,23,6,21.7,31.8,21,12,63.6,20,9,45.0,11,55.0,402,1908,848,20,22,12,2,16.7,4,0,0,16,12,2,2,0,0,0,0,0,6,83.3,57.0,9,0.11,0.33,3,33.3,14.8,0,0,0,1,0,30,0,10.7,424,526,80.6,5,33,5,1,39,7294,2802,212,240,88.3,152,182,83.5,49,79,62.0,1,1,0,0.0,1,0,0.0,0,0,0,468,58,13,0,1,16,31,6,5,1,0,0,11,424,22,6,14,12,16,10,3,2,1,0,0,1,0,100.0,628,42,164,323,143,21,628,20,11,12,5,3,15,24,62.5,9,4,1,3,5,25,21,0,0.6,0.6,-0.2,0.6,0.5,0.7,0.4,0.4,0.5,0.07,0,0.6,0.0,-0.4
Reims,Angers,2024-09-29,W,A,3,1,2,3,0,0,0,47,44,4,27.3,32.2,14,13,51.9,18,13,72.2,5,27.8,330,1782,958,22,14,20,2,10.0,3,0,0,11,7,5,3,1,0,1,0,0,10,30.0,23.3,21,0.14,0.3,10,47.6,17.2,1,1,0,0,0,48,0,10.3,388,484,80.2,13,23,7,2,34,6545,2678,195,216,90.3,149,184,81.0,34,57,59.6,0,0,0,,0,0,,0,0,0,446,37,8,5,4,17,13,4,1,3,0,1,7,384,14,9,21,12,35,28,1,0,3,1,2,3,2,66.7,607,94,270,247,103,29,607,18,13,10,6,2,5,19,26.3,14,13,5,8,7,25,25,0,2.9,2.9,1.8,1.8,1.9,1.1,0.1,0.1,-0.9,0.14,1,0.8,0.26,-0.2
Marseille,Angers,2024-10-04,D,H,1,1,0,1,0,0,0,76,21,3,4.8,16.5,16,6,72.7,15,10,66.7,5,33.3,566,2884,1740,18,28,9,1,11.1,4,1,1,15,9,2,2,0,0,0,0,0,5,0.0,25.6,16,0.06,0.25,4,25.0,19.2,1,0,0,0,0,30,1,17.0,700,773,90.6,12,78,13,0,79,10558,2897,368,385,95.6,298,327,91.1,20,36,55.6,0,0,0,,0,0,,1,0,0,731,42,12,1,1,23,14,9,8,0,0,0,9,694,28,6,14,3,31,23,3,2,1,1,1,3,2,66.7,848,26,84,455,311,29,848,17,14,6,7,4,14,21,66.7,7,4,3,1,4,21,6,0,0.9,0.9,0.1,0.1,0.5,1.4,0.1,0.1,-0.5,0.06,1,0.3,0.11,-0.7
Toulouse,Angers,2024-10-20,D,H,1,1,0,1,0,0,0,65,15,3,26.7,28.7,22,11,66.7,27,15,55.6,11,40.7,450,2300,1366,33,19,10,0,0.0,2,0,0,11,9,1,0,0,0,1,0,0,2,0.0,23.5,18,0.06,0.2,5,27.8,14.9,0,0,0,1,0,55,2,22.3,474,592,80.1,14,43,15,2,70,8487,2827,183,222,82.4,254,287,88.5,32,59,54.2,1,0,1,100.0,0,1,100.0,0,1,0,547,45,10,1,3,31,23,8,4,3,0,0,11,469,19,8,15,11,33,23,1,6,3,0,0,4,2,75.0,699,36,128,389,194,32,699,9,6,4,3,2,4,11,36.4,7,8,2,6,3,12,21,0,2.0,2.0,0.5,1.3,1.2,1.3,-1.0,-1.0,-0.2,0.11,0,1.2,0.12,0.2
Saint-Étienne,Angers,2024-10-26,L,A,2,4,-2,1,1,1,0,58,33,6,18.2,29.0,10,14,41.7,29,17,58.6,12,41.4,369,2100,1201,25,10,11,1,9.1,3,0,0,13,10,4,1,1,1,0,1,0,5,0.0,17.8,18,0.06,0.17,6,33.3,24.6,1,0,1,1,0,47,1,15.7,516,611,84.5,13,42,7,1,55,9222,3013,226,256,88.3,233,255,91.4,44,70,62.9,1,1,0,0.0,1,0,0.0,0,0,0,568,43,8,0,6,16,22,3,0,2,0,0,8,512,10,6,11,15,33,22,3,3,1,2,2,8,4,62.5,722,49,198,313,217,27,721,14,7,4,6,4,10,13,76.9,3,6,1,5,12,26,10,2,1.5,0.7,-1.4,-1.4,0.6,0.7,0.5,0.3,0.4,0.04,1,3.2,0.31,-0.8
Monaco,Angers,2024-11-01,L,H,0,1,-1,0,0,0,0,63,22,5,9.1,27.5,7,10,41.2,12,6,50.0,4,33.3,486,2610,1495,30,17,8,1,12.5,1,0,0,16,12,0,0,0,0,0,0,0,5,0.0,19.2,11,0.0,0.0,3,27.3,18.3,1,0,0,0,0,46,0,9.0,498,604,82.5,7,55,17,1,79,8353,3078,231,268,86.2,222,252,88.1,34,57,59.6,0,0,0,,0,0,,0,0,0,561,43,13,2,9,21,19,4,1,3,0,0,10,489,17,2,22,9,15,13,0,0,1,1,0,3,2,66.7,703,45,135,328,247,36,703,14,8,3,7,4,6,19,31.6,13,14,4,10,11,25,12,0,1.4,1.4,0.9,0.9,1.2,2.1,-1.4,-1.4,-1.2,0.13,1,0.5,0.17,-0.5
Paris S-G,Angers,2024-11-09,W,A,4,2,2,4,0,0,0,70,14,3,0.0,24.4,8,10,44.4,20,13,65.0,6,30.0,566,2927,1703,22,24,17,0,0.0,3,0,0,16,5,8,8,0,0,0,0,0,7,0.0,14.9,26,0.15,0.33,12,46.2,15.9,0,0,0,0,0,40,0,10.8,763,838,91.1,20,63,17,3,77,12553,3443,381,408,93.4,321,338,95.0,49,63,77.8,0,0,0,,0,0,,0,1,0,799,39,8,3,9,21,13,8,5,1,0,0,10,759,24,5,9,5,47,36,2,3,5,0,1,3,1,33.3,922,65,162,470,296,44,922,15,11,3,8,4,9,23,39.1,14,6,2,4,7,22,14,1,3.4,3.4,2.3,2.3,2.6,2.5,0.6,0.6,1.4,0.14,0,1.2,0.41,-0.8
Auxerre,Angers,2024-11-24,W,H,1,0,1,1,0,0,0,48,29,10,27.6,29.7,13,11,54.2,17,6,35.3,11,64.7,417,2210,1209,21,15,11,1,9.1,4,0,0,13,6,2,2,0,0,0,0,0,6,50.0,42.3,10,0.1,0.17,6,60.0,19.4,0,0,0,0,0,56,0,11.0,400,497,80.5,9,28,6,2,40,6915,2457,179,205,87.3,181,207,87.4,32,65,49.2,0,0,0,,0,0,,0,0,0,465,32,8,0,6,17,15,2,2,0,0,0,7,396,15,3,11,3,19,16,1,0,0,0,2,5,5,100.0,598,60,185,303,118,12,598,22,14,10,10,2,14,18,77.8,4,12,2,10,10,32,11,1,0.6,0.6,-0.3,-0.3,0.5,0.4,0.4,0.4,0.5,0.06,0,1.4,0.27,1.4
Le Havre,Angers,2024-12-01,L,H,0,1,-1,0,0,0,0,55,13,3,23.1,30.2,10,6,62.5,18,10,55.6,8,44.4,361,2150,1130,22,17,11,0,0.0,2,0,0,8,10,0,0,0,0,0,0,0,6,0.0,18.5,5,0.0,0.0,1,20.0,21.7,0,0,0,0,0,48,0,,457,541,84.5,4,34,5,2,48,8319,2439,179,194,92.3,228,260,87.7,45,68,66.2,0,0,0,,0,0,,0,1,0,505,36,11,0,3,34,15,2,1,1,0,0,8,453,17,2,14,15,8,5,1,2,0,0,0,3,2,66.7,646,41,147,346,158,22,646,26,16,10,14,2,11,17,64.7,6,10,5,5,9,35,7,1,0.3,0.3,-1.9,-1.9,0.2,0.5,-0.3,-0.3,-0.2,0.05,0,2.0,0.67,1.0
