Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Nice,Auxerre,2024-08-18,L,A,1,2,-1,1,0,0,0,55,17,6,5.9,19.8,9,9,50.0,17,5,29.4,10,58.8,380,2055,1284,22,12,14,1,7.1,0,0,0,17,11,2,2,0,0,0,0,0,9,0.0,15.2,9,0.11,0.5,2,22.2,14.4,1,3,0,0,0,39,0,9.0,446,530,84.2,8,32,12,3,56,7287,2716,216,230,93.9,206,232,88.8,23,50,46.0,0,0,0,,0,0,,0,0,0,485,42,12,0,0,20,13,5,4,0,0,3,9,445,12,4,15,9,18,16,0,0,0,1,1,7,5,71.4,630,54,174,335,127,23,630,16,10,5,8,3,8,15,53.3,7,6,1,5,8,24,17,2,0.7,0.7,-1.1,-1.1,0.7,1.0,0.3,0.3,0.3,0.08,1,2.2,0.4,0.2
Nantes,Auxerre,2024-08-25,W,H,2,0,2,2,0,0,0,36,13,2,46.2,41.2,10,18,35.7,20,9,45.0,9,45.0,173,1067,535,15,14,28,1,3.6,2,0,0,9,5,3,1,0,2,0,0,0,7,42.9,41.0,9,0.22,0.4,5,55.6,16.7,1,2,0,0,0,44,0,5.8,240,346,69.4,5,22,7,2,27,4204,1974,103,129,79.8,111,142,78.2,21,51,41.2,0,0,0,,0,0,,0,0,0,297,47,6,1,2,22,30,3,1,1,0,2,12,239,14,7,12,13,15,8,1,4,1,1,0,3,3,100.0,488,73,180,177,136,20,488,21,13,10,6,5,8,16,50.0,8,15,5,10,10,31,41,0,1.4,1.4,0.3,0.3,0.9,0.6,0.6,0.6,0.1,0.16,1,0.3,0.11,0.3
Le Havre,Auxerre,2024-09-01,W,H,3,1,2,1,1,1,0,50,19,6,10.5,24.2,17,8,68.0,13,8,61.5,5,38.5,345,1747,999,17,11,14,2,14.3,1,0,0,10,16,4,3,0,0,0,1,0,6,16.7,32.5,21,0.05,0.14,7,33.3,19.8,1,4,1,0,0,39,0,8.0,396,483,82.0,16,32,11,4,48,6718,2357,192,217,88.5,166,186,89.2,30,59,50.8,0,0,0,,0,0,,1,0,0,440,39,13,5,1,18,16,2,1,1,0,4,3,393,11,3,6,8,40,27,4,1,1,6,1,3,2,66.7,573,45,169,243,165,28,572,14,11,6,5,3,4,7,57.1,3,7,3,4,6,20,19,0,2.8,2.0,2.2,1.4,1.3,1.4,-0.8,-1.0,-0.3,0.09,1,0.7,0.22,-0.3
Monaco,Auxerre,2024-09-14,W,A,3,0,3,3,0,0,0,59,18,3,27.8,32.6,14,9,60.9,30,20,66.7,8,26.7,459,2650,1398,31,24,16,1,6.3,0,0,0,16,13,4,1,1,1,1,0,0,10,10.0,21.8,19,0.16,0.33,9,47.4,12.9,0,3,0,0,0,65,0,6.5,501,622,80.5,16,21,10,2,39,8304,3158,245,282,86.9,232,273,85.0,22,55,40.0,0,0,0,,0,0,,0,0,0,571,48,14,2,1,12,17,6,5,0,0,3,11,498,24,10,14,11,34,24,2,5,2,1,0,3,3,100.0,739,68,280,329,143,30,739,27,22,14,10,3,13,18,72.2,5,19,4,15,7,34,22,0,3.4,3.4,2.8,2.8,2.8,1.6,-0.4,-0.4,-0.8,0.19,0,0.2,0.08,0.2
Montpellier,Auxerre,2024-09-22,W,H,3,2,1,3,0,0,0,54,23,5,34.8,32.8,13,14,48.1,17,10,58.8,7,41.2,294,1556,851,21,7,16,1,6.3,3,0,0,13,19,6,4,1,1,0,0,0,9,66.7,52.0,14,0.21,0.75,4,28.6,14.4,0,4,0,0,0,37,0,10.0,359,482,74.5,14,31,8,2,40,6970,2856,149,180,82.8,157,188,83.5,51,98,52.0,0,0,0,,0,0,,0,0,0,407,71,21,3,4,36,27,11,2,7,0,4,12,357,7,4,11,8,27,21,3,1,1,0,1,5,3,60.0,577,53,201,245,141,17,577,22,12,10,10,2,13,20,65.0,7,12,3,9,12,34,13,0,2.0,2.0,0.8,0.8,2.0,1.4,1.0,1.0,1.0,0.15,0,1.3,0.26,-0.7
Brest,Auxerre,2024-09-27,L,A,0,3,-3,0,0,0,0,61,27,4,37.0,33.4,23,16,59.0,19,7,36.8,11,57.9,447,2401,1107,15,11,17,0,0.0,0,0,0,16,11,0,0,0,0,0,0,0,9,33.3,35.4,8,0.0,0.0,4,50.0,14.8,0,1,0,1,0,41,0,10.7,443,550,80.5,7,22,3,1,27,8313,3004,181,208,87.0,197,227,86.8,55,90,61.1,1,1,0,0.0,1,0,0.0,0,0,0,495,54,15,0,9,15,23,3,2,1,0,1,8,441,11,5,13,8,12,7,2,1,0,1,1,4,1,50.0,653,70,252,308,100,12,653,13,10,4,7,2,5,11,45.5,6,15,5,10,9,22,21,1,0.8,0.8,-1.7,-1.0,0.8,0.8,-0.8,-0.8,-0.8,0.1,0,1.4,0.13,-1.6
Saint-Étienne,Auxerre,2024-10-05,W,H,3,1,2,3,0,0,0,42,30,1,60.0,40.9,15,20,42.9,20,8,40.0,10,50.0,315,1561,773,19,10,24,3,12.5,3,0,0,13,10,6,5,0,1,0,0,0,9,77.8,48.1,13,0.23,0.6,5,38.5,15.2,0,3,0,0,0,54,2,15.7,292,394,74.1,12,22,2,0,28,5326,2268,122,135,90.4,140,170,82.4,27,72,37.5,0,0,0,,0,0,,0,0,0,341,50,14,7,1,12,20,5,3,0,0,3,7,288,10,10,11,14,25,19,3,3,0,0,0,1,0,0.0,534,81,226,238,79,17,534,26,14,13,11,2,11,22,50.0,11,15,5,10,20,46,31,0,2.7,2.7,1.9,1.9,2.3,1.2,0.3,0.3,0.7,0.21,0,0.9,0.88,-0.1
Reims,Auxerre,2024-10-20,L,A,1,2,-1,1,0,0,0,65,22,10,13.6,22.8,15,14,51.7,24,16,66.7,8,33.3,416,2338,1204,20,11,13,0,0.0,3,0,0,10,6,2,2,0,0,0,0,0,5,0.0,15.6,15,0.07,0.33,3,20.0,16.6,1,2,0,1,0,39,1,15.0,453,555,81.6,10,48,11,5,48,8010,2801,202,219,92.2,203,229,88.6,40,73,54.8,1,0,1,100.0,0,1,100.0,0,0,0,496,57,7,0,2,33,33,9,8,1,0,2,10,450,11,5,18,14,25,20,1,2,1,1,0,8,5,75.0,653,42,161,333,162,33,653,17,10,9,4,4,10,16,62.5,6,6,0,6,6,23,13,0,1.1,1.1,-1.7,-0.9,0.8,1.1,-0.1,-0.1,0.2,0.07,1,3.2,0.3,1.2
Lyon,Auxerre,2024-10-27,D,H,2,2,0,1,1,1,0,62,21,3,23.8,27.9,10,9,52.6,23,6,26.1,13,56.5,360,1990,1244,24,13,19,0,0.0,0,0,0,7,14,3,2,0,0,0,1,0,6,33.3,40.8,11,0.09,0.14,7,63.6,14.4,0,2,1,0,0,43,2,17.8,488,590,82.7,10,52,9,2,52,8393,2522,225,256,87.9,230,255,90.2,31,66,47.0,0,0,0,,0,0,,0,1,0,535,53,18,3,2,22,21,5,3,2,0,2,5,483,13,4,12,8,22,18,2,1,0,1,0,5,3,60.0,712,57,171,344,201,32,711,20,13,10,6,4,13,18,72.2,5,13,7,6,8,28,23,0,2.0,1.2,0.6,-0.2,1.2,1.5,0.0,-0.2,-0.2,0.11,0,1.9,0.44,-0.1
Rennes,Auxerre,2024-11-03,L,A,0,4,-4,0,0,0,0,61,14,6,14.3,28.0,22,19,53.7,22,12,54.5,10,45.5,448,2182,1174,16,7,11,0,0.0,2,0,0,15,10,0,0,0,0,0,0,0,9,0.0,19.9,7,0.0,0.0,4,57.1,12.7,0,2,0,1,0,38,1,35.0,468,562,83.3,7,40,4,2,50,8768,2922,182,205,88.8,238,265,89.8,45,72,62.5,1,1,0,0.0,1,0,0.0,0,0,0,502,58,14,1,3,23,22,8,5,3,0,2,12,462,7,2,14,12,14,11,2,0,1,0,0,8,4,62.5,659,45,172,366,127,13,659,19,8,7,7,5,10,22,45.5,12,2,1,1,5,24,20,0,0.9,0.9,-1.9,-1.1,0.9,1.2,-0.9,-0.9,-0.9,0.13,0,3.0,0.28,-1.0
