Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Marseille,Brest,2024-08-17,W,A,5,1,4,3,2,2,0,50,43,6,14.0,22.7,7,6,53.8,25,8,32.0,15,60.0,420,1618,793,13,5,15,0,0.0,1,0,0,8,12,10,8,0,0,0,2,0,5,20.0,22.2,5,0.6,1.0,3,60.0,20.2,0,0,2,1,0,43,0,10.0,467,540,86.5,4,17,1,0,15,7221,2490,255,267,95.5,179,200,89.5,21,44,47.7,1,0,1,100.0,0,1,100.0,0,0,0,501,39,12,0,3,1,20,0,0,0,0,0,13,464,5,8,16,13,14,12,0,0,0,2,0,7,5,85.7,658,89,345,270,49,14,656,18,12,12,6,0,13,18,72.2,5,11,1,10,11,29,20,1,2.4,0.8,1.1,0.3,0.5,0.5,2.6,2.2,1.5,0.16,0,1.7,0.15,0.7
Lens,Brest,2024-08-25,W,H,2,0,2,1,0,0,0,52,16,4,56.3,44.3,23,15,60.5,14,8,57.1,6,42.9,370,1506,736,12,12,13,3,23.1,2,1,0,10,7,2,2,0,0,0,0,0,12,33.3,28.6,20,0.05,0.11,9,45.0,14.0,1,6,0,0,0,50,0,4.7,429,543,79.0,16,36,20,3,58,7119,2900,221,254,87.0,164,185,88.6,36,67,53.7,0,0,0,,0,0,,0,0,0,496,41,7,2,0,22,16,5,3,2,0,6,7,425,12,0,12,6,35,24,3,2,4,2,0,2,2,100.0,643,49,150,313,183,34,643,16,7,7,4,5,11,20,55.0,9,6,0,6,10,26,15,0,2.9,2.9,2.1,2.1,2.1,2.1,-1.9,-1.9,-1.1,0.15,1,0.5,0.23,0.5
Saint-Étienne,Brest,2024-08-31,L,A,0,4,-4,0,0,0,0,53,25,5,32.0,33.6,16,23,41.0,19,6,31.6,13,68.4,264,1502,742,11,9,19,1,5.3,5,0,0,28,11,0,0,0,0,0,0,0,10,30.0,36.7,6,0.0,,0,0.0,23.3,0,4,0,2,0,46,1,15.5,335,415,80.7,5,33,7,2,42,6645,2774,132,147,89.8,152,178,85.4,46,78,59.0,2,2,0,0.0,2,0,0.0,0,1,0,363,48,14,0,4,16,17,2,0,2,0,4,4,330,9,0,24,10,10,9,0,0,0,0,1,8,4,75.0,536,66,203,257,83,9,536,18,13,6,10,2,10,13,76.9,3,12,6,6,5,23,28,2,0.2,0.2,-2.9,-1.4,0.1,0.6,-0.2,-0.2,-0.1,0.03,0,3.5,0.23,-0.5
Paris S-G,Brest,2024-09-14,W,H,3,1,2,3,0,0,0,67,18,4,5.6,23.6,5,9,35.7,30,8,26.7,22,73.3,430,2973,1749,39,26,9,0,0.0,2,0,0,7,13,5,4,0,0,1,0,0,2,0.0,15.5,22,0.14,0.33,9,40.9,16.2,0,3,0,1,0,55,0,20.0,655,733,89.4,19,49,16,2,71,10880,3337,305,330,92.4,295,320,92.2,43,55,78.2,1,1,0,0.0,1,0,0.0,0,0,0,678,52,14,2,3,22,25,9,2,2,0,3,13,652,26,13,23,6,40,33,1,1,4,0,1,3,2,100.0,852,54,206,374,276,42,852,14,8,6,6,2,6,12,50.0,6,12,2,10,5,19,7,0,2.8,2.8,1.8,2.6,2.6,2.2,0.2,0.2,-0.6,0.13,0,1.1,0.1,0.1
Toulouse,Brest,2024-09-22,L,A,0,2,-2,0,0,1,1,57,32,3,12.5,23.4,20,16,55.6,8,4,50.0,4,50.0,385,1641,945,12,18,15,0,0.0,1,0,0,18,15,0,0,0,0,0,0,0,3,0.0,19.7,10,0.0,0.0,1,10.0,14.2,0,0,1,0,0,50,1,18.5,405,524,77.3,8,32,7,1,57,7190,2663,179,222,80.6,182,215,84.7,36,67,53.7,0,0,0,,0,0,,0,0,0,478,46,14,0,4,25,23,3,1,1,0,0,6,399,18,1,10,8,20,11,5,1,0,3,0,5,3,60.0,618,48,191,284,147,20,617,22,14,7,10,5,15,26,57.7,11,8,2,6,10,32,18,0,2.7,1.9,2.3,1.5,1.4,1.4,-2.7,-1.9,-1.4,0.19,0,0.6,0.12,-1.4
Auxerre,Brest,2024-09-27,W,H,3,0,3,2,1,1,0,39,29,6,65.5,49.8,16,23,41.0,11,6,54.5,5,45.5,211,1148,524,14,11,9,1,11.1,2,0,0,13,13,5,4,0,0,1,0,0,4,100.0,72.5,14,0.14,0.67,3,21.4,16.7,1,2,0,0,0,41,2,18.2,233,347,67.1,11,25,10,5,40,4514,2228,100,129,77.5,96,124,77.4,30,71,42.3,0,0,0,,0,0,,0,0,0,300,45,15,0,4,20,23,2,0,1,0,2,11,233,11,0,8,8,28,18,3,0,3,2,2,4,4,100.0,448,55,146,178,128,18,447,19,15,12,7,0,11,18,61.1,7,5,0,5,14,33,23,0,2.5,1.8,1.7,1.0,1.7,1.0,0.5,0.2,0.3,0.13,1,0.4,0.1,0.4
Le Havre,Brest,2024-10-06,L,A,0,2,-2,0,0,0,0,47,23,5,39.1,32.6,16,18,47.1,11,4,36.4,5,45.5,264,1183,582,9,12,11,1,9.1,0,1,0,11,16,0,0,0,0,0,0,0,8,12.5,22.0,14,0.0,,0,0.0,17.3,1,2,0,0,0,45,0,11.5,290,415,69.9,12,26,10,5,37,5344,2282,122,155,78.7,125,154,81.2,36,76,47.4,0,0,0,,0,0,,0,0,0,350,63,20,0,1,35,23,9,6,3,0,2,15,286,12,3,21,10,22,15,2,1,2,2,0,3,1,33.3,526,52,163,206,162,28,526,21,11,7,9,5,14,22,63.6,8,10,3,7,9,30,11,0,1.0,1.0,0.3,0.3,1.0,1.4,-1.0,-1.0,-1.0,0.08,1,1.2,0.39,-0.8
Rennes,Brest,2024-10-19,D,A,1,1,0,1,0,0,0,44,24,5,45.8,39.8,13,22,37.1,22,7,31.8,11,50.0,261,1453,767,11,9,13,0,0.0,2,0,0,15,16,2,1,0,1,0,0,0,7,28.6,27.0,6,0.17,0.25,4,66.7,13.3,0,2,0,1,0,40,0,7.0,306,398,76.9,4,34,5,0,35,5421,2131,144,158,91.1,120,144,83.3,34,71,47.9,1,1,0,0.0,1,0,0.0,0,0,0,346,50,20,2,6,13,17,4,4,0,0,2,9,305,9,3,17,12,12,10,1,1,0,0,0,2,1,100.0,516,49,190,237,94,14,516,11,6,7,4,0,5,10,50.0,5,16,3,13,13,24,13,0,1.2,1.2,-0.3,0.5,0.2,0.2,-0.2,-0.2,-0.2,0.19,0,1.1,0.06,0.1
Reims,Brest,2024-10-26,L,H,1,2,-1,1,0,0,0,53,19,3,15.8,24.7,17,14,54.8,23,13,56.5,10,43.5,334,1857,1058,23,22,7,0,0.0,3,0,0,15,10,2,1,1,0,0,0,0,5,20.0,29.2,11,0.09,0.33,3,27.3,15.8,0,3,0,1,0,53,0,,379,467,81.2,10,28,6,3,46,7119,2428,151,167,90.4,167,192,87.0,48,79,60.8,1,1,0,0.0,1,0,0.0,0,0,0,418,46,12,1,13,30,19,7,2,5,0,3,7,376,22,5,18,8,22,16,4,0,1,1,0,4,2,75.0,576,40,174,239,170,21,576,15,9,8,6,1,8,12,66.7,4,11,4,7,10,25,9,1,0.7,0.7,-0.7,0.0,0.7,1.4,0.3,0.3,0.3,0.07,0,1.6,0.21,-0.4
Nice,Brest,2024-11-02,W,A,1,0,1,1,0,0,0,37,26,4,38.5,39.3,18,15,54.5,26,10,38.5,15,57.7,235,1138,604,13,8,20,0,0.0,2,0,0,4,9,2,2,0,0,0,0,0,13,61.5,41.9,12,0.08,0.33,3,25.0,14.2,0,4,0,0,0,48,1,15.3,284,376,75.5,9,19,8,2,29,5332,2202,127,148,85.8,112,129,86.8,36,69,52.2,0,0,0,,0,0,,0,0,0,327,45,10,2,5,7,19,2,2,0,0,4,9,282,8,3,15,12,19,14,1,2,2,0,0,6,6,100.0,505,83,203,213,92,14,505,20,11,15,3,2,10,17,58.8,7,13,1,12,11,31,30,1,1.4,1.4,0.4,0.4,1.1,1.0,-0.4,-0.4,-0.1,0.12,0,1.3,0.22,1.3
Montpellier,Brest,2024-11-10,W,H,3,1,2,2,1,2,1,33,29,5,44.8,39.0,12,23,34.3,18,7,38.9,9,50.0,175,758,365,4,6,24,1,4.2,5,0,0,18,12,5,3,1,0,0,1,0,13,84.6,56.5,12,0.17,0.33,6,50.0,23.0,1,3,1,0,0,29,1,19.0,190,275,69.1,9,14,5,2,14,3906,1711,66,84,78.6,83,105,79.0,38,69,55.1,0,0,0,,0,0,,0,0,0,228,44,11,0,2,8,15,3,1,2,0,3,4,189,6,1,10,6,21,11,6,0,0,3,1,6,5,83.3,408,80,183,147,84,16,406,25,13,12,9,4,13,19,68.4,6,8,1,7,10,35,34,0,2.5,0.9,1.6,0.0,0.8,0.9,0.5,1.1,0.2,0.08,1,1.1,0.18,0.1
