Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Paris S-G,Le Havre,2024-08-16,W,A,4,1,3,3,1,1,0,76,24,5,20.8,27.7,10,5,66.7,15,4,26.7,10,66.7,678,3200,1550,25,22,5,1,20.0,0,0,0,9,9,8,7,0,0,0,1,0,4,50.0,36.0,14,0.21,0.38,8,57.1,15.2,0,1,1,0,0,38,1,16.0,798,866,92.1,12,62,7,1,64,13370,3735,368,389,94.6,352,368,95.7,61,76,80.3,0,0,0,,0,0,,0,0,0,819,46,11,2,5,15,21,8,0,3,0,1,13,796,22,10,13,15,24,19,2,1,1,1,0,2,1,50.0,967,50,220,533,221,25,966,17,12,3,12,2,8,12,66.7,4,9,2,7,4,21,9,0,2.9,2.1,2.7,1.9,2.0,1.1,1.1,0.9,1.0,0.15,0,0.2,0.09,-0.8
Saint-Étienne,Le Havre,2024-08-24,L,H,0,2,-2,0,0,0,0,59,20,3,40.0,37.4,15,11,57.7,20,11,55.0,9,45.0,308,2012,989,15,14,17,0,0.0,3,0,0,12,9,0,0,0,0,0,0,0,10,20.0,27.5,19,0.0,0.0,5,26.3,17.5,1,2,0,1,0,37,2,19.2,408,495,82.4,9,35,5,1,39,7598,2336,144,168,85.7,222,250,88.8,35,60,58.3,1,1,0,0.0,1,0,0.0,0,1,0,444,49,12,1,5,11,22,2,1,1,0,2,6,406,14,3,17,8,32,18,4,4,4,2,0,5,3,80.0,588,51,178,270,144,18,588,7,4,4,2,1,6,17,35.3,11,7,2,5,6,13,18,0,1.1,1.1,-1.3,-0.5,0.6,0.5,-1.1,-1.1,-0.6,0.06,1,1.4,0.17,-0.6
Auxerre,Le Havre,2024-09-01,L,A,1,3,-2,1,0,0,0,50,25,7,48.0,40.6,8,17,32.0,9,3,33.3,4,44.4,369,1421,772,11,7,15,1,6.7,5,1,1,16,9,2,0,0,1,0,1,0,9,33.3,36.3,7,0.14,0.33,3,42.9,25.0,1,0,0,1,1,30,3,17.4,402,487,82.5,5,24,2,0,34,7033,2183,158,171,92.4,203,220,92.3,29,69,42.0,1,1,0,0.0,1,0,0.0,0,0,1,447,40,13,1,5,14,13,2,2,0,0,0,4,397,7,1,10,10,12,9,0,1,1,1,0,8,6,75.0,576,68,210,286,84,5,576,13,5,6,5,2,5,13,38.5,8,7,5,2,4,17,26,2,0.6,0.6,-2.2,-1.4,0.5,0.3,0.4,0.4,-0.5,0.08,1,2.5,0.21,0.5
Toulouse,Le Havre,2024-09-15,W,H,2,0,2,2,0,0,0,54,24,2,16.7,27.9,15,15,50.0,19,11,57.9,5,26.3,438,1998,914,12,10,11,0,0.0,1,0,0,10,11,3,2,0,0,0,0,1,7,42.9,36.4,15,0.13,0.33,6,40.0,14.6,0,0,0,0,0,58,0,9.0,457,570,80.2,11,38,6,1,42,7760,2848,204,230,88.7,211,244,86.5,32,66,48.5,0,0,0,,0,0,,0,0,0,515,55,11,2,0,18,30,6,1,4,0,0,10,452,10,3,19,15,23,15,2,1,2,1,2,3,3,100.0,685,53,191,368,134,25,685,19,10,5,11,3,6,13,46.2,7,8,1,7,8,27,17,0,1.3,1.3,1.1,1.1,0.9,0.7,0.7,0.7,1.1,0.09,0,0.7,0.25,0.7
Monaco,Le Havre,2024-09-22,W,H,3,1,2,3,0,0,0,61,25,4,24.0,31.6,17,9,65.4,18,8,44.4,7,38.9,402,2215,1158,19,18,11,0,0.0,1,0,0,10,16,6,3,0,0,1,0,2,5,40.0,29.6,12,0.25,0.75,4,33.3,16.8,0,5,0,0,0,41,3,28.7,444,538,82.5,11,42,5,0,44,7464,2813,209,237,88.2,197,218,90.4,30,58,51.7,0,0,0,,0,0,,0,0,0,482,51,19,1,4,17,19,6,4,2,0,5,9,438,18,5,16,4,21,14,3,0,2,0,2,1,0,0.0,634,49,157,323,161,18,634,21,10,10,9,2,7,14,50.0,7,8,3,5,8,29,16,1,1.9,1.9,1.4,1.4,1.9,1.2,1.1,1.1,1.1,0.17,0,0.9,0.91,-0.1
Lille,Le Havre,2024-09-28,W,A,3,0,3,3,0,1,1,62,24,7,33.3,32.5,10,14,41.7,23,13,56.5,8,34.8,479,2256,1226,26,17,11,1,9.1,1,0,0,9,11,6,6,0,0,0,0,0,5,20.0,20.4,17,0.18,0.33,9,52.9,17.7,0,3,1,0,0,42,0,8.0,596,674,88.4,16,44,21,3,47,10364,3217,271,292,92.8,290,309,93.9,33,63,52.4,0,0,0,,0,0,,0,0,0,637,34,11,3,1,13,12,5,1,4,0,3,8,593,17,4,15,9,35,31,1,1,1,1,0,4,4,100.0,785,55,218,379,193,41,784,18,12,5,8,5,9,19,47.4,10,5,0,5,13,31,12,0,3.1,2.8,2.7,2.4,2.8,3.1,-0.1,0.2,0.2,0.16,0,0.5,0.13,0.5
Brest,Le Havre,2024-10-06,W,H,2,0,2,2,0,0,0,53,24,4,33.3,33.4,18,16,52.9,24,8,33.3,14,58.3,248,1375,800,11,7,25,2,8.0,4,1,1,19,11,2,2,0,0,0,0,0,8,50.0,43.6,8,0.25,0.67,3,37.5,16.9,0,2,0,0,0,46,0,5.5,367,476,77.1,7,24,7,2,34,6752,2334,142,162,87.7,185,218,84.9,34,78,43.6,0,0,0,,0,0,,0,0,0,430,44,13,3,3,14,21,1,1,0,0,2,7,363,7,2,13,7,13,8,1,1,1,1,1,0,0,,609,78,232,282,100,15,609,15,9,4,7,4,5,9,55.6,4,16,5,11,12,27,40,0,0.7,0.7,-0.3,-0.3,0.7,0.6,1.3,1.3,1.3,0.09,0,0.0,,0.0
Lyon,Le Havre,2024-10-20,W,A,4,0,4,4,0,0,0,61,26,5,34.6,33.4,11,8,57.9,15,10,66.7,5,33.3,288,1543,904,17,14,19,1,5.3,4,0,0,11,17,8,7,0,1,0,0,0,9,66.7,58.6,16,0.25,0.5,8,50.0,19.2,0,1,0,0,0,27,0,7.0,462,544,84.9,13,33,11,2,50,8202,2943,205,231,88.7,220,240,91.7,35,60,58.3,0,0,0,,0,0,,0,0,0,488,55,20,3,0,11,19,6,1,4,0,1,5,460,14,3,17,12,28,25,1,1,1,0,0,1,1,100.0,647,58,197,302,150,22,647,11,5,8,3,0,7,13,53.8,6,9,3,6,8,19,20,0,2.7,2.7,2.3,2.3,2.6,2.3,1.3,1.3,0.4,0.17,0,0.2,0.17,0.2
Rennes,Le Havre,2024-10-25,W,H,1,0,1,1,0,0,0,60,22,3,22.7,27.2,11,13,45.8,26,7,26.9,15,57.7,474,2414,1235,29,21,9,0,0.0,2,0,0,10,7,2,2,0,0,0,0,0,4,25.0,34.0,20,0.05,0.25,4,20.0,15.4,0,0,0,0,0,46,2,18.3,496,598,82.9,12,40,12,3,51,8750,2619,212,244,86.9,238,266,89.5,39,69,56.5,0,0,0,,0,0,,0,0,0,542,56,9,1,3,32,28,14,12,1,0,0,8,487,21,6,19,4,34,24,5,1,4,0,0,1,1,100.0,719,41,141,337,246,39,719,14,9,8,5,1,6,13,46.2,7,13,2,11,12,26,13,0,1.5,1.5,1.1,1.1,1.1,1.6,-0.5,-0.5,-1.1,0.08,0,0.3,0.3,0.3
Montpellier,Le Havre,2024-11-03,L,A,0,1,-1,0,0,0,0,52,24,1,33.3,35.0,13,23,36.1,18,8,44.4,9,50.0,338,1858,860,21,11,12,0,0.0,1,0,0,13,11,0,0,0,0,0,0,0,6,16.7,22.2,15,0.0,0.0,1,6.7,18.0,0,0,0,1,0,50,2,14.5,402,507,79.3,11,44,8,5,44,7512,2595,174,204,85.3,171,202,84.7,53,83,63.9,1,1,0,0.0,1,0,0.0,0,0,0,463,44,14,3,2,32,12,10,2,7,0,0,12,397,11,5,17,6,23,19,1,1,1,1,0,4,3,100.0,613,59,173,291,156,23,613,15,8,7,7,1,4,7,57.1,3,11,4,7,10,25,17,2,1.0,1.0,-1.2,-0.4,0.9,0.9,-1.0,-1.0,-0.9,0.07,0,2.0,0.25,1.0
