Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Angers,Lens,2024-08-18,L,H,0,1,-1,0,0,0,0,42,29,8,58.6,40.6,15,13,53.6,24,8,33.3,15,62.5,224,1063,497,13,5,13,2,15.4,1,0,0,12,13,0,0,0,0,0,0,0,8,75.0,45.6,8,0.0,0.0,3,37.5,19.9,0,4,0,0,0,31,3,15.2,285,400,71.3,4,23,8,3,27,4890,2119,135,165,81.8,106,135,78.5,31,70,44.3,0,0,0,,0,0,,0,0,0,331,65,17,2,1,23,31,7,6,1,0,4,7,284,5,1,25,15,11,6,0,1,2,1,1,4,3,75.0,535,40,125,238,177,13,535,21,14,4,7,10,9,17,52.9,8,10,0,10,10,31,14,0,0.4,0.4,-0.8,-0.8,0.3,0.5,-0.4,-0.4,-0.3,0.05,0,1.2,0.31,0.2
Brest,Lens,2024-08-25,L,A,0,2,-2,0,0,0,0,48,50,6,50.0,38.2,15,23,39.5,20,9,45.0,11,55.0,304,1491,635,14,13,18,1,5.6,3,0,0,7,10,0,0,0,0,0,0,0,7,71.4,47.9,11,0.0,0.0,2,18.2,15.2,0,1,0,0,1,42,0,8.0,388,494,78.5,9,25,12,5,33,7071,2786,174,203,85.7,148,169,87.6,50,94,53.2,0,0,0,,0,0,,0,0,1,455,38,16,0,0,16,10,2,1,0,0,1,6,383,13,2,13,5,22,20,1,1,0,0,0,9,8,77.8,611,99,244,271,102,17,611,12,7,5,5,2,6,14,42.9,8,11,5,6,19,31,24,0,0.9,0.9,-2.1,-2.1,0.8,0.9,-0.9,-0.9,-0.8,0.08,0,1.8,0.2,0.8
Monaco,Lens,2024-09-01,D,H,1,1,0,1,0,0,0,62,28,1,57.1,42.0,9,13,40.9,23,9,39.1,12,52.2,355,1764,889,18,17,15,2,13.3,1,0,0,11,19,2,1,1,0,0,0,0,9,55.6,39.7,14,0.07,0.33,3,21.4,19.5,1,2,0,1,0,53,1,12.0,390,484,80.6,11,28,12,2,40,6414,2684,191,212,90.1,163,187,87.2,29,64,45.3,1,1,0,0.0,1,0,0.0,0,0,0,424,58,21,5,0,15,19,7,2,3,0,2,9,386,17,4,14,7,24,20,2,0,0,2,0,4,3,100.0,597,55,162,292,150,17,597,22,10,6,13,3,11,14,78.6,3,8,2,6,14,36,15,0,1.0,1.0,-1.2,-0.4,0.9,1.4,0.0,0.0,0.1,0.07,1,1.1,0.06,0.1
Lyon,Lens,2024-09-15,D,A,0,0,0,0,0,0,0,46,36,7,52.8,40.5,10,15,40.0,14,5,35.7,7,50.0,268,1241,597,17,12,16,1,6.3,0,0,0,11,11,0,0,0,0,0,0,0,6,83.3,56.0,8,0.0,0.0,3,37.5,20.7,0,3,0,0,0,43,2,19.2,346,466,74.2,7,21,11,0,39,5626,2329,163,190,85.8,139,161,86.3,28,65,43.1,0,0,0,,0,0,,0,0,0,411,52,16,0,0,14,21,8,6,0,0,3,24,339,12,6,20,5,12,10,1,1,0,0,0,4,4,100.0,579,68,192,229,167,26,579,19,8,8,5,6,10,17,58.8,7,17,2,15,12,31,25,0,0.6,0.6,-0.5,-0.5,0.5,1.2,-0.6,-0.6,-0.5,0.07,0,0.9,0.24,0.9
Rennes,Lens,2024-09-21,D,H,1,1,0,0,1,1,0,40,31,0,51.6,40.5,13,25,34.2,10,3,30.0,6,60.0,243,1052,511,12,11,16,2,12.5,2,0,0,16,20,2,1,0,0,0,1,0,4,75.0,52.5,10,0.0,0.0,5,50.0,19.5,0,1,1,0,0,44,2,12.2,245,368,66.6,9,15,4,1,24,4417,1956,92,122,75.4,130,161,80.7,17,55,30.9,0,0,0,,0,0,,0,0,0,313,54,22,0,1,9,22,4,2,0,0,1,16,242,11,4,19,6,21,13,4,1,0,3,0,2,1,50.0,497,63,185,210,105,15,496,20,10,10,10,0,10,15,66.7,5,12,5,7,15,35,29,0,1.4,0.6,0.8,0.0,0.5,0.8,-0.4,-0.6,-0.5,0.06,0,0.7,0.33,-0.3
Nice,Lens,2024-09-28,D,A,0,0,0,0,0,0,0,44,33,8,36.4,34.4,7,16,30.4,22,11,50.0,10,45.5,251,1615,900,19,12,25,1,4.0,2,0,0,7,16,0,0,0,0,0,0,0,14,42.9,36.4,15,0.0,0.0,4,26.7,18.6,3,1,0,0,0,40,1,9.6,316,403,78.4,7,20,4,1,29,5117,2303,168,196,85.7,122,141,86.5,21,53,39.6,0,0,0,,0,0,,0,0,0,361,41,14,2,0,11,8,4,2,1,0,1,4,311,12,6,14,7,25,13,2,2,2,4,2,6,6,100.0,547,89,226,196,131,18,547,32,15,16,9,7,19,25,76.0,6,14,6,8,12,44,26,2,1.1,1.1,-0.8,-0.8,0.6,0.5,-1.1,-1.1,-0.6,0.08,3,1.5,0.25,1.5
Strasbourg,Lens,2024-10-06,D,H,2,2,0,1,1,1,0,37,45,2,55.6,43.4,11,9,55.0,13,3,23.1,9,69.2,231,987,461,10,5,21,1,4.8,2,0,0,15,17,3,1,1,0,0,1,0,9,44.4,30.6,7,0.14,0.25,4,57.1,21.4,0,2,1,0,0,32,0,12.5,260,343,75.8,5,17,2,0,13,4952,2100,104,117,88.9,122,138,88.4,31,68,45.6,0,0,0,,0,0,,0,0,0,290,51,19,2,1,8,17,3,0,2,0,2,7,249,5,4,14,7,13,10,2,0,0,1,0,5,3,60.0,447,70,209,160,83,11,446,7,5,2,5,0,3,7,42.9,4,16,4,12,8,15,28,1,1.2,0.5,0.3,-0.5,0.2,0.4,0.8,0.5,0.8,0.06,0,1.3,0.25,-0.7
Saint-Étienne,Lens,2024-10-19,L,H,0,2,-2,0,0,0,0,37,37,3,62.2,45.8,12,15,44.4,10,6,60.0,3,30.0,203,937,364,9,4,16,1,6.3,1,0,0,12,16,0,0,0,0,0,0,0,8,37.5,30.8,15,0.0,0.0,1,6.7,20.3,1,1,0,0,0,40,2,14.4,272,363,74.9,8,30,4,1,26,5160,2154,114,127,89.8,110,129,85.3,40,85,47.1,0,0,0,,0,0,,0,1,0,314,48,17,1,2,6,18,2,0,1,0,1,9,270,4,3,16,2,25,10,6,2,4,3,0,5,3,60.0,481,82,188,193,104,18,481,29,20,17,12,0,10,26,38.5,16,6,1,5,12,41,18,1,0.8,0.8,-0.4,-0.4,0.2,0.4,-0.8,-0.8,-0.2,0.05,1,1.2,0.23,-0.8
Lille,Lens,2024-10-26,W,A,2,0,2,1,1,1,0,42,34,3,70.6,44.6,15,21,41.7,22,8,36.4,11,50.0,213,1105,569,10,5,21,3,14.3,5,0,0,14,15,2,1,0,0,1,0,0,6,16.7,21.5,10,0.1,0.5,2,20.0,16.3,0,1,0,0,0,44,1,14.7,255,351,72.6,6,20,6,1,21,4552,1754,119,142,83.8,105,133,78.9,26,62,41.9,0,0,0,,0,0,,0,0,0,298,52,18,2,1,6,25,2,0,1,0,1,6,251,5,3,24,14,19,15,1,1,2,0,0,4,4,100.0,497,78,182,200,117,21,496,11,6,6,2,3,6,12,50.0,6,15,5,10,9,20,31,1,1.8,1.1,0.8,0.1,0.8,0.6,0.2,-0.1,0.2,0.12,0,0.5,0.13,0.5
Paris S-G,Lens,2024-11-02,W,H,1,0,1,1,0,0,0,68,40,4,30.0,31.9,7,7,50.0,27,10,37.0,11,40.7,612,3131,1592,30,25,8,0,0.0,1,0,0,3,20,1,1,0,0,0,0,0,8,0.0,16.6,18,0.06,0.13,8,44.4,16.7,0,2,0,0,0,48,1,23.0,661,750,88.1,17,33,10,1,42,10452,3085,342,371,92.2,249,266,93.6,50,79,63.3,0,0,0,,0,0,,0,0,0,697,51,22,1,2,11,13,7,1,2,0,2,9,655,25,19,18,9,33,30,0,0,1,0,2,2,2,100.0,873,80,243,400,240,46,873,20,12,7,10,3,13,23,56.5,10,11,5,6,7,27,13,0,2.9,2.9,2.1,2.1,2.8,1.3,-1.9,-1.9,-1.8,0.16,0,0.5,0.24,0.5
