Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Reims,Lille,2024-08-17,L,H,0,2,-2,0,0,0,0,32,28,6,35.7,39.1,9,13,40.9,23,11,47.8,11,47.8,206,1498,673,11,9,13,1,7.7,2,1,0,6,15,0,0,0,0,0,0,0,9,88.9,59.6,2,0.0,,0,0.0,26.6,0,0,0,0,0,37,1,15.0,226,311,72.7,1,13,5,0,27,4632,1858,84,96,87.5,97,117,82.9,41,79,51.9,0,0,0,,0,0,,0,1,0,268,43,17,1,1,8,14,0,0,0,0,0,11,224,9,2,14,7,3,2,0,0,0,0,1,6,4,66.7,416,82,205,151,68,10,416,25,16,13,8,4,15,22,68.2,7,12,9,3,10,35,17,1,0.1,0.1,-2.0,-2.0,0.1,0.2,-0.1,-0.1,-0.1,0.04,0,2.2,0.37,0.2
Angers,Lille,2024-08-24,L,A,0,2,-2,0,0,0,0,36,28,9,25.0,33.0,8,9,47.1,16,5,31.3,11,68.8,284,1347,558,11,3,11,2,18.2,2,0,0,18,7,0,0,0,0,0,0,0,4,25.0,22.0,6,0.0,0.0,2,33.3,17.7,0,4,0,0,0,42,0,10.7,285,361,78.9,4,19,3,2,18,4732,1869,146,161,90.7,111,123,90.2,22,52,42.3,0,0,0,,0,0,,0,0,0,321,36,10,0,0,8,18,2,1,1,0,4,8,282,3,2,13,9,10,10,0,0,0,0,0,6,4,66.7,487,73,227,216,48,7,487,23,14,17,5,1,9,22,40.9,13,14,2,12,9,32,28,0,0.6,0.6,-0.3,-0.3,0.5,0.2,-0.6,-0.6,-0.5,0.1,0,1.5,0.26,-0.5
Paris S-G,Lille,2024-09-01,W,A,3,1,2,2,1,1,0,58,36,4,22.2,27.9,8,4,66.7,22,12,54.5,10,45.5,438,2318,1234,25,15,11,0,0.0,2,0,0,9,9,6,4,1,0,0,1,0,8,75.0,43.8,10,0.2,0.33,6,60.0,13.4,0,2,1,0,0,44,1,24.0,566,641,88.3,10,32,7,1,38,9736,2727,255,269,94.8,268,290,92.4,38,63,60.3,0,0,0,,0,0,,0,0,0,595,44,14,0,1,5,19,1,0,0,0,2,7,562,15,11,13,9,22,16,1,3,0,1,1,4,3,75.0,737,98,271,344,126,22,736,22,14,17,4,1,9,17,52.9,8,5,0,5,7,29,16,1,2.6,1.8,1.2,0.4,1.8,1.2,0.4,0.2,0.2,0.18,0,1.5,0.38,0.5
Saint-Étienne,Lille,2024-09-13,W,H,1,0,1,1,0,0,0,30,23,2,73.9,49.1,4,13,23.5,19,6,31.6,11,57.9,220,1022,465,13,8,21,1,4.8,1,0,0,12,10,2,1,0,1,0,0,0,12,66.7,39.7,10,0.1,0.2,5,50.0,18.9,1,3,0,0,0,38,0,10.0,230,315,73.0,7,8,4,1,20,3843,1672,127,152,83.6,73,84,86.9,24,61,39.3,0,0,0,,0,0,,0,0,0,267,45,10,1,3,8,20,2,2,0,0,3,8,230,8,2,17,9,17,11,0,4,1,1,0,4,4,100.0,450,100,215,153,89,9,450,15,11,8,6,1,7,17,41.2,10,18,5,13,9,24,37,1,1.2,1.2,0.0,0.0,0.6,0.4,-0.2,-0.2,0.4,0.13,1,0.7,0.18,0.7
Strasbourg,Lille,2024-09-21,D,A,3,3,0,3,0,0,0,37,43,3,30.2,35.2,9,8,52.9,20,7,35.0,11,55.0,200,1380,760,18,6,22,3,13.6,2,0,0,12,16,5,4,0,0,1,0,0,8,37.5,34.0,12,0.25,0.33,9,75.0,11.5,0,2,0,1,0,40,0,4.5,275,354,77.7,6,16,4,1,24,5082,2014,122,137,89.1,119,141,84.4,33,65,50.8,1,1,0,0.0,1,0,0.0,0,0,0,302,50,20,1,0,9,13,5,2,2,0,2,4,273,6,7,9,6,19,14,1,2,2,0,0,7,4,71.4,461,81,247,164,57,17,461,9,7,4,4,1,5,15,33.3,10,9,2,7,14,23,26,1,3.2,3.2,0.6,1.4,2.1,1.2,-0.2,-0.2,-0.1,0.31,0,2.3,0.26,-0.7
Le Havre,Lille,2024-09-28,L,H,0,3,-3,0,0,0,0,38,26,7,23.1,30.3,14,10,58.3,22,10,45.5,9,40.9,288,1608,880,12,8,11,0,0.0,2,0,0,11,8,0,0,0,0,0,0,0,4,50.0,44.5,7,0.0,0.0,4,57.1,19.1,0,1,0,1,0,37,0,12.0,332,414,80.2,6,25,5,1,33,6133,1964,127,150,84.7,178,196,90.8,24,53,45.3,1,0,1,100.0,0,1,100.0,0,0,0,380,33,12,2,0,11,12,1,1,0,0,1,6,331,8,2,12,9,13,6,3,3,0,1,0,10,6,70.0,514,64,167,257,99,10,514,17,11,9,6,2,8,21,38.1,13,12,4,8,11,28,20,0,0.4,0.4,-2.7,-2.4,0.4,0.6,-0.4,-0.4,-0.4,0.06,0,4.8,0.45,1.8
Toulouse,Lille,2024-10-05,L,A,1,2,-1,1,0,0,0,43,25,2,36.0,36.0,13,18,41.9,21,6,28.6,13,61.9,278,1382,714,15,6,9,0,0.0,2,0,0,8,12,1,0,0,0,1,0,0,7,42.9,33.0,9,0.11,0.5,2,22.2,15.8,0,2,0,0,0,36,1,15.0,331,417,79.4,5,28,6,3,36,6163,2207,132,145,91.0,158,187,84.5,34,63,54.0,0,0,0,,0,0,,0,0,0,370,45,13,0,2,23,16,6,5,1,0,2,8,326,6,5,10,9,15,12,1,1,1,0,0,3,1,33.3,512,57,168,228,121,21,512,17,6,2,11,4,9,21,42.9,12,10,3,7,7,24,19,1,1.1,1.1,-0.5,-0.5,0.8,1.1,-0.1,-0.1,-0.8,0.14,0,1.7,0.55,-0.3
Monaco,Lille,2024-10-18,D,H,0,0,0,0,0,0,0,52,18,3,33.3,32.8,10,11,47.6,14,3,21.4,7,50.0,373,1669,853,16,14,3,1,33.3,1,1,0,13,14,0,0,0,0,0,0,0,7,28.6,29.1,14,0.0,0.0,4,28.6,16.1,1,2,0,0,0,48,0,6.0,410,504,81.3,11,39,11,1,43,6738,2396,201,231,87.0,160,178,89.9,33,64,51.6,0,0,0,,0,0,,0,0,0,452,50,14,1,1,19,22,6,3,0,0,2,5,408,14,9,15,8,23,15,1,1,2,2,2,1,1,100.0,591,35,150,269,178,28,591,16,11,8,5,3,8,15,53.3,7,8,0,8,8,24,3,0,1.2,1.2,1.0,1.0,1.1,0.9,-1.2,-1.2,-1.1,0.09,1,0.5,0.5,0.5
Lens,Lille,2024-10-26,L,H,0,2,-2,0,0,0,0,58,25,1,48.0,39.3,21,15,58.3,13,6,46.2,6,46.2,319,1494,689,14,14,5,0,0.0,4,0,0,16,13,0,0,0,0,0,0,0,6,16.7,29.8,11,0.0,0.0,4,36.4,17.7,0,4,0,1,0,43,1,29.0,348,482,72.2,10,22,7,3,42,5789,2137,171,210,81.4,130,169,76.9,30,65,46.2,1,1,0,0.0,1,0,0.0,0,0,0,424,54,15,2,3,23,22,8,1,5,0,4,11,346,14,5,21,5,17,12,1,1,1,0,2,3,1,66.7,603,45,173,290,146,20,603,25,16,6,16,3,11,19,57.9,8,12,6,6,11,36,8,0,1.0,1.0,-0.8,-0.1,1.1,0.7,-1.0,-1.0,-1.1,0.1,0,2.0,0.33,0.0
Lyon,Lille,2024-11-01,D,A,1,1,0,1,0,0,0,53,25,5,32.0,29.4,13,14,48.1,17,10,58.8,7,41.2,329,1729,950,25,13,12,1,8.3,1,0,0,10,10,2,2,0,0,0,0,0,9,44.4,36.8,14,0.07,0.33,3,21.4,13.3,0,3,0,0,0,42,0,11.0,381,492,77.4,11,23,9,2,28,6861,2450,164,198,82.8,170,203,83.7,39,67,58.2,0,0,0,,0,0,,0,0,0,438,51,13,0,4,22,18,9,4,4,0,3,13,371,13,10,11,6,25,18,3,1,2,1,0,2,1,50.0,584,64,201,237,154,46,584,25,12,14,6,5,13,23,56.5,10,16,4,12,4,29,10,2,1.2,1.2,-0.5,-0.5,1.1,1.8,-0.2,-0.2,-0.1,0.09,0,1.5,0.73,0.5
Nice,Lille,2024-11-10,D,H,2,2,0,2,0,0,0,43,26,5,19.2,28.2,15,14,51.7,19,11,57.9,7,36.8,258,1656,1052,30,13,7,0,0.0,2,0,0,12,7,4,3,0,0,0,1,0,6,16.7,23.2,17,0.12,0.4,5,29.4,13.8,0,2,0,0,0,49,1,21.0,329,418,78.7,12,20,13,3,37,6055,2289,143,171,83.6,142,163,87.1,38,66,57.6,0,0,0,,0,0,,0,0,0,377,39,9,1,1,15,15,6,4,0,0,2,8,326,13,9,13,6,30,23,2,1,2,1,1,6,4,66.7,515,54,165,236,122,35,515,16,7,8,5,3,9,18,50.0,9,8,2,6,10,26,15,0,2.1,2.1,0.4,0.4,1.8,1.7,-0.1,-0.1,0.2,0.12,0,1.6,0.27,-0.4
Rennes,Lille,2024-11-24,L,A,0,1,-1,0,0,0,0,48,36,2,58.3,43.2,10,11,47.6,13,4,30.8,6,46.2,241,1106,581,16,6,9,0,0.0,2,0,0,16,19,0,0,0,0,0,0,0,4,100.0,68.5,4,0.0,0.0,1,25.0,21.2,2,0,0,0,0,41,0,16.0,372,452,82.3,2,19,4,1,36,6829,2466,166,181,91.7,153,175,87.4,46,77,59.7,0,0,0,,0,0,,0,0,0,400,52,19,0,3,14,24,3,1,2,0,0,7,372,6,1,25,11,7,4,1,0,0,2,0,2,1,50.0,553,63,191,294,72,5,553,24,17,14,10,0,12,17,70.6,5,5,0,5,13,37,16,0,0.2,0.2,-0.2,-0.2,0.1,0.2,-0.2,-0.2,-0.1,0.05,2,1.1,0.54,0.1
Montpellier,Lille,2024-12-01,D,H,2,2,0,2,0,0,0,42,42,2,47.6,37.8,15,18,45.5,22,8,36.4,12,54.5,200,1278,650,15,5,8,1,12.5,4,1,0,9,21,2,0,1,0,1,0,0,8,50.0,37.3,11,0.18,0.4,5,45.5,17.0,0,3,0,2,0,36,0,4.7,261,356,73.3,10,17,5,2,16,5209,1903,95,117,81.2,112,129,86.8,44,89,49.4,2,2,0,0.0,2,0,0.0,0,0,0,298,55,22,3,1,18,15,7,3,3,0,3,6,257,5,1,10,12,19,12,4,1,1,1,0,4,2,100.0,465,58,179,205,93,14,465,15,8,9,6,0,10,21,47.6,11,8,2,6,10,25,14,0,1.4,1.4,-0.8,0.8,0.7,0.6,0.6,0.6,0.3,0.13,0,2.1,0.08,0.1
Brest,Lille,2024-12-06,L,A,1,3,-2,1,0,0,0,39,26,3,61.5,43.0,10,10,50.0,12,4,33.3,7,58.3,302,1377,655,9,6,6,1,16.7,1,0,0,16,13,2,0,0,1,0,0,1,3,66.7,44.3,7,0.14,0.33,3,42.9,20.3,1,1,0,1,0,49,0,7.0,326,419,77.8,6,15,4,2,23,6011,2032,124,139,89.2,156,183,85.2,30,67,44.8,1,1,0,0.0,1,0,0.0,0,0,0,376,42,13,1,2,10,21,1,1,0,0,1,6,322,6,1,9,5,12,9,0,1,0,1,1,6,3,66.7,516,43,187,268,66,9,516,19,16,9,9,1,8,20,40.0,12,8,2,6,19,38,14,0,0.7,0.7,-1.9,-1.1,0.6,0.6,0.3,0.3,0.4,0.09,1,2.6,0.34,-0.4
