Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Rennes,Lyon,2024-08-18,W,H,3,0,3,3,0,0,0,47,16,2,43.8,38.4,12,8,60.0,15,6,40.0,7,46.7,288,1630,969,27,14,15,0,0.0,2,0,0,13,11,5,2,1,1,0,1,0,11,54.5,38.9,22,0.14,0.38,8,36.4,14.9,1,1,0,1,0,47,0,,367,445,82.5,17,30,16,2,43,6110,2481,195,218,89.4,137,159,86.2,31,55,56.4,1,0,1,100.0,0,1,100.0,0,0,0,401,43,14,3,2,12,10,7,5,1,0,1,6,365,14,10,12,15,36,22,6,2,2,2,2,2,1,100.0,576,67,160,248,173,38,576,22,11,10,9,3,15,20,75.0,5,14,6,8,11,33,26,0,2.0,2.0,0.0,0.9,1.5,1.4,1.0,1.0,0.5,0.09,1,0.7,0.05,0.7
Monaco,Lyon,2024-08-24,W,A,2,0,2,2,0,0,0,60,24,3,25.0,28.9,9,4,69.2,20,7,35.0,12,60.0,347,2274,1177,32,20,5,1,20.0,3,1,1,9,18,4,4,0,0,0,0,0,7,28.6,28.9,21,0.1,0.33,6,28.6,17.9,0,1,0,0,0,51,2,17.0,450,542,83.0,15,30,10,3,50,7196,2613,227,251,90.4,165,199,82.9,38,60,63.3,0,0,0,,0,0,,0,0,0,480,61,23,0,7,25,24,6,3,2,0,1,9,448,20,7,11,13,37,30,3,2,2,0,0,0,0,,651,48,154,337,163,26,651,25,20,16,7,2,15,23,65.2,8,5,0,5,8,33,14,0,2.2,2.2,2.2,2.2,1.4,1.7,-0.2,-0.2,0.6,0.11,0,0.0,,0.0
Strasbourg,Lyon,2024-08-30,L,A,3,4,-1,3,0,0,0,52,25,6,16.0,26.0,12,12,50.0,17,9,52.9,7,41.2,336,1656,819,18,8,18,0,0.0,2,0,0,6,10,6,5,0,0,0,0,1,10,20.0,25.3,15,0.2,0.38,8,53.3,16.9,1,2,0,0,0,35,0,7.5,403,486,82.9,12,31,6,2,27,7033,2650,175,206,85.0,201,226,88.9,25,45,55.6,0,0,0,,0,0,,0,0,0,440,44,13,5,1,9,14,2,1,0,0,2,12,396,8,9,9,13,26,22,1,1,0,1,1,12,8,66.7,596,83,256,251,94,23,596,18,11,9,6,3,9,16,56.3,7,17,6,11,7,25,22,0,2.7,2.7,-0.2,-0.2,1.9,1.0,0.3,0.3,0.1,0.18,1,3.8,0.32,-0.2
Lens,Lyon,2024-09-15,D,H,0,0,0,0,0,0,0,54,27,1,37.0,35.4,15,10,60.0,18,7,38.9,10,55.6,273,1578,808,22,16,10,1,10.0,0,0,0,12,10,0,0,0,0,0,0,0,5,0.0,16.6,12,0.0,0.0,4,33.3,18.3,0,4,0,0,0,49,2,15.0,433,545,79.4,10,34,9,3,37,6619,2500,226,257,87.9,154,185,83.2,30,57,52.6,0,0,0,,0,0,,0,0,0,491,50,14,6,0,23,25,5,2,2,0,4,20,430,16,3,14,9,22,18,1,1,2,0,0,3,3,100.0,683,52,180,302,205,21,683,12,8,7,3,2,7,12,58.3,5,27,4,23,12,24,29,0,1.0,1.0,0.5,0.5,0.9,1.5,-1.0,-1.0,-0.9,0.09,0,0.3,0.1,0.3
Marseille,Lyon,2024-09-22,W,A,3,2,1,3,0,0,0,37,30,3,40.0,33.8,14,11,56.0,15,5,33.3,9,60.0,155,988,448,11,1,35,3,8.6,3,1,1,8,16,5,4,0,1,0,0,0,11,100.0,61.0,9,0.33,0.75,4,44.4,23.4,0,4,0,1,0,35,0,10.8,258,336,76.8,7,10,2,1,12,4482,1784,119,132,90.2,112,136,82.4,21,49,42.9,1,0,1,100.0,0,1,100.0,0,1,0,283,49,20,2,0,6,12,3,3,0,0,4,2,255,1,1,14,4,15,10,2,1,2,0,0,8,5,75.0,455,97,235,187,37,8,455,16,11,13,3,0,9,20,45.0,11,10,5,5,8,24,38,1,0.8,0.8,-2.2,-1.4,0.7,0.3,2.2,2.2,1.3,0.09,0,2.8,0.27,0.8
Toulouse,Lyon,2024-09-29,L,H,1,2,-1,1,0,0,0,46,25,2,36.0,30.1,13,6,68.4,22,11,50.0,10,45.5,333,1667,780,16,11,12,0,0.0,2,0,0,12,15,2,2,0,0,0,0,0,2,0.0,16.0,10,0.1,0.25,4,40.0,18.3,0,4,0,0,1,56,0,12.0,340,442,76.9,7,27,8,1,37,5663,2467,170,200,85.0,141,167,84.4,24,43,55.8,0,0,0,,0,0,,0,0,1,395,43,16,4,1,16,19,3,2,1,0,4,8,337,11,3,13,7,19,12,3,0,1,3,0,1,0,-100.0,545,55,208,224,126,21,545,25,14,13,12,0,8,16,50.0,8,12,2,10,8,33,17,0,0.9,0.9,0.5,0.5,0.8,0.9,0.1,0.1,0.2,0.09,0,0.3,0.26,-0.7
Nantes,Lyon,2024-10-06,L,A,0,2,-2,0,0,0,0,39,19,6,26.3,29.3,6,6,50.0,26,11,42.3,15,57.7,314,1427,705,15,11,19,0,0.0,2,0,0,5,10,0,0,0,0,0,0,0,7,42.9,43.6,11,0.0,0.0,6,54.5,15.0,0,1,0,0,1,47,0,10.5,327,420,77.9,7,26,4,1,28,5474,2352,165,184,89.7,129,152,84.9,26,64,40.6,0,0,0,,0,0,,0,1,1,364,55,11,2,2,20,25,9,5,4,0,1,10,324,11,5,13,6,20,14,2,1,0,1,2,6,5,66.7,543,72,209,222,120,20,543,17,12,9,4,4,10,18,55.6,8,9,4,5,8,25,35,0,0.9,0.9,-2.3,-2.3,0.4,0.2,-0.9,-0.9,-0.4,0.08,0,1.3,0.22,0.3
Le Havre,Lyon,2024-10-20,L,H,0,4,-4,0,0,0,0,39,19,3,42.1,37.5,8,11,42.1,14,6,42.9,7,50.0,185,1093,613,16,9,8,0,0.0,3,0,0,17,11,0,0,0,0,0,0,0,6,50.0,38.8,7,0.0,0.0,1,14.3,20.0,1,3,0,0,0,34,0,8.3,260,344,75.6,3,25,6,3,30,4984,1817,114,132,86.4,103,124,83.1,37,68,54.4,0,0,0,,0,0,,0,0,0,300,41,11,1,5,20,15,4,1,1,0,3,6,254,9,0,10,4,13,9,2,0,0,2,0,8,4,50.0,450,55,160,183,112,10,450,17,8,11,3,3,5,15,33.3,10,9,4,5,7,24,28,0,0.4,0.4,-2.3,-2.3,0.2,0.2,-0.4,-0.4,-0.2,0.06,1,2.9,0.37,-1.1
Auxerre,Lyon,2024-10-27,D,A,2,2,0,2,0,0,0,38,27,5,59.3,45.6,9,10,47.4,19,5,26.3,13,68.4,204,1386,652,13,13,18,0,0.0,4,0,0,15,7,3,0,1,0,2,0,0,7,71.4,52.0,19,0.11,0.4,5,26.3,16.0,0,4,0,1,0,43,0,10.5,261,359,72.7,14,22,9,6,25,5232,2361,115,140,82.1,95,125,76.0,45,75,60.0,1,1,0,0.0,1,0,0.0,0,0,0,310,45,8,0,6,22,22,5,1,4,0,4,6,258,13,1,10,7,36,25,3,1,5,1,1,8,6,87.5,486,71,192,177,120,22,486,21,13,13,7,1,13,19,68.4,6,7,2,5,14,35,25,0,1.5,1.5,-0.6,0.2,1.1,0.6,0.5,0.5,0.9,0.08,0,2.4,0.2,0.4
Lille,Lyon,2024-11-01,D,H,1,1,0,1,0,0,0,47,34,4,32.4,36.5,14,13,51.9,24,10,41.7,13,54.2,303,1550,751,16,9,20,0,0.0,3,0,0,12,9,1,0,0,1,0,0,0,8,25.0,33.1,14,0.07,0.5,2,14.3,17.4,2,1,0,0,0,43,1,13.8,348,430,80.9,7,34,6,1,38,6457,2305,147,172,85.5,169,181,93.4,30,60,50.0,0,0,0,,0,0,,0,0,0,392,37,11,0,2,14,12,4,2,2,0,1,14,344,9,7,12,12,22,12,2,4,1,3,0,3,2,66.7,555,103,220,221,119,25,555,13,7,8,5,0,7,17,41.2,10,18,5,13,10,23,29,0,1.7,1.7,0.5,0.5,0.6,0.6,-0.7,-0.7,-0.6,0.12,2,0.5,0.18,-0.5
