Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Brest,Marseille,2024-08-17,L,H,1,5,-4,1,0,1,1,50,30,2,13.3,28.1,6,7,46.2,19,5,26.3,13,68.4,385,1914,934,20,15,1,0,0.0,4,0,0,12,8,2,2,0,0,0,0,0,3,0.0,25.3,9,0.11,0.17,6,66.7,21.1,0,2,1,2,0,45,2,20.7,442,534,82.8,6,40,3,1,33,8470,2693,178,204,87.3,213,248,85.9,51,72,70.8,2,2,0,0.0,2,0,0.0,0,0,0,494,38,7,0,3,20,17,5,2,3,0,2,11,440,15,6,13,5,13,10,1,0,0,1,1,5,0,40.0,636,39,153,319,170,16,635,28,18,5,15,8,15,23,65.2,8,14,1,13,9,37,3,0,1.3,0.5,-1.1,-0.3,0.3,0.3,-0.3,0.5,0.7,0.06,0,3.0,0.24,-2.0
Reims,Marseille,2024-08-25,D,A,2,2,0,2,0,0,0,34,24,2,41.7,39.3,3,10,23.1,13,10,76.9,3,23.1,263,1376,717,15,9,14,0,0.0,1,0,0,13,10,3,0,0,2,1,0,0,5,60.0,46.0,13,0.15,0.67,3,23.1,18.0,0,1,0,0,0,46,0,3.0,276,355,77.7,9,25,6,3,25,5062,1892,121,141,85.8,117,131,89.3,29,65,44.6,0,0,0,,0,0,,0,0,0,320,34,12,1,3,15,10,4,3,0,0,1,4,274,9,3,18,3,23,16,1,3,2,0,1,10,8,80.0,463,66,172,188,109,14,463,12,10,2,6,4,6,11,54.5,5,18,6,12,6,18,24,2,0.9,0.9,-2.2,-2.2,0.6,0.5,1.1,1.1,-0.6,0.07,0,3.2,0.35,1.2
Toulouse,Marseille,2024-08-31,L,H,1,3,-2,1,0,0,0,24,21,5,33.3,32.5,7,7,50.0,11,3,27.3,8,72.7,214,915,402,8,5,10,0,0.0,4,1,0,10,13,2,1,0,1,0,0,0,9,66.7,43.2,3,0.33,1.0,1,33.3,16.2,0,0,0,0,1,36,0,14.8,219,293,74.7,3,12,0,0,18,4033,1809,106,126,84.1,82,102,80.4,28,54,51.9,0,0,0,,0,0,,0,0,1,253,40,15,1,3,7,10,2,1,1,0,0,4,215,5,3,11,7,6,4,1,1,0,0,0,4,2,25.0,385,67,166,167,57,6,385,14,6,7,6,1,7,12,58.3,5,11,5,6,9,23,16,1,1.0,1.0,0.1,0.1,1.0,0.3,0.0,0.0,0.0,0.33,0,0.7,0.18,-1.3
Nice,Marseille,2024-09-14,L,A,0,2,-2,0,0,0,0,44,25,4,24.0,28.2,3,11,21.4,21,6,28.6,11,52.4,310,1671,926,23,11,3,0,0.0,2,0,0,4,18,0,0,0,0,0,0,0,3,33.3,24.3,12,0.0,0.0,4,33.3,13.6,1,5,0,0,0,47,3,21.0,350,424,82.5,8,31,5,0,35,5691,2182,176,193,91.2,139,163,85.3,23,39,59.0,0,0,0,,0,0,,0,1,0,378,41,19,2,2,16,14,2,1,1,0,5,8,344,11,9,12,11,21,15,2,0,2,2,0,5,3,60.0,521,45,155,258,116,28,521,18,15,6,10,2,8,14,57.1,6,6,2,4,9,27,14,1,1.9,1.9,1.2,1.2,1.1,0.5,-1.9,-1.9,-1.1,0.17,1,1.8,0.35,-0.2
Lyon,Marseille,2024-09-22,L,H,2,3,-1,2,0,1,1,63,14,1,28.6,28.3,11,14,44.0,21,11,52.4,9,42.9,286,1517,942,20,13,5,0,0.0,4,0,0,17,7,4,3,0,1,0,0,0,2,0.0,29.5,21,0.1,0.29,7,33.3,16.6,0,3,0,0,0,48,3,21.6,473,567,83.4,16,66,15,5,67,8554,2608,206,232,88.8,219,252,86.9,45,68,66.2,0,0,0,,0,0,,0,0,0,521,43,10,3,4,43,17,10,9,0,0,3,8,468,13,4,10,7,41,29,4,3,2,2,1,4,1,25.0,648,18,84,277,295,42,647,13,8,1,9,3,9,14,64.3,5,5,3,2,6,19,4,1,3.0,2.1,2.2,1.4,1.6,3.0,-1.0,-0.1,0.4,0.1,0,1.8,0.45,-1.2
Strasbourg,Marseille,2024-09-29,W,H,1,0,1,1,0,0,0,41,36,0,36.1,33.4,11,7,61.1,11,4,36.4,7,63.6,206,861,464,15,8,10,1,10.0,2,0,0,17,7,2,2,0,0,0,0,0,8,62.5,43.4,14,0.07,0.17,6,42.9,19.2,1,1,0,0,0,52,1,17.3,328,413,79.4,12,33,7,1,37,5913,2300,138,156,88.5,160,183,87.4,26,60,43.3,0,0,0,,0,0,,0,0,0,375,37,9,2,2,20,11,8,3,5,0,1,8,325,8,6,14,7,24,19,2,0,2,1,0,3,3,100.0,523,56,174,224,128,18,523,16,11,3,9,4,6,13,46.2,7,10,2,8,10,26,22,0,1.3,1.3,0.8,0.8,1.3,0.9,-0.3,-0.3,-0.3,0.09,1,0.3,0.11,0.3
Angers,Marseille,2024-10-04,D,A,1,1,0,1,0,0,0,24,12,0,66.7,46.8,6,16,27.3,22,7,31.8,14,63.6,149,1017,580,14,7,19,2,10.5,0,1,0,9,14,2,0,0,0,0,1,1,11,72.7,52.0,10,0.1,0.33,3,30.0,22.8,1,4,0,0,0,32,0,5.5,194,247,78.5,6,16,4,1,15,3548,1495,91,96,94.8,79,94,84.0,22,47,46.8,0,0,0,,0,0,,0,0,0,204,39,14,2,2,12,9,3,0,2,0,4,2,194,7,4,12,3,15,7,2,1,1,2,2,4,3,75.0,356,52,140,137,83,11,356,8,7,5,2,1,5,15,33.3,10,12,6,6,7,15,23,2,0.8,0.8,-0.1,-0.1,0.7,0.5,0.2,0.2,-0.7,0.08,1,1.3,0.33,0.3
Montpellier,Marseille,2024-10-20,L,H,0,5,-5,0,0,0,0,35,24,7,37.5,36.3,10,5,66.7,20,10,50.0,8,40.0,242,1654,827,19,7,9,0,0.0,1,1,0,11,17,0,0,0,0,0,0,0,7,42.9,32.0,13,0.0,0.0,5,38.5,18.9,1,6,0,0,0,36,0,12.0,259,326,79.4,9,24,3,2,19,4874,2051,106,126,84.1,117,132,88.6,33,54,61.1,0,0,0,,0,0,,0,0,0,273,47,19,3,2,8,12,3,0,2,0,6,3,256,7,9,10,8,22,11,2,3,1,3,2,10,5,50.0,417,64,170,183,73,17,417,28,12,13,13,2,13,23,56.5,10,6,2,4,7,35,16,2,1.3,1.3,-1.9,-1.9,0.7,0.6,-1.3,-1.3,-0.7,0.1,1,4.7,0.47,-0.3
Paris S-G,Marseille,2024-10-27,W,A,3,0,3,2,0,0,0,74,17,4,5.9,25.9,6,4,60.0,13,5,38.5,8,61.5,815,3820,1968,33,40,4,1,25.0,0,0,0,7,3,4,3,0,0,1,0,0,5,0.0,17.4,19,0.11,0.25,8,42.1,16.1,1,8,0,0,0,62,0,4.0,878,945,92.9,16,101,15,4,77,13341,3350,473,494,95.7,326,343,95.0,50,60,83.3,0,0,0,,0,0,,0,0,0,916,21,5,7,6,9,8,2,0,0,0,8,8,873,40,16,15,8,34,31,0,0,2,1,0,1,1,100.0,1038,28,103,558,383,38,1038,21,14,5,8,8,9,18,50.0,9,9,2,7,11,32,2,1,3.1,3.1,2.9,2.9,2.4,2.2,-1.1,-1.1,-1.4,0.17,1,0.1,0.09,0.1
Nantes,Marseille,2024-11-03,L,H,1,2,-1,1,0,0,0,27,27,8,40.7,37.9,10,8,55.6,15,5,33.3,10,66.7,210,1049,478,11,8,15,1,6.7,1,0,0,17,5,2,2,0,0,0,0,0,3,66.7,54.0,7,0.14,0.33,3,42.9,13.1,0,4,0,0,0,41,1,13.4,237,322,73.6,5,17,2,1,25,4136,1741,108,127,85.0,101,119,84.9,24,49,49.0,0,0,0,,0,0,,0,0,0,284,34,7,0,1,8,19,2,0,2,0,4,12,237,8,4,17,4,10,6,2,1,0,0,1,4,2,50.0,418,57,174,164,86,20,418,19,15,10,5,4,7,20,35.0,13,8,2,6,7,26,19,0,1.4,1.4,0.1,0.1,0.8,0.7,-0.4,-0.4,0.2,0.19,0,1.7,0.42,-0.3
