Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Saint-Étienne,Monaco,2024-08-17,L,A,0,1,-1,0,0,0,0,39,29,9,41.4,37.0,11,15,42.3,20,9,45.0,9,45.0,262,1342,694,14,15,9,0,0.0,1,0,0,14,13,0,0,0,0,0,0,0,9,66.7,41.1,11,0.0,0.0,4,36.4,19.8,0,3,0,0,0,46,2,14.8,234,331,70.7,7,14,1,0,20,4235,1820,111,126,88.1,88,126,69.8,31,63,49.2,0,0,0,,0,0,,0,0,0,277,51,15,0,3,10,21,4,1,3,0,3,2,234,15,6,17,10,17,9,2,1,2,2,1,6,5,83.3,446,74,200,184,67,10,446,22,15,13,7,2,14,21,66.7,7,13,7,6,13,35,19,0,0.4,0.4,-1.5,-1.5,0.2,0.2,-0.4,-0.4,-0.2,0.04,0,0.8,0.14,-0.2
Lyon,Monaco,2024-08-24,L,H,0,2,-2,0,0,0,0,40,19,8,57.9,46.1,4,9,30.8,24,8,33.3,15,62.5,205,1312,575,15,10,22,2,9.1,2,0,0,19,9,0,0,0,0,0,0,0,15,6.7,21.9,1,0.0,,0,0.0,29.7,0,4,0,0,0,42,0,6.0,281,362,77.6,0,24,6,2,26,4946,2234,137,162,84.6,103,128,80.5,33,56,58.9,0,0,0,,0,0,,0,0,0,304,54,10,1,2,7,26,0,0,0,0,4,5,278,10,4,20,10,2,2,0,0,0,0,0,6,4,66.7,492,75,209,199,90,10,492,25,14,9,11,5,12,19,63.2,7,12,5,7,12,37,25,0,0.0,0.0,-2.2,-2.2,0.0,0.3,0.0,0.0,0.0,0.03,0,2.5,0.42,0.5
Lens,Monaco,2024-09-01,D,A,1,1,0,0,1,1,0,38,18,4,38.9,36.1,13,9,59.1,14,3,21.4,11,78.6,142,770,401,7,10,12,2,16.7,4,0,0,21,9,1,0,0,0,1,0,0,10,60.0,39.1,11,0.0,0.0,3,27.3,17.5,0,1,0,0,0,53,0,6.3,214,301,71.1,8,17,6,0,33,3926,2127,93,111,83.8,84,112,75.0,28,52,53.8,0,0,0,,0,0,,0,1,0,260,40,12,1,1,20,9,7,5,1,0,1,10,210,10,1,17,11,18,13,3,0,2,0,0,3,2,66.7,422,51,146,186,98,17,421,19,10,9,8,2,12,21,57.1,9,11,5,6,8,27,34,0,2.2,1.4,1.2,0.4,1.4,1.2,-1.2,-1.4,-1.4,0.14,0,0.7,0.22,-0.3
Auxerre,Monaco,2024-09-14,L,H,0,3,-3,0,0,0,0,41,29,2,55.2,41.9,9,14,39.1,20,5,25.0,13,65.0,359,1825,901,22,19,11,0,0.0,3,0,0,13,15,0,0,0,0,0,0,0,6,50.0,43.3,13,0.0,0.0,3,23.1,21.7,0,1,0,0,0,55,0,12.6,339,440,77.0,8,32,8,1,49,5785,2317,158,179,88.3,133,161,82.6,34,66,51.5,0,0,0,,0,0,,0,2,0,394,45,19,0,7,18,15,1,1,0,0,1,17,337,19,1,16,14,22,19,0,0,1,1,1,9,6,66.7,579,58,169,230,190,14,579,19,10,7,7,5,8,28,28.6,20,16,6,10,11,30,23,1,0.6,0.6,-2.8,-2.8,0.4,0.5,-0.6,-0.6,-0.4,0.04,0,2.6,0.32,-0.4
Le Havre,Monaco,2024-09-22,L,A,1,3,-2,1,0,0,0,39,18,4,44.4,39.3,9,17,34.6,14,7,50.0,7,50.0,224,1151,644,17,4,15,1,6.7,3,0,0,17,9,2,2,0,0,0,0,0,6,33.3,34.7,8,0.13,1.0,1,12.5,19.3,0,3,0,0,0,40,0,4.0,250,343,72.9,7,22,6,2,25,4351,1755,125,149,83.9,86,115,74.8,31,60,51.7,0,0,0,,0,0,,0,0,0,290,50,15,0,6,13,21,4,1,1,0,3,6,246,4,6,13,14,14,13,0,1,0,0,0,4,1,25.0,439,51,163,190,91,17,439,11,6,7,3,1,7,15,46.7,8,12,4,8,14,25,29,0,0.6,0.6,-1.4,-1.4,0.5,0.5,0.4,0.4,0.5,0.07,0,2.3,0.58,-0.7
Montpellier,Monaco,2024-09-28,L,A,1,2,-1,1,0,0,0,35,27,6,63.0,46.1,15,11,57.7,20,10,50.0,10,50.0,176,1004,446,12,7,14,6,42.9,3,1,1,17,17,2,2,0,0,0,0,0,11,72.7,48.5,9,0.11,0.33,3,33.3,20.4,1,2,0,0,0,43,0,10.1,210,310,67.7,5,22,3,1,31,4009,2012,92,113,81.4,79,104,76.0,30,70,42.9,0,0,0,,0,0,,0,0,0,261,47,17,3,3,11,14,2,1,1,0,2,6,207,7,5,13,14,13,11,0,0,0,1,1,6,4,66.7,430,80,175,174,82,14,430,26,16,10,15,1,8,22,36.4,14,13,5,8,6,32,26,0,0.9,0.9,-2.4,-2.4,0.6,0.2,0.1,0.1,0.4,0.1,1,2.2,0.38,0.2
Rennes,Monaco,2024-10-05,L,H,1,2,-1,1,0,0,0,58,17,1,17.6,35.0,16,16,50.0,27,10,37.0,15,55.6,415,1734,715,17,9,7,0,0.0,2,0,0,9,15,1,1,0,0,0,0,0,2,0.0,18.5,14,0.07,0.33,3,21.4,22.3,0,1,0,0,0,63,2,20.3,443,566,78.3,11,41,9,1,55,7410,2611,212,244,86.9,187,231,81.0,33,63,52.4,0,0,0,,0,0,,0,1,0,507,58,17,1,2,24,26,10,7,0,0,1,8,438,9,7,23,9,22,17,2,1,2,0,0,2,0,0.0,692,40,197,298,201,25,692,31,22,13,11,7,20,26,76.9,6,9,1,8,11,42,15,0,0.7,0.7,0.2,0.2,0.5,0.6,0.3,0.3,0.5,0.05,0,0.8,0.42,-1.2
Lille,Monaco,2024-10-18,D,A,0,0,0,0,0,0,0,48,25,3,52.0,38.2,11,10,52.4,17,7,41.2,8,47.1,363,1927,876,14,11,13,0,0.0,5,0,0,14,13,0,0,0,0,0,0,0,15,33.3,27.3,3,0.0,0.0,1,33.3,15.9,0,1,0,0,0,40,1,14.6,380,471,80.7,3,32,1,0,29,6579,2199,173,192,90.1,161,187,86.1,37,70,52.9,0,0,0,,0,0,,0,0,0,421,49,15,0,3,5,17,1,0,1,0,1,8,377,11,1,22,8,6,5,0,1,0,0,0,4,4,100.0,567,87,198,268,107,5,567,15,9,10,1,4,7,10,70.0,3,6,3,3,17,32,12,2,0.2,0.2,-1.0,-1.0,0.2,0.5,-0.2,-0.2,-0.2,0.08,0,0.9,0.22,0.9
Nice,Monaco,2024-10-27,W,H,2,1,1,2,0,0,0,41,18,6,50.0,37.7,16,18,47.1,32,16,50.0,16,50.0,208,1303,764,23,22,13,0,0.0,2,0,0,16,11,2,0,1,0,0,1,0,3,33.3,32.0,17,0.12,0.22,9,52.9,18.8,0,2,0,0,0,62,0,6.3,267,355,75.2,16,21,14,2,42,4579,2056,124,147,84.4,106,129,82.2,29,61,47.5,0,0,0,,0,0,,0,0,0,314,39,12,5,2,18,16,6,2,1,0,2,4,265,22,8,16,10,30,18,4,4,1,1,2,5,4,80.0,508,56,182,174,166,35,508,28,20,12,11,5,13,18,72.2,5,14,4,10,17,45,30,0,1.6,1.6,1.1,1.1,1.4,1.8,0.4,0.4,-0.4,0.1,0,0.6,0.12,-0.4
Angers,Monaco,2024-11-01,W,A,1,0,1,1,0,0,0,37,17,7,35.3,31.5,10,7,58.8,20,13,65.0,6,30.0,226,1428,743,19,15,13,3,23.1,1,0,0,12,15,2,1,0,0,1,0,0,8,87.5,58.4,10,0.1,0.33,3,30.0,21.9,0,2,0,0,0,43,0,9.0,255,353,72.2,8,15,4,1,18,4064,1906,139,158,88.0,90,127,70.9,18,46,39.1,0,0,0,,0,0,,0,0,0,297,54,16,3,2,8,25,4,2,0,0,2,10,252,15,4,15,8,19,15,0,1,1,1,1,3,3,100.0,480,67,209,182,103,15,480,13,9,8,3,2,4,10,40.0,6,13,4,9,17,30,34,0,0.5,0.5,-0.9,-0.9,0.3,0.4,0.5,0.5,0.7,0.05,0,0.5,0.17,0.5
