Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Strasbourg,Montpellier,2024-08-18,D,A,1,1,0,1,0,0,0,58,29,8,20.7,27.4,17,7,70.8,19,9,47.4,10,52.6,322,1556,765,13,11,17,2,11.8,3,0,0,18,18,2,2,0,0,0,0,0,7,0.0,7.4,11,0.09,0.25,4,36.4,14.7,0,0,0,1,0,40,0,11.0,403,493,81.7,9,18,6,2,28,6529,2529,180,200,90.0,171,191,89.5,29,59,49.2,1,1,0,0.0,1,0,0.0,0,0,0,437,56,19,0,3,9,24,4,2,1,0,0,6,392,11,1,15,12,22,12,5,0,1,4,0,5,4,100.0,592,73,215,307,78,15,592,24,9,12,11,1,10,13,76.9,3,4,2,2,8,32,17,0,0.9,0.9,-0.4,0.3,0.6,0.6,0.1,0.1,0.4,0.08,0,1.9,0.19,0.9
Paris S-G,Montpellier,2024-08-23,W,H,6,0,6,6,0,0,0,68,23,2,13.0,23.4,5,6,45.5,29,10,34.5,17,58.6,641,3329,1760,37,29,9,0,0.0,1,0,0,11,14,12,11,0,1,0,0,0,7,42.9,28.1,27,0.22,0.55,11,40.7,17.0,4,0,0,0,0,46,1,12.7,713,774,92.1,22,34,12,1,61,10239,3038,407,425,95.8,224,237,94.5,41,58,70.7,0,0,0,,0,0,,0,0,0,730,44,15,5,4,17,11,10,1,3,0,0,7,708,29,15,17,2,53,39,3,5,1,4,1,3,3,100.0,890,45,143,465,289,38,890,21,10,7,11,3,8,11,72.7,3,6,2,4,10,31,7,1,3.8,3.8,3.2,3.2,3.6,2.6,2.2,2.2,2.4,0.14,4,0.3,0.11,0.3
Nantes,Montpellier,2024-08-31,W,A,3,1,2,2,1,1,0,31,16,4,37.5,38.2,15,10,60.0,14,5,35.7,8,57.1,193,949,455,14,6,27,3,11.1,2,0,0,14,10,5,4,0,0,1,0,0,6,100.0,69.8,8,0.25,0.67,3,37.5,18.8,0,1,0,0,0,36,1,9.3,209,285,73.3,8,17,7,1,24,3778,1807,96,112,85.7,92,112,82.1,19,49,38.8,0,0,0,,0,0,,0,0,0,249,35,10,3,0,9,14,3,1,2,0,1,6,207,6,5,16,7,16,12,2,1,1,0,0,4,3,75.0,415,66,182,151,86,16,414,24,17,16,6,2,16,26,61.5,10,14,2,12,8,32,46,1,1.5,0.7,0.5,-0.2,0.7,0.6,1.5,1.3,1.3,0.09,0,0.5,0.14,-0.5
Rennes,Montpellier,2024-09-15,W,H,3,0,3,3,0,0,0,51,23,4,43.5,38.1,10,9,52.6,28,14,50.0,13,46.4,394,1940,1078,19,19,12,1,8.3,1,0,0,10,7,6,3,1,1,0,1,0,7,42.9,34.3,11,0.27,0.5,6,54.5,16.6,0,1,0,0,0,43,0,8.5,424,497,85.3,7,37,14,3,47,7631,2865,176,196,89.8,193,211,91.5,43,70,61.4,0,0,0,,0,0,,0,0,0,455,41,10,0,0,20,20,3,3,0,0,1,6,422,19,8,13,10,19,14,1,1,1,1,1,4,4,100.0,600,61,195,235,176,30,600,15,7,6,6,3,7,16,43.8,9,6,4,2,5,20,20,0,1.3,1.3,1.0,1.0,0.5,0.9,1.7,1.7,2.5,0.12,0,0.2,0.04,0.2
Auxerre,Montpellier,2024-09-22,L,A,2,3,-1,2,0,0,0,46,26,5,69.2,48.2,14,13,51.9,21,7,33.3,13,61.9,234,1296,655,15,10,34,2,5.9,4,0,0,20,11,3,2,0,0,1,0,0,3,66.7,46.7,11,0.18,0.4,5,45.5,13.5,0,1,0,0,0,42,0,5.0,319,410,77.8,10,29,9,6,37,5754,2189,150,172,87.2,128,150,85.3,35,69,50.7,0,0,0,,0,0,,0,1,0,360,49,17,0,2,17,20,5,2,2,0,1,9,317,10,1,12,9,20,17,1,0,1,0,1,4,1,25.0,541,70,167,261,117,21,541,15,8,4,9,2,7,17,41.2,10,16,5,11,12,27,42,0,1.2,1.2,-0.8,-0.8,0.9,0.9,0.8,0.8,0.1,0.12,0,2.4,0.59,-0.6
Monaco,Montpellier,2024-09-28,W,H,2,1,1,2,0,0,0,65,13,4,7.7,22.2,11,15,42.3,22,14,63.6,8,36.4,421,2321,1235,23,25,5,0,0.0,4,0,0,17,16,4,4,0,0,0,0,0,5,0.0,26.2,21,0.1,0.33,6,28.6,12.3,0,2,0,0,0,54,1,13.3,478,571,83.7,18,41,15,1,67,7505,3068,244,269,90.7,183,212,86.3,31,52,59.6,0,0,0,,0,0,,0,0,0,513,56,19,4,1,15,24,6,4,1,0,2,8,473,25,8,25,18,37,25,3,2,5,2,0,3,2,66.7,703,39,144,400,172,44,703,24,15,11,12,1,10,20,50.0,10,7,3,4,12,36,14,2,3.2,3.2,2.4,2.4,3.0,3.0,-1.2,-1.2,-1.0,0.16,0,0.9,0.3,-0.1
Reims,Montpellier,2024-10-06,W,H,4,2,2,3,1,1,0,48,26,5,61.5,47.5,10,7,58.8,15,9,60.0,6,40.0,302,1928,1126,19,10,15,0,0.0,3,0,0,15,12,7,4,1,1,1,0,0,12,33.3,27.8,17,0.18,0.75,4,23.5,15.8,1,3,0,0,0,42,0,9.0,375,448,83.7,12,29,13,4,41,6619,2656,175,191,91.6,153,169,90.5,34,64,53.1,0,0,0,,0,0,,0,0,0,405,40,11,2,4,17,10,4,1,3,0,3,3,367,10,6,21,5,32,23,2,2,3,1,1,3,1,33.3,555,69,189,255,116,30,554,20,13,12,5,3,15,22,68.2,7,12,3,9,7,27,20,0,3.0,2.2,2.5,1.7,2.0,2.5,1.0,0.8,0.0,0.13,1,0.9,0.29,-1.1
Marseille,Montpellier,2024-10-20,W,A,5,0,5,5,0,0,0,65,16,5,18.8,29.6,5,10,33.3,24,10,41.7,13,54.2,427,1820,1058,22,9,8,0,0.0,3,0,0,18,11,9,7,0,1,1,0,0,3,0.0,14.0,21,0.24,0.5,10,47.6,14.3,0,2,0,0,0,43,2,23.0,538,599,89.8,16,36,15,6,63,8063,2800,308,332,92.8,186,202,92.1,31,42,73.8,0,0,0,,0,0,,0,0,0,557,40,17,4,0,13,17,2,1,0,0,2,5,534,9,11,9,15,37,28,1,3,4,0,1,5,5,100.0,695,39,129,406,163,35,695,16,14,4,9,3,8,18,44.4,10,8,5,3,9,25,9,0,3.2,3.2,1.9,1.9,2.7,1.8,1.8,1.8,1.3,0.16,0,0.4,0.07,0.4
Toulouse,Montpellier,2024-10-27,W,A,3,0,3,3,0,0,0,49,22,1,27.3,28.0,14,15,48.3,14,7,50.0,7,50.0,346,1682,1021,19,13,17,0,0.0,2,0,0,20,7,6,5,0,1,0,0,0,10,80.0,49.9,15,0.2,0.5,6,40.0,18.1,0,1,0,0,0,51,0,10.3,417,494,84.4,12,22,10,0,38,7059,2512,206,220,93.6,171,201,85.1,30,52,57.7,0,0,0,,0,0,,0,0,0,456,37,8,3,4,10,15,3,2,1,0,1,4,416,13,7,20,7,24,16,2,2,1,0,3,2,2,100.0,608,64,197,304,115,34,608,16,10,9,5,2,9,18,50.0,9,4,2,2,8,24,26,0,1.9,1.9,1.7,1.7,1.7,1.9,1.1,1.1,1.3,0.13,0,0.1,0.06,0.1
Le Havre,Montpellier,2024-11-03,W,H,1,0,1,0,1,1,0,48,16,3,43.8,41.1,23,13,63.9,7,3,42.9,4,57.1,342,1734,838,9,14,23,2,8.7,2,0,0,11,12,1,1,0,0,0,0,0,8,37.5,25.1,11,0.0,0.0,3,27.3,20.9,0,3,0,0,0,37,0,8.0,380,471,80.7,8,35,8,3,42,6816,2598,165,191,86.4,170,198,85.9,35,52,67.3,0,0,0,,0,0,,0,0,0,427,41,12,2,1,15,18,2,0,2,0,3,8,377,14,1,12,11,20,16,2,0,0,2,0,1,1,100.0,591,59,173,290,136,18,590,15,11,7,6,2,9,17,52.9,8,15,6,9,8,23,30,1,2.2,1.4,1.2,0.4,0.8,1.1,-1.2,-1.4,-0.8,0.13,0,0.6,0.6,0.6
