Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Toulouse,Nantes,2024-08-18,D,H,0,0,0,0,0,0,0,54,16,5,12.5,25.6,22,10,68.8,13,5,38.5,7,53.8,380,1705,884,18,8,16,1,6.3,1,0,0,14,10,0,0,0,0,0,0,0,8,62.5,42.6,12,0.0,0.0,6,50.0,12.4,0,0,0,0,0,40,0,10.3,434,538,80.7,9,37,8,2,54,7700,2697,193,218,88.5,195,223,87.4,40,77,51.9,0,0,0,,0,0,,0,0,0,485,53,11,0,4,27,23,10,3,7,0,0,8,429,8,6,15,11,21,10,5,2,2,2,0,2,2,100.0,644,66,178,294,179,28,644,20,12,9,8,3,8,15,53.3,7,6,3,3,8,28,20,0,1.7,1.7,1.2,1.2,1.4,0.9,-1.7,-1.7,-1.4,0.14,0,0.8,0.4,0.8
Auxerre,Nantes,2024-08-25,L,A,0,2,-2,0,0,0,0,64,36,5,38.9,33.2,18,10,64.3,19,8,42.1,8,42.1,435,2189,945,20,17,15,2,13.3,1,1,0,6,9,0,0,0,0,0,0,0,4,50.0,39.0,12,0.0,0.0,3,25.0,16.4,0,1,0,0,0,43,1,15.0,498,615,81.0,9,30,7,2,45,8794,2986,214,248,86.3,229,260,88.1,42,76,55.3,0,0,0,,0,0,,0,0,0,562,52,11,0,4,32,22,12,5,6,0,1,11,492,17,4,18,13,23,19,2,1,0,1,0,5,3,60.0,736,61,237,359,148,21,736,22,15,17,3,2,9,18,50.0,9,8,1,7,10,32,31,1,1.1,1.1,-0.3,-0.3,1.1,1.3,-1.1,-1.1,-1.1,0.09,0,1.4,0.27,-0.6
Montpellier,Nantes,2024-08-31,L,H,1,3,-2,1,0,0,0,69,15,2,33.3,33.3,10,15,40.0,28,10,35.7,16,57.1,364,2191,998,15,12,9,1,11.1,2,0,0,11,13,1,0,0,0,1,0,0,6,16.7,19.5,10,0.1,0.25,4,40.0,22.6,2,0,0,1,0,38,2,19.4,524,627,83.6,6,43,4,1,42,9095,2778,219,235,93.2,255,280,91.1,39,75,52.0,1,1,0,0.0,1,0,0.0,0,0,0,570,57,13,0,2,35,27,8,4,2,0,0,18,520,12,6,8,8,17,8,2,1,1,5,0,4,1,50.0,726,43,163,370,201,23,726,15,7,9,2,4,8,13,61.5,5,8,1,7,4,19,12,0,0.9,0.9,-0.5,0.2,0.2,0.5,0.1,0.1,-0.2,0.09,2,1.5,0.16,-1.5
Reims,Nantes,2024-09-15,W,A,2,1,1,2,0,0,0,55,39,3,17.9,26.9,8,9,47.1,21,10,47.6,11,52.4,531,2782,1423,25,16,17,1,5.9,1,0,0,5,14,4,4,0,0,0,0,0,8,0.0,14.1,11,0.18,0.5,4,36.4,19.6,0,2,0,0,0,38,1,16.0,550,621,88.6,9,29,9,1,52,8690,2876,281,300,93.7,225,249,90.4,29,49,59.2,0,0,0,,0,0,,0,0,0,570,49,16,0,1,14,20,3,2,1,0,2,2,547,16,4,14,10,22,18,2,0,1,1,0,6,5,83.3,727,92,282,316,135,23,727,15,9,10,4,1,12,24,50.0,12,13,7,6,3,18,21,0,0.5,0.5,-1.0,-1.0,0.5,1.0,1.5,1.5,1.5,0.05,0,2.1,0.38,1.1
Angers,Nantes,2024-09-22,D,H,1,1,0,0,1,1,0,50,28,4,46.4,35.1,12,21,36.4,24,9,37.5,15,62.5,311,1657,793,11,8,12,2,16.7,1,0,0,13,16,2,1,0,0,0,1,0,6,33.3,34.0,3,0.0,,0,0.0,32.3,0,0,1,0,0,35,0,7.5,429,520,82.5,1,28,4,1,32,6950,2632,217,240,90.4,173,205,84.4,29,59,49.2,0,0,0,,0,0,,0,0,0,470,50,15,3,1,12,24,3,0,3,0,0,3,424,8,3,20,5,7,5,0,0,0,1,1,3,2,66.7,635,61,228,285,129,9,634,23,13,12,8,3,11,20,55.0,9,12,4,8,10,33,21,1,0.9,0.1,0.2,-0.6,0.0,0.3,0.1,-0.1,0.0,0.02,0,1.3,0.43,0.3
Saint-Étienne,Nantes,2024-09-29,D,A,2,2,0,1,1,1,0,39,30,3,46.7,39.4,12,14,46.2,13,3,23.1,10,76.9,236,866,439,9,2,26,1,3.8,2,0,0,12,10,4,3,0,0,0,1,0,8,87.5,52.9,4,0.25,0.5,2,50.0,18.9,0,1,1,0,0,35,0,6.0,303,383,79.1,3,27,5,2,26,5441,2069,127,143,88.8,146,163,89.6,23,59,39.0,0,0,0,,0,0,,0,0,0,345,37,11,0,2,11,11,4,3,0,0,1,7,302,2,0,14,6,8,5,1,0,0,2,0,3,1,33.3,502,77,208,215,83,11,501,17,8,12,4,1,9,22,40.9,13,16,7,9,5,22,40,1,1.0,0.2,-0.8,-1.6,0.2,0.6,1.0,0.8,0.8,0.06,0,1.9,0.63,-0.1
Lyon,Nantes,2024-10-06,W,H,2,0,2,1,0,0,0,61,28,5,25.0,24.8,6,6,50.0,19,8,42.1,10,52.6,441,2477,1324,32,23,16,0,0.0,1,0,0,10,5,2,2,0,0,0,0,0,5,40.0,31.2,17,0.06,0.17,6,35.3,14.5,0,1,0,0,0,51,3,19.0,574,666,86.2,14,34,19,1,60,9557,3247,270,293,92.2,239,273,87.5,44,68,64.7,0,0,0,,0,0,,0,0,0,630,35,6,1,4,21,17,6,2,4,0,1,7,570,23,9,13,7,31,25,1,2,3,0,0,6,6,100.0,794,55,206,376,217,43,794,21,15,14,4,3,15,26,57.7,11,11,2,9,8,29,27,2,3.2,3.2,2.3,2.3,2.4,2.7,-2.2,-2.2,-1.4,0.2,0,1.0,0.17,1.0
Nice,Nantes,2024-10-20,D,A,1,1,0,1,0,0,0,57,23,6,8.7,22.3,7,11,38.9,25,10,40.0,13,52.0,432,2387,1410,32,14,13,0,0.0,1,0,0,11,8,2,2,0,0,0,0,0,5,20.0,22.6,13,0.08,0.14,7,53.8,17.6,0,2,0,0,0,52,0,11.5,502,589,85.2,13,41,9,2,53,8322,2624,235,258,91.1,226,256,88.3,32,52,61.5,0,0,0,,0,0,,0,0,0,541,46,10,1,4,25,21,8,3,4,0,2,12,492,14,8,18,10,25,20,3,1,1,0,0,7,6,85.7,711,58,169,361,188,34,711,16,10,4,12,0,10,14,71.4,4,9,1,8,10,26,24,0,0.8,0.8,0.3,0.3,0.8,1.4,0.2,0.2,0.2,0.06,0,1.9,0.28,0.9
Strasbourg,Nantes,2024-10-27,W,H,3,1,2,3,0,0,0,50,58,5,36.2,31.3,14,10,58.3,23,11,47.8,12,52.2,406,1886,918,22,19,11,1,9.1,2,0,0,15,17,6,5,0,0,0,1,0,3,0.0,8.0,9,0.33,0.6,5,55.6,10.0,0,0,0,0,0,40,1,13.0,434,526,82.5,8,10,9,1,33,7201,2498,202,225,89.8,187,209,89.5,29,59,49.2,0,0,0,,0,0,,0,0,0,475,51,19,0,1,13,22,5,3,2,0,0,13,431,19,3,10,9,17,13,1,2,0,1,0,6,5,83.3,619,82,287,239,98,19,619,11,7,6,4,1,6,7,85.7,1,13,1,12,6,17,19,1,1.7,1.7,1.0,1.0,1.7,1.6,1.3,1.3,1.3,0.19,0,1.4,0.23,0.4
Marseille,Nantes,2024-11-03,W,A,2,1,1,2,0,0,0,73,48,3,8.3,23.1,8,10,44.4,22,13,59.1,7,31.8,626,3508,1918,25,16,5,2,40.0,1,0,0,6,17,4,4,0,0,0,0,0,4,0.0,11.5,9,0.22,0.5,4,44.4,19.5,0,1,0,0,0,41,1,12.5,771,852,90.5,9,59,9,3,68,13901,4096,312,339,92.0,394,418,94.3,58,80,72.5,0,0,0,,0,0,,0,0,0,807,44,21,1,5,23,12,5,4,0,0,1,7,759,16,9,16,12,18,15,1,1,1,0,0,3,2,66.7,946,61,227,512,210,22,946,14,9,6,6,2,10,15,66.7,5,10,1,9,5,19,14,2,1.2,1.2,-0.1,-0.1,1.2,1.3,0.8,0.8,0.8,0.14,0,2.0,0.66,1.0
