Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Auxerre,Nice,2024-08-18,W,H,2,1,1,2,0,0,0,45,34,1,73.5,45.8,9,9,50.0,17,7,41.2,8,47.1,237,1306,755,14,12,18,0,0.0,0,0,0,11,17,4,2,1,0,0,1,0,5,60.0,47.8,16,0.13,0.29,7,43.8,16.0,1,2,0,0,0,39,3,17.4,364,441,82.5,14,24,9,4,38,7090,2867,148,169,87.6,159,178,89.3,51,77,66.2,0,0,0,,0,0,,0,0,0,397,42,19,0,3,19,13,3,0,2,0,2,7,360,12,3,10,8,30,24,2,1,0,3,0,2,1,50.0,553,61,202,238,115,22,553,19,13,11,8,0,10,15,66.7,5,12,3,9,6,25,27,0,1.8,1.8,1.1,1.1,1.8,1.6,0.2,0.2,0.2,0.12,1,0.6,0.32,-0.4
Toulouse,Nice,2024-08-25,D,A,1,1,0,1,0,0,0,43,24,2,50.0,39.3,15,18,45.5,21,9,42.9,12,57.1,211,1093,654,18,10,12,1,8.3,1,0,0,21,11,2,2,0,0,0,0,0,11,45.5,35.4,15,0.07,0.33,3,20.0,17.8,1,1,0,0,0,42,2,14.7,275,372,73.9,11,16,5,0,28,5108,1917,105,130,80.8,137,165,83.0,26,56,46.4,0,0,0,,0,0,,0,0,0,325,46,11,0,1,13,18,4,1,3,0,1,12,270,10,5,13,7,26,15,3,3,2,2,1,3,2,66.7,474,54,156,225,103,18,474,26,15,9,14,3,18,28,64.3,10,9,2,7,5,31,19,0,1.0,1.0,-0.3,-0.3,0.8,0.8,0.0,0.0,0.2,0.07,1,0.6,0.21,-0.4
Angers,Nice,2024-09-01,L,H,1,4,-3,0,1,1,0,54,18,2,38.9,36.5,14,9,60.9,19,11,57.9,6,31.6,304,1802,940,23,17,10,0,0.0,6,0,0,14,13,2,1,0,0,0,1,0,5,40.0,34.8,13,0.0,0.0,6,46.2,22.7,1,0,1,0,0,51,0,12.0,406,488,83.2,12,36,10,1,53,6787,2161,199,215,92.6,175,194,90.2,26,57,45.6,0,0,0,,0,0,,0,1,0,448,40,11,4,0,18,15,4,3,0,0,0,9,403,17,6,13,13,27,22,1,2,0,2,0,8,4,50.0,604,49,156,286,166,23,603,25,12,14,8,3,12,21,57.1,9,8,3,5,12,37,17,3,1.4,0.6,-0.8,-1.6,0.6,0.8,-0.4,-0.6,-0.6,0.05,1,3.3,0.41,-0.7
Marseille,Nice,2024-09-14,W,H,2,0,2,2,0,0,0,56,38,7,47.4,39.0,11,3,78.6,14,6,42.9,8,57.1,411,1893,829,12,16,9,0,0.0,5,1,1,18,4,4,4,0,0,0,0,0,8,37.5,29.3,10,0.2,0.4,5,50.0,19.4,0,1,0,0,0,37,0,4.0,446,530,84.2,8,32,3,0,25,6978,2484,241,268,89.9,175,191,91.6,20,50,40.0,0,0,0,,0,0,,0,0,0,493,36,9,1,1,6,17,1,1,0,0,1,8,436,16,4,6,10,18,15,1,1,0,0,1,4,4,100.0,625,82,234,273,129,12,625,22,16,12,6,4,11,17,64.7,6,10,3,7,8,30,21,0,0.7,0.7,-1.2,-1.2,0.5,0.4,1.3,1.3,0.5,0.07,0,1.3,0.36,1.3
Saint-Étienne,Nice,2024-09-20,L,A,0,8,-8,0,0,0,0,41,34,3,32.4,35.7,3,4,42.9,10,4,40.0,6,60.0,261,1357,671,11,7,8,0,0.0,1,0,0,13,5,0,0,0,0,0,0,0,3,66.7,42.0,8,0.0,0.0,2,25.0,20.4,0,0,0,1,1,40,0,11.3,405,481,84.2,7,32,8,1,27,7160,2400,183,207,88.4,189,208,90.9,31,59,52.5,1,1,0,0.0,1,0,0.0,0,0,1,445,36,10,0,0,10,12,2,0,2,0,0,4,405,7,3,12,9,16,14,0,1,0,0,1,12,5,41.7,564,61,193,262,113,16,564,14,11,7,6,1,9,19,47.4,10,6,3,3,13,27,12,0,0.3,0.3,-4.4,-3.6,0.3,0.3,-0.3,-0.3,-0.3,0.04,0,5.3,0.41,-1.7
Lens,Nice,2024-09-28,D,H,0,0,0,0,0,0,0,56,32,4,46.9,36.9,16,7,69.6,26,6,23.1,19,73.1,410,2115,981,19,21,10,2,20.0,3,1,1,16,7,0,0,0,0,0,0,0,5,40.0,38.0,22,0.0,0.0,6,27.3,15.9,0,1,0,0,0,54,2,15.8,410,504,81.3,17,34,18,5,63,6946,2838,208,229,90.8,148,174,85.1,42,63,66.7,0,0,0,,0,0,,0,0,0,461,42,8,0,1,30,17,11,2,4,0,1,10,404,21,2,17,13,43,28,8,1,3,2,1,4,4,100.0,634,73,171,239,231,38,634,17,14,7,7,3,10,21,47.6,11,12,8,4,8,25,18,0,1.9,1.9,0.8,0.8,1.2,1.6,-1.9,-1.9,-1.2,0.09,0,0.9,0.22,0.9
Paris S-G,Nice,2024-10-06,D,A,1,1,0,0,0,0,0,71,21,6,4.8,18.4,10,12,45.5,22,9,40.9,11,50.0,529,2087,1189,31,19,9,0,0.0,2,0,0,9,7,0,0,0,0,0,0,0,4,0.0,23.3,19,0.0,0.0,7,36.8,18.6,0,1,0,0,0,46,1,19.5,666,751,88.7,14,64,16,4,54,10921,2977,329,351,93.7,280,311,90.0,48,68,70.6,0,0,0,,0,0,,0,1,0,709,41,9,2,3,32,11,15,3,2,0,1,10,663,19,9,16,13,36,28,3,2,1,1,1,3,2,66.7,854,44,140,400,317,36,854,22,13,6,10,6,11,19,57.9,8,9,3,6,8,30,7,0,1.3,1.3,0.8,0.8,1.2,1.5,-1.3,-1.3,-1.2,0.07,0,1.1,0.38,0.1
Nantes,Nice,2024-10-20,D,H,1,1,0,1,0,0,0,43,37,8,40.5,38.9,11,7,61.1,15,4,26.7,10,66.7,350,1759,812,16,15,13,3,23.1,2,0,0,10,10,2,2,0,0,0,0,0,5,40.0,33.6,11,0.09,0.14,7,63.6,19.5,0,0,0,0,0,41,0,6.3,355,440,80.7,11,23,7,4,33,6277,2306,163,184,88.6,165,181,91.2,23,60,38.3,0,0,0,,0,0,,0,0,0,393,47,13,1,2,19,23,4,1,1,0,0,9,351,15,3,13,6,22,21,1,0,0,0,0,7,6,85.7,566,84,203,249,121,17,566,23,15,13,8,2,13,23,56.5,10,11,1,10,13,36,27,0,0.5,0.5,-0.3,-0.3,0.5,0.8,0.5,0.5,0.5,0.04,0,2.1,0.31,1.1
Monaco,Nice,2024-10-27,L,A,1,2,-1,1,0,0,0,59,21,4,33.3,34.8,18,16,52.9,18,5,27.8,13,72.2,363,2306,1164,25,21,15,2,13.3,5,1,1,11,16,2,2,0,0,0,0,0,9,22.2,28.2,11,0.09,0.2,5,45.5,20.0,0,1,0,0,0,50,0,12.8,418,513,81.5,10,37,13,2,56,7355,2834,188,216,87.0,182,198,91.9,39,69,56.5,0,0,0,,0,0,,0,0,0,462,50,17,2,1,16,15,6,6,0,0,1,12,415,21,5,22,15,21,14,3,0,1,2,1,9,7,77.8,630,59,172,302,161,24,630,26,22,17,7,2,16,32,50.0,16,6,2,4,6,32,21,1,0.5,0.5,-1.1,-1.1,0.5,0.8,0.5,0.5,0.5,0.04,0,3.7,0.42,1.7
Brest,Nice,2024-11-02,L,H,0,1,-1,0,0,0,0,63,33,3,39.4,37.5,15,18,45.5,17,7,41.2,10,58.8,381,2163,1174,21,24,6,0,0.0,0,0,0,9,4,0,0,0,0,0,0,0,8,25.0,30.5,16,0.0,0.0,6,37.5,17.1,0,1,0,0,0,52,4,21.0,531,639,83.1,13,42,13,0,42,9997,3173,203,223,91.0,256,290,88.3,64,103,62.1,0,0,0,,0,0,,0,0,0,595,43,8,0,4,25,19,6,3,2,0,1,12,529,24,1,16,10,27,21,3,0,3,0,0,3,2,66.7,754,61,232,322,206,26,754,27,20,10,12,5,15,25,60.0,10,10,1,9,12,39,6,0,1.0,1.0,-0.4,-0.4,0.8,0.8,-1.0,-1.0,-0.8,0.06,0,0.9,0.31,-0.1
Lille,Nice,2024-11-10,D,A,2,2,0,2,0,0,0,57,30,6,23.3,28.4,14,15,48.3,19,9,47.4,9,47.4,336,1995,1138,21,11,12,2,16.7,2,0,0,9,11,4,3,0,0,1,0,0,11,45.5,36.0,13,0.15,0.33,6,46.2,18.8,1,0,0,0,0,35,0,4.5,471,547,86.1,10,38,3,1,27,8488,2740,200,218,91.7,216,238,90.8,47,72,65.3,0,0,0,,0,0,,0,0,0,503,44,13,1,3,7,16,2,1,1,0,0,5,468,11,6,17,7,23,16,2,1,2,2,0,5,3,60.0,663,72,191,320,153,21,663,13,7,4,7,2,7,18,38.9,11,14,6,8,10,23,23,0,1.7,1.7,-0.4,-0.4,1.7,1.8,0.3,0.3,0.3,0.14,1,1.7,0.34,-0.3
Strasbourg,Nice,2024-11-24,L,A,1,2,-1,1,0,0,0,46,37,3,40.5,35.8,5,13,27.8,20,6,30.0,12,60.0,280,1336,738,18,6,15,1,6.7,0,0,0,8,15,2,2,0,0,0,0,0,6,33.3,31.5,10,0.1,0.33,3,30.0,21.6,0,1,0,0,1,60,0,12.5,381,473,80.5,9,27,4,0,28,6577,2435,172,195,88.2,171,199,85.9,29,53,54.7,0,0,0,,0,0,,0,0,1,424,48,16,2,0,13,16,7,4,2,0,1,13,379,6,4,14,13,20,15,3,1,1,0,0,5,4,60.0,614,73,243,283,96,16,614,29,20,10,17,2,10,22,45.5,12,8,3,5,11,40,29,0,0.4,0.4,-1.7,-1.7,0.4,0.3,0.6,0.6,0.6,0.04,0,1.2,0.25,0.2
Lyon,Nice,2024-12-01,W,H,4,1,3,3,1,1,0,53,24,6,62.5,44.3,13,12,52.0,18,7,38.9,10,55.6,390,1919,973,22,16,12,1,8.3,1,0,0,11,10,7,6,0,1,0,0,0,4,50.0,45.8,15,0.2,0.43,7,46.7,16.2,2,3,0,0,0,49,0,9.0,402,512,78.5,11,28,12,3,41,6643,2391,201,232,86.6,154,180,85.6,33,63,52.4,0,0,0,,0,0,,0,0,0,472,37,9,1,4,18,17,5,0,4,0,3,14,399,16,6,12,3,28,22,1,1,1,2,1,6,5,83.3,635,57,188,302,159,31,634,21,19,5,15,1,12,24,50.0,12,15,7,8,11,32,16,0,2.7,2.1,0.5,-0.1,1.8,1.3,1.3,0.9,0.2,0.14,2,2.0,0.33,1.0
Le Havre,Nice,2024-12-07,L,A,1,2,-1,1,0,0,0,49,18,3,5.6,18.7,9,13,40.9,22,11,50.0,10,45.5,307,1617,681,18,5,17,1,5.9,2,0,0,10,10,2,0,1,0,1,0,0,12,41.7,35.2,12,0.08,1.0,1,8.3,15.4,1,2,0,1,0,50,0,4.0,338,437,77.3,6,34,7,1,47,6268,2725,135,155,87.1,158,190,83.2,37,60,61.7,1,1,0,0.0,1,0,0.0,0,0,0,381,54,9,2,0,26,22,8,7,0,0,2,17,333,5,1,18,11,17,5,3,1,4,2,2,5,3,80.0,566,67,200,224,145,17,566,23,17,13,6,4,10,19,52.6,9,16,6,10,11,34,21,1,1.1,1.1,-0.9,-0.1,0.5,0.7,-0.1,-0.1,0.5,0.09,1,1.3,0.08,-0.7
Montpellier,Nice,2024-12-15,D,H,2,2,0,2,0,0,0,52,35,5,42.9,36.9,14,14,50.0,22,6,27.3,13,59.1,321,1739,915,24,12,17,0,0.0,1,0,0,15,13,4,4,0,0,0,0,0,6,33.3,34.8,21,0.1,0.25,8,38.1,16.3,0,1,0,0,0,44,0,10.5,352,448,78.6,17,33,10,3,44,7253,2879,149,183,81.4,133,153,86.9,69,97,71.1,0,0,0,,0,0,,0,0,0,393,54,13,2,3,32,23,9,2,7,0,1,13,349,12,10,13,12,36,26,4,2,2,1,1,6,4,66.7,573,64,183,229,165,37,573,25,15,15,7,3,13,24,54.2,11,12,5,7,2,27,22,0,2.0,2.0,0.5,0.5,1.9,2.4,0.0,0.0,0.1,0.09,0,2.1,0.34,0.1
