Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Le Havre,Paris S-G,2024-08-16,L,H,1,4,-3,1,0,0,0,24,20,1,35.0,31.0,5,10,33.3,13,4,30.8,8,61.5,196,1007,517,10,3,11,0,0.0,3,0,0,11,9,2,0,1,0,0,1,0,6,66.7,50.5,5,0.2,0.5,2,40.0,19.1,0,1,0,1,0,42,1,14.5,205,277,74.0,4,14,2,1,18,3738,1625,87,107,81.3,84,94,89.4,26,49,53.1,1,1,0,0.0,1,0,0.0,0,0,0,240,36,10,0,2,10,13,2,2,0,0,1,9,205,3,2,14,9,9,5,1,1,1,1,0,9,5,66.7,378,51,154,168,60,10,378,25,15,15,10,0,10,14,71.4,4,12,2,10,9,34,14,0,0.2,0.2,-2.7,-1.9,0.2,0.3,0.8,0.8,0.8,0.04,0,4.5,0.43,0.5
Montpellier,Paris S-G,2024-08-23,L,A,0,6,-6,0,0,0,0,32,29,3,34.5,36.3,6,5,54.5,13,3,23.1,8,61.5,235,1119,520,10,4,11,1,9.1,4,0,0,17,10,0,0,0,0,0,0,0,13,53.8,33.3,8,0.0,0.0,3,37.5,15.9,1,2,0,0,0,41,0,8.8,296,361,82.0,6,15,5,3,25,5230,2215,141,155,91.0,83,96,86.5,53,79,67.1,0,0,0,,0,0,,0,0,0,318,41,10,0,5,9,9,2,0,2,0,2,4,295,4,2,16,13,14,10,2,1,1,0,0,11,5,45.5,461,79,197,206,60,10,461,19,11,10,8,1,17,27,63.0,10,8,3,5,12,31,15,0,0.6,0.6,-3.2,-3.2,0.5,0.3,-0.6,-0.6,-0.5,0.08,1,3.8,0.34,-2.2
Lille,Paris S-G,2024-09-01,L,H,1,3,-2,1,0,0,0,42,18,2,33.3,34.2,4,8,33.3,17,8,47.1,9,52.9,387,2048,926,26,26,2,0,0.0,3,0,0,9,9,2,2,0,0,0,0,0,4,0.0,10.5,8,0.13,0.25,4,50.0,15.7,0,5,0,1,0,52,0,11.0,377,459,82.1,8,29,5,0,36,5933,2223,203,224,90.6,144,168,85.7,22,40,55.0,1,1,0,0.0,1,0,0.0,0,0,0,420,34,8,0,0,15,15,3,1,0,0,5,6,373,26,10,12,13,16,13,1,1,0,1,0,7,4,71.4,547,39,148,225,180,28,547,19,10,10,6,3,10,22,45.5,12,9,2,7,8,27,5,1,1.4,1.4,-1.2,-0.4,1.4,0.9,-0.4,-0.4,-0.4,0.18,0,2.9,0.3,-0.1
Brest,Paris S-G,2024-09-14,L,A,1,3,-2,0,1,1,0,33,18,0,77.8,47.6,9,5,64.3,12,6,50.0,6,50.0,160,882,370,7,5,14,1,7.1,3,0,0,13,7,2,1,0,0,0,1,0,8,100.0,63.4,4,0.0,0.0,2,50.0,26.5,0,1,1,0,0,55,0,3.5,266,355,74.9,4,22,2,1,18,5019,2252,124,140,88.6,101,127,79.5,33,67,49.3,0,0,0,,0,0,,0,0,0,321,33,9,0,3,10,11,1,0,1,0,1,10,264,5,2,13,8,8,3,2,0,0,2,1,9,6,66.7,474,81,199,197,80,8,473,28,16,14,9,5,22,30,73.3,8,17,6,11,8,36,30,0,1.0,0.2,-1.8,-2.6,0.2,0.3,0.0,-0.2,-0.2,0.05,0,2.9,0.32,-0.1
Reims,Paris S-G,2024-09-21,D,H,1,1,0,1,0,0,0,22,16,2,68.8,50.1,5,7,41.7,12,8,66.7,4,33.3,146,917,468,15,13,17,1,5.9,2,0,0,11,6,1,0,0,0,1,0,0,12,50.0,41.9,8,0.13,1.0,1,12.5,21.6,0,1,0,0,0,47,0,8.5,167,243,68.7,4,7,7,3,12,2670,1308,86,100,86.0,60,77,77.9,13,46,28.3,0,0,0,,0,0,,0,0,0,211,31,7,0,2,14,7,3,2,1,0,1,7,165,13,1,16,10,11,5,1,2,2,1,0,4,3,75.0,348,73,206,101,52,9,348,26,23,22,4,0,15,26,57.7,11,7,2,5,10,36,21,0,0.3,0.3,-1.3,-1.3,0.2,0.3,0.7,0.7,-0.2,0.04,0,0.9,0.23,-0.1
Rennes,Paris S-G,2024-09-27,L,A,1,3,-2,0,1,1,0,39,23,4,43.5,36.8,7,6,53.8,25,13,52.0,11,44.0,300,1380,680,19,10,6,0,0.0,3,0,0,13,11,1,0,1,0,0,0,0,8,12.5,19.4,11,0.0,0.0,4,36.4,22.5,0,1,0,0,0,49,0,8.0,338,425,79.5,6,23,8,1,28,5839,2135,161,178,90.4,139,168,82.7,30,55,54.5,0,0,0,,0,0,,0,0,0,373,51,17,2,3,13,18,4,4,0,0,1,13,336,10,3,9,10,17,10,2,2,1,0,2,7,4,57.1,539,67,166,240,142,23,538,24,13,15,6,3,15,26,57.7,11,21,7,14,7,31,14,0,1.4,0.7,-1.6,-2.3,0.5,0.7,-0.4,-0.7,-0.5,0.06,0,2.8,0.4,-0.2
Nice,Paris S-G,2024-10-06,D,H,1,1,0,1,0,0,0,29,29,5,48.3,37.3,12,10,54.5,21,8,38.1,11,52.4,251,1251,692,17,7,25,0,0.0,1,0,0,7,9,0,0,0,0,0,0,0,7,14.3,16.7,9,0.11,0.33,3,33.3,17.3,0,2,0,0,1,42,0,5.0,248,313,79.2,8,14,7,3,28,4028,1825,121,136,89.0,99,118,83.9,20,42,47.6,0,0,0,,0,0,,0,0,1,276,35,10,1,0,11,11,5,1,3,0,2,7,247,7,3,16,11,14,11,3,0,0,0,0,7,7,85.7,444,100,226,145,80,12,444,24,13,20,3,1,11,20,55.0,9,15,6,9,7,31,36,0,0.5,0.5,-0.8,-0.8,0.4,0.7,0.5,0.5,-0.4,0.05,0,0.7,0.1,0.7
Strasbourg,Paris S-G,2024-10-19,L,A,2,4,-2,2,0,0,0,45,51,4,37.3,34.8,11,6,64.7,35,16,45.7,17,48.6,390,1794,722,20,12,11,0,0.0,2,0,0,12,10,2,0,0,0,2,0,0,4,25.0,17.5,16,0.13,0.29,7,43.8,15.3,0,1,0,0,0,55,0,2.5,400,484,82.6,14,30,6,1,42,6881,2765,180,199,90.5,170,193,88.1,36,63,57.1,0,0,0,,0,0,,0,0,0,437,46,12,0,2,14,20,5,2,3,0,1,11,396,12,10,15,11,26,14,2,5,3,0,2,10,6,60.0,585,72,221,239,133,21,585,23,14,7,12,4,12,21,57.1,9,7,3,4,7,30,10,1,1.9,1.9,-1.6,-1.6,1.5,0.6,0.1,0.1,-0.5,0.13,0,4.7,0.49,0.7
Marseille,Paris S-G,2024-10-27,L,H,0,3,-3,0,0,0,0,26,35,4,45.7,35.7,4,6,40.0,18,9,50.0,9,50.0,226,1127,433,7,3,8,0,0.0,1,1,0,4,7,0,0,0,0,0,0,0,13,84.6,53.8,5,0.0,0.0,1,20.0,16.3,0,2,0,0,1,41,0,2.0,260,333,78.1,3,10,3,0,12,4565,2070,127,146,87.0,94,112,83.9,31,56,55.4,0,0,0,,0,0,,0,0,1,284,47,14,0,1,5,15,1,1,0,0,2,8,259,3,3,18,12,9,5,2,1,0,1,0,8,6,62.5,424,77,225,157,47,8,424,16,11,9,6,1,8,13,61.5,5,10,2,8,9,25,10,3,0.2,0.2,-2.9,-2.9,0.2,0.1,-0.2,-0.2,-0.2,0.05,0,2.0,0.27,0.0
Lens,Paris S-G,2024-11-02,L,A,0,1,-1,0,0,0,0,32,22,2,45.5,36.5,7,7,50.0,23,10,43.5,13,56.5,289,1685,830,23,16,9,1,11.1,4,1,0,20,3,0,0,0,0,0,0,0,10,50.0,34.3,13,0.0,0.0,2,15.4,15.9,0,3,0,0,0,50,4,19.8,264,345,76.5,9,22,9,1,33,4304,1889,143,169,84.6,81,102,79.4,28,46,60.9,0,0,0,,0,0,,0,0,0,314,28,5,1,2,11,7,4,4,0,0,3,6,261,16,8,20,7,23,16,2,1,3,0,1,8,7,87.5,473,62,138,201,144,22,473,20,12,9,9,2,11,21,52.4,10,14,5,9,8,28,19,2,0.7,0.7,-2.1,-2.1,0.6,0.6,-0.7,-0.7,-0.6,0.06,0,2.9,0.36,1.9
