Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lille,Reims,2024-08-17,W,A,2,0,2,2,0,0,0,68,23,5,8.7,20.7,13,9,59.1,23,7,30.4,15,65.2,497,2748,1707,30,22,6,1,16.7,2,0,0,15,6,2,0,0,0,2,0,0,3,0.0,10.0,22,0.09,0.33,6,27.3,15.8,1,2,0,0,0,54,1,14.5,596,670,89.0,12,59,9,3,72,10201,2938,274,300,91.3,268,289,92.7,43,57,75.4,0,0,0,,0,0,,0,0,0,640,28,5,0,3,19,11,8,3,1,0,2,5,593,22,7,14,10,34,25,2,1,4,2,0,0,0,,790,50,152,379,263,36,790,18,9,2,11,5,11,22,50.0,11,11,1,10,7,25,13,0,2.1,2.1,2.0,2.0,1.1,1.3,-0.1,-0.1,-1.1,0.1,1,0.0,,0.0
Marseille,Reims,2024-08-25,D,H,2,2,0,2,0,0,0,66,27,5,14.8,27.1,10,3,76.9,11,5,45.5,6,54.5,413,2479,1288,19,10,14,2,14.3,1,0,0,10,12,3,2,0,0,1,0,0,8,0.0,11.0,21,0.1,0.2,10,47.6,15.7,0,3,0,0,0,40,5,19.0,599,676,88.6,13,42,14,5,51,10380,3082,247,262,94.3,300,324,92.6,42,65,64.6,0,0,0,,0,0,,0,1,0,626,47,14,2,2,15,20,2,0,1,0,3,13,595,10,7,13,6,36,28,1,1,5,1,0,3,1,33.3,761,62,210,406,146,30,761,6,2,2,4,0,3,13,23.1,10,8,5,3,4,10,17,1,3.0,3.0,2.2,2.2,1.4,1.1,-1.0,-1.0,-0.4,0.16,0,0.9,0.38,-1.1
Rennes,Reims,2024-09-01,L,A,1,2,-1,1,0,0,0,47,23,9,30.4,32.7,15,6,71.4,14,7,50.0,6,42.9,273,1161,685,10,12,12,0,0.0,1,0,0,13,8,2,0,1,0,1,0,0,5,60.0,48.0,13,0.08,0.2,5,38.5,15.9,0,2,0,0,0,35,0,10.0,311,394,78.9,11,30,7,2,43,6299,2528,105,124,84.7,156,183,85.2,48,72,66.7,0,0,0,,0,0,,0,0,0,352,40,9,2,1,15,18,5,5,0,0,2,13,306,12,5,19,10,26,17,3,2,2,1,1,7,5,71.4,497,46,142,247,116,21,497,21,11,10,9,2,12,22,54.5,10,10,1,9,5,26,23,0,0.8,0.8,-0.6,-0.6,0.7,0.6,0.2,0.2,0.3,0.06,0,1.6,0.22,-0.4
Nantes,Reims,2024-09-15,L,H,1,2,-1,1,0,0,0,45,23,4,17.4,28.7,9,8,52.9,24,12,50.0,12,50.0,282,1682,903,23,10,11,0,0.0,3,0,0,14,5,2,2,0,0,0,0,0,6,83.3,53.5,18,0.06,0.17,6,33.3,18.4,0,2,0,0,0,42,0,15.3,428,501,85.4,14,30,11,4,42,7590,2605,180,192,93.8,204,224,91.1,36,63,57.1,0,0,0,,0,0,,0,0,0,459,40,7,0,2,21,18,6,1,3,0,2,7,426,10,4,12,3,32,21,4,4,2,0,1,4,2,50.0,604,51,182,307,124,23,604,21,14,9,9,3,11,21,52.4,10,3,2,1,5,26,30,0,1.5,1.5,1.0,1.0,1.3,1.1,-0.5,-0.5,-0.3,0.09,0,0.9,0.23,-1.1
Paris S-G,Reims,2024-09-21,D,A,1,1,0,1,0,0,0,78,15,3,6.7,24.3,7,5,58.3,26,11,42.3,15,57.7,459,2035,1211,17,10,10,1,10.0,1,0,0,6,11,2,2,0,0,0,0,0,6,0.0,28.0,11,0.09,0.25,4,36.4,14.6,0,1,0,0,0,48,5,25.4,783,849,92.2,11,93,21,5,82,13657,3981,337,355,94.9,379,398,95.2,61,83,73.5,0,0,0,,0,0,,0,0,0,806,42,12,2,5,20,17,5,4,1,0,1,5,775,10,5,18,11,21,18,1,2,0,0,0,1,0,0.0,941,30,123,547,275,34,941,14,7,3,4,7,4,12,33.3,8,10,4,6,6,20,11,0,1.6,1.6,1.3,1.3,1.6,2.2,-0.6,-0.6,-0.6,0.14,0,0.1,0.1,-0.9
Angers,Reims,2024-09-29,L,H,1,3,-2,1,0,0,0,53,23,8,8.7,24.2,13,14,48.1,19,14,73.7,5,26.3,385,1991,1146,19,16,12,0,0.0,0,0,0,7,11,2,2,0,0,0,0,0,9,11.1,24.1,14,0.07,0.33,3,21.4,17.8,1,2,0,0,0,48,3,16.2,446,545,81.8,10,35,4,0,46,7986,3025,179,206,86.9,231,269,85.9,34,57,59.6,0,0,0,,0,0,,0,0,0,495,48,11,2,0,25,19,5,2,0,1,2,9,442,16,5,15,13,25,18,3,1,1,1,1,10,7,70.0,658,61,197,312,156,17,658,17,12,6,10,1,5,18,27.8,13,10,2,8,14,31,18,0,1.1,1.1,-1.8,-1.8,1.0,1.0,-0.1,-0.1,0.0,0.08,1,2.3,0.23,-0.7
Montpellier,Reims,2024-10-06,L,A,2,4,-2,2,0,0,0,52,14,3,21.4,28.4,7,10,41.2,22,7,31.8,15,68.2,359,1738,861,18,14,13,1,7.7,5,0,0,13,15,3,1,1,1,0,0,0,7,0.0,18.7,10,0.2,0.67,3,30.0,23.2,0,0,0,1,0,35,2,17.2,403,482,83.6,8,33,7,2,44,7206,2657,172,191,90.1,185,202,91.6,35,65,53.8,1,1,0,0.0,1,0,0.0,0,0,0,430,52,18,0,5,20,18,4,2,2,0,0,11,397,14,5,17,5,19,15,1,3,0,0,0,5,1,40.0,578,51,183,267,132,21,578,11,8,6,5,0,6,15,40.0,9,8,4,4,9,20,14,0,0.5,0.5,-2.5,-1.7,0.3,0.9,1.5,1.5,0.7,0.05,0,2.8,0.42,-1.2
Auxerre,Reims,2024-10-20,W,H,2,1,1,2,0,1,1,35,24,8,70.8,53.5,14,15,48.3,17,6,35.3,10,58.8,207,1113,569,14,10,28,2,7.1,2,0,0,6,10,4,1,1,1,0,1,0,6,100.0,71.7,9,0.22,0.29,7,77.8,15.5,0,2,1,0,0,46,0,4.0,215,299,71.9,9,16,9,2,22,4024,1770,94,109,86.2,80,105,76.2,31,67,46.3,0,0,0,,0,0,,0,0,0,262,35,11,1,3,14,11,5,2,3,0,2,6,214,10,2,13,7,18,12,1,1,1,2,1,3,2,66.7,440,74,190,150,108,18,439,22,16,12,7,3,8,24,33.3,16,18,8,10,9,31,37,0,2.8,2.0,1.7,0.9,2.0,1.2,-0.8,0.0,0.0,0.22,0,0.3,0.11,-0.7
Brest,Reims,2024-10-26,W,A,2,1,1,1,1,1,0,47,37,5,54.1,39.9,14,17,45.2,12,4,33.3,8,66.7,311,1429,607,9,8,26,1,3.8,2,0,0,11,12,3,2,0,0,1,0,0,10,80.0,52.5,12,0.08,0.33,3,25.0,21.1,1,1,0,0,0,43,1,11.5,319,410,77.8,9,16,4,1,21,5946,2346,141,161,87.6,105,126,83.3,53,86,61.6,0,0,0,,0,0,,0,1,0,364,45,16,0,4,13,14,3,1,2,0,1,7,317,8,3,17,7,24,18,1,0,3,1,1,3,2,66.7,531,88,230,197,106,19,530,18,9,11,5,2,10,23,43.5,13,8,2,6,8,26,37,0,1.5,0.7,0.7,0.0,0.6,0.5,0.5,0.3,0.4,0.06,1,0.3,0.1,-0.7
Toulouse,Reims,2024-11-03,W,H,1,0,1,1,0,0,0,51,31,5,32.3,30.7,22,18,55.0,19,5,26.3,13,68.4,234,1289,753,18,9,12,0,0.0,0,0,0,16,15,2,2,0,0,0,0,0,3,33.3,24.7,13,0.08,0.2,5,38.5,15.9,0,0,0,0,0,43,3,19.4,321,428,75.0,8,17,11,2,37,5296,2080,156,182,85.7,132,170,77.6,23,53,43.4,0,0,0,,0,0,,0,0,0,377,51,18,6,1,23,23,6,3,2,0,0,8,319,9,6,16,12,20,12,4,0,2,1,1,2,2,100.0,545,67,178,215,156,34,545,15,10,9,6,0,9,20,45.0,11,11,6,5,4,19,23,1,0.9,0.9,-0.2,-0.2,0.6,1.0,0.1,0.1,0.4,0.07,0,0.2,0.11,0.2
