Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lyon,Rennes,2024-08-18,L,A,0,3,-3,0,0,1,1,53,17,3,35.3,36.2,8,12,40.0,23,5,21.7,15,65.2,342,2076,1084,30,10,9,0,0.0,1,0,0,12,13,0,0,0,0,0,0,0,9,22.2,32.4,15,0.0,0.0,1,6.7,15.8,0,2,1,0,0,39,4,22.2,413,507,81.5,12,34,13,2,58,6711,2590,208,235,88.5,153,174,87.9,38,60,63.3,0,0,0,,0,0,,1,0,0,446,59,13,0,5,21,26,7,2,3,0,2,12,409,10,5,9,7,31,22,3,3,2,1,0,8,5,62.5,622,68,177,282,166,40,621,22,12,13,8,1,7,13,53.8,6,8,4,4,13,35,22,1,2.1,1.2,0.0,-0.9,0.6,1.4,-2.1,-1.2,-0.6,0.08,0,2.6,0.33,-0.4
Strasbourg,Rennes,2024-08-25,W,H,3,1,2,2,0,0,0,59,52,7,17.3,25.5,11,12,47.8,12,3,25.0,8,66.7,374,1812,965,17,11,13,0,0.0,2,0,0,9,19,3,1,0,0,1,1,0,6,16.7,18.8,11,0.18,0.4,5,45.5,13.9,0,3,0,0,0,38,3,12.0,486,580,83.8,7,24,4,3,18,8256,2725,221,247,89.5,232,262,88.5,31,63,49.2,0,0,0,,0,0,,0,0,0,530,47,20,0,2,9,17,2,1,1,0,3,9,482,11,2,15,11,17,12,1,0,1,1,2,5,4,80.0,690,107,356,250,86,11,690,21,12,16,4,1,14,20,70.0,6,7,3,4,7,28,27,0,0.7,0.7,-0.4,-0.4,0.4,0.5,1.3,1.3,0.6,0.07,0,1.0,0.21,0.0
Reims,Rennes,2024-09-01,W,H,2,1,1,2,0,0,0,53,35,4,31.4,37.2,6,15,28.6,24,10,41.7,12,50.0,241,1438,657,15,12,12,0,0.0,2,0,0,9,12,4,4,0,0,0,0,0,8,50.0,33.1,11,0.18,0.29,7,63.6,15.8,0,0,0,0,0,44,1,17.0,355,438,81.1,10,28,7,1,33,6698,2569,133,145,91.7,179,203,88.2,35,72,48.6,0,0,0,,0,0,,0,1,0,392,46,14,3,7,15,19,3,1,1,0,0,10,351,12,0,13,9,19,13,3,2,0,1,0,5,4,80.0,548,68,206,221,125,14,548,16,9,7,8,1,6,13,46.2,7,15,5,10,8,24,18,1,1.4,1.4,0.6,0.6,1.3,1.4,0.6,0.6,0.7,0.13,0,1.1,0.22,0.1
Montpellier,Rennes,2024-09-15,L,A,0,3,-3,0,0,0,0,49,22,3,50.0,38.2,9,10,47.4,17,9,52.9,7,41.2,375,2186,1089,21,14,16,1,6.3,3,0,0,7,9,0,0,0,0,0,0,0,8,12.5,20.3,12,0.0,0.0,4,33.3,23.5,0,3,0,0,0,49,2,17.8,402,476,84.5,11,39,2,2,35,7608,2652,186,201,92.5,164,180,91.1,50,83,60.2,0,0,0,,0,0,,0,0,0,437,36,9,1,8,15,11,4,1,2,0,3,3,401,14,4,18,8,23,20,1,0,1,0,1,6,3,50.0,583,55,182,262,143,9,583,23,13,13,8,2,13,27,48.1,14,4,0,4,15,38,21,1,0.3,0.3,-1.0,-1.0,0.3,0.4,-0.3,-0.3,-0.3,0.03,0,2.0,0.33,-1.0
Lens,Rennes,2024-09-21,D,A,1,1,0,1,0,0,0,60,42,6,35.7,32.7,25,13,65.8,16,5,31.3,10,62.5,288,1621,840,17,6,8,2,25.0,4,0,0,20,16,2,2,0,0,0,0,0,2,0.0,15.0,10,0.1,0.5,2,20.0,18.8,1,3,0,1,0,49,1,9.2,418,547,76.4,6,27,10,3,33,7217,2638,193,232,83.2,190,217,87.6,29,75,38.7,1,1,0,0.0,1,0,0.0,0,0,0,494,50,16,1,2,19,27,3,1,1,0,3,7,413,6,3,22,10,19,16,1,1,0,1,0,6,5,100.0,664,62,193,319,156,19,664,12,7,6,4,2,6,9,66.7,3,15,1,14,7,19,19,0,0.6,0.6,-0.8,0.0,0.2,0.7,0.4,0.4,-0.2,0.06,1,1.4,0.08,0.4
Paris S-G,Rennes,2024-09-27,W,H,3,1,2,3,0,0,0,61,40,10,35.0,31.1,6,7,46.2,27,11,40.7,15,55.6,529,2231,1040,23,12,11,0,0.0,1,0,0,12,12,5,4,0,0,1,0,0,4,50.0,31.3,23,0.13,0.43,7,30.4,16.0,0,5,0,1,0,56,0,11.5,591,674,87.7,21,39,9,1,39,9135,2861,298,320,93.1,236,249,94.8,33,60,55.0,1,1,0,0.0,1,0,0.0,0,0,0,632,37,13,3,2,9,12,6,2,2,0,5,14,588,12,9,7,9,42,32,4,3,3,0,0,5,4,100.0,800,99,304,376,130,35,800,21,14,13,6,2,11,24,45.8,13,18,4,14,6,27,18,0,3.0,3.0,1.6,2.3,2.6,1.9,0.0,0.0,-0.6,0.13,0,1.1,0.08,0.1
Monaco,Rennes,2024-10-05,W,A,2,1,1,2,0,0,0,42,21,2,42.9,38.0,16,16,50.0,27,6,22.2,20,74.1,224,1117,461,9,9,19,1,5.3,4,0,0,16,8,4,2,1,1,0,0,0,8,100.0,59.6,5,0.4,1.0,2,40.0,12.7,0,1,0,0,0,58,0,8.7,303,411,73.7,5,21,4,0,26,5338,2060,151,179,84.4,121,155,78.1,29,62,46.8,0,0,0,,0,0,,0,0,0,365,45,9,0,4,7,22,4,1,2,0,1,8,297,9,5,24,11,9,6,2,1,0,0,0,3,2,66.7,557,70,190,280,92,13,557,24,18,8,12,4,15,25,60.0,10,12,6,6,16,40,33,0,0.6,0.6,-0.2,-0.2,0.6,0.4,1.4,1.4,1.4,0.12,0,0.5,0.15,-0.5
Brest,Rennes,2024-10-19,D,H,1,1,0,0,1,1,0,56,29,3,69.0,47.0,22,13,62.9,13,5,38.5,5,38.5,263,1376,631,7,11,8,0,0.0,2,0,0,18,12,1,0,0,0,1,0,0,6,66.7,49.2,11,0.0,0.0,1,9.1,21.1,0,2,0,0,0,45,5,29.0,385,504,76.4,9,19,5,2,25,7655,2701,152,184,82.6,176,208,84.6,57,99,57.6,0,0,0,,0,0,,0,0,0,453,49,16,1,6,15,23,2,0,2,0,2,13,383,11,1,13,6,19,13,3,0,1,1,1,4,3,75.0,593,54,200,270,126,15,592,23,13,8,10,5,11,18,61.1,7,6,0,6,7,30,11,0,1.5,0.7,0.3,-0.5,0.7,0.7,-0.5,-0.7,-0.7,0.06,0,1.7,0.42,0.7
Le Havre,Rennes,2024-10-25,L,A,0,1,-1,0,0,0,0,40,23,1,52.2,40.9,13,11,54.2,15,7,46.7,6,40.0,262,1432,721,18,11,26,1,3.8,4,1,1,7,10,0,0,0,0,0,0,0,8,50.0,32.9,5,0.0,0.0,1,20.0,15.9,0,2,0,0,0,49,3,23.0,309,395,78.2,4,15,4,2,23,5337,1840,147,170,86.5,134,152,88.2,26,54,48.1,0,0,0,,0,0,,0,0,0,352,41,10,2,5,10,21,0,0,0,0,2,11,307,11,4,19,8,8,4,1,1,0,1,1,4,3,75.0,533,87,263,185,91,10,533,19,11,15,3,1,15,22,68.2,7,13,8,5,13,32,44,1,0.4,0.4,-1.1,-1.1,0.4,0.5,-0.4,-0.4,-0.4,0.09,0,2.0,0.51,1.0
Auxerre,Rennes,2024-11-03,W,H,4,0,4,3,1,1,0,39,32,10,62.5,45.8,19,22,46.3,23,12,52.2,10,43.5,291,1511,678,11,8,20,1,5.0,0,0,0,11,13,6,5,0,0,0,1,0,7,57.1,53.6,15,0.2,0.43,7,46.7,17.6,0,3,1,0,0,42,0,3.0,282,364,77.5,10,21,8,2,35,5857,2552,113,130,86.9,117,135,86.7,49,85,57.6,0,0,0,,0,0,,0,0,0,322,39,15,2,7,13,13,3,2,0,0,3,1,280,8,7,11,9,26,18,2,4,1,1,0,4,4,100.0,479,63,205,184,97,24,478,22,13,8,8,6,10,22,45.5,12,13,2,11,10,32,21,0,2.8,2.0,1.9,1.1,1.8,0.7,1.2,1.0,0.2,0.13,0,1.2,0.3,1.2
