Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Monaco,Saint-Étienne,2024-08-17,W,H,1,0,1,1,0,0,0,61,18,5,5.6,23.1,15,11,57.7,23,7,30.4,14,60.9,414,2333,1227,18,16,9,1,11.1,1,0,0,13,13,2,2,0,0,0,0,0,6,33.3,33.0,17,0.06,0.17,6,35.3,16.1,0,2,0,0,0,57,1,12.0,440,526,83.7,15,45,11,2,47,7126,2802,218,249,87.6,177,194,91.2,27,51,52.9,0,0,0,,0,0,,0,0,0,471,53,17,8,1,12,24,5,2,1,0,2,8,436,16,9,29,8,33,27,3,2,1,0,0,4,4,100.0,658,42,143,340,180,40,658,19,15,9,6,4,9,18,50.0,9,4,2,2,6,25,11,1,2.0,2.0,1.5,1.5,1.9,1.8,-1.0,-1.0,-0.9,0.12,0,0.5,0.12,0.5
Le Havre,Saint-Étienne,2024-08-24,W,A,2,0,2,1,1,1,0,41,20,5,50.0,41.2,11,15,42.3,21,11,52.4,6,28.6,239,1370,695,15,12,10,1,10.0,3,0,0,10,12,3,1,1,0,0,1,0,8,50.0,39.8,13,0.08,0.25,4,30.8,20.4,0,3,1,0,0,38,0,9.0,262,348,75.3,8,21,7,3,37,4633,1922,120,141,85.1,107,127,84.3,26,59,44.1,0,0,0,,0,0,,0,0,0,301,44,13,1,1,19,18,4,3,1,0,3,5,260,12,5,17,1,24,11,4,2,2,3,2,5,5,100.0,463,50,147,201,121,16,462,17,13,5,9,3,9,20,45.0,11,10,5,5,10,27,21,0,2.4,1.6,1.3,0.5,1.4,1.0,-0.4,-0.6,-0.4,0.12,0,0.8,0.17,0.8
Brest,Saint-Étienne,2024-08-31,W,H,4,0,4,2,2,2,0,47,27,3,59.3,43.0,23,16,59.0,14,3,21.4,10,71.4,206,1090,552,9,5,12,2,16.7,0,0,0,12,25,5,2,0,0,2,1,0,7,100.0,66.6,20,0.1,0.33,6,30.0,15.9,1,2,1,0,0,37,0,10.0,269,372,72.3,15,20,10,3,26,5503,2466,124,155,80.0,95,126,75.4,46,82,56.1,0,0,0,,0,0,,0,0,0,305,65,29,0,2,24,21,7,2,4,0,2,8,266,5,3,14,8,39,20,8,2,4,4,1,0,0,,485,46,164,190,136,35,483,23,18,11,8,4,13,19,68.4,6,6,2,4,8,31,19,0,3.1,1.5,2.9,1.4,0.6,1.9,0.9,0.5,-0.6,0.08,1,0.0,,0.0
Lille,Saint-Étienne,2024-09-13,L,A,0,1,-1,0,0,0,0,70,29,5,13.8,24.4,13,4,76.5,17,10,58.8,7,41.2,565,3095,1561,31,26,5,2,40.0,1,0,0,10,12,0,0,0,0,0,0,0,7,0.0,27.3,17,0.0,0.0,4,23.5,15.8,0,1,0,0,0,41,1,19.0,636,745,85.4,12,47,16,4,65,10780,3249,317,345,91.9,268,303,88.4,43,65,66.2,0,0,0,,0,0,,0,0,0,694,50,15,1,4,29,19,7,1,5,0,1,15,632,26,5,14,8,29,24,2,1,2,0,0,5,4,80.0,839,40,160,416,269,33,839,20,14,10,8,2,11,17,64.7,6,8,0,8,2,22,10,1,1.2,1.2,0.0,0.0,1.0,1.6,-1.2,-1.2,-1.0,0.07,0,1.1,0.22,0.1
Nice,Saint-Étienne,2024-09-20,W,H,8,0,8,6,1,1,0,59,33,5,3.0,22.0,4,3,57.1,19,10,52.6,9,47.4,583,2713,1407,20,12,5,1,20.0,0,0,0,7,13,12,6,1,2,2,1,0,6,0.0,13.0,17,0.35,0.55,11,64.7,15.3,0,3,1,0,0,44,0,10.7,637,703,90.6,11,33,6,1,33,9603,3089,365,384,95.1,223,242,92.1,31,48,64.6,0,0,0,,0,0,,0,0,0,665,35,12,6,1,9,13,3,1,2,0,3,3,632,12,6,14,5,32,22,3,3,2,2,0,2,2,100.0,806,59,287,399,123,21,805,15,11,9,5,1,6,10,60.0,4,5,2,3,11,26,12,0,4.7,3.9,4.4,3.6,2.2,1.2,2.3,2.1,0.8,0.27,0,0.4,0.18,0.4
Nantes,Saint-Étienne,2024-09-29,D,H,2,2,0,2,0,0,0,61,18,4,11.1,25.2,14,12,53.8,22,13,59.1,9,40.9,292,1676,951,24,14,10,0,0.0,2,1,0,11,12,4,3,0,1,0,0,0,3,0.0,16.3,16,0.13,0.67,3,18.8,13.4,0,2,0,1,0,34,0,13.0,508,605,84.0,13,60,13,6,67,9119,3245,220,241,91.3,229,258,88.8,46,73,63.0,1,1,0,0.0,1,0,0.0,0,1,0,549,54,13,1,3,35,27,8,2,5,0,2,13,507,14,5,10,8,32,19,5,4,3,1,0,3,1,66.7,690,34,119,385,189,31,690,16,11,5,9,2,10,13,76.9,3,6,0,6,6,22,10,0,1.8,1.8,0.8,1.6,1.6,2.2,0.2,0.2,-0.6,0.11,0,1.1,0.13,-0.9
Auxerre,Saint-Étienne,2024-10-05,L,A,1,3,-2,1,0,0,0,58,29,7,44.8,38.1,20,15,57.1,22,11,50.0,11,50.0,428,2086,1088,13,12,10,1,10.0,1,0,0,10,13,2,2,0,0,0,0,0,5,20.0,30.8,11,0.09,1.0,1,9.1,16.5,0,4,0,0,0,52,1,15.3,424,551,77.0,7,32,7,3,42,7059,2655,200,233,85.8,182,211,86.3,30,72,41.7,0,0,0,,0,0,,0,0,0,495,52,16,0,4,27,23,4,1,2,0,4,10,420,12,2,13,15,18,13,2,0,1,0,2,5,2,40.0,663,53,192,300,177,24,663,24,16,9,11,4,10,18,55.6,8,9,3,6,10,34,13,1,0.8,0.8,-1.9,-1.9,0.6,0.6,0.2,0.2,0.4,0.07,0,1.3,0.27,-1.7
Lens,Saint-Étienne,2024-10-19,W,A,2,0,2,2,0,0,0,63,41,4,24.4,28.7,15,12,55.6,26,16,61.5,10,38.5,462,1961,725,12,13,3,0,0.0,2,0,0,16,12,2,1,0,1,0,0,0,10,10.0,19.5,13,0.15,0.4,5,38.5,20.5,1,3,0,0,0,43,1,27.7,535,628,85.2,8,36,15,1,43,9078,3565,246,272,90.4,216,238,90.8,50,79,63.3,0,0,0,,0,0,,0,0,0,567,58,12,0,2,25,28,7,5,0,0,3,6,529,13,2,18,19,23,17,1,2,2,1,0,1,1,100.0,716,62,265,283,171,31,716,5,2,3,1,1,3,9,33.3,6,14,7,7,3,8,12,0,1.2,1.2,0.4,0.4,0.4,0.8,0.8,0.8,0.6,0.09,1,0.4,0.39,0.4
Angers,Saint-Étienne,2024-10-26,W,H,4,2,2,3,1,1,0,42,19,8,42.1,34.5,14,10,58.3,13,3,23.1,10,76.9,304,1877,1131,17,15,10,0,0.0,1,0,0,10,13,7,4,0,1,1,1,0,10,40.0,37.7,12,0.25,0.43,7,58.3,15.5,1,0,1,1,0,46,2,22.0,342,436,78.4,7,18,3,1,25,5749,2278,163,187,87.2,136,158,86.1,30,61,49.2,1,1,0,0.0,1,0,0.0,0,0,0,394,42,11,0,0,15,16,2,2,0,0,0,5,340,15,3,18,4,23,13,2,1,3,3,1,7,5,85.7,555,65,232,246,84,18,554,27,18,16,7,4,12,29,41.4,17,12,7,5,6,33,26,0,2.9,2.1,1.4,1.4,1.1,0.3,1.1,0.9,-0.1,0.18,1,1.9,0.15,-0.1
Strasbourg,Saint-Étienne,2024-11-02,L,A,0,2,-2,0,0,0,0,64,33,4,9.1,22.1,6,8,42.9,19,12,63.2,6,31.6,628,2670,1518,22,15,5,0,0.0,1,0,0,4,9,0,0,0,0,0,0,0,8,25.0,29.4,9,0.0,0.0,3,33.3,14.4,0,0,0,0,0,45,0,15.0,687,760,90.4,8,43,7,1,62,11926,3687,290,305,95.1,354,378,93.7,34,55,61.8,0,0,0,,0,0,,0,1,0,723,37,12,3,2,19,11,3,0,3,0,0,9,684,15,5,13,8,18,11,2,2,0,2,1,3,1,33.3,854,45,241,482,139,16,854,16,9,8,5,3,6,9,66.7,3,7,2,5,11,27,11,0,0.5,0.5,-2.3,-2.3,0.5,0.6,-0.5,-0.5,-0.5,0.06,0,2.2,0.72,0.2
