Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Montpellier,Strasbourg,2024-08-18,D,H,1,1,0,0,1,1,0,42,29,1,75.9,51.2,7,17,29.2,14,3,21.4,10,71.4,190,1261,512,11,7,9,0,0.0,4,0,0,19,16,2,0,0,0,1,1,0,11,18.2,20.5,7,0.0,0.0,4,57.1,17.9,0,0,1,0,0,46,2,17.8,269,356,75.6,5,20,7,2,35,5365,2033,93,108,86.1,129,153,84.3,39,81,48.1,0,0,0,,0,0,,0,0,0,304,52,16,1,3,19,17,6,0,6,0,0,3,266,7,2,18,14,15,11,1,0,1,1,1,4,3,75.0,454,66,158,202,98,15,453,22,13,7,13,2,10,19,52.6,9,7,1,6,3,25,12,0,1.3,0.6,0.4,-0.3,0.5,0.7,-0.3,-0.6,-0.5,0.09,0,1.5,0.39,0.5
Rennes,Strasbourg,2024-08-25,L,A,1,3,-2,1,0,0,0,41,25,5,40.0,34.3,12,11,52.2,20,6,30.0,14,70.0,223,1304,651,12,9,7,0,0.0,4,0,0,19,9,2,2,0,0,0,0,0,3,33.3,33.7,14,0.07,0.2,5,35.7,19.6,1,1,0,0,1,47,0,2.0,308,399,77.2,8,32,10,1,48,6048,2176,96,110,87.3,160,196,81.6,42,70,60.0,0,0,0,,0,0,,0,1,1,357,41,10,0,5,16,19,5,4,1,0,1,5,303,9,3,13,7,24,15,2,1,4,1,1,5,3,40.0,509,32,117,243,153,25,509,19,11,6,11,2,8,11,72.7,3,12,3,9,11,30,10,0,1.1,1.1,0.4,0.4,0.5,0.8,-0.1,-0.1,-0.5,0.08,1,1.4,0.28,-0.6
Lyon,Strasbourg,2024-08-30,W,H,4,3,1,4,0,0,0,48,17,4,35.3,36.4,12,12,50.0,17,7,41.2,9,52.9,364,1555,737,17,8,7,2,28.6,3,0,0,11,6,6,4,0,0,2,0,0,3,33.3,33.0,20,0.2,0.33,12,60.0,14.6,0,4,0,0,0,50,0,10.0,359,452,79.4,16,37,15,2,46,5761,2410,177,201,88.1,146,176,83.0,22,44,50.0,0,0,0,,0,0,,0,1,0,412,36,8,2,2,20,12,9,7,2,0,4,11,357,8,5,16,9,34,28,1,1,4,0,0,8,5,62.5,567,50,155,233,184,33,567,20,15,8,9,3,7,16,43.8,9,17,5,12,8,28,8,2,2.9,2.9,0.2,0.2,2.3,2.8,1.1,1.1,-0.3,0.15,0,3.5,0.43,0.5
Angers,Strasbourg,2024-09-15,D,A,1,1,0,1,0,0,0,48,21,3,38.1,34.9,9,9,50.0,20,5,25.0,14,70.0,251,1138,467,7,5,11,1,9.1,1,0,0,14,11,2,2,0,0,0,0,0,4,50.0,38.3,12,0.08,0.5,2,16.7,18.8,0,1,0,0,0,55,0,8.4,376,475,79.2,9,24,7,3,32,6390,2124,175,199,87.9,160,194,82.5,30,55,54.5,0,0,0,,0,0,,0,0,0,432,42,11,1,1,23,16,9,2,6,0,1,11,373,5,3,17,7,19,15,2,0,0,1,1,5,4,80.0,587,56,213,228,150,25,587,25,18,12,7,6,16,23,69.6,7,6,1,5,9,34,18,2,0.9,0.9,-1.3,-1.3,0.8,0.9,0.1,0.1,0.2,0.08,0,2.5,0.5,1.5
Lille,Strasbourg,2024-09-21,D,H,3,3,0,2,1,1,0,63,11,3,36.4,34.0,8,9,47.1,15,10,66.7,5,33.3,337,1837,960,23,14,6,0,0.0,2,0,0,16,12,5,3,0,0,1,1,0,2,0.0,15.5,14,0.14,0.33,6,42.9,18.1,0,4,1,0,0,42,0,,522,614,85.0,9,48,12,1,61,9653,3066,212,229,92.6,239,263,90.9,62,89,69.7,0,0,0,,0,0,,0,0,0,567,43,13,1,7,27,15,9,2,4,0,4,9,517,14,8,13,4,26,18,1,2,3,1,1,9,6,66.7,696,40,149,353,197,26,695,17,12,6,9,2,11,18,61.1,7,5,2,3,4,21,10,1,2.6,1.8,-0.6,-1.4,0.9,0.9,0.4,0.2,0.1,0.15,0,3.0,0.37,0.0
Marseille,Strasbourg,2024-09-29,L,A,0,1,-1,0,0,0,0,59,37,6,27.0,28.5,7,11,38.9,13,7,53.8,6,46.2,471,2491,1038,14,8,16,2,12.5,1,0,0,7,17,0,0,0,0,0,0,0,9,33.3,24.1,10,0.0,0.0,3,30.0,19.2,0,4,0,0,0,46,4,18.7,506,594,85.2,10,33,5,1,30,8016,3138,261,281,92.9,199,221,90.0,28,57,49.1,0,0,0,,0,0,,0,0,0,545,45,18,1,5,14,13,3,1,0,0,4,9,498,8,4,18,10,19,16,1,2,0,0,0,6,5,83.3,686,80,301,286,102,16,686,14,9,10,4,0,7,11,63.6,4,8,2,6,9,23,22,0,0.5,0.5,-0.8,-0.8,0.5,0.5,-0.5,-0.5,-0.5,0.05,0,0.4,0.07,-0.6
Lens,Strasbourg,2024-10-06,D,A,2,2,0,2,0,0,0,63,41,6,14.6,25.4,9,11,45.0,8,4,50.0,3,37.5,428,2024,1037,16,9,8,2,25.0,4,0,0,18,13,2,2,0,0,0,0,0,4,25.0,24.0,12,0.17,0.4,5,41.7,15.6,0,3,0,1,0,37,2,20.8,486,580,83.8,9,32,16,5,37,7971,2758,273,292,93.5,160,179,89.4,46,80,57.5,1,1,0,0.0,1,0,0.0,0,1,0,531,46,17,3,3,22,17,5,2,0,0,3,12,483,9,2,18,4,21,18,1,2,0,0,0,5,3,80.0,675,69,223,287,169,26,675,16,12,10,2,4,9,12,75.0,3,7,0,7,11,27,13,0,1.0,1.0,-0.3,0.5,0.9,1.5,1.0,1.0,0.1,0.08,0,2.5,0.32,0.5
Paris S-G,Strasbourg,2024-10-19,W,H,4,2,2,4,0,0,0,55,37,6,18.9,25.9,6,11,35.3,24,9,37.5,12,50.0,366,1940,811,18,8,14,1,7.1,2,0,0,10,12,7,5,0,1,1,0,0,3,100.0,48.7,18,0.22,0.4,10,55.6,11.3,0,2,0,0,0,56,2,21.6,512,590,86.8,15,32,10,4,39,8800,3003,247,269,91.8,218,238,91.6,40,66,60.6,0,0,0,,0,0,,0,1,0,555,33,12,5,3,12,10,5,2,1,0,2,4,508,8,10,14,11,32,27,1,2,2,0,0,7,5,71.4,714,87,306,310,106,24,714,28,15,12,13,3,17,33,51.5,16,18,7,11,8,36,15,1,3.5,3.5,1.6,1.6,2.4,2.3,0.5,0.5,0.6,0.2,0,2.5,0.36,0.5
Nantes,Strasbourg,2024-10-27,L,A,1,3,-2,1,0,0,0,50,39,1,30.8,34.9,10,14,41.7,7,1,14.3,6,85.7,374,1495,525,6,4,12,0,0.0,3,0,0,17,12,2,2,0,0,0,0,0,4,25.0,32.8,8,0.13,0.17,6,75.0,12.5,0,2,0,0,0,39,2,18.7,431,518,83.2,7,33,10,4,37,8117,3050,158,179,88.3,228,242,94.2,40,67,59.7,0,0,0,,0,0,,0,0,0,467,49,15,0,1,15,22,4,2,2,0,2,14,429,4,4,13,5,14,11,2,0,1,0,0,5,2,40.0,617,50,203,310,106,24,617,21,10,7,13,1,12,23,52.2,11,15,3,12,6,27,14,0,0.7,0.7,-1.0,-1.0,0.7,1.3,0.3,0.3,0.3,0.1,0,2.9,0.58,-0.1
Saint-Étienne,Strasbourg,2024-11-02,W,H,2,0,2,2,0,0,0,36,35,5,42.9,37.1,8,6,57.1,10,3,30.0,6,60.0,273,1300,634,11,6,14,1,7.1,2,0,0,9,4,3,2,0,0,1,0,0,11,45.5,36.7,13,0.15,0.67,3,23.1,16.3,0,3,0,0,0,44,0,7.0,345,421,81.9,10,22,7,2,30,6253,2507,155,168,92.3,155,175,88.6,32,62,51.6,0,0,0,,0,0,,0,0,0,384,34,4,1,1,10,16,2,0,2,0,3,7,345,6,1,16,10,22,18,1,1,2,0,0,3,3,100.0,536,82,240,220,76,16,536,14,12,8,5,1,6,18,33.3,12,10,2,8,14,28,20,1,2.8,2.8,2.3,2.3,2.4,1.3,-0.8,-0.8,-1.4,0.22,0,0.3,0.09,0.3
