Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Nantes,Toulouse,2024-08-18,D,A,0,0,0,0,0,0,0,46,25,6,56.0,43.2,10,22,31.3,15,7,46.7,8,53.3,344,1861,788,15,13,20,2,10.0,3,0,0,11,14,0,0,0,0,0,0,0,7,85.7,56.7,10,0.0,0.0,2,20.0,15.5,0,0,0,0,0,40,0,4.6,374,461,81.1,8,25,5,3,27,6963,2113,148,160,92.5,181,204,88.7,40,83,48.2,0,0,0,,0,0,,0,0,0,419,42,14,0,1,22,15,5,2,3,0,0,4,372,13,4,16,12,18,13,2,1,1,1,0,6,6,100.0,575,73,176,255,151,17,575,18,11,11,5,2,7,12,58.3,5,10,3,7,5,23,33,0,0.5,0.5,-1.2,-1.2,0.4,0.4,-0.5,-0.5,-0.4,0.05,0,1.3,0.22,1.3
Nice,Toulouse,2024-08-25,D,H,1,1,0,1,0,0,0,57,28,3,0.0,18.8,18,15,54.5,29,10,34.5,18,62.1,287,1476,636,10,10,12,3,25.0,4,0,0,12,21,2,2,0,0,0,0,0,6,50.0,38.2,11,0.09,0.33,3,27.3,13.6,1,1,0,0,0,42,0,5.3,406,502,80.9,7,20,5,1,26,7040,2550,173,198,87.4,205,231,88.7,25,56,44.6,0,0,0,,0,0,,0,0,0,444,57,21,4,1,20,24,4,0,4,0,1,12,401,10,4,23,8,21,11,5,3,0,2,0,3,2,66.7,625,54,221,299,108,21,625,19,7,5,14,0,12,21,57.1,9,17,5,12,6,25,12,2,1.3,1.3,0.3,0.3,1.1,0.9,-0.3,-0.3,-0.1,0.12,1,1.1,0.36,0.1
Marseille,Toulouse,2024-08-31,W,A,3,1,2,2,0,0,0,76,27,5,7.4,24.7,7,7,50.0,15,5,33.3,7,46.7,769,3102,1379,16,17,6,0,0.0,2,0,0,15,10,4,4,0,0,0,0,0,3,33.3,28.3,12,0.17,0.5,4,33.3,16.4,2,0,0,0,0,36,4,25.0,838,913,91.8,6,61,14,1,54,12746,3932,449,465,96.6,349,374,93.3,25,50,50.0,0,0,0,,0,0,,0,0,0,878,35,8,0,0,12,19,3,1,0,0,0,6,828,17,4,15,7,23,17,1,0,3,2,0,1,0,0.0,1003,47,251,561,194,28,1003,15,8,9,3,3,8,11,72.7,3,3,0,3,7,22,11,1,0.8,0.8,-0.1,-0.1,0.4,1.2,1.2,1.2,1.6,0.07,2,1.0,1.0,0.0
Le Havre,Toulouse,2024-09-15,L,A,0,2,-2,0,0,0,0,46,35,10,11.4,23.8,15,15,50.0,16,7,43.8,6,37.5,335,1895,862,19,9,15,1,6.7,1,0,0,11,10,0,0,0,0,0,0,0,7,0.0,13.1,5,0.0,0.0,3,60.0,29.0,0,0,0,0,0,58,1,10.2,378,478,79.1,3,26,4,1,39,6430,2538,162,180,90.0,198,238,83.2,16,46,34.8,0,0,0,,0,0,,0,0,0,438,40,9,0,0,14,16,5,0,4,0,0,10,375,9,3,28,13,9,6,0,2,0,0,1,6,4,66.7,603,75,264,249,98,9,603,20,14,10,7,3,5,16,31.3,11,13,4,9,13,33,27,1,0.2,0.2,-1.1,-1.1,0.2,0.2,-0.2,-0.2,-0.2,0.04,0,2.0,0.34,0.0
Brest,Toulouse,2024-09-22,W,H,2,0,2,2,0,0,0,43,20,1,85.0,52.1,16,20,44.4,28,11,39.3,15,53.6,152,886,371,11,5,20,0,0.0,1,0,0,15,17,4,4,0,0,0,0,0,16,93.8,63.8,8,0.25,0.4,5,62.5,18.6,0,0,0,1,0,43,0,11.0,288,399,72.2,7,21,3,1,27,5012,2136,138,167,82.6,125,148,84.5,21,73,28.8,1,0,0,,0,0,,0,0,0,343,56,17,0,0,18,18,4,3,0,0,0,7,284,5,4,11,7,15,9,2,1,0,2,1,1,1,100.0,512,71,175,236,103,11,512,12,8,4,8,0,4,8,50.0,4,7,1,6,13,25,35,0,0.5,0.5,-2.3,-1.5,0.4,0.3,1.5,1.5,1.6,0.06,0,0.1,0.06,0.1
Lyon,Toulouse,2024-09-29,W,A,2,1,1,1,0,0,0,54,37,10,21.6,30.0,6,13,31.6,17,8,47.1,8,47.1,307,1451,724,18,6,15,3,20.0,2,0,0,15,10,1,0,0,0,1,0,0,5,40.0,38.4,4,0.25,1.0,1,25.0,8.7,0,1,0,0,0,41,1,12.9,432,519,83.2,3,40,3,1,37,7401,2610,187,197,94.9,202,225,89.8,32,68,47.1,0,0,0,,0,0,,0,0,0,479,39,15,0,4,16,13,4,2,2,0,1,12,429,6,5,12,17,7,3,1,2,1,0,0,4,3,75.0,605,76,196,286,125,9,605,17,9,6,9,2,10,21,47.6,11,10,2,8,7,24,19,0,0.4,0.4,-0.5,-0.5,0.3,0.4,0.6,0.6,-0.3,0.11,0,0.9,0.23,-0.1
Lille,Toulouse,2024-10-05,W,H,2,1,1,2,0,0,0,57,33,4,36.4,34.2,18,13,58.1,22,12,54.5,9,40.9,433,1890,1159,17,13,20,2,10.0,3,0,0,13,8,4,3,0,1,0,0,0,6,16.7,26.0,10,0.2,0.67,3,30.0,16.9,1,0,0,0,0,41,0,10.6,470,555,84.7,7,31,8,2,45,8162,2518,203,225,90.2,229,256,89.5,29,53,54.7,0,0,0,,0,0,,0,0,0,519,36,9,4,1,11,15,4,3,0,0,0,8,467,13,4,13,8,20,16,1,2,0,1,0,2,1,50.0,660,66,225,324,118,16,660,22,12,14,8,0,13,19,68.4,6,7,1,6,10,32,23,0,1.6,1.6,0.5,0.5,1.5,1.3,0.4,0.4,0.5,0.16,1,1.1,0.54,0.1
Angers,Toulouse,2024-10-20,D,A,1,1,0,1,0,1,1,35,18,5,55.6,47.4,11,22,33.3,13,7,53.8,4,30.8,182,1125,631,17,14,19,4,21.1,4,0,0,9,11,2,2,0,0,0,0,0,13,84.6,59.9,7,0.14,0.33,3,42.9,22.9,0,1,1,0,0,38,2,13.5,214,314,68.2,6,14,5,3,27,3962,1663,91,112,81.3,102,135,75.6,20,60,33.3,0,0,0,,0,0,,0,0,0,268,45,10,0,1,12,18,2,0,1,0,1,7,213,14,4,19,5,14,9,0,2,1,1,1,5,4,80.0,440,74,185,185,80,14,439,22,15,14,7,1,11,26,42.3,15,11,6,5,11,33,37,1,1.4,0.6,-0.5,-1.3,0.6,0.6,-0.4,0.4,0.4,0.09,0,1.8,0.37,0.8
Montpellier,Toulouse,2024-10-27,L,H,0,3,-3,0,0,0,0,51,34,7,41.2,34.4,15,14,51.7,19,9,47.4,9,47.4,440,2444,1135,21,16,9,2,22.2,1,1,0,8,19,0,0,0,0,0,0,0,7,28.6,28.3,9,0.0,0.0,2,22.2,27.3,2,0,0,0,0,43,0,6.5,434,524,82.8,6,30,2,1,33,7440,2219,188,203,92.6,178,209,85.2,44,77,57.1,0,0,0,,0,0,,0,0,0,480,44,19,0,6,20,13,1,1,0,0,0,5,430,16,3,12,7,16,10,1,1,2,2,0,6,3,50.0,620,68,204,294,133,7,620,14,9,4,9,1,7,14,50.0,7,8,4,4,8,22,21,2,0.2,0.2,-1.7,-1.7,0.1,0.2,-0.2,-0.2,-0.1,0.02,2,2.2,0.37,-0.8
Reims,Toulouse,2024-11-03,L,A,0,1,-1,0,0,0,0,49,24,3,50.0,33.9,18,22,45.0,24,11,45.8,9,37.5,307,1711,852,22,13,16,0,0.0,3,0,0,15,15,0,0,0,0,0,0,0,10,70.0,43.5,13,0.0,0.0,2,15.4,24.1,0,3,0,0,0,42,2,17.8,317,416,76.2,8,15,6,1,33,5659,2246,154,174,88.5,120,151,79.5,35,67,52.2,0,0,0,,0,0,,0,0,0,362,51,16,4,4,18,16,7,1,5,0,3,8,312,13,6,24,6,23,14,4,2,2,1,0,5,4,80.0,559,80,221,234,114,18,559,25,19,17,5,3,13,18,72.2,5,11,3,8,11,36,33,1,1.1,1.1,0.2,0.2,0.6,0.5,-1.1,-1.1,-0.6,0.08,0,1.7,0.34,0.7
