Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Arsenal,Wolves,2024-08-17,W,H,2,0,2,0,0,2,53,0,31,5,22.6,30.1,17,13,56.7,22,9,40.9,10,45.5,340,1745,749,18,8,11,1,9.1,2,0,0,17,14,4,3,1,0,0,0,0,6,83.3,55.5,18,0.11,0.33,6,33.3,17.3,0,0,0,0,0,30,0,9.0,382,458,83.4,17,24,17,2,53,6872,2400,163,184,88.6,190,213,89.2,28,51,54.9,0,0,0,,0,0,,0,0,0,410,48,15,0,4,15,18,8,6,0,0,0,7,376,8,10,13,9,35,29,3,1,2,0,0,3,3,100.0,569,63,190,229,156,42,569,18,13,9,6,3,8,16,50.0,8,6,1,5,8,26,16,2,1.2,1.2,0.8,0.8,1.2,0.9,0.8,0.8,0.8,0.07,0,0.2,0.06,0.2
Arsenal,Aston Villa,2024-08-24,W,A,2,0,2,0,0,2,60,0,23,4,21.7,27.7,7,9,43.8,17,6,35.3,9,52.9,401,2099,1174,20,13,6,0,0.0,3,0,0,16,8,4,4,0,0,0,0,0,6,33.3,26.2,9,0.22,0.5,4,44.4,18.8,0,1,0,0,0,33,1,9.7,483,544,88.8,7,35,11,0,49,7944,2177,244,258,94.6,213,236,90.3,23,38,60.5,0,0,0,,0,0,,0,0,0,512,31,11,5,3,13,12,1,1,0,0,1,4,474,13,7,9,13,18,17,0,1,0,0,0,3,3,100.0,635,46,159,309,171,32,635,17,9,5,8,4,7,18,38.9,11,10,4,6,8,25,16,1,0.9,0.9,-0.4,-0.4,0.7,1.4,1.1,1.1,0.3,0.1,0,1.0,0.35,1.0
Arsenal,Brighton,2024-08-31,D,H,1,1,0,0,0,1,36,0,30,3,66.7,43.6,14,18,43.8,16,8,50.0,7,43.8,233,1135,562,13,6,18,5,27.8,5,1,1,12,7,2,2,0,0,0,0,0,10,100.0,60.9,11,0.09,0.14,7,63.6,12.9,0,3,0,0,0,37,0,7.4,215,296,72.6,8,12,6,2,19,4044,1556,102,120,85.0,82,98,83.7,27,60,45.0,0,0,0,,0,0,,0,0,0,257,36,8,5,2,7,13,3,3,0,0,3,5,211,6,7,7,11,20,15,0,3,2,0,0,4,3,75.0,408,57,161,163,90,28,408,17,11,8,7,2,12,22,54.5,10,16,8,8,12,29,20,1,2.1,2.1,0.4,0.4,1.8,0.5,-1.1,-1.1,-0.8,0.2,0,0.6,0.15,-0.4
Arsenal,Tottenham,2024-09-15,W,A,1,0,1,0,0,1,37,0,31,6,45.2,34.9,14,14,50.0,22,12,54.5,8,36.4,160,958,500,12,4,25,2,8.0,3,0,0,10,12,2,0,1,0,1,0,0,7,85.7,52.1,7,0.14,0.25,4,57.1,12.1,0,3,0,0,0,32,2,12.4,235,320,73.4,6,16,6,2,17,4331,1823,94,116,81.0,102,119,85.7,27,55,49.1,0,0,0,,0,0,,0,0,0,272,45,15,1,2,13,16,6,4,0,2,3,11,233,4,7,7,12,12,9,1,1,1,0,0,5,5,100.0,439,73,193,150,99,20,439,21,12,14,3,4,13,20,65.0,7,16,5,11,9,30,32,1,0.7,0.7,0.0,0.0,0.7,0.6,0.3,0.3,0.3,0.11,0,0.3,0.06,0.3
Arsenal,Manchester City,2024-09-22,D,A,2,2,0,0,0,2,23,0,28,0,67.9,47.9,11,16,40.7,11,4,36.4,4,36.4,146,801,473,11,1,18,3,16.7,6,1,1,10,6,4,2,2,0,0,0,0,12,100.0,69.4,5,0.4,0.67,3,60.0,11.3,0,1,0,0,0,25,0,6.0,154,221,69.7,4,9,1,1,11,2884,1326,70,81,86.4,60,82,73.2,17,47,36.2,0,0,0,,0,0,,0,1,0,191,29,7,0,2,7,5,2,2,0,0,1,2,154,1,2,12,6,7,4,3,0,0,0,0,11,9,81.8,332,94,187,107,40,8,332,16,10,11,4,1,9,19,47.4,10,21,13,8,4,20,41,1,0.7,0.7,-1.5,-1.5,0.6,0.5,1.3,1.3,1.4,0.13,0,2.2,0.2,0.2
Arsenal,Leicester City,2024-09-28,W,H,4,2,2,0,0,3,74,0,22,2,36.4,34.1,18,15,54.5,33,18,54.5,10,30.3,485,2565,1420,39,22,2,0,0.0,2,0,0,11,6,5,4,0,0,1,0,0,3,0.0,20.3,35,0.09,0.19,16,45.7,14.1,0,0,0,0,0,42,0,,620,723,85.8,25,45,23,3,91,10367,2747,311,342,90.9,268,297,90.2,35,62,56.5,0,0,0,,0,0,,0,0,0,674,49,7,0,3,38,19,17,17,0,0,0,12,617,22,15,15,14,58,44,3,2,6,1,2,3,1,33.3,837,24,97,315,432,70,837,19,12,2,11,6,11,15,73.3,4,6,1,5,4,23,8,0,4.4,4.4,4.1,4.1,2.3,2.5,-1.4,-1.4,-0.3,0.14,0,0.2,0.07,-1.8
Arsenal,Southampton,2024-10-05,W,H,3,1,2,0,0,3,59,0,25,3,20.0,26.2,9,14,39.1,20,14,70.0,5,25.0,389,2074,1175,29,15,4,0,0.0,0,0,0,10,9,3,3,0,0,0,0,0,1,0.0,9.0,29,0.1,0.5,6,20.7,14.6,0,1,0,0,0,46,4,23.5,505,590,85.6,22,47,15,2,54,8651,2466,227,242,93.8,244,271,90.0,32,59,54.2,0,0,0,,0,0,,0,0,0,546,43,9,1,1,32,18,13,12,0,0,1,11,504,15,17,7,10,52,40,5,2,3,1,1,2,1,50.0,677,27,111,276,295,57,677,16,12,2,7,7,7,13,53.8,6,8,4,4,9,25,10,0,2.8,2.8,2.2,2.2,2.3,1.8,0.2,0.2,-0.3,0.1,0,0.6,0.32,-0.4
Arsenal,Bournemouth,2024-10-19,L,A,0,2,-2,0,0,0,51,0,49,3,49.0,35.9,17,12,58.6,17,7,41.2,6,35.3,309,1515,723,16,9,18,3,16.7,1,1,0,11,12,0,0,0,0,0,0,0,7,85.7,54.9,6,0.0,0.0,1,16.7,15.1,0,1,0,1,0,42,2,13.4,361,470,76.8,3,25,2,1,25,6147,2354,182,207,87.9,143,172,83.1,27,59,45.8,1,1,0,0.0,1,0,0.0,0,1,0,430,39,13,1,3,15,12,4,1,3,0,1,13,357,9,7,19,10,9,5,2,1,1,0,0,4,2,75.0,587,84,265,200,125,21,587,17,10,11,4,2,11,28,39.3,17,13,5,8,6,23,29,3,0.7,0.7,-1.1,-0.3,0.4,0.4,-0.7,-0.7,-0.4,0.12,0,1.6,0.21,-0.4
Arsenal,Liverpool,2024-10-27,D,H,2,2,0,0,0,2,45,0,29,2,55.2,40.4,18,11,62.1,13,6,46.2,6,46.2,230,1434,684,19,13,21,1,4.8,2,0,0,14,14,4,1,1,1,0,1,0,6,33.3,28.3,9,0.22,0.67,3,33.3,14.1,0,2,0,0,0,34,0,6.5,320,415,77.1,8,24,8,1,39,5610,2004,163,188,86.7,128,159,80.5,28,54,51.9,0,0,0,,0,0,,0,1,0,374,39,14,0,2,13,15,1,1,0,0,2,6,320,13,9,17,10,17,10,2,2,1,2,0,4,2,50.0,514,65,149,207,162,29,514,17,11,6,7,4,4,13,30.8,9,10,2,8,7,24,28,1,0.9,0.9,0.1,0.1,0.9,1.2,1.1,1.1,1.1,0.1,0,1.8,0.45,-0.2
Arsenal,Newcastle Utd,2024-11-02,L,A,0,1,-1,0,0,0,63,0,31,8,32.3,31.0,14,18,43.8,17,3,17.6,10,58.8,372,2036,1022,15,17,11,2,18.2,4,0,0,18,16,0,0,0,0,0,0,0,1,0.0,17.0,10,0.0,,0,0.0,14.9,0,0,0,0,0,43,3,18.7,463,554,83.6,9,38,13,3,55,7662,2338,220,242,90.9,198,222,89.2,33,64,51.6,0,0,0,,0,0,,0,0,0,512,42,16,2,3,27,17,6,6,0,0,0,9,460,17,5,13,13,19,13,3,1,1,1,0,4,3,75.0,659,45,159,293,213,29,659,17,10,5,8,4,3,9,33.3,6,16,3,13,6,23,18,0,1.1,1.1,0.5,0.5,1.1,1.7,-1.1,-1.1,-1.1,0.11,0,1.3,0.32,0.3
