Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Aston Villa,West Ham,2024-08-17,W,A,2,1,1,0,0,2,48,0,31,4,48.4,40.5,12,14,46.2,15,8,53.3,7,46.7,310,1892,1152,23,12,19,1,5.3,2,0,0,11,18,3,2,1,0,0,0,0,6,33.3,33.3,15,0.13,0.67,3,20.0,15.2,0,1,0,1,0,38,1,14.7,348,433,80.4,12,28,6,0,25,6106,2145,154,170,90.6,160,185,86.5,27,57,47.4,1,1,0,0.0,1,0,0.0,0,0,0,383,49,19,4,1,15,19,3,3,0,0,1,11,344,12,4,15,7,23,16,2,2,3,0,0,3,2,100.0,561,67,192,237,139,21,561,24,15,8,13,3,6,10,60.0,4,13,4,9,7,31,22,0,2.0,2.0,-0.3,0.5,1.7,0.9,0.0,0.0,0.3,0.14,0,1.3,0.23,0.3
Aston Villa,Arsenal,2024-08-24,L,H,0,2,-2,0,0,0,40,0,31,5,25.8,29.6,9,7,56.3,21,11,52.4,7,33.3,237,1283,778,16,6,8,1,12.5,1,0,0,8,16,0,0,0,0,0,0,0,9,22.2,25.0,11,0.0,0.0,3,27.3,16.0,0,3,0,0,0,33,0,10.3,287,358,80.2,9,20,5,1,17,4799,1818,140,155,90.3,113,126,89.7,24,50,48.0,0,0,0,,0,0,,0,0,0,311,44,17,2,2,10,11,4,3,1,0,3,8,278,6,4,10,10,19,13,1,1,3,0,1,4,2,50.0,457,84,193,172,101,16,457,22,10,11,5,6,9,15,60.0,6,4,1,3,4,26,17,1,1.2,1.2,0.4,0.4,0.7,0.5,-1.2,-1.2,-0.7,0.12,0,0.9,0.22,-1.1
Aston Villa,Leicester City,2024-08-31,W,A,2,1,1,0,0,2,43,0,28,2,35.7,35.4,10,9,52.6,22,13,59.1,7,31.8,251,1675,750,17,13,13,2,15.4,5,0,0,21,13,3,2,0,0,1,0,0,10,70.0,46.6,10,0.2,0.4,5,50.0,17.9,0,1,0,0,0,38,2,12.9,333,411,81.0,7,18,9,3,19,5783,2163,166,182,91.2,126,148,85.1,32,54,59.3,0,0,0,,0,0,,0,0,0,363,47,16,3,4,10,15,4,4,0,0,1,8,333,13,3,19,15,17,13,1,1,1,0,1,3,2,66.7,520,64,203,230,94,20,520,17,10,5,11,1,7,13,53.8,6,7,1,6,7,24,26,1,1.4,1.4,0.9,0.9,1.5,1.3,0.6,0.6,0.5,0.16,0,0.4,0.13,-0.6
Aston Villa,Everton,2024-09-14,W,H,3,2,1,0,0,3,72,0,20,4,25.0,30.9,8,11,42.1,18,6,33.3,8,44.4,535,2375,1260,15,18,10,2,20.0,1,0,0,10,12,6,6,0,0,0,0,0,1,0.0,17.0,17,0.18,0.43,7,41.2,14.0,0,1,0,0,0,37,2,17.2,628,709,88.6,12,72,13,2,52,10146,2986,309,329,93.9,271,291,93.1,33,60,55.0,0,0,0,,0,0,,0,0,0,666,42,14,5,1,21,18,6,4,1,1,1,7,616,18,4,13,16,33,24,4,1,2,1,1,2,0,0.0,804,32,134,420,256,29,804,20,15,5,12,3,12,19,63.2,7,9,1,8,4,24,9,2,2.1,2.1,1.2,1.2,1.7,2.0,0.9,0.9,0.3,0.12,0,1.1,0.57,-0.9
Aston Villa,Wolves,2024-09-21,W,H,3,1,2,0,0,3,53,0,29,4,13.8,25.1,7,10,41.2,24,9,37.5,11,45.8,374,1842,1000,23,17,10,0,0.0,3,0,0,11,15,5,5,0,0,0,0,0,1,0.0,19.0,9,0.33,1.0,3,33.3,13.7,1,1,0,0,0,36,2,16.3,412,480,85.8,7,39,12,2,54,6613,2226,205,222,92.3,179,198,90.4,21,37,56.8,0,0,0,,0,0,,0,0,0,439,40,20,2,2,17,11,6,5,0,0,1,11,406,17,8,14,12,15,12,2,0,0,1,0,4,3,75.0,584,40,123,277,186,28,584,15,10,7,6,2,8,15,53.3,7,11,5,6,5,20,15,1,1.7,1.7,1.2,1.2,1.6,1.7,1.3,1.3,1.4,0.19,1,1.1,0.28,0.1
Aston Villa,Ipswich Town,2024-09-29,D,A,2,2,0,0,0,2,56,0,28,2,21.4,32.0,7,8,46.7,13,5,38.5,5,38.5,478,2016,943,18,13,14,2,14.3,1,0,0,14,10,4,4,0,0,0,0,0,10,50.0,44.6,7,0.29,0.67,3,42.9,19.0,1,1,0,0,0,33,0,7.0,493,561,87.9,6,58,4,1,33,8284,2553,230,248,92.7,214,226,94.7,36,62,58.1,0,0,0,,0,0,,0,0,0,524,36,11,4,0,4,12,0,0,0,0,1,7,486,13,5,14,13,14,13,0,0,0,1,0,5,3,60.0,652,57,202,281,176,17,652,15,9,7,6,2,5,15,33.3,10,10,3,7,5,20,18,0,0.8,0.8,-0.4,-0.4,0.7,1.0,1.2,1.2,1.3,0.12,1,2.4,0.48,0.4
Aston Villa,Manchester Utd,2024-10-06,D,H,0,0,0,0,0,0,53,0,30,3,23.3,28.7,8,14,36.4,18,7,38.9,9,50.0,363,1863,982,21,14,9,1,11.1,1,0,0,12,11,0,0,0,0,0,0,0,5,20.0,20.4,11,0.0,0.0,1,9.1,20.3,1,0,0,0,0,39,1,17.5,359,454,79.1,8,30,8,1,38,6144,2102,156,178,87.6,172,201,85.6,23,51,45.1,0,0,0,,0,0,,0,0,0,416,38,11,1,3,20,15,6,3,0,0,0,10,349,14,5,12,12,22,18,2,0,0,2,0,4,4,100.0,541,58,185,223,139,24,541,12,10,6,6,0,8,12,66.7,4,4,2,2,6,18,14,0,0.5,0.5,-0.1,-0.1,0.4,0.6,-0.5,-0.5,-0.4,0.05,1,1.0,0.24,1.0
Aston Villa,Fulham,2024-10-19,W,A,3,1,2,0,0,2,48,0,26,2,26.9,30.6,5,14,26.3,17,8,47.1,6,35.3,281,1683,954,20,12,21,2,9.5,5,1,1,11,8,4,2,1,0,1,0,0,7,0.0,10.9,14,0.14,0.4,5,35.7,15.1,1,2,0,1,0,33,1,14.0,374,444,84.2,11,31,11,0,41,6197,2243,186,204,91.2,151,168,89.9,29,54,53.7,1,0,1,100.0,0,1,100.0,0,0,0,399,43,10,5,1,19,13,11,11,0,0,2,5,367,12,4,15,12,27,16,3,3,3,2,0,4,2,75.0,549,58,166,249,138,23,549,11,5,7,4,0,3,6,50.0,3,9,1,8,14,25,23,0,1.6,1.6,-0.1,0.7,1.4,0.9,0.4,0.4,0.6,0.12,1,1.4,0.17,0.4
Aston Villa,Bournemouth,2024-10-26,D,H,1,1,0,0,0,1,57,0,43,2,25.6,31.8,13,15,46.4,13,6,46.2,5,38.5,362,1657,808,18,9,17,5,29.4,7,0,0,12,13,2,2,0,0,0,0,0,9,55.6,41.9,18,0.06,0.13,8,44.4,15.1,0,0,0,0,0,37,2,11.9,383,475,80.6,13,29,11,2,37,6914,2859,163,186,87.6,181,206,87.9,32,65,49.2,0,0,0,,0,0,,0,0,0,422,53,19,2,1,21,14,9,7,0,0,0,9,370,9,6,6,12,33,22,5,1,3,1,1,3,2,66.7,562,68,206,205,153,33,562,11,5,3,4,4,6,11,54.5,5,7,3,4,11,22,17,0,1.8,1.8,1.5,1.5,1.3,1.7,-0.8,-0.8,-0.3,0.1,0,1.1,0.35,0.1
Aston Villa,Tottenham,2024-11-03,L,A,1,4,-3,0,0,1,49,0,30,6,26.7,34.9,11,12,47.8,25,14,56.0,10,40.0,300,1799,891,13,11,18,3,16.7,0,0,0,14,14,1,0,0,0,1,0,0,12,41.7,35.0,12,0.08,1.0,1,8.3,16.2,0,0,0,0,0,36,0,5.5,342,420,81.4,11,18,7,3,24,6241,2425,142,163,87.1,159,178,89.3,34,57,59.6,0,0,0,,0,0,,1,0,0,369,51,14,2,1,12,16,4,3,1,0,0,12,338,11,3,11,7,20,14,1,1,2,2,0,6,2,33.3,525,88,248,196,87,15,525,19,11,15,4,0,12,17,70.6,5,9,2,7,11,30,26,3,1.8,1.8,-0.7,-0.7,1.1,0.5,-0.8,-0.8,-1.1,0.15,0,2.8,0.47,-1.2
