Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bournemouth,Nott'ham Forest,2024-08-17,D,A,1,1,0,0,0,1,47,0,27,6,29.6,31.8,15,25,37.5,20,5,25.0,10,50.0,327,1992,1085,18,12,11,0,0.0,3,0,0,8,17,2,2,0,0,0,0,0,6,0.0,13.0,13,0.08,0.25,4,30.8,19.6,1,4,0,0,0,57,3,14.6,363,485,74.8,7,33,6,0,49,6628,2447,153,177,86.4,166,197,84.3,39,85,45.9,0,0,0,,0,0,,0,0,0,433,48,16,0,3,25,18,6,4,0,0,4,11,359,12,5,8,14,24,19,2,0,1,1,1,8,7,87.5,628,71,201,274,160,22,628,18,7,8,7,3,10,19,52.6,9,13,3,10,14,32,29,1,1.2,1.2,-0.1,-0.1,0.5,0.5,-0.2,-0.2,-0.5,0.09,1,1.7,0.23,0.7
Bournemouth,Newcastle Utd,2024-08-25,D,H,1,1,0,0,0,1,39,0,19,1,63.2,43.9,13,10,56.5,14,2,14.3,12,85.7,211,1085,559,16,9,19,2,10.5,2,0,0,20,8,1,1,0,0,0,0,0,9,77.8,56.1,16,0.06,0.25,4,25.0,16.5,1,0,0,0,0,60,0,4.5,263,359,73.3,14,28,6,1,31,5183,2158,115,130,88.5,110,130,84.6,36,84,42.9,0,0,0,,0,0,,0,0,0,315,44,7,0,0,19,18,8,6,1,0,0,8,259,9,8,13,9,29,23,2,0,1,2,1,5,4,80.0,515,68,149,215,157,26,515,21,16,11,5,5,7,13,53.8,6,24,5,19,6,27,35,0,2.2,2.2,0.6,0.6,2.2,1.8,-1.2,-1.2,-1.2,0.14,1,2.6,0.53,1.6
Bournemouth,Everton,2024-08-31,W,A,3,2,1,0,0,3,53,0,18,4,11.1,24.2,17,22,43.6,18,5,27.8,11,61.1,317,1945,1142,22,12,18,0,0.0,1,0,0,11,6,6,6,0,0,0,0,0,14,28.6,30.9,17,0.18,0.43,7,41.2,14.9,0,2,0,0,0,51,0,11.0,327,441,74.1,14,23,11,8,36,5895,2374,141,170,82.9,150,181,82.9,31,68,45.6,0,0,0,,0,0,,0,0,0,391,48,8,0,2,24,19,4,3,1,0,2,9,324,12,5,17,6,33,25,3,2,2,1,0,8,6,75.0,569,69,217,217,142,28,569,26,10,13,8,5,9,19,47.4,10,10,2,8,7,33,24,0,2.4,2.4,0.6,0.6,2.2,1.8,0.6,0.6,0.8,0.15,0,1.5,0.2,-0.5
Bournemouth,Chelsea,2024-09-14,L,H,0,1,-1,0,1,0,34,1,16,3,62.5,40.3,15,11,57.7,18,9,50.0,6,33.3,213,1297,588,12,8,6,0,0.0,6,0,0,16,9,0,0,0,0,0,0,0,2,100.0,68.0,18,0.0,0.0,6,33.3,22.4,0,4,1,0,0,59,2,16.0,214,317,67.5,13,26,10,3,36,4100,2046,88,113,77.9,96,121,79.3,26,61,42.6,0,0,0,,0,0,,0,0,0,275,38,11,1,0,17,17,6,6,0,0,4,4,212,8,6,14,6,32,23,1,2,2,2,2,3,2,66.7,423,36,122,168,141,26,422,14,8,6,7,1,6,18,33.3,12,10,4,6,10,24,17,1,1.7,0.9,1.0,0.2,0.8,0.6,-1.7,-0.9,-0.8,0.05,0,1.2,0.39,0.2
Bournemouth,Liverpool,2024-09-21,L,A,0,3,-3,0,0,0,42,0,32,7,18.8,30.7,6,9,40.0,23,11,47.8,12,52.2,254,1439,840,15,11,6,1,16.7,4,0,0,12,9,0,0,0,0,0,0,0,2,100.0,54.0,19,0.0,0.0,6,31.6,18.7,1,3,0,0,0,48,2,10.5,360,442,81.4,14,28,10,1,42,6752,2440,150,169,88.8,172,196,87.8,38,66,57.6,0,0,0,,0,0,,0,0,0,396,43,9,3,1,24,19,9,8,0,0,3,9,357,11,6,12,8,33,25,2,2,2,2,0,12,9,75.0,556,75,186,226,149,27,556,20,11,8,7,5,5,21,23.8,16,12,4,8,7,27,16,1,1.1,1.1,-0.9,-0.9,0.9,0.7,-1.1,-1.1,-0.9,0.06,1,3.8,0.32,0.8
Bournemouth,Southampton,2024-09-30,W,H,3,1,2,0,0,3,40,0,20,3,35.0,36.0,9,16,36.0,17,8,47.1,5,29.4,306,1424,669,16,13,11,1,9.1,2,0,0,19,11,5,1,1,1,1,1,0,4,25.0,22.0,14,0.21,0.5,6,42.9,18.8,0,1,0,0,0,57,1,12.3,321,420,76.4,11,31,6,1,36,6009,2080,124,152,81.6,159,179,88.8,34,70,48.6,0,0,0,,0,0,,0,0,0,376,43,12,2,2,19,19,6,4,1,0,1,7,314,13,5,11,15,25,20,1,1,1,1,1,3,2,66.7,534,41,159,227,158,25,534,20,8,6,11,3,8,15,53.3,7,15,3,12,11,31,18,0,1.3,1.3,0.7,0.7,1.3,0.7,1.7,1.7,1.7,0.1,0,1.3,0.43,0.3
Bournemouth,Leicester City,2024-10-05,L,A,0,1,-1,0,0,0,55,0,26,3,26.9,29.5,16,21,43.2,17,9,52.9,4,23.5,365,2272,1222,20,15,4,1,25.0,1,0,0,14,11,0,0,0,0,0,0,0,8,25.0,27.3,19,0.0,0.0,2,10.5,14.3,0,1,0,0,0,49,3,20.0,385,494,77.9,17,38,9,3,61,6838,2666,167,188,88.8,180,218,82.6,32,63,50.8,0,0,0,,0,0,,0,0,0,444,49,13,1,2,30,17,9,9,0,0,1,15,382,15,4,17,10,35,26,4,0,4,1,0,2,1,50.0,607,48,156,255,204,33,607,22,14,9,6,7,11,17,64.7,6,9,0,9,6,28,20,0,2.1,2.1,1.3,1.3,1.9,1.6,-2.1,-2.1,-1.9,0.11,0,0.8,0.4,-0.2
Bournemouth,Arsenal,2024-10-19,W,H,2,0,2,1,0,1,49,1,31,4,48.4,41.5,12,17,41.4,31,17,54.8,11,35.5,324,1965,1066,28,17,13,2,15.4,1,0,0,12,11,3,1,1,0,0,1,0,6,66.7,45.0,12,0.08,0.33,3,25.0,18.9,0,1,1,0,0,41,0,11.8,346,453,76.4,10,30,6,1,37,6346,2212,145,171,84.8,171,201,85.1,29,69,42.0,0,0,0,,0,0,,0,0,0,409,43,11,2,2,25,18,7,5,0,0,1,11,343,17,7,14,6,25,17,2,2,2,1,1,1,1,100.0,564,51,166,225,181,27,563,16,11,6,7,3,6,13,46.2,7,13,1,12,6,22,21,1,1.8,1.0,1.1,0.3,0.7,0.5,0.2,0.0,0.3,0.09,0,0.3,0.32,0.3
Bournemouth,Aston Villa,2024-10-26,D,A,1,1,0,0,0,1,43,0,13,8,30.8,32.2,15,13,53.6,13,5,38.5,6,46.2,280,1649,891,18,14,15,0,0.0,6,0,0,14,12,2,0,1,0,0,1,0,10,90.0,61.9,10,0.1,0.33,3,30.0,21.6,0,5,0,0,0,41,2,14.2,288,365,78.9,8,25,7,2,34,5430,2337,141,154,91.6,107,129,82.9,37,68,54.4,0,0,0,,0,0,,0,0,0,322,38,12,0,3,20,7,7,5,1,0,5,6,287,14,5,19,5,20,18,1,0,0,1,0,8,7,87.5,484,59,153,217,121,17,484,17,10,4,12,1,5,11,45.5,6,13,5,8,11,28,20,0,0.3,0.3,-1.5,-1.5,0.3,0.4,0.7,0.7,0.7,0.03,0,3.2,0.4,2.2
Bournemouth,Manchester City,2024-11-02,W,H,2,1,1,0,0,2,36,0,20,4,60.0,40.6,13,14,48.1,20,11,55.0,5,25.0,273,1555,754,19,12,19,0,0.0,2,0,0,11,5,4,3,0,1,0,0,0,11,72.7,54.0,12,0.17,0.33,6,50.0,16.0,0,2,0,0,0,36,0,5.0,297,362,82.0,10,33,7,3,26,5904,2390,126,139,90.6,119,132,90.2,45,73,61.6,0,0,0,,0,0,,0,1,0,328,32,6,4,1,12,10,3,3,0,0,2,8,295,12,8,13,9,20,16,0,2,2,0,0,4,3,75.0,480,82,172,197,119,22,480,16,12,9,7,0,6,12,50.0,6,8,4,4,12,28,39,0,2.0,2.0,0.5,0.5,1.2,1.0,0.0,0.0,0.8,0.18,0,1.9,0.48,0.9
