Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Brentford,Crystal Palace,2024-08-18,W,H,2,1,1,0,0,2,46,0,47,5,29.8,34.3,19,14,57.6,16,5,31.3,8,50.0,318,1617,814,16,12,11,1,9.1,1,0,0,6,15,3,2,0,0,1,0,0,8,50.0,44.0,9,0.22,0.4,5,55.6,12.5,0,1,0,0,1,47,2,14.9,331,440,75.2,7,22,4,3,31,6367,2592,136,164,82.9,142,179,79.3,47,75,62.7,0,0,0,,0,0,,0,0,1,394,45,17,2,3,17,14,4,3,0,0,1,9,325,12,3,9,14,15,11,1,2,1,0,0,6,6,83.3,542,87,222,214,114,12,542,19,10,5,10,4,14,17,82.4,3,13,4,9,11,30,20,0,1.6,1.6,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.2,0,1.0,0.17,1.0
Brentford,Liverpool,2024-08-25,L,A,0,2,-2,0,0,0,38,0,50,3,30.0,34.9,8,6,57.1,22,6,27.3,13,59.1,282,1646,866,11,9,14,0,0.0,3,0,0,7,10,0,0,0,0,0,0,0,4,75.0,61.0,8,0.0,0.0,2,25.0,18.1,0,2,0,0,0,42,2,17.5,322,399,80.7,5,18,5,1,26,6275,2100,106,125,84.8,163,177,92.1,43,68,63.2,0,0,0,,0,0,,0,0,0,355,42,11,0,5,10,20,4,2,0,0,2,13,316,9,2,15,4,15,7,3,1,1,3,0,8,6,75.0,493,92,211,183,104,8,493,10,6,8,2,0,5,13,38.5,8,11,7,4,5,15,15,0,0.5,0.5,-2.0,-2.0,0.5,0.4,-0.5,-0.5,-0.5,0.07,0,2.8,0.35,0.8
Brentford,Southampton,2024-08-31,W,H,3,1,2,0,0,3,37,0,33,4,30.3,32.6,9,3,75.0,11,6,54.5,5,45.5,291,1435,739,20,5,14,0,0.0,2,0,0,10,7,5,3,1,0,1,0,0,4,50.0,31.0,20,0.15,0.43,7,35.0,14.5,0,1,0,0,0,40,1,17.0,331,398,83.2,16,27,9,2,38,5898,2424,156,175,89.1,135,154,87.7,33,51,64.7,0,0,0,,0,0,,0,0,0,358,39,9,2,3,13,22,2,1,0,0,1,3,328,5,9,12,10,37,29,2,2,2,1,1,6,5,83.3,521,79,214,152,160,41,521,17,13,9,2,6,5,12,41.7,7,16,5,11,11,28,24,0,2.8,2.8,1.3,1.3,1.5,1.4,0.2,0.2,-0.5,0.14,0,0.7,0.12,-0.3
Brentford,Manchester City,2024-09-14,L,A,1,2,-1,0,0,1,46,0,61,2,29.5,32.3,11,6,64.7,11,3,27.3,6,54.5,337,1544,654,12,8,9,2,22.2,1,0,0,3,8,2,2,0,0,0,0,0,6,0.0,13.5,8,0.13,0.2,5,62.5,12.9,0,1,0,0,0,32,3,19.4,414,492,84.1,6,19,11,3,22,7716,2800,170,192,88.5,200,216,92.6,42,72,58.3,0,0,0,,0,0,,0,0,0,460,31,10,4,3,12,9,3,3,0,0,1,9,411,8,2,15,6,15,12,3,0,0,0,0,7,5,71.4,605,127,318,191,100,19,605,20,15,13,5,2,8,11,72.7,3,13,4,9,9,29,24,1,1.0,1.0,-1.1,-1.1,0.6,0.8,0.0,0.0,-0.6,0.12,0,2.0,0.3,0.0
Brentford,Tottenham,2024-09-21,L,A,1,3,-2,0,0,1,52,0,59,4,47.5,40.2,7,13,35.0,17,8,47.1,8,47.1,322,1539,663,10,9,16,1,6.3,1,0,0,9,11,2,2,0,0,0,0,0,10,20.0,25.6,6,0.17,0.17,6,100.0,14.4,0,2,0,0,0,54,1,11.0,411,523,78.6,6,20,5,1,26,7426,2653,187,209,89.5,157,187,84.0,53,99,53.5,0,0,0,,0,0,,0,0,0,475,46,12,1,6,12,16,4,3,0,0,2,7,407,9,1,10,10,9,8,0,1,0,0,0,9,6,66.7,654,137,355,186,116,17,654,27,16,17,8,2,11,22,50.0,11,27,10,17,11,38,27,3,0.8,0.8,-2.7,-2.7,0.8,0.8,0.2,0.2,0.2,0.13,0,1.9,0.22,-1.1
Brentford,West Ham,2024-09-28,D,H,1,1,0,0,0,1,57,0,38,3,34.2,39.3,16,17,48.5,16,4,25.0,9,56.3,402,2181,1062,18,10,14,1,7.1,2,0,0,2,8,2,2,0,0,0,0,0,13,15.4,20.6,8,0.13,0.33,3,37.5,20.7,1,1,0,0,0,39,1,13.7,448,578,77.5,4,43,9,3,37,7843,2607,211,244,86.5,189,227,83.3,44,86,51.2,0,0,0,,0,0,,0,0,0,525,52,12,0,2,28,18,7,3,1,0,1,11,440,10,3,17,8,15,13,0,0,0,2,0,3,2,66.7,700,89,233,279,192,22,700,25,15,10,5,10,8,18,44.4,10,12,5,7,10,35,19,0,0.4,0.4,-0.6,-0.6,0.2,0.8,0.6,0.6,0.8,0.05,1,1.3,0.43,0.3
Brentford,Wolves,2024-10-05,W,H,5,3,2,1,0,4,44,1,35,2,40.0,38.4,22,20,52.4,16,5,31.3,8,50.0,247,1420,655,17,10,16,1,6.3,2,0,0,9,9,9,7,1,0,0,1,0,10,50.0,42.3,18,0.22,0.36,11,61.1,13.0,1,5,1,0,0,47,0,5.8,308,410,75.1,14,26,9,4,35,6102,2632,135,160,84.4,135,169,79.9,37,67,55.2,0,0,0,,0,0,,0,0,0,363,42,7,2,0,27,11,10,10,0,0,5,5,306,10,9,15,9,33,19,7,1,4,2,0,6,3,50.0,538,83,223,166,153,42,537,16,8,6,7,3,9,11,81.8,2,13,4,9,6,22,31,0,4.2,3.4,3.1,2.3,2.4,1.9,0.8,0.6,0.6,0.19,1,1.4,0.24,-1.6
Brentford,Manchester Utd,2024-10-19,L,A,1,2,-1,0,0,1,50,0,35,6,28.6,32.5,18,22,45.0,24,12,50.0,12,50.0,442,2427,1218,17,15,16,0,0.0,2,0,0,5,4,2,1,1,0,0,0,0,8,12.5,19.8,8,0.13,0.5,2,25.0,17.9,1,3,0,0,0,52,5,15.9,435,522,83.3,6,35,4,2,32,7301,2487,218,239,91.2,172,202,85.1,34,59,57.6,0,0,0,,0,0,,0,0,0,486,33,4,2,4,13,16,2,2,0,0,3,5,426,15,2,19,13,15,11,1,2,0,1,0,11,9,81.8,652,94,235,297,128,15,652,15,11,6,7,2,7,12,58.3,5,14,6,8,10,25,30,0,0.9,0.9,-0.5,-0.5,0.7,0.7,0.1,0.1,0.3,0.11,1,2.0,0.18,0.0
Brentford,Ipswich Town,2024-10-26,W,H,4,3,1,1,0,3,65,1,45,4,17.8,30.0,25,14,64.1,16,5,31.3,9,56.3,427,2333,1190,18,10,14,1,7.1,0,0,0,7,10,8,6,1,0,0,1,0,8,25.0,26.9,19,0.16,0.38,8,42.1,16.0,1,2,1,0,0,38,1,14.3,499,612,81.5,17,35,10,4,64,9470,3164,186,213,87.3,272,310,87.7,41,71,57.7,0,0,0,,0,0,,0,0,0,560,50,9,1,1,26,25,4,4,0,0,2,8,492,10,6,11,4,38,32,4,0,0,2,0,5,2,40.0,718,86,262,314,147,30,717,8,6,3,3,2,3,6,50.0,3,7,0,7,4,12,33,2,4.0,3.3,2.8,2.0,3.2,1.9,0.0,-0.3,-0.2,0.17,1,2.0,0.41,-1.0
Brentford,Fulham,2024-11-04,L,A,1,2,-1,0,0,1,32,0,40,3,55.0,48.1,23,16,59.0,13,7,53.8,6,46.2,212,1225,579,8,4,33,2,6.1,1,0,0,10,3,2,2,0,0,0,0,0,11,27.3,28.1,5,0.2,0.5,2,40.0,18.0,0,0,0,0,0,40,0,6.5,237,338,70.1,4,28,1,0,36,4438,1902,116,140,82.9,97,119,81.5,21,67,31.3,0,0,0,,0,0,,0,0,0,308,30,5,1,0,6,8,3,3,0,0,0,6,235,4,3,17,9,9,7,0,1,1,0,0,12,10,83.3,472,114,220,177,80,9,472,16,12,7,8,1,5,17,29.4,12,17,10,7,12,28,39,0,0.6,0.6,-0.7,-0.7,0.5,0.2,0.4,0.4,0.5,0.13,0,2.3,0.2,0.3
