Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Brighton,Everton,2024-08-17,W,A,3,0,3,0,0,3,60,0,50,1,10.0,25.9,13,18,41.9,18,6,33.3,12,66.7,456,2515,1309,18,14,13,0,0.0,1,0,0,8,8,5,4,0,1,0,0,0,12,8.3,12.3,10,0.3,0.6,5,50.0,13.8,0,1,0,0,0,43,1,14.5,510,605,84.3,10,20,7,1,38,8272,3083,259,285,90.9,205,231,88.7,35,63,55.6,0,0,0,,0,0,,0,0,0,557,47,15,1,4,14,14,5,2,2,0,1,10,504,14,11,15,11,19,13,2,3,0,1,0,1,1,100.0,711,102,311,281,125,26,711,21,13,6,10,5,11,16,68.8,5,11,4,7,8,29,18,1,1.4,1.4,1.0,1.0,1.4,1.0,1.6,1.6,1.6,0.14,0,0.0,0.05,0.0
Brighton,Manchester Utd,2024-08-24,W,H,2,1,1,0,0,2,48,0,45,6,22.2,30.6,8,6,57.1,24,10,41.7,14,58.3,369,2176,1256,24,12,9,2,22.2,1,0,0,9,13,4,4,0,0,0,0,0,5,0.0,6.4,14,0.14,0.5,4,28.6,14.2,1,0,0,0,0,42,2,16.7,435,514,84.6,12,34,10,2,46,7745,2737,195,219,89.0,188,210,89.5,40,60,66.7,0,0,0,,0,0,,0,0,0,466,48,18,2,5,12,19,4,2,2,0,0,8,433,12,8,12,5,27,20,1,2,1,3,0,3,2,66.7,616,81,229,246,146,33,616,17,12,9,7,1,9,19,47.4,10,13,2,11,7,24,11,0,2.1,2.1,0.7,0.7,2.0,2.3,-0.1,-0.1,0.0,0.15,1,0.4,0.14,-0.6
Brighton,Arsenal,2024-08-31,D,A,1,1,0,0,0,1,64,0,29,6,31.0,32.1,18,14,56.3,24,10,41.7,12,50.0,358,2050,1198,28,20,6,0,0.0,2,0,0,7,12,1,0,0,0,1,0,0,5,20.0,23.6,22,0.05,0.25,4,18.2,19.3,0,1,0,0,0,38,2,25.0,429,518,82.8,13,38,5,3,50,7481,2504,188,207,90.8,181,215,84.2,47,66,71.2,0,0,0,,0,0,,0,0,0,474,43,15,1,1,26,14,7,2,3,0,1,9,425,20,11,12,5,38,24,4,2,6,2,0,7,6,85.7,620,55,158,267,205,31,620,18,7,7,10,1,7,15,46.7,8,6,2,4,5,23,12,0,1.7,1.7,-0.4,-0.4,1.0,1.0,-0.7,-0.7,-1.0,0.08,0,2.4,0.34,1.4
Brighton,Ipswich Town,2024-09-14,D,H,0,0,0,0,0,0,68,0,33,3,9.1,21.5,17,18,48.6,30,10,33.3,15,50.0,382,2125,1265,28,16,3,1,33.3,4,0,0,14,16,0,0,0,0,0,0,0,5,0.0,16.2,21,0.0,0.0,6,28.6,18.5,2,1,0,0,0,50,0,10.0,512,617,83.0,10,44,11,3,58,8594,2953,264,291,90.7,199,232,85.8,43,70,61.4,0,0,0,,0,0,,0,0,0,570,46,17,5,1,29,14,9,5,1,1,1,11,509,16,11,13,10,34,20,1,4,5,3,1,1,1,100.0,729,51,204,321,211,35,729,19,11,4,10,5,11,19,57.9,8,5,1,4,9,28,8,0,1.6,1.6,1.3,1.3,0.6,1.0,-1.6,-1.6,-0.6,0.09,2,0.1,0.07,0.1
Brighton,Nott'ham Forest,2024-09-22,D,H,2,2,0,0,0,2,70,0,35,9,11.4,21.0,18,9,66.7,20,10,50.0,7,35.0,441,2614,1574,35,26,3,1,33.3,3,0,0,12,9,4,3,0,0,0,1,0,1,0.0,8.0,14,0.14,0.67,3,21.4,17.4,1,0,0,1,0,30,6,22.5,510,619,82.4,11,51,8,1,75,8335,2829,264,293,90.1,187,224,83.5,44,69,63.8,1,1,0,0.0,1,0,0.0,0,0,0,567,52,14,1,4,43,25,9,4,5,0,0,8,501,26,6,16,11,25,19,3,2,0,1,0,3,1,66.7,709,36,142,310,262,30,709,12,5,4,3,5,3,11,27.3,8,14,1,13,7,19,8,0,1.0,1.0,-0.4,0.4,0.6,0.9,1.0,1.0,0.4,0.07,1,1.7,0.27,-0.3
Brighton,Chelsea,2024-09-28,L,A,2,4,-2,0,0,2,59,0,40,2,25.0,30.8,11,6,64.7,28,11,39.3,14,50.0,455,2344,1081,16,19,10,0,0.0,2,0,0,8,11,1,0,0,0,0,0,1,7,0.0,10.9,15,0.13,0.4,5,33.3,20.1,2,2,0,1,0,53,2,16.2,501,593,84.5,8,47,11,3,54,8352,3141,242,269,90.0,224,243,92.2,29,52,55.8,1,1,0,0.0,1,0,0.0,1,0,0,541,50,15,1,1,16,21,2,1,1,0,2,13,494,19,5,20,8,24,17,1,1,0,3,2,6,2,50.0,724,67,219,331,183,26,724,16,8,4,7,5,12,27,44.4,15,14,4,10,12,28,12,4,1.1,1.1,-3.1,-2.3,0.5,0.6,0.9,0.9,0.5,0.07,2,3.1,0.39,-0.9
Brighton,Tottenham,2024-10-06,W,H,3,2,1,0,0,3,41,0,26,4,46.2,39.4,7,8,46.7,24,7,29.2,13,54.2,287,1590,858,18,11,11,0,0.0,2,0,0,14,10,6,4,1,1,0,0,0,9,22.2,23.4,11,0.27,0.75,4,36.4,14.8,0,2,0,0,0,42,1,10.7,319,397,80.4,8,18,10,4,38,5407,2071,152,165,92.1,139,161,86.3,22,48,45.8,0,0,0,,0,0,,0,0,0,355,40,12,1,2,15,12,4,3,0,0,2,10,317,11,8,10,7,21,16,2,3,0,0,0,3,1,33.3,517,91,206,194,121,25,517,12,7,5,5,2,9,23,39.1,14,15,3,12,11,23,20,2,1.8,1.8,0.4,0.4,0.9,0.5,1.2,1.2,0.1,0.16,0,1.3,0.43,-0.7
Brighton,Newcastle Utd,2024-10-19,W,A,1,0,1,0,0,1,40,0,46,6,50.0,35.3,16,10,61.5,19,3,15.8,14,73.7,267,1406,702,8,5,17,1,5.9,2,0,0,9,11,2,2,0,0,0,0,0,8,62.5,42.8,10,0.1,0.2,5,50.0,16.0,0,0,0,0,0,47,1,10.1,313,399,78.4,6,18,5,0,19,5312,2303,163,182,89.6,102,119,85.7,36,68,52.9,0,0,0,,0,0,,0,0,0,358,41,14,6,1,8,14,4,0,4,0,0,9,309,5,2,14,12,19,14,2,0,1,1,1,6,6,100.0,559,99,247,243,78,12,559,26,15,14,9,3,8,18,44.4,10,16,8,8,9,35,38,0,1.1,1.1,-0.9,-0.9,0.7,0.5,-0.1,-0.1,0.3,0.11,0,0.9,0.15,0.9
Brighton,Wolves,2024-10-26,D,H,2,2,0,0,0,2,51,0,36,6,19.4,30.4,11,15,42.3,24,11,45.8,12,50.0,366,1939,1214,21,25,15,0,0.0,3,0,0,12,10,3,3,0,0,0,0,0,6,66.7,43.8,19,0.11,0.33,6,31.6,17.5,1,2,0,0,0,55,1,17.3,417,500,83.4,12,23,14,3,50,7676,2516,186,207,89.9,178,197,90.4,49,81,60.5,0,0,0,,0,0,,0,1,0,456,42,10,3,2,26,14,9,7,0,0,2,10,411,25,8,20,12,27,18,3,2,2,2,0,7,5,71.4,637,82,185,272,192,32,637,17,10,6,8,3,9,21,42.9,12,15,5,10,9,26,22,1,1.3,1.3,0.0,0.0,1.0,0.9,0.7,0.7,1.0,0.07,1,1.7,0.24,-0.3
Brighton,Liverpool,2024-11-02,L,A,1,2,-1,0,0,1,51,0,30,3,40.0,34.6,8,10,44.4,26,8,30.8,17,65.4,321,1892,1048,19,12,18,0,0.0,1,0,0,18,10,2,2,0,0,0,0,0,8,0.0,12.0,13,0.08,0.2,5,38.5,19.6,2,0,0,0,0,46,2,19.0,429,505,85.0,10,31,8,3,42,7227,2337,211,227,93.0,169,187,90.4,38,66,57.6,0,0,0,,0,0,,0,0,0,460,45,9,3,4,15,18,7,4,2,0,0,10,427,12,8,17,11,22,17,1,1,0,3,0,8,6,75.0,635,85,231,270,139,23,635,18,13,6,10,2,8,16,50.0,8,12,6,6,9,27,27,0,1.0,1.0,-0.6,-0.6,0.8,1.0,0.0,0.0,0.2,0.08,2,1.8,0.23,-0.2
