Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Chelsea,Manchester City,2024-08-18,L,H,0,2,-2,0,0,0,48,0,23,4,21.7,29.3,3,5,37.5,11,4,36.4,7,63.6,370,1673,827,16,6,6,1,16.7,1,0,0,12,9,0,0,0,0,0,0,0,6,0.0,14.3,10,0.0,0.0,3,30.0,17.1,0,2,0,0,0,43,0,9.8,461,531,86.8,9,34,11,5,26,7768,2625,223,244,91.4,204,222,91.9,29,53,54.7,0,0,0,,0,0,,0,0,0,489,40,10,2,2,18,17,4,3,0,0,2,3,459,6,2,10,9,20,18,0,1,1,0,0,5,3,60.0,629,64,195,259,175,24,629,20,14,7,9,4,8,23,34.8,15,10,3,7,10,30,13,1,1.0,1.0,0.2,0.2,1.0,0.9,-1.0,-1.0,-1.0,0.1,0,0.8,0.16,-1.2
Chelsea,Wolves,2024-08-25,W,A,6,2,4,0,0,6,60,0,37,5,18.9,27.3,5,8,38.5,19,9,47.4,9,47.4,406,2221,1197,26,17,8,2,25.0,3,0,0,13,13,11,8,1,1,1,0,0,11,27.3,30.4,14,0.43,0.75,8,57.1,15.4,1,1,0,0,0,39,2,15.7,445,525,84.8,12,26,7,0,32,7681,2530,206,227,90.7,189,207,91.3,37,63,58.7,0,0,0,,0,0,,0,0,0,477,47,15,1,2,11,13,5,3,0,0,1,10,440,17,8,13,10,27,21,1,3,1,1,0,4,2,50.0,623,70,231,253,144,20,623,14,11,4,8,2,8,16,50.0,8,11,2,9,9,23,20,2,1.6,1.6,-0.3,-0.3,1.5,0.6,4.4,4.4,3.5,0.12,1,0.8,0.19,-1.2
Chelsea,Crystal Palace,2024-09-01,D,H,1,1,0,0,0,1,62,0,34,5,14.7,23.5,10,7,58.8,27,11,40.7,13,48.1,378,2159,1202,23,7,6,1,16.7,4,0,0,9,13,2,2,0,0,0,0,0,2,50.0,38.5,13,0.08,0.14,7,53.8,15.9,1,0,0,0,0,46,7,19.6,553,628,88.1,10,58,7,0,50,10207,3075,204,226,90.3,299,324,92.3,47,64,73.4,0,0,0,,0,0,,0,0,0,593,35,13,3,3,19,14,4,4,0,0,0,7,548,7,2,22,6,25,19,2,1,1,2,0,3,2,66.7,749,45,171,410,176,19,749,13,7,5,5,3,7,13,53.8,6,13,5,8,8,21,18,0,2.4,2.4,1.8,1.8,2.0,1.1,-1.4,-1.4,-1.0,0.18,1,1.1,0.36,0.1
Chelsea,Bournemouth,2024-09-14,W,A,1,0,1,0,0,1,66,0,43,6,30.2,33.7,11,15,42.3,22,12,54.5,6,27.3,405,2495,1142,17,14,14,2,14.3,8,0,0,9,16,2,1,0,1,0,0,0,10,10.0,15.0,10,0.1,0.33,3,30.0,18.2,0,3,0,1,0,46,2,15.0,522,619,84.3,8,32,8,1,40,8612,2846,225,252,89.3,245,269,91.1,32,61,52.5,1,0,1,100.0,0,1,100.0,0,0,0,559,57,20,1,1,8,23,3,1,1,0,3,6,518,14,2,19,8,18,15,0,2,1,0,0,7,6,100.0,727,78,263,333,137,18,727,12,7,5,7,0,6,15,40.0,9,8,4,4,6,18,17,0,0.8,0.8,-1.0,-0.2,0.5,0.5,0.2,0.2,0.5,0.08,0,2.5,0.23,2.5
Chelsea,West Ham,2024-09-21,W,A,3,0,3,0,0,3,47,0,36,8,33.3,35.8,10,9,52.6,19,6,31.6,5,26.3,376,1893,1077,24,8,21,3,14.3,2,0,0,9,17,6,6,0,0,0,0,0,7,14.3,17.9,12,0.25,0.6,5,41.7,15.0,0,1,0,0,0,37,2,12.1,410,479,85.6,12,24,4,1,22,7176,2725,182,195,93.3,184,203,90.6,33,58,56.9,0,0,0,,0,0,,0,0,0,439,39,18,6,1,8,8,5,3,0,0,1,6,409,8,14,9,11,22,22,0,0,0,0,0,7,7,100.0,598,107,296,202,105,31,598,19,9,14,5,0,11,20,55.0,9,9,5,4,8,27,35,1,2.2,2.2,1.3,1.3,2.2,1.3,0.8,0.8,0.8,0.18,0,0.8,0.12,0.8
Chelsea,Brighton,2024-09-28,W,H,4,2,2,1,0,3,41,1,53,10,28.3,31.2,6,11,35.3,27,15,55.6,12,44.4,260,1326,694,14,2,9,0,0.0,3,0,0,11,8,6,4,0,0,0,2,0,8,37.5,33.0,14,0.21,0.6,5,35.7,15.7,1,6,1,0,0,53,5,22.6,312,414,75.4,12,16,7,0,20,5492,2165,117,137,85.4,152,177,85.9,25,58,43.1,0,0,0,,0,0,,0,0,0,370,38,8,6,2,11,11,8,7,0,0,6,10,310,2,9,11,4,24,19,0,3,0,2,0,5,3,60.0,536,95,306,152,83,24,535,22,13,15,6,1,14,25,56.0,11,15,5,10,7,29,20,2,4.2,3.4,3.1,2.3,3.3,1.7,-0.2,-0.4,-1.3,0.24,1,1.4,0.28,-0.6
Chelsea,Nott'ham Forest,2024-10-06,D,H,1,1,0,0,0,1,65,0,26,8,26.9,27.8,13,15,46.4,16,11,68.8,4,25.0,351,2271,1440,39,16,9,1,11.1,6,0,0,12,10,2,2,0,0,0,0,0,3,0.0,7.0,22,0.05,0.13,8,36.4,17.2,0,1,0,0,0,39,3,21.2,543,641,84.7,17,55,18,4,69,9300,3012,244,269,90.7,263,293,89.8,34,62,54.8,0,0,0,,0,0,,0,0,0,598,42,14,3,4,29,12,11,6,0,0,1,13,539,16,11,10,8,41,33,2,4,2,0,0,9,8,88.9,741,48,152,324,271,46,741,14,10,4,6,4,7,16,43.8,9,14,6,8,8,22,18,1,2.3,2.3,1.4,1.4,2.3,1.7,-1.3,-1.3,-1.3,0.11,0,1.6,0.18,0.6
Chelsea,Liverpool,2024-10-20,L,A,1,2,-1,0,0,1,57,0,38,6,23.7,29.1,10,6,62.5,29,10,34.5,17,58.6,405,2173,1099,24,24,3,0,0.0,3,0,0,13,12,2,2,0,0,0,0,0,4,0.0,12.5,12,0.08,0.5,2,16.7,16.1,1,0,0,1,0,39,1,14.3,499,579,86.2,8,39,10,3,43,8701,2866,217,231,93.9,220,249,88.4,45,71,63.4,1,1,0,0.0,1,0,0.0,0,0,0,537,42,16,2,5,17,14,5,2,0,0,0,7,496,24,8,12,8,19,15,1,0,1,2,0,5,3,80.0,674,58,218,297,164,25,674,12,10,5,7,0,4,9,44.4,5,7,0,7,8,20,12,0,1.0,1.0,-0.9,-0.2,0.7,0.9,0.0,0.0,0.3,0.08,1,2.0,0.24,0.0
Chelsea,Newcastle Utd,2024-10-27,W,H,2,1,1,0,0,2,50,0,34,2,55.9,43.1,13,14,48.1,17,7,41.2,7,41.2,399,1918,959,22,8,9,1,11.1,6,0,0,13,15,4,2,0,1,0,0,1,8,25.0,24.5,17,0.12,0.29,7,41.2,16.7,0,2,0,0,0,45,2,15.0,404,495,81.6,14,42,5,3,33,7079,2102,199,211,94.3,163,187,87.2,35,76,46.1,0,0,0,,0,0,,0,0,0,447,46,17,3,5,20,12,7,7,0,0,2,7,399,8,10,11,6,29,20,1,5,1,0,2,2,1,50.0,618,60,189,269,165,30,618,12,8,4,6,2,4,10,40.0,6,15,4,11,16,28,25,0,1.6,1.6,-0.2,-0.2,1.5,0.9,0.4,0.4,0.5,0.09,0,1.2,0.58,0.2
Chelsea,Manchester Utd,2024-11-03,D,A,1,1,0,0,0,1,54,0,31,5,19.4,26.4,17,8,68.0,29,15,51.7,9,31.0,340,1724,867,16,13,11,1,9.1,2,0,0,14,19,2,1,0,1,0,0,0,3,33.3,31.0,12,0.08,0.33,3,25.0,16.0,0,0,0,1,0,41,0,8.8,414,512,80.9,8,22,8,0,38,6922,2249,205,234,87.6,178,208,85.6,24,52,46.2,1,1,0,0.0,1,0,0.0,0,0,0,463,49,23,2,1,19,13,8,6,0,0,0,14,410,13,7,10,13,21,11,4,3,2,0,1,4,3,100.0,616,53,188,302,131,28,616,20,11,10,8,2,11,21,52.4,10,12,3,9,7,27,17,1,1.1,1.1,-0.9,-0.1,0.9,1.0,-0.1,-0.1,-0.9,0.09,0,0.9,0.03,-0.1
