Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Crystal Palace,Brentford,2024-08-18,L,A,1,2,-1,0,0,0,54,0,15,3,53.3,37.0,14,19,42.4,18,3,16.7,14,77.8,316,1388,807,14,16,14,0,0.0,5,0,0,15,6,0,0,0,0,0,0,0,10,30.0,25.5,14,0.0,0.0,6,42.9,19.2,1,3,0,0,0,49,2,26.0,410,519,79.0,9,36,7,1,32,6630,2142,212,233,91.0,155,189,82.0,30,65,46.2,0,0,0,,0,0,,0,0,0,472,44,6,2,1,14,18,7,3,0,0,3,8,409,16,5,9,5,23,19,1,1,1,1,0,5,3,60.0,640,55,154,344,148,20,640,22,13,5,12,5,8,13,61.5,5,10,1,9,5,27,29,1,1.2,1.2,-0.4,-0.4,0.8,0.6,-1.2,-1.2,-0.8,0.08,1,2.4,0.62,0.4
Crystal Palace,West Ham,2024-08-24,L,H,0,2,-2,0,0,0,58,0,22,4,54.5,39.5,13,23,36.1,14,3,21.4,11,78.6,386,1846,924,16,11,8,0,0.0,1,0,0,9,16,0,0,0,0,0,0,0,10,0.0,21.6,14,0.0,0.0,2,14.3,19.5,0,3,0,0,0,47,0,2.0,478,596,80.2,13,43,5,2,49,8964,3000,181,217,83.4,255,291,87.6,40,78,51.3,0,0,0,,0,0,,0,0,0,541,52,19,2,3,20,17,3,2,0,0,3,6,473,11,7,16,9,26,23,2,0,1,0,0,3,1,33.3,709,64,234,314,164,22,709,23,11,9,10,4,9,23,39.1,14,11,5,6,9,32,12,0,1.3,1.3,0.0,0.0,1.3,0.9,-1.3,-1.3,-1.3,0.1,0,0.9,0.3,-1.1
Crystal Palace,Chelsea,2024-09-01,D,A,1,1,0,0,0,1,38,0,21,5,52.4,39.3,7,10,41.2,13,6,46.2,7,53.8,230,1162,636,14,9,15,2,13.3,2,0,0,13,9,1,0,0,0,1,0,0,11,45.5,36.5,9,0.11,0.33,3,33.3,20.6,1,1,0,0,0,31,0,5.0,300,382,78.5,7,18,6,0,31,5076,1880,142,156,91.0,120,140,85.7,27,61,44.3,0,0,0,,0,0,,0,0,0,339,42,8,1,1,9,17,4,3,0,0,1,8,300,9,5,11,6,17,13,2,0,1,1,0,7,6,85.7,485,70,179,229,81,22,485,19,11,12,5,2,13,24,54.2,11,5,1,4,6,25,30,0,0.5,0.5,-1.8,-1.8,0.4,0.9,0.5,0.5,-0.4,0.06,1,2.7,0.39,1.7
Crystal Palace,Leicester City,2024-09-14,D,H,2,2,0,1,0,1,66,1,26,10,15.4,26.0,21,12,63.6,10,4,40.0,5,50.0,503,2407,1191,20,17,7,0,0.0,0,0,0,11,14,3,2,0,0,0,1,0,5,20.0,27.8,19,0.05,0.33,3,15.8,15.4,1,3,1,0,0,44,2,17.5,533,652,81.7,14,46,14,3,66,9619,3471,239,270,88.5,229,262,87.4,58,84,69.0,0,0,0,,0,0,,0,0,0,606,43,13,2,5,27,17,5,3,0,0,3,19,530,17,6,12,14,37,29,2,1,3,2,0,4,2,50.0,766,56,216,341,215,37,765,24,15,8,11,5,6,17,35.3,11,10,1,9,8,32,13,2,2.5,1.7,1.3,0.5,1.4,1.5,-0.5,-0.7,-0.4,0.09,1,2.2,0.55,0.2
Crystal Palace,Manchester Utd,2024-09-21,D,H,0,0,0,0,0,0,33,0,31,5,45.2,37.2,13,18,41.9,13,4,30.8,6,46.2,196,1101,447,10,6,17,3,17.6,3,0,0,7,11,0,0,0,0,0,0,0,11,72.7,52.5,9,0.0,0.0,4,44.4,14.6,0,1,0,0,0,47,4,17.9,239,342,69.9,8,13,6,3,17,4339,1936,109,132,82.6,89,108,82.4,28,70,40.0,0,0,0,,0,0,,0,0,0,304,37,12,1,0,14,9,4,0,3,0,1,6,236,6,2,8,8,17,10,2,2,2,1,0,6,6,100.0,479,94,244,169,73,15,479,22,10,13,9,0,8,15,53.3,7,13,3,10,13,35,31,1,1.0,1.0,-0.6,-0.6,0.8,0.4,-1.0,-1.0,-0.8,0.12,0,1.8,0.32,1.8
Crystal Palace,Everton,2024-09-28,L,A,1,2,-1,0,0,1,59,0,16,5,12.5,22.4,20,28,41.7,7,5,71.4,2,28.6,383,1713,927,17,12,20,0,0.0,0,0,0,11,13,2,2,0,0,0,0,0,4,25.0,33.3,17,0.06,0.25,4,23.5,17.3,1,0,0,0,0,51,1,12.7,458,581,78.8,12,35,10,1,51,8574,3063,181,216,83.8,241,278,86.7,35,77,45.5,0,0,0,,0,0,,0,0,0,531,50,14,0,2,20,21,8,6,0,0,0,6,455,12,4,14,12,29,20,3,0,4,2,0,2,0,0.0,684,59,246,302,140,28,684,25,17,16,9,0,9,17,52.9,8,9,2,7,8,33,25,0,0.9,0.9,0.0,0.0,0.8,0.8,0.1,0.1,0.2,0.06,1,0.6,0.29,-1.4
Crystal Palace,Liverpool,2024-10-05,L,H,0,1,-1,0,0,0,32,0,23,5,52.2,39.8,7,27,20.6,11,4,36.4,7,63.6,195,1239,560,7,8,11,0,0.0,4,0,0,7,15,0,0,0,0,0,0,0,10,60.0,50.5,9,0.0,0.0,5,55.6,21.9,0,1,0,0,0,49,3,17.5,221,325,68.0,6,17,3,1,24,4020,1680,86,112,76.8,107,132,81.1,24,66,36.4,0,0,0,,0,0,,0,0,0,284,40,15,2,0,9,10,3,0,2,0,1,5,219,8,2,11,6,14,12,1,0,0,1,0,4,3,75.0,423,76,192,154,82,7,423,8,6,6,1,1,0,8,0.0,8,15,5,10,5,13,27,0,0.6,0.6,-0.8,-0.8,0.6,0.5,-0.6,-0.6,-0.6,0.07,0,0.5,0.13,-0.5
Crystal Palace,Nott'ham Forest,2024-10-21,L,A,0,1,-1,0,0,0,49,0,16,1,18.8,24.3,14,18,43.8,9,6,66.7,3,33.3,279,1385,827,18,9,17,1,5.9,3,0,0,12,9,0,0,0,0,0,0,0,6,0.0,17.7,20,0.0,0.0,7,35.0,21.1,0,2,0,0,0,45,0,10.0,375,482,77.8,16,33,8,3,42,6744,2269,152,181,84.0,188,217,86.6,28,54,51.9,0,0,0,,0,0,,0,0,0,440,40,11,1,5,16,15,6,2,0,0,2,12,370,9,4,13,6,30,22,2,3,1,1,1,6,5,83.3,609,57,205,277,132,22,609,23,14,11,8,4,8,24,33.3,16,22,9,13,5,28,25,1,1.0,1.0,-0.7,-0.7,0.8,0.4,-1.0,-1.0,-0.8,0.05,0,1.8,0.3,0.8
Crystal Palace,Tottenham,2024-10-27,W,H,1,0,1,0,0,1,34,0,23,3,82.6,53.2,21,15,58.3,12,4,33.3,7,58.3,171,1017,491,15,6,21,2,9.5,4,0,0,16,12,2,2,0,0,0,0,0,9,100.0,69.1,14,0.07,0.17,6,42.9,19.6,1,4,0,0,0,53,0,6.0,181,296,61.1,8,26,8,3,33,3674,1896,81,95,85.3,58,80,72.5,35,84,41.7,0,0,0,,0,0,,0,0,0,249,43,12,1,2,29,13,8,4,1,0,4,10,179,6,5,12,12,22,15,2,0,2,2,1,3,3,100.0,450,72,145,147,161,22,450,32,19,13,13,6,16,25,64.0,9,18,3,15,11,43,38,0,0.8,0.8,0.1,0.1,0.5,0.8,0.2,0.2,0.5,0.06,1,0.4,0.15,0.4
Crystal Palace,Wolves,2024-11-02,D,A,2,2,0,0,0,2,43,0,23,3,39.1,35.0,15,13,53.6,21,9,42.9,10,47.6,241,1422,790,17,8,11,1,9.1,2,0,0,9,6,3,0,1,0,1,1,0,5,40.0,39.2,19,0.11,0.33,6,31.6,13.3,0,1,0,0,0,42,1,18.3,299,403,74.2,12,32,4,3,31,5565,2033,118,141,83.7,147,180,81.7,29,62,46.8,0,0,0,,0,0,,0,0,0,358,44,11,0,0,23,19,6,5,0,0,1,9,297,8,4,18,15,29,18,3,1,6,1,0,6,4,66.7,546,53,158,246,148,28,546,14,7,5,5,4,5,19,26.3,14,14,1,13,9,23,28,1,2.4,2.4,0.9,0.9,2.0,0.5,-0.4,-0.4,-1.0,0.13,0,1.7,0.29,-0.3
