Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Everton,Brighton,2024-08-17,L,H,0,3,-3,0,0,0,40,0,43,4,69.8,47.7,18,13,58.1,16,5,31.3,11,68.8,263,1352,592,12,6,8,1,12.5,1,1,0,8,8,0,0,0,0,0,0,0,4,25.0,29.0,9,0.0,0.0,1,11.1,18.4,0,7,0,0,0,45,5,25.4,298,399,74.7,4,32,6,1,29,6517,2622,109,130,83.8,120,143,83.9,59,97,60.8,0,0,0,,0,0,,0,0,0,347,45,9,0,8,17,27,1,0,1,0,7,7,291,6,4,13,10,15,11,1,0,1,1,1,5,2,40.0,499,52,160,238,105,18,499,23,11,10,7,6,12,18,66.7,6,12,2,10,13,36,11,1,0.5,0.5,-1.0,-1.0,0.2,0.7,-0.5,-0.5,-0.2,0.05,0,2.4,0.47,-0.6
Everton,Tottenham,2024-08-24,L,A,0,4,-4,0,0,0,30,0,27,2,63.0,42.7,14,11,56.0,22,5,22.7,16,72.7,209,1008,417,10,7,14,0,0.0,0,0,0,15,11,0,0,0,0,0,0,0,6,50.0,48.2,10,0.0,0.0,1,10.0,10.0,0,4,0,0,0,43,2,14.8,211,287,73.5,8,16,5,2,22,4422,1978,84,99,84.8,90,108,83.3,36,63,57.1,0,0,0,,0,0,,0,1,0,241,42,11,2,0,15,15,5,3,2,0,4,8,209,7,4,9,6,17,7,4,1,4,1,0,7,3,42.9,401,61,164,153,90,23,401,29,19,16,9,4,13,20,65.0,7,8,1,7,15,44,16,1,1.0,1.0,-1.5,-1.5,0.9,0.9,-1.0,-1.0,-0.9,0.1,0,2.6,0.37,-1.4
Everton,Bournemouth,2024-08-31,L,H,2,3,-1,0,0,2,47,0,29,1,89.7,60.2,22,17,56.4,21,10,47.6,9,42.9,249,1499,581,11,13,20,0,0.0,2,0,0,6,11,4,4,0,0,0,0,0,8,75.0,45.9,18,0.11,0.25,8,44.4,15.7,0,2,0,0,0,56,4,22.3,280,393,71.2,16,23,11,2,35,5361,2374,141,169,83.4,88,110,80.0,48,98,49.0,0,0,0,,0,0,,0,0,0,338,53,13,1,2,21,20,8,5,0,2,2,9,278,13,4,16,17,33,26,4,2,0,0,1,7,4,57.1,518,61,151,226,151,35,518,17,11,6,6,5,11,16,68.8,5,12,5,7,12,29,22,0,1.8,1.8,-0.6,-0.6,1.9,1.5,0.2,0.2,0.1,0.11,0,2.5,0.36,-0.5
Everton,Aston Villa,2024-09-14,L,A,2,3,-1,0,0,2,28,0,25,4,60.0,45.5,11,8,57.9,22,7,31.8,12,54.5,163,962,501,14,2,15,0,0.0,4,0,0,12,9,3,0,1,0,0,1,1,10,30.0,32.2,6,0.33,1.0,2,33.3,12.6,0,3,0,0,0,36,2,19.8,203,272,74.6,4,15,4,2,16,4274,2168,87,105,82.9,72,85,84.7,42,66,63.6,0,0,0,,0,0,,0,0,0,230,39,10,1,1,12,13,2,0,0,2,3,8,202,2,7,13,8,11,6,1,1,0,2,1,7,4,57.1,380,62,158,158,70,14,380,24,16,13,10,1,8,14,57.1,6,7,4,3,6,30,31,1,0.9,0.9,-1.2,-1.2,0.8,0.9,1.1,1.1,0.2,0.15,0,2.4,0.34,-0.6
Everton,Leicester City,2024-09-21,D,A,1,1,0,0,0,1,42,0,23,2,52.2,43.1,12,17,41.4,22,7,31.8,13,59.1,247,1365,648,15,8,24,2,8.3,2,0,0,12,11,2,2,0,0,0,0,0,11,81.8,56.4,17,0.06,0.2,5,29.4,17.7,1,5,0,0,0,47,1,13.2,295,380,77.6,13,25,8,2,24,5336,2385,146,162,90.1,107,128,83.6,37,64,57.8,0,0,0,,0,0,,0,1,0,326,49,11,3,2,14,24,1,1,0,0,5,9,293,8,5,13,11,30,23,3,2,1,1,0,2,1,50.0,511,68,192,186,139,23,511,18,13,14,3,1,9,17,52.9,8,9,3,6,9,27,33,0,1.1,1.1,0.4,0.4,0.8,0.7,-0.1,-0.1,0.2,0.06,1,1.0,0.48,0.0
Everton,Crystal Palace,2024-09-28,W,H,2,1,1,0,0,2,41,0,35,5,60.0,41.5,28,20,58.3,17,8,47.1,9,52.9,248,1272,610,7,9,17,3,17.6,2,0,0,13,9,4,1,0,0,0,1,2,8,75.0,54.6,8,0.25,1.0,2,25.0,15.3,0,2,0,0,0,45,2,14.8,287,399,71.9,7,23,8,1,37,5420,2543,124,149,83.2,110,141,78.0,40,80,50.0,0,0,0,,0,0,,0,1,0,350,47,10,1,0,23,22,5,5,0,0,2,8,286,9,0,11,16,15,8,3,0,0,2,2,4,3,75.0,509,65,155,207,154,16,509,14,5,3,11,0,2,7,28.6,5,11,7,4,16,30,24,0,0.9,0.9,0.0,0.0,0.8,0.9,1.1,1.1,0.2,0.11,0,0.7,0.18,-0.3
Everton,Newcastle Utd,2024-10-05,D,H,0,0,0,0,0,0,33,0,31,5,54.8,42.6,13,11,54.2,24,13,54.2,9,37.5,232,1196,592,10,5,18,1,5.6,1,0,0,12,8,0,0,0,0,0,0,0,9,77.8,61.4,8,0.0,0.0,2,25.0,24.3,1,2,0,1,0,54,1,12.8,246,340,72.4,6,24,3,0,25,4629,1800,105,127,82.7,110,125,88.0,29,67,43.3,1,0,1,100.0,0,1,100.0,0,0,0,304,34,10,1,3,9,14,0,0,0,0,2,15,244,5,2,10,16,15,12,0,1,1,1,0,2,1,100.0,469,74,184,197,96,13,469,19,11,7,10,2,9,15,60.0,6,10,4,6,10,29,30,0,0.7,0.7,-1.4,-0.6,0.3,0.2,-0.7,-0.7,-0.3,0.09,1,0.9,0.04,0.9
Everton,Ipswich Town,2024-10-19,W,A,2,0,2,0,0,2,45,0,35,4,57.1,44.7,11,12,47.8,15,9,60.0,6,40.0,298,1589,756,23,9,20,0,0.0,1,0,0,10,12,4,3,0,1,0,0,0,9,88.9,64.0,11,0.18,0.25,8,72.7,16.4,1,0,0,0,0,39,3,17.5,336,435,77.2,7,23,10,1,32,6189,2173,154,172,89.5,126,154,81.8,49,87,56.3,0,0,0,,0,0,,0,0,0,391,44,12,1,6,13,15,7,3,2,0,0,12,334,9,8,12,7,21,15,3,2,0,1,0,2,2,100.0,538,76,233,199,112,24,538,18,12,10,7,1,11,18,61.1,7,7,3,4,6,24,33,0,1.7,1.7,0.5,0.5,0.8,0.7,0.3,0.3,0.2,0.16,1,0.3,0.16,0.3
Everton,Fulham,2024-10-26,D,H,1,1,0,0,0,1,40,0,29,6,51.7,41.9,18,8,69.2,13,7,53.8,6,46.2,253,1322,695,8,10,11,0,0.0,1,0,0,8,8,2,2,0,0,0,0,0,11,54.5,44.0,10,0.1,0.2,5,50.0,14.3,0,4,0,0,0,40,2,11.4,331,429,77.2,10,29,11,4,33,6032,2561,140,163,85.9,142,171,83.0,35,63,55.6,0,0,0,,0,0,,0,0,0,379,46,10,0,1,17,19,4,2,1,0,4,10,328,10,1,15,10,20,19,1,0,0,0,0,3,2,66.7,530,69,224,193,115,17,530,19,12,13,4,2,9,16,56.3,7,11,2,9,8,27,27,2,0.8,0.8,-0.4,-0.4,0.8,1.2,0.2,0.2,0.2,0.08,0,1.2,0.41,0.2
Everton,Southampton,2024-11-02,L,A,0,1,-1,0,0,0,35,0,26,3,50.0,38.7,5,7,41.7,17,11,64.7,4,23.5,202,1088,580,17,17,13,0,0.0,2,0,0,18,14,0,0,0,0,0,0,0,7,42.9,43.7,16,0.0,0.0,5,31.3,17.9,2,1,0,0,0,46,0,7.0,263,340,77.4,9,21,5,3,24,4987,1871,113,129,87.6,116,131,88.5,31,70,44.3,0,0,0,,0,0,,0,0,0,297,42,15,0,2,19,12,6,5,0,0,1,7,261,17,5,11,10,28,12,5,4,2,4,1,2,1,50.0,437,47,142,181,123,24,437,21,8,12,6,3,12,24,50.0,12,6,2,4,8,29,17,0,1.6,1.6,0.8,0.8,1.4,0.9,-1.6,-1.6,-1.4,0.1,2,0.8,0.4,-0.2
