Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Fulham,Manchester Utd,2024-08-16,L,A,0,1,-1,0,0,0,45,0,32,3,31.3,33.5,16,19,45.7,22,8,36.4,12,54.5,329,1746,927,17,19,17,0,0.0,3,0,0,10,11,0,0,0,0,0,0,0,10,20.0,23.1,10,0.0,0.0,2,20.0,16.9,0,1,0,0,0,53,1,18.3,329,424,77.6,9,20,4,1,28,5642,2143,131,155,84.5,154,183,84.2,29,58,50.0,0,0,0,,0,0,,0,0,0,372,51,16,2,0,21,15,8,6,2,0,1,10,322,19,7,17,9,19,11,5,1,1,1,0,5,4,80.0,540,75,223,212,117,21,540,24,17,12,11,1,11,19,57.9,8,9,2,7,9,33,18,2,0.4,0.4,-2.0,-2.0,0.4,0.5,-0.4,-0.4,-0.4,0.04,0,2.1,0.41,1.1
Fulham,Leicester City,2024-08-24,W,H,2,1,1,0,0,2,54,0,33,2,33.3,35.4,16,13,55.2,19,4,21.1,9,47.4,404,2021,940,16,13,11,2,18.2,2,0,0,14,12,4,4,0,0,0,0,0,5,20.0,22.8,18,0.11,0.33,6,33.3,15.8,1,0,0,0,0,44,2,12.8,489,582,84.0,17,44,12,1,58,8889,2964,206,226,91.2,222,251,88.4,50,75,66.7,0,0,0,,0,0,,0,1,0,530,52,17,0,4,21,21,7,1,5,0,0,15,486,13,6,21,12,34,24,5,1,1,1,2,4,3,75.0,689,51,153,327,213,30,689,14,10,4,3,7,7,14,50.0,7,7,2,5,8,22,8,0,1.8,1.8,1.2,1.2,1.7,1.2,0.2,0.2,0.3,0.1,1,1.7,0.43,0.7
Fulham,Ipswich Town,2024-08-31,D,A,1,1,0,0,0,1,52,0,38,2,15.8,25.8,12,11,52.2,20,14,70.0,6,30.0,327,1564,760,14,8,12,1,8.3,3,0,0,15,15,2,2,0,0,0,0,0,7,57.1,46.6,9,0.11,0.25,4,44.4,13.1,0,0,0,0,0,30,1,12.3,383,469,81.7,8,21,5,2,29,6828,2007,166,177,93.8,175,198,88.4,36,75,48.0,0,0,0,,0,0,,0,0,0,412,57,19,0,4,26,23,6,4,1,0,0,9,377,8,6,10,7,17,11,2,3,1,0,0,4,3,75.0,545,60,198,232,118,19,545,11,7,6,4,1,2,12,16.7,10,9,3,6,6,17,13,0,0.9,0.9,0.5,0.5,0.9,1.0,0.1,0.1,0.1,0.11,0,0.4,0.1,-0.6
Fulham,West Ham,2024-09-14,D,H,1,1,0,0,0,1,54,0,29,3,17.2,27.4,20,10,66.7,29,12,41.4,9,31.0,335,1562,886,22,13,12,0,0.0,2,0,0,15,18,2,2,0,0,0,0,0,6,50.0,37.3,21,0.05,0.2,5,23.8,16.4,2,3,0,0,0,44,1,12.7,351,451,77.8,16,24,13,5,37,6501,2325,139,157,88.5,164,197,83.2,38,67,56.7,0,0,0,,0,0,,0,0,0,391,57,18,1,5,22,28,3,0,3,0,3,9,349,13,4,12,9,35,24,2,0,5,3,1,3,2,66.7,592,77,197,232,172,29,592,30,19,13,12,5,6,15,40.0,9,14,3,11,13,43,23,0,1.5,1.5,0.8,0.8,1.2,1.6,-0.5,-0.5,-0.2,0.07,2,0.9,0.29,-0.1
Fulham,Newcastle Utd,2024-09-21,W,H,3,1,2,0,0,3,39,0,19,3,78.9,60.6,6,15,28.6,17,4,23.5,7,41.2,293,1539,904,27,16,11,1,9.1,6,0,0,16,8,4,4,0,0,0,0,0,12,33.3,28.8,22,0.14,0.27,11,50.0,15.4,0,1,0,0,0,38,0,11.0,305,379,80.5,17,29,9,3,30,5096,1850,157,173,90.8,121,136,89.0,20,55,36.4,0,0,0,,0,0,,0,0,0,331,47,13,3,2,17,14,6,1,4,0,1,4,300,16,10,16,2,36,24,4,1,5,1,1,5,4,80.0,484,58,149,170,169,37,484,19,9,9,7,3,5,12,41.7,7,6,3,3,6,25,21,1,2.2,2.2,0.7,0.7,2.0,1.2,0.8,0.8,1.0,0.1,0,1.0,0.21,0.0
Fulham,Nott'ham Forest,2024-09-28,W,A,1,0,1,1,0,0,59,1,30,2,13.3,25.0,7,18,28.0,16,9,56.3,5,31.3,439,2412,1385,29,21,20,1,5.0,4,0,0,15,11,2,1,0,0,0,1,0,6,33.3,29.2,13,0.0,0.0,1,7.7,20.2,0,1,1,0,0,29,0,7.3,473,563,84.0,7,43,7,0,47,8292,2514,206,235,87.7,223,249,89.6,36,58,62.1,0,0,0,,0,0,,0,0,0,524,38,16,1,2,23,10,5,0,4,0,1,5,470,21,7,14,3,24,17,2,1,3,1,0,1,1,100.0,677,63,217,279,184,23,676,7,2,5,1,1,1,5,20.0,4,8,5,3,9,16,44,1,1.3,0.5,0.5,-0.3,0.3,0.4,-0.3,-0.5,-0.3,0.04,0,0.0,0.01,0.0
Fulham,Manchester City,2024-10-05,L,A,2,3,-1,0,0,2,42,0,17,4,5.9,29.6,5,7,41.7,12,5,41.7,6,50.0,401,1685,839,19,20,12,1,8.3,1,0,0,10,4,4,4,0,0,0,0,0,8,12.5,14.9,11,0.18,0.5,4,36.4,14.0,0,3,0,0,0,32,0,7.3,410,486,84.4,11,41,6,2,34,6845,2176,208,230,90.4,152,172,88.4,40,59,67.8,0,0,0,,0,0,,0,1,0,452,31,4,1,5,15,12,3,1,2,0,3,8,410,20,6,11,4,21,17,1,0,2,0,1,7,4,57.1,598,76,221,219,163,24,598,23,9,14,7,2,13,24,54.2,11,19,6,13,7,30,22,1,2.6,2.6,1.0,1.0,2.6,2.1,-0.6,-0.6,-0.6,0.24,0,1.3,0.18,-1.7
Fulham,Aston Villa,2024-10-19,L,H,1,3,-2,0,1,1,52,1,22,3,9.1,30.9,14,5,73.7,12,3,25.0,3,25.0,366,1762,849,20,18,17,1,5.9,3,1,0,8,10,2,2,0,0,0,0,0,8,50.0,37.1,9,0.11,0.33,3,33.3,12.3,0,2,0,0,1,40,1,7.7,398,483,82.4,8,34,9,5,37,7526,2569,161,177,91.0,191,212,90.1,43,75,57.3,0,0,0,,0,0,,0,1,1,437,44,12,0,1,30,14,6,4,1,0,2,12,394,18,4,9,8,19,15,3,0,1,0,0,5,3,40.0,590,72,200,249,147,24,589,18,11,9,7,2,6,14,42.9,8,8,4,4,14,32,21,1,1.8,1.0,0.1,-0.7,1.0,1.3,-0.8,0.0,0.0,0.11,0,1.2,0.24,-0.8
Fulham,Everton,2024-10-26,D,A,1,1,0,0,0,1,60,0,62,7,12.9,25.3,8,18,30.8,17,7,41.2,9,52.9,478,2241,1170,13,13,13,1,7.7,0,0,0,8,7,2,1,0,1,0,0,0,2,50.0,37.5,14,0.07,0.33,3,21.4,18.2,0,2,0,0,0,44,2,13.8,539,638,84.5,12,47,15,6,44,10009,3551,210,236,89.0,272,299,91.0,52,79,65.8,0,0,0,,0,0,,0,0,0,594,42,12,1,4,17,24,2,1,0,0,2,10,531,13,3,12,10,23,21,0,1,1,0,0,5,4,80.0,742,51,231,333,184,22,742,16,11,8,5,3,6,13,46.2,7,11,2,9,4,20,23,0,1.2,1.2,0.4,0.4,1.2,0.8,-0.2,-0.2,-0.2,0.09,0,1.3,0.26,0.3
Fulham,Brentford,2024-11-04,W,H,2,1,1,0,0,2,68,0,42,3,14.3,25.0,16,23,41.0,19,12,63.2,5,26.3,539,2678,1262,36,20,5,0,0.0,2,0,0,3,10,4,4,0,0,0,0,0,6,16.7,22.2,26,0.08,0.17,12,46.2,18.3,0,2,0,0,0,46,1,13.8,595,712,83.6,19,63,18,3,70,10434,3313,265,288,92.0,272,302,90.1,49,95,51.6,0,0,0,,0,0,,0,0,0,660,50,10,4,2,43,21,11,5,6,0,2,9,591,20,15,9,11,47,34,3,4,4,0,2,2,1,50.0,812,71,221,287,309,44,812,15,8,3,6,6,6,13,46.2,7,8,2,6,13,28,10,0,1.3,1.3,0.7,0.7,1.0,1.7,0.7,0.7,1.0,0.05,0,0.8,0.41,-0.2
Fulham,Crystal Palace,2024-11-09,W,A,2,0,2,0,0,2,64,0,33,7,9.1,23.1,17,13,56.7,17,10,58.8,6,35.3,494,2269,1158,27,20,11,1,9.1,1,0,0,11,10,4,3,0,0,0,0,1,6,16.7,20.2,17,0.12,0.29,7,41.2,17.0,0,4,0,0,0,58,0,8.0,560,676,82.8,16,50,9,1,57,9513,3451,262,295,88.8,240,266,90.2,48,78,61.5,0,0,0,,0,0,,0,0,0,627,45,10,5,7,20,20,8,3,4,0,4,9,555,20,11,19,13,34,30,2,0,1,0,1,4,4,100.0,784,65,208,375,210,32,784,16,10,6,9,1,6,12,50.0,6,11,3,8,11,27,12,2,1.8,1.8,0.3,0.3,1.8,1.4,0.2,0.2,0.2,0.11,0,1.1,0.28,1.1
Fulham,Wolves,2024-11-23,L,H,1,4,-3,0,0,1,59,0,27,7,0.0,21.3,6,7,46.2,15,8,53.3,6,40.0,399,1984,929,16,15,4,0,0.0,3,0,0,14,13,2,1,0,0,0,0,1,4,0.0,13.5,10,0.1,0.33,3,30.0,17.2,0,2,0,0,0,44,2,26.3,499,603,82.8,8,39,11,3,63,8558,2779,229,255,89.8,219,242,90.5,39,74,52.7,0,0,0,,0,0,,0,0,0,549,52,15,2,4,28,21,7,3,2,0,2,11,496,15,3,17,11,19,12,3,0,0,2,2,5,1,20.0,706,64,190,280,240,23,706,23,15,9,10,4,11,21,52.4,10,15,3,12,11,34,9,1,1.0,1.0,-0.3,-0.3,1.0,0.9,0.0,0.0,0.0,0.1,0,1.4,0.29,-2.6
Fulham,Tottenham,2024-12-01,D,A,1,1,0,0,0,1,49,0,23,4,39.1,36.6,15,12,55.6,22,11,50.0,10,45.5,417,2153,1059,28,14,12,1,8.3,1,1,0,14,3,2,2,0,0,0,0,0,5,80.0,47.2,14,0.07,0.17,6,42.9,13.4,0,1,0,0,0,52,2,14.3,409,502,81.5,9,36,9,3,46,7097,2493,209,235,88.9,143,168,85.1,50,78,64.1,0,0,0,,0,0,,0,0,0,463,38,5,2,3,28,15,11,4,4,0,1,12,403,14,10,10,6,26,18,3,2,3,0,0,3,2,66.7,605,55,179,260,176,35,605,16,10,7,8,1,7,10,70.0,3,7,2,5,14,30,22,1,1.5,1.5,0.7,0.7,0.9,0.9,-0.5,-0.5,0.1,0.11,0,1.1,0.35,0.1
Fulham,Brighton,2024-12-05,W,H,3,1,2,0,0,2,43,0,35,3,45.7,39.4,15,13,53.6,22,11,50.0,7,31.8,264,1077,493,8,2,17,0,0.0,2,0,0,7,7,3,1,0,2,0,0,0,12,41.7,35.2,6,0.33,1.0,2,33.3,14.3,0,0,0,0,0,27,0,,330,419,78.8,4,19,6,1,25,6238,2126,121,135,89.6,160,183,87.4,38,71,53.5,0,0,0,,0,0,,0,0,0,373,46,9,0,7,16,18,5,4,1,0,0,10,326,2,4,17,4,10,7,1,2,0,0,0,3,2,66.7,531,98,247,185,101,16,531,16,7,10,4,2,9,20,45.0,11,12,5,7,8,24,35,0,1.1,1.1,-0.4,-0.4,0.4,0.4,0.9,0.9,0.6,0.18,0,0.7,0.25,-0.3
Fulham,Arsenal,2024-12-08,D,H,1,1,0,0,0,1,34,0,33,7,45.5,39.1,6,10,37.5,8,5,62.5,3,37.5,198,1331,577,11,8,23,4,17.4,4,0,0,10,9,2,2,0,0,0,0,0,15,60.0,42.4,2,0.5,0.5,2,100.0,14.4,0,0,0,0,0,38,0,4.8,233,328,71.0,2,10,0,0,11,4475,1970,104,131,79.4,99,122,81.1,29,68,42.6,0,0,0,,0,0,,0,1,0,290,38,12,3,0,10,9,0,0,0,0,0,7,233,8,2,9,6,3,3,0,0,0,0,0,4,3,75.0,425,97,235,156,40,3,425,27,16,18,9,0,14,22,63.6,8,10,0,10,9,36,24,0,0.2,0.2,-1.7,-1.7,0.2,0.3,0.8,0.8,0.8,0.08,0,1.2,0.31,0.2
