Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Manchester Utd,Fulham,2024-08-16,W,H,1,0,1,0,0,1,55,0,eng Premier League,23,6,43.5,35.1,19,16,54.3,21,8,38.1,11,52.4,420,2298,1138,15,18,16,2,12.5,2,0,0,12,10,2,2,0,0,0,0,0,6,0.0,8.5,14,0.07,0.2,5,35.7,17.6,0,3,0,0,0,58,4,16.3,430,524,82.1,10,31,7,2,43,6600,2181,207,231,89.6,158,188,84.0,32,54,59.3,0,0,0,,0,0,,0,0,0,483,38,9,1,2,18,15,7,3,2,0,3,7,428,18,4,10,13,24,23,1,0,0,0,0,2,2,100.0,640,67,170,292,183,22,640,21,14,9,9,3,12,20,60.0,8,11,3,8,19,40,22,0,2.4,2.4,2.0,2.0,2.0,1.0,-1.4,-1.4,-1.0,0.17,0,0.9,0.46,0.9
Fulham,Manchester Utd,2024-08-16,L,A,0,1,-1,0,0,0,45,0,eng Premier League,32,3,31.3,33.5,16,19,45.7,22,8,36.4,12,54.5,329,1746,927,17,19,17,0,0.0,3,0,0,10,11,0,0,0,0,0,0,0,10,20.0,23.1,10,0.0,0.0,2,20.0,16.9,0,1,0,0,0,53,1,18.3,329,424,77.6,9,20,4,1,28,5642,2143,131,155,84.5,154,183,84.2,29,58,50.0,0,0,0,,0,0,,0,0,0,372,51,16,2,0,21,15,8,6,2,0,1,10,322,19,7,17,9,19,11,5,1,1,1,0,5,4,80.0,540,75,223,212,117,21,540,24,17,12,11,1,11,19,57.9,8,9,2,7,9,33,18,2,0.4,0.4,-2.0,-2.0,0.4,0.5,-0.4,-0.4,-0.4,0.04,0,2.1,0.41,1.1
Ipswich Town,Liverpool,2024-08-17,L,H,0,2,-2,0,0,0,38,0,eng Premier League,36,7,33.3,30.4,11,18,37.9,10,3,30.0,5,50.0,254,1365,608,16,7,16,1,6.3,3,0,0,9,17,0,0,0,0,0,0,0,6,33.3,31.3,7,0.0,0.0,2,28.6,16.0,0,5,0,0,0,36,1,13.8,290,381,76.1,4,19,5,0,21,4991,2077,138,152,90.8,114,140,81.4,26,51,51.0,0,0,0,,0,0,,0,0,0,333,43,18,0,2,8,14,2,0,1,0,5,13,286,7,5,11,4,12,6,4,1,0,1,0,5,3,60.0,497,125,244,158,98,16,497,20,10,17,2,1,11,22,50.0,11,15,6,9,9,29,28,0,0.5,0.5,-2.1,-2.1,0.3,0.2,-0.5,-0.5,-0.3,0.06,0,2.3,0.47,0.3
Newcastle Utd,Southampton,2024-08-17,W,H,1,0,1,0,0,1,23,0,eng Premier League,16,2,81.3,52.4,7,9,43.8,7,1,14.3,5,71.4,108,694,373,8,6,24,1,4.2,2,1,0,15,16,2,1,0,0,0,0,1,10,100.0,65.6,3,0.33,1.0,1,33.3,13.2,0,1,0,0,0,31,1,20.5,128,207,61.8,3,6,4,0,15,2221,1134,72,93,77.4,36,53,67.9,15,50,30.0,0,0,0,,0,0,,0,0,0,163,43,18,0,1,12,11,3,3,0,0,1,6,127,6,1,10,8,6,2,1,0,0,2,1,3,3,100.0,317,84,150,101,72,12,317,16,14,8,7,1,7,13,53.8,6,24,11,13,4,20,39,0,0.3,0.3,-1.5,-1.5,0.3,0.2,0.7,0.7,0.7,0.08,0,0.4,0.14,0.4
Everton,Brighton,2024-08-17,L,H,0,3,-3,0,0,0,40,0,eng Premier League,43,4,69.8,47.7,18,13,58.1,16,5,31.3,11,68.8,263,1352,592,12,6,8,1,12.5,1,1,0,8,8,0,0,0,0,0,0,0,4,25.0,29.0,9,0.0,0.0,1,11.1,18.4,0,7,0,0,0,45,5,25.4,298,399,74.7,4,32,6,1,29,6517,2622,109,130,83.8,120,143,83.9,59,97,60.8,0,0,0,,0,0,,0,0,0,347,45,9,0,8,17,27,1,0,1,0,7,7,291,6,4,13,10,15,11,1,0,1,1,1,5,2,40.0,499,52,160,238,105,18,499,23,11,10,7,6,12,18,66.7,6,12,2,10,13,36,11,1,0.5,0.5,-1.0,-1.0,0.2,0.7,-0.5,-0.5,-0.2,0.05,0,2.4,0.47,-0.6
Arsenal,Wolves,2024-08-17,W,H,2,0,2,0,0,2,53,0,eng Premier League,31,5,22.6,30.1,17,13,56.7,22,9,40.9,10,45.5,340,1745,749,18,8,11,1,9.1,2,0,0,17,14,4,3,1,0,0,0,0,6,83.3,55.5,18,0.11,0.33,6,33.3,17.3,0,0,0,0,0,30,0,9.0,382,458,83.4,17,24,17,2,53,6872,2400,163,184,88.6,190,213,89.2,28,51,54.9,0,0,0,,0,0,,0,0,0,410,48,15,0,4,15,18,8,6,0,0,0,7,376,8,10,13,9,35,29,3,1,2,0,0,3,3,100.0,569,63,190,229,156,42,569,18,13,9,6,3,8,16,50.0,8,6,1,5,8,26,16,2,1.2,1.2,0.8,0.8,1.2,0.9,0.8,0.8,0.8,0.07,0,0.2,0.06,0.2
Nott'ham Forest,Bournemouth,2024-08-17,D,H,1,1,0,0,0,1,53,0,eng Premier League,34,3,67.6,45.5,25,15,62.5,23,9,39.1,10,43.5,299,1594,936,18,17,18,0,0.0,1,0,0,17,8,1,0,0,0,1,0,0,13,23.1,22.5,14,0.07,0.13,8,57.1,19.2,0,1,0,0,0,49,0,9.3,420,543,77.3,11,24,11,2,37,6760,2706,226,259,87.3,147,184,79.9,30,63,47.6,0,0,0,,0,0,,0,0,0,490,52,12,1,0,13,23,2,2,0,0,1,12,410,17,3,12,8,26,22,1,0,3,0,0,4,3,75.0,677,87,204,277,206,28,677,24,12,11,11,2,10,15,66.7,5,12,3,9,7,31,26,0,1.3,1.3,0.1,0.1,0.5,0.8,-0.3,-0.3,-0.5,0.1,0,1.2,0.3,0.2
Liverpool,Ipswich Town,2024-08-17,W,A,2,0,2,0,0,2,62,0,eng Premier League,47,3,19.1,25.6,18,11,62.1,23,11,47.8,11,47.8,407,1886,974,25,13,4,0,0.0,1,0,0,18,8,4,4,0,0,0,0,0,4,0.0,9.0,18,0.11,0.4,5,27.8,14.8,0,0,0,0,0,40,1,19.5,520,620,83.9,12,35,10,1,39,8751,3005,254,281,90.4,208,231,90.0,46,82,56.1,0,0,0,,0,0,,0,0,0,567,53,14,6,4,23,24,10,8,1,0,0,9,514,13,12,9,9,29,24,0,2,3,0,0,2,2,100.0,720,83,275,252,200,46,720,9,4,4,2,3,5,8,62.5,3,14,2,12,5,14,17,1,2.6,2.6,2.1,2.1,2.0,2.4,-0.6,-0.6,-1.0,0.15,0,0.2,0.12,0.2
Wolves,Arsenal,2024-08-17,L,A,0,2,-2,0,0,0,47,0,eng Premier League,32,1,56.3,41.3,13,17,43.3,18,8,44.4,8,44.4,306,1620,738,12,8,11,1,9.1,2,0,0,14,17,0,0,0,0,0,0,0,8,50.0,37.4,9,0.0,0.0,3,33.3,19.3,1,1,0,0,0,36,2,15.8,324,406,79.8,4,39,5,4,24,5925,2051,143,167,85.6,149,165,90.3,29,61,47.5,0,0,0,,0,0,,0,0,0,361,44,16,1,1,14,15,2,1,1,0,1,6,318,8,6,16,10,13,10,1,0,0,1,1,6,4,66.7,493,68,179,209,112,16,493,19,12,15,3,1,10,19,52.6,9,13,6,7,7,26,13,0,0.5,0.5,-0.8,-0.8,0.2,0.3,-0.5,-0.5,-0.2,0.05,1,1.7,0.28,-0.3
West Ham,Aston Villa,2024-08-17,L,H,1,2,-1,1,0,0,52,1,eng Premier League,27,7,29.6,27.4,14,12,53.8,11,4,36.4,6,54.5,327,1887,988,20,11,11,1,9.1,1,0,0,18,11,2,1,0,0,0,1,0,7,42.9,31.0,13,0.0,0.0,2,15.4,13.6,0,1,1,0,0,39,3,16.9,377,464,81.3,10,20,9,3,30,6787,2273,164,177,92.7,157,185,84.9,45,75,60.0,0,0,0,,0,0,,0,1,0,423,40,11,0,4,25,14,5,4,1,0,1,11,372,11,6,16,18,26,19,2,2,2,1,0,3,1,33.3,571,66,217,253,106,22,570,14,10,9,5,0,7,15,46.7,8,14,6,8,6,20,24,0,2.3,1.5,0.3,-0.5,1.1,1.1,-1.3,-1.5,-1.1,0.13,0,1.3,0.44,-0.7
