Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Ipswich Town,Liverpool,2024-08-17,L,H,0,2,-2,0,0,0,38,0,36,7,33.3,30.4,11,18,37.9,10,3,30.0,5,50.0,254,1365,608,16,7,16,1,6.3,3,0,0,9,17,0,0,0,0,0,0,0,6,33.3,31.3,7,0.0,0.0,2,28.6,16.0,0,5,0,0,0,36,1,13.8,290,381,76.1,4,19,5,0,21,4991,2077,138,152,90.8,114,140,81.4,26,51,51.0,0,0,0,,0,0,,0,0,0,333,43,18,0,2,8,14,2,0,1,0,5,13,286,7,5,11,4,12,6,4,1,0,1,0,5,3,60.0,497,125,244,158,98,16,497,20,10,17,2,1,11,22,50.0,11,15,6,9,9,29,28,0,0.5,0.5,-2.1,-2.1,0.3,0.2,-0.5,-0.5,-0.3,0.06,0,2.3,0.47,0.3
Ipswich Town,Manchester City,2024-08-24,L,A,1,4,-3,0,0,1,25,0,30,4,23.3,28.2,7,5,58.3,8,2,25.0,6,75.0,210,852,304,3,5,15,0,0.0,3,0,0,15,3,2,2,0,0,0,0,0,6,50.0,44.0,1,1.0,1.0,1,100.0,21.1,0,1,0,1,0,24,3,20.0,211,266,79.3,1,11,1,1,9,3269,1169,129,139,92.8,68,77,88.3,13,40,32.5,1,1,0,0.0,1,0,0.0,0,0,0,236,29,7,1,0,6,10,1,1,0,0,1,7,210,5,0,14,8,2,2,0,0,0,0,0,5,1,40.0,387,94,232,116,42,5,387,17,8,13,3,1,7,18,38.9,11,16,3,13,10,27,41,2,0.3,0.3,-3.1,-2.3,0.3,0.3,0.7,0.7,0.7,0.29,0,3.5,0.52,-0.5
Ipswich Town,Fulham,2024-08-31,D,H,1,1,0,0,0,1,48,0,36,6,16.7,24.7,11,12,47.8,14,10,71.4,2,14.3,273,1545,675,13,9,21,1,4.8,2,0,0,15,15,2,1,0,1,0,0,0,4,75.0,58.8,11,0.09,0.25,4,36.4,18.0,1,4,0,0,0,39,1,13.5,360,434,82.9,9,28,3,1,26,6295,1931,163,174,93.7,158,178,88.8,29,58,50.0,0,0,0,,0,0,,0,0,0,396,34,13,3,4,16,7,8,7,0,0,4,8,357,9,1,12,9,20,12,3,3,0,1,1,4,3,75.0,529,66,180,224,131,13,529,13,9,5,1,7,6,20,30.0,14,11,3,8,4,17,30,0,0.4,0.4,-0.5,-0.5,0.4,0.4,0.6,0.6,0.6,0.04,1,1.1,0.28,0.1
Ipswich Town,Brighton,2024-09-14,D,A,0,0,0,0,0,0,32,0,38,8,42.1,34.6,18,17,51.4,21,8,38.1,11,52.4,197,1163,626,11,5,21,4,19.0,3,0,0,16,14,0,0,0,0,0,0,0,8,75.0,53.9,6,0.0,0.0,1,16.7,16.6,0,3,0,0,0,40,0,8.9,205,293,70.0,4,10,2,1,15,3856,1842,89,104,85.6,88,113,77.9,24,57,42.1,0,0,0,,0,0,,0,0,0,249,41,15,4,1,6,15,2,2,0,0,3,5,203,5,4,20,8,7,3,1,1,2,0,0,6,6,100.0,437,99,242,158,46,8,437,25,14,15,10,0,15,25,60.0,10,18,10,8,11,36,34,1,0.3,0.3,-1.3,-1.3,0.3,0.4,-0.3,-0.3,-0.3,0.06,0,2.1,0.41,2.1
Ipswich Town,Southampton,2024-09-21,D,A,1,1,0,0,0,1,47,0,24,5,4.2,21.0,18,8,69.2,17,8,47.1,8,47.1,305,1496,731,13,12,8,2,25.0,4,0,0,16,16,1,0,0,0,1,0,0,1,0.0,9.0,13,0.08,0.17,6,46.2,14.1,0,1,0,0,0,37,0,6.7,371,452,82.1,12,30,10,3,41,6314,2508,178,207,86.0,160,183,87.4,29,47,61.7,0,0,0,,0,0,,0,0,0,405,46,19,3,1,23,14,10,4,4,0,1,6,368,12,5,14,8,22,11,5,0,2,2,2,3,2,66.7,552,41,151,250,154,24,552,17,8,4,11,2,5,15,33.3,10,5,2,3,13,30,15,0,1.6,1.6,-0.8,-0.8,1.6,1.1,-0.6,-0.6,-1.6,0.13,0,1.2,0.41,0.2
Ipswich Town,Aston Villa,2024-09-29,D,H,2,2,0,0,0,2,44,0,22,2,18.2,25.6,8,7,53.3,16,10,62.5,5,31.3,312,1854,824,16,8,2,0,0.0,4,0,0,10,14,4,3,0,1,0,0,0,5,60.0,46.6,15,0.13,0.4,5,33.3,18.4,0,2,0,0,0,44,1,20.8,361,441,81.9,13,31,8,2,32,6330,2347,168,182,92.3,159,175,90.9,30,67,44.8,0,0,0,,0,0,,0,0,0,394,45,15,1,1,17,12,10,9,0,0,2,9,356,8,6,12,10,30,23,2,3,0,2,0,3,1,33.3,527,46,198,228,110,21,527,18,9,11,5,2,5,10,50.0,5,5,0,5,7,25,17,1,1.2,1.2,0.4,0.4,1.1,0.8,0.8,0.8,0.9,0.08,0,1.2,0.39,-0.8
Ipswich Town,West Ham,2024-10-05,L,A,1,4,-3,0,0,1,48,0,26,9,23.1,27.9,16,10,61.5,18,11,61.1,6,33.3,400,2113,1106,21,13,9,6,66.7,1,0,0,6,10,0,0,0,0,0,0,0,5,40.0,35.4,9,0.11,0.5,2,22.2,17.2,0,1,0,0,0,32,0,8.7,393,479,82.0,8,35,6,1,35,6555,2371,202,220,91.8,150,178,84.3,33,54,61.1,0,0,0,,0,0,,0,0,0,424,54,15,1,4,15,24,5,3,0,1,1,11,391,13,1,20,13,16,12,2,1,0,1,0,12,8,66.7,568,65,166,281,123,14,568,15,11,4,9,2,8,16,50.0,8,8,5,3,6,21,14,2,0.6,0.6,-2.9,-2.9,0.6,0.6,0.4,0.4,-0.6,0.07,0,3.3,0.28,-0.7
Ipswich Town,Everton,2024-10-19,L,H,0,2,-2,0,0,0,55,0,18,9,22.2,29.3,12,11,52.2,19,7,36.8,11,57.9,359,2035,1072,12,16,10,0,0.0,1,0,0,12,9,0,0,0,0,0,0,0,4,25.0,23.3,13,0.0,0.0,2,15.4,16.6,2,1,0,0,0,40,0,,449,539,83.3,11,31,8,3,48,7678,2548,208,226,92.0,203,229,88.6,33,67,49.3,0,0,0,,0,0,,0,1,0,500,38,8,2,3,27,18,5,4,1,0,1,7,446,16,5,12,7,25,18,2,2,0,3,0,8,6,75.0,647,56,193,302,155,22,647,13,9,9,3,1,6,15,40.0,9,12,0,12,9,22,17,3,1.3,1.3,-0.5,-0.5,1.1,0.8,-1.3,-1.3,-1.1,0.1,2,2.3,0.28,0.3
Ipswich Town,Brentford,2024-10-26,L,A,3,4,-1,0,0,3,35,0,26,5,57.7,41.0,14,25,35.9,6,3,50.0,3,50.0,191,1089,530,12,6,23,2,8.7,3,1,1,10,7,5,5,0,0,0,0,0,9,77.8,54.7,11,0.27,0.6,5,45.5,17.4,0,1,0,1,0,40,2,14.8,220,328,67.1,8,27,7,2,23,4290,1739,82,99,82.8,107,141,75.9,28,73,38.4,1,1,0,0.0,1,0,0.0,0,0,0,288,39,9,2,0,19,11,5,4,0,0,1,9,217,6,4,19,5,16,15,1,0,0,0,0,9,5,66.7,455,83,179,149,132,20,455,13,9,6,5,2,9,14,64.3,5,13,6,7,12,25,36,0,1.3,1.3,-2.8,-2.0,0.8,0.6,1.7,1.7,2.2,0.12,0,3.4,0.26,-0.6
Ipswich Town,Leicester City,2024-11-02,D,H,1,1,0,0,0,1,43,0,15,2,33.3,37.2,20,18,52.6,20,8,40.0,11,55.0,222,1304,566,13,6,14,3,21.4,6,1,1,11,10,2,2,0,0,0,0,0,12,58.3,43.2,14,0.07,0.5,2,14.3,16.9,1,0,0,0,0,32,0,4.7,266,359,74.1,10,25,3,0,23,4291,1574,141,158,89.2,102,122,83.6,17,57,29.8,0,0,0,,0,0,,0,0,0,307,52,9,1,1,12,25,4,2,2,0,0,8,265,6,7,16,10,26,15,6,1,2,2,0,5,4,80.0,487,71,179,166,145,24,487,16,7,6,8,2,12,24,50.0,12,16,9,7,9,25,23,0,1.0,1.0,-0.5,-0.5,0.9,0.9,0.0,0.0,0.1,0.07,1,1.1,0.22,0.1
