Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Leicester City,Tottenham,2024-08-19,D,H,1,1,0,0,0,1,30,0,21,5,52.4,46.0,8,9,47.1,19,7,36.8,9,47.4,212,1128,483,12,5,23,0,0.0,1,0,0,11,12,2,2,0,0,0,0,0,6,66.7,43.8,7,0.14,0.33,3,42.9,16.4,0,2,0,0,0,37,0,15.5,237,313,75.7,5,20,7,4,23,4016,1704,125,145,86.2,91,105,86.7,16,49,32.7,0,0,0,,0,0,,0,0,0,272,39,13,3,1,15,16,2,0,2,0,2,5,235,5,2,14,14,13,9,1,1,1,1,0,6,5,83.3,454,89,216,171,73,10,454,22,15,16,3,3,11,24,45.8,13,20,6,14,10,32,42,0,1.0,1.0,-0.1,-0.1,0.9,1.0,0.0,0.0,0.1,0.15,0,1.9,0.32,0.9
Leicester City,Fulham,2024-08-24,L,A,1,2,-1,0,0,1,46,0,35,8,17.1,28.3,13,16,44.8,18,7,38.9,7,38.9,337,1571,738,8,4,19,2,10.5,2,0,0,13,14,2,1,1,0,0,0,0,12,16.7,24.4,10,0.1,0.25,4,40.0,22.5,1,5,0,0,0,38,0,5.5,402,489,82.2,6,18,1,1,22,6986,2369,187,209,89.5,182,209,87.1,32,59,54.2,0,0,0,,0,0,,0,0,0,441,43,13,1,2,12,10,5,5,0,0,5,7,398,4,2,12,7,16,8,4,1,1,2,0,6,4,66.7,606,99,326,229,59,9,606,21,14,10,9,2,9,13,69.2,4,20,5,15,7,28,30,1,0.6,0.6,-1.2,-1.2,0.4,0.4,0.4,0.4,0.6,0.06,1,1.9,0.31,-0.1
Leicester City,Aston Villa,2024-08-31,L,H,1,2,-1,0,0,1,57,0,24,5,8.3,24.2,9,10,47.4,17,6,35.3,7,41.2,420,1938,910,13,10,9,0,0.0,4,0,0,13,21,2,1,0,1,0,0,0,4,0.0,10.8,9,0.11,0.33,3,33.3,20.6,0,3,0,0,0,45,5,20.0,471,545,86.4,5,40,5,1,31,7199,2461,248,267,92.9,161,175,92.0,36,59,61.0,0,0,0,,0,0,,0,0,0,506,36,22,1,3,18,6,1,1,0,0,3,7,467,10,2,18,10,15,11,1,1,0,2,0,5,3,60.0,653,49,149,381,131,15,653,22,11,4,14,4,7,20,35.0,13,10,2,8,11,33,18,0,0.4,0.4,-0.9,-0.9,0.3,1.0,0.6,0.6,0.7,0.05,0,2.3,0.47,0.3
Leicester City,Crystal Palace,2024-09-14,D,A,2,2,0,0,0,2,34,0,30,8,66.7,50.1,12,21,36.4,19,11,57.9,6,31.6,200,1256,563,9,8,21,1,4.8,3,0,0,15,10,3,2,0,1,0,0,0,6,100.0,61.3,9,0.22,0.5,4,44.4,19.2,0,0,0,1,0,37,0,5.3,229,333,68.8,9,14,6,0,16,4085,1848,102,130,78.5,92,111,82.9,27,68,39.7,1,1,0,0.0,1,0,0.0,0,0,0,284,49,14,2,0,8,24,2,1,1,0,0,10,228,8,2,13,18,16,8,3,3,1,1,0,4,2,75.0,460,74,190,202,77,14,460,19,8,11,5,3,5,9,55.6,4,26,10,16,8,27,22,0,1.2,1.2,-1.3,-0.5,1.2,1.1,0.8,0.8,0.8,0.14,0,1.8,0.25,-0.2
Leicester City,Everton,2024-09-21,D,H,1,1,0,0,0,1,58,0,25,6,28.0,30.5,17,12,58.6,18,8,44.4,9,50.0,416,2350,1240,22,15,9,1,11.1,1,0,0,11,12,0,0,0,0,0,0,0,8,12.5,15.5,12,0.08,0.5,2,16.7,16.0,0,2,0,0,0,41,0,5.0,426,522,81.6,9,34,10,6,44,6858,2900,224,245,91.4,141,168,83.9,37,65,56.9,0,0,0,,0,0,,0,0,0,462,58,17,1,2,29,25,6,4,0,0,2,9,421,15,3,24,9,21,17,3,0,0,1,0,5,4,80.0,636,62,203,258,182,26,636,24,17,12,7,5,13,20,65.0,7,13,6,7,4,28,15,0,0.7,0.7,-0.4,-0.4,0.4,0.8,0.3,0.3,-0.4,0.06,0,1.5,0.3,0.5
Leicester City,Arsenal,2024-09-28,L,A,2,4,-2,0,0,2,26,0,29,4,44.8,34.2,15,18,45.5,17,4,23.5,11,64.7,172,785,391,4,2,36,2,5.6,4,0,0,6,11,4,2,1,0,0,1,0,10,90.0,54.7,5,0.4,0.67,3,60.0,14.5,0,1,0,0,1,23,2,11.2,192,257,74.7,5,8,5,1,13,3330,1635,95,107,88.8,66,85,77.6,20,42,47.6,0,0,0,,0,0,,0,0,1,214,42,11,0,0,4,16,0,0,0,0,1,4,192,2,1,12,8,9,7,1,0,0,1,0,16,13,75.0,419,131,261,130,32,11,419,24,14,19,4,1,10,28,35.7,18,18,9,9,6,30,63,2,0.3,0.3,-4.1,-4.1,0.3,0.2,1.7,1.7,1.7,0.06,0,5.2,0.36,2.2
Leicester City,Bournemouth,2024-10-05,W,H,1,0,1,0,0,1,45,0,32,2,53.1,40.5,21,16,56.8,20,6,30.0,11,55.0,279,1541,747,19,6,25,2,8.0,4,0,0,12,14,2,1,0,1,0,0,0,14,71.4,48.3,6,0.17,0.5,2,33.3,18.8,0,2,0,0,0,46,0,4.5,306,404,75.7,5,19,3,1,20,5608,2666,134,150,89.3,116,139,83.5,40,77,51.9,0,0,0,,0,0,,0,0,0,346,56,15,4,0,6,26,0,0,0,0,2,9,302,6,4,19,11,12,10,0,2,0,0,0,2,2,100.0,537,92,260,206,73,11,537,14,10,8,5,1,4,13,30.8,9,17,6,11,7,21,40,0,0.8,0.8,-1.3,-1.3,0.8,0.4,0.2,0.2,0.2,0.13,0,0.8,0.39,0.8
Leicester City,Southampton,2024-10-19,W,A,3,2,1,1,0,2,58,1,27,8,33.3,35.1,7,12,36.8,20,7,35.0,13,65.0,338,1834,957,22,11,16,2,12.5,3,0,0,10,10,5,2,1,0,1,1,0,7,0.0,20.7,17,0.12,0.67,3,17.6,16.5,0,2,1,0,0,37,1,11.5,452,546,82.8,17,51,15,2,55,7867,2763,200,225,88.9,190,213,89.2,46,71,64.8,0,0,0,,0,0,,0,0,0,501,43,10,2,2,27,17,6,3,1,0,2,11,447,11,7,6,8,35,22,5,3,2,3,0,7,5,71.4,669,58,156,301,214,38,668,30,17,11,12,7,12,18,66.7,6,6,2,4,5,35,23,0,3.1,2.4,0.9,0.3,2.4,1.5,-0.1,-0.4,-0.4,0.14,0,2.6,0.37,0.6
Leicester City,Nott'ham Forest,2024-10-25,L,H,1,3,-2,0,0,1,65,0,28,6,25.0,31.0,24,15,61.5,20,6,30.0,11,55.0,511,2562,1339,35,15,19,0,0.0,5,0,0,16,9,2,2,0,0,0,0,0,8,0.0,11.5,11,0.09,1.0,1,9.1,21.5,0,0,0,0,0,45,3,21.2,518,615,84.2,10,57,10,2,55,8199,2974,263,294,89.5,209,230,90.9,28,55,50.9,0,0,0,,0,0,,0,0,0,564,51,10,2,3,26,23,6,4,1,0,0,8,509,15,6,16,8,18,16,1,1,0,0,0,5,2,40.0,740,69,188,376,184,24,740,14,10,8,4,2,5,20,25.0,15,15,6,9,6,20,26,1,0.8,0.8,-0.9,-0.9,0.7,1.0,0.2,0.2,0.3,0.07,0,1.7,0.34,-1.3
Leicester City,Ipswich Town,2024-11-02,D,A,1,1,0,0,0,1,57,0,32,5,46.9,39.0,18,20,47.4,26,12,46.2,12,46.2,352,1858,986,25,12,8,1,12.5,2,0,0,10,11,2,2,0,0,0,0,0,10,70.0,49.6,20,0.05,0.2,5,25.0,16.7,0,0,0,0,0,40,0,6.5,372,475,78.3,14,28,8,2,37,6774,2007,147,168,87.5,183,203,90.1,36,83,43.4,0,0,0,,0,0,,0,0,0,429,46,11,2,3,21,17,6,5,0,0,0,8,369,12,12,14,4,33,27,1,2,3,0,0,2,1,50.0,596,72,192,274,139,40,596,21,11,16,2,3,11,19,57.9,8,13,6,7,4,25,18,1,1.5,1.5,0.5,0.5,1.2,1.6,-0.5,-0.5,-0.2,0.08,0,0.6,0.29,-0.4
