Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Liverpool,Ipswich Town,2024-08-17,W,A,2,0,2,0,0,2,62,0,47,3,19.1,25.6,18,11,62.1,23,11,47.8,11,47.8,407,1886,974,25,13,4,0,0.0,1,0,0,18,8,4,4,0,0,0,0,0,4,0.0,9.0,18,0.11,0.4,5,27.8,14.8,0,0,0,0,0,40,1,19.5,520,620,83.9,12,35,10,1,39,8751,3005,254,281,90.4,208,231,90.0,46,82,56.1,0,0,0,,0,0,,0,0,0,567,53,14,6,4,23,24,10,8,1,0,0,9,514,13,12,9,9,29,24,0,2,3,0,0,2,2,100.0,720,83,275,252,200,46,720,9,4,4,2,3,5,8,62.5,3,14,2,12,5,14,17,1,2.6,2.6,2.1,2.1,2.0,2.4,-0.6,-0.6,-1.0,0.15,0,0.2,0.12,0.2
Liverpool,Brentford,2024-08-25,W,H,2,0,2,0,0,2,62,0,32,2,31.3,32.6,6,8,42.9,16,8,50.0,5,31.3,514,2388,1188,25,18,6,0,0.0,2,0,0,10,7,3,3,0,0,0,0,0,5,40.0,33.0,19,0.11,0.25,8,42.1,13.6,1,1,0,0,0,47,0,7.5,571,638,89.5,17,49,18,2,59,9545,3284,296,309,95.8,231,245,94.3,39,71,54.9,0,0,0,,0,0,,0,0,0,596,41,8,3,3,15,18,9,6,2,0,1,4,566,18,13,22,5,35,26,2,2,4,1,0,2,2,100.0,741,61,182,344,222,40,741,17,10,9,3,5,13,19,68.4,6,14,3,11,7,24,12,0,2.5,2.5,2.0,2.0,2.5,1.6,-0.5,-0.5,-0.5,0.14,1,0.8,0.39,0.8
Liverpool,Manchester Utd,2024-09-01,W,A,3,0,3,0,0,3,47,0,31,3,12.9,20.6,13,5,72.2,20,5,25.0,14,70.0,282,1688,934,20,16,14,1,7.1,1,0,0,7,7,6,6,0,0,0,0,0,5,0.0,15.4,11,0.27,1.0,3,27.3,13.4,0,2,0,0,0,53,5,17.7,414,497,83.3,9,21,8,3,30,6917,2308,189,212,89.2,196,223,87.9,22,46,47.8,0,0,0,,0,0,,0,0,0,458,37,7,1,3,6,22,2,1,0,0,2,5,410,16,10,8,18,21,16,0,2,1,0,2,3,3,100.0,615,77,210,273,139,26,615,24,17,13,8,3,13,21,61.9,8,13,0,13,10,34,28,0,1.8,1.8,0.4,0.4,1.4,1.1,1.2,1.2,1.6,0.16,0,0.6,0.21,0.6
Liverpool,Nott'ham Forest,2024-09-14,L,H,0,1,-1,0,0,0,68,0,16,1,12.5,21.1,21,12,63.6,20,6,30.0,13,65.0,465,2433,1306,27,16,5,0,0.0,4,0,0,15,6,0,0,0,0,0,0,0,4,0.0,13.3,14,0.0,0.0,5,35.7,14.9,0,0,0,0,0,47,1,21.3,543,655,82.9,13,51,9,3,63,8838,3200,283,312,90.7,203,240,84.6,39,68,57.4,0,0,0,,0,0,,0,0,0,600,55,11,0,6,19,31,7,4,2,0,0,11,537,16,11,14,9,27,19,4,1,2,0,1,3,2,66.7,760,35,160,406,199,31,760,12,8,2,8,2,5,11,45.5,6,5,0,5,11,23,16,0,0.9,0.9,0.5,0.5,0.9,1.4,-0.9,-0.9,-0.9,0.07,0,0.7,0.25,-0.3
Liverpool,Bournemouth,2024-09-21,W,H,3,0,3,0,0,3,58,0,37,8,13.5,21.6,9,6,60.0,21,16,76.2,5,23.8,526,2435,1191,30,16,17,1,5.9,1,0,0,10,11,6,6,0,0,0,0,0,7,14.3,18.9,19,0.16,0.25,12,63.2,16.6,0,0,0,0,0,44,0,10.0,546,619,88.2,18,40,12,1,39,8589,3369,310,326,95.1,194,216,89.8,30,54,55.6,0,0,0,,0,0,,0,0,0,574,45,15,1,2,8,19,3,2,1,0,0,9,542,16,11,13,15,38,30,1,6,0,1,0,6,6,100.0,737,94,276,315,151,28,737,20,14,10,9,1,12,23,52.2,11,10,4,6,6,26,24,1,2.0,2.0,0.9,0.9,1.9,1.0,1.0,1.0,1.1,0.11,0,1.5,0.25,1.5
Liverpool,Wolves,2024-09-28,W,A,2,1,1,1,0,1,55,1,27,3,18.5,28.1,10,10,50.0,12,4,33.3,7,58.3,317,1753,887,20,16,13,1,7.7,3,0,0,8,15,4,3,0,0,0,1,0,5,0.0,13.8,9,0.11,0.2,5,55.6,18.0,1,2,1,0,0,45,2,14.6,476,574,82.9,7,30,10,3,42,8170,2729,211,238,88.7,225,252,89.3,30,61,49.2,0,0,0,,0,0,,0,0,0,526,46,15,0,3,21,14,10,5,3,0,2,6,470,16,10,9,7,16,12,1,0,1,2,0,3,2,66.7,655,57,202,295,162,35,654,10,9,3,5,2,4,11,36.4,7,11,2,9,7,17,12,1,2.5,1.7,1.9,1.1,1.1,1.2,-0.5,-0.7,-0.1,0.19,1,1.1,0.37,0.1
Liverpool,Crystal Palace,2024-10-05,W,A,1,0,1,0,0,1,68,0,41,11,29.3,28.6,27,7,79.4,9,8,88.9,0,0.0,448,2420,1222,20,12,8,0,0.0,2,0,0,15,7,2,2,0,0,0,0,0,7,42.9,33.7,16,0.06,0.25,4,25.0,18.9,0,0,0,0,0,43,1,13.1,584,691,84.5,16,46,8,0,54,10190,3431,258,283,91.2,260,286,90.9,50,85,58.8,0,0,0,,0,0,,0,0,0,645,46,8,3,6,16,22,8,7,0,0,0,12,578,12,10,16,8,31,28,2,0,0,1,0,5,5,100.0,778,69,217,368,199,26,778,13,6,5,7,1,7,11,63.6,4,4,0,4,13,26,15,0,1.4,1.4,0.8,0.8,1.4,1.5,-0.4,-0.4,-0.4,0.09,0,1.0,0.23,1.0
Liverpool,Chelsea,2024-10-20,W,H,2,1,1,1,0,1,43,1,35,4,45.7,37.5,6,10,37.5,10,5,50.0,4,40.0,284,1218,555,10,6,14,0,0.0,4,0,0,12,13,4,2,0,0,1,1,0,9,44.4,33.9,8,0.13,0.25,4,50.0,22.7,1,5,1,0,0,40,1,17.0,345,439,78.6,6,22,3,1,29,5920,2024,165,185,89.2,148,165,89.7,27,72,37.5,0,0,0,,0,0,,0,0,0,394,40,11,2,3,4,17,1,1,0,0,5,8,339,6,4,9,8,17,14,0,0,1,2,0,2,1,50.0,527,81,197,254,84,15,526,25,18,12,10,3,17,27,63.0,10,11,4,7,6,31,18,0,1.9,1.1,0.9,0.2,1.0,0.3,0.1,-0.1,0.0,0.14,1,0.9,0.43,-0.1
Liverpool,Arsenal,2024-10-27,D,A,2,2,0,0,0,2,55,0,33,3,66.7,41.5,11,18,37.9,18,9,50.0,4,22.2,339,1313,637,9,7,7,0,0.0,2,0,0,14,14,4,3,1,0,0,0,0,9,22.2,23.7,9,0.22,0.5,4,44.4,17.8,0,1,0,0,0,31,0,8.3,411,514,80.0,6,31,7,1,28,7165,2295,189,205,92.2,182,207,87.9,29,73,39.7,0,0,0,,0,0,,0,0,0,462,51,16,1,2,24,20,3,3,0,0,1,12,407,7,4,12,13,15,13,1,1,0,0,0,3,1,33.3,605,70,212,238,158,23,605,16,9,9,6,1,6,12,50.0,6,9,2,7,5,21,22,0,0.8,0.8,-0.1,-0.1,0.7,1.1,1.2,1.2,1.3,0.09,0,1.7,0.58,-0.3
Liverpool,Brighton,2024-11-02,W,H,2,1,1,0,0,2,49,0,23,4,17.4,26.8,10,8,55.6,16,8,50.0,8,50.0,315,1627,826,17,7,10,0,0.0,1,0,0,10,16,4,4,0,0,0,0,0,4,0.0,17.3,16,0.13,0.25,8,50.0,14.0,0,1,0,0,0,46,2,20.8,389,483,80.5,12,30,11,2,37,6831,2530,174,197,88.3,176,202,87.1,33,66,50.0,0,0,0,,0,0,,0,0,0,432,50,18,0,4,18,17,9,9,0,0,1,6,387,7,6,13,10,30,19,4,4,2,1,0,5,4,80.0,602,62,203,287,116,28,602,28,19,15,10,3,17,25,68.0,8,12,4,8,10,38,15,0,1.6,1.6,0.6,0.6,1.3,1.0,0.4,0.4,0.7,0.1,0,0.5,0.1,-0.5
