Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Manchester City,Chelsea,2024-08-18,W,A,2,0,2,0,0,2,52,0,34,5,23.5,30.7,5,3,62.5,30,15,50.0,8,26.7,385,2736,1620,41,31,12,1,8.3,1,0,0,9,12,3,1,0,2,0,0,0,5,20.0,28.6,11,0.18,0.4,5,45.5,19.1,0,1,0,0,0,41,0,11.0,501,570,87.9,8,29,6,0,32,8217,2491,256,281,91.1,216,229,94.3,27,46,58.7,0,0,0,,0,0,,0,0,0,528,41,14,2,1,11,18,3,2,0,0,1,7,496,31,13,8,12,19,16,0,3,0,0,0,3,3,100.0,664,76,238,261,178,24,664,16,9,10,4,2,7,11,63.6,4,6,4,2,10,26,18,0,0.8,0.8,-0.2,-0.2,0.6,0.9,1.2,1.2,0.4,0.07,0,0.7,0.23,0.7
Manchester City,Ipswich Town,2024-08-24,W,H,4,1,3,1,0,3,75,1,23,1,4.3,24.8,5,7,41.7,20,11,55.0,7,35.0,501,2654,1510,27,27,5,0,0.0,2,0,0,4,15,8,5,0,1,0,1,1,1,0.0,8.0,13,0.23,0.75,4,30.8,17.8,1,3,1,0,0,32,1,19.5,726,796,91.2,11,61,18,4,60,11491,2774,390,418,93.3,281,300,93.7,42,49,85.7,0,0,0,,0,0,,0,0,0,747,46,13,2,2,17,20,10,3,1,0,3,13,718,27,11,16,10,28,22,2,1,0,2,1,1,0,0.0,884,33,126,363,401,47,883,14,6,5,4,5,6,8,75.0,2,8,0,8,6,20,9,0,3.3,2.6,3.1,2.3,2.3,1.9,0.7,0.4,-0.3,0.2,1,0.3,0.29,-0.7
Manchester City,West Ham,2024-08-31,W,A,3,1,2,0,0,3,67,0,32,2,18.8,28.1,7,9,43.8,19,12,63.2,3,15.8,461,2857,1695,39,20,10,0,0.0,2,0,0,3,10,5,4,0,1,0,0,0,6,16.7,21.2,23,0.13,0.38,8,34.8,15.0,1,1,0,0,1,43,2,24.0,691,762,90.7,20,67,19,1,77,11460,3117,361,389,92.8,265,288,92.0,58,70,82.9,0,0,0,,0,0,,0,0,1,722,39,9,4,2,22,11,11,2,3,1,1,9,681,20,16,7,8,42,31,5,2,3,1,0,2,2,50.0,857,74,195,362,303,57,857,15,12,8,4,3,5,15,33.3,10,14,3,11,7,22,19,1,3.0,3.0,2.3,2.3,2.7,2.7,0.0,0.0,0.3,0.13,1,0.2,0.09,0.2
Manchester City,Brentford,2024-09-14,W,H,2,1,1,0,0,2,54,0,41,2,29.3,31.7,6,11,35.3,14,3,21.4,8,57.1,341,2101,1111,25,22,9,0,0.0,3,0,0,9,3,2,2,0,0,0,0,0,3,100.0,67.7,18,0.11,0.29,7,38.9,17.2,0,1,0,0,0,38,6,16.3,507,581,87.3,16,35,19,0,55,8423,2436,270,293,92.2,192,209,91.9,38,53,71.7,0,0,0,,0,0,,0,0,0,540,40,4,1,2,15,19,12,4,0,0,1,12,495,22,14,16,12,32,29,2,0,1,0,0,5,4,80.0,671,47,151,195,329,51,671,12,5,5,3,4,6,9,66.7,3,8,1,7,5,17,13,3,2.1,2.1,1.1,1.1,2.0,1.5,-0.1,-0.1,-1.0,0.12,0,2.1,0.46,1.1
Manchester City,Arsenal,2024-09-22,D,H,2,2,0,0,0,2,77,0,24,0,25.0,30.5,16,11,59.3,21,10,47.6,9,42.9,601,3387,2010,59,38,7,0,0.0,3,0,0,7,10,3,1,0,1,1,0,0,3,0.0,16.3,33,0.06,0.18,11,33.3,20.2,1,0,0,0,0,39,2,23.3,669,749,89.3,27,44,16,6,54,9984,2410,390,416,93.8,239,262,91.2,32,51,62.7,0,0,0,,0,0,,0,1,0,705,44,10,3,2,24,20,8,3,0,0,0,12,658,38,17,10,7,64,55,1,3,3,1,1,3,1,33.3,847,34,112,236,504,53,847,10,5,2,5,3,4,8,50.0,4,2,0,2,3,13,9,1,2.1,2.1,1.5,1.5,1.7,2.9,-0.1,-0.1,-0.7,0.07,1,1.5,0.49,-0.5
Manchester City,Newcastle Utd,2024-09-28,D,A,1,1,0,0,0,1,62,0,44,7,31.8,31.0,6,13,31.6,24,13,54.2,7,29.2,493,2605,1395,31,22,13,0,0.0,4,0,0,10,14,2,1,0,1,0,0,0,5,20.0,21.8,16,0.06,0.17,6,37.5,17.6,0,0,0,1,0,45,0,11.0,511,598,85.5,13,31,12,0,40,7944,2334,291,315,92.4,181,201,90.0,28,60,46.7,1,1,0,0.0,1,0,0.0,0,0,0,556,42,15,5,3,19,14,6,2,3,0,0,8,506,22,12,15,8,31,27,1,2,0,1,0,4,3,100.0,705,70,200,272,240,38,705,15,11,2,12,1,2,10,20.0,8,8,3,5,7,22,21,0,0.9,0.9,-0.7,0.1,0.8,1.4,0.1,0.1,0.2,0.06,0,1.1,0.11,0.1
Manchester City,Fulham,2024-10-05,W,H,3,2,1,0,0,3,58,0,28,3,14.3,25.7,7,5,58.3,28,11,39.3,13,46.4,506,2724,1480,31,16,11,0,0.0,2,0,0,4,10,5,4,0,0,0,0,1,1,0.0,19.0,20,0.15,0.43,7,35.0,17.6,1,0,0,0,0,39,3,23.8,592,663,89.3,14,42,10,2,58,9069,2539,300,324,92.6,246,270,91.1,27,35,77.1,0,0,0,,0,0,,0,0,0,629,34,12,3,1,16,10,8,6,0,0,0,13,585,16,9,11,10,32,19,2,5,3,2,1,4,2,50.0,770,41,120,378,278,39,770,10,7,4,3,3,6,11,54.5,5,11,4,7,4,14,20,1,1.6,1.6,-1.0,-1.0,1.3,1.3,1.4,1.4,0.7,0.08,1,2.5,0.62,0.5
Manchester City,Wolves,2024-10-20,W,A,2,1,1,0,0,2,77,0,12,3,0.0,21.3,13,14,48.1,30,10,33.3,12,40.0,601,3597,2182,65,42,3,0,0.0,1,0,0,5,8,4,2,1,0,1,0,0,3,0.0,18.0,22,0.09,0.29,7,31.8,18.3,2,1,0,0,0,43,3,22.0,686,795,86.3,19,57,26,1,100,10077,2543,389,424,91.7,251,284,88.4,25,42,59.5,0,0,0,,0,0,,0,0,0,742,52,9,1,0,40,20,18,10,3,0,1,23,681,42,23,10,14,42,27,6,3,4,2,0,2,1,50.0,890,14,82,269,546,80,890,14,10,2,6,6,4,8,50.0,4,6,0,6,3,17,5,0,1.6,1.6,0.8,0.8,1.5,2.5,0.4,0.4,0.5,0.07,2,1.3,0.64,0.3
Manchester City,Southampton,2024-10-26,W,H,1,0,1,0,0,1,57,0,20,2,25.0,29.4,6,8,42.9,12,9,75.0,2,16.7,526,2460,1383,38,20,1,0,0.0,1,0,0,9,9,2,2,0,0,0,0,0,3,0.0,28.3,22,0.05,0.14,7,31.8,16.6,0,1,0,0,0,32,1,17.0,595,660,90.2,19,48,22,3,65,9155,2147,317,333,95.2,233,250,93.2,28,47,59.6,0,0,0,,0,0,,0,0,0,620,39,11,2,2,29,12,12,11,0,0,1,8,592,20,16,3,12,40,33,4,1,1,1,0,2,2,100.0,735,30,84,237,418,52,735,12,7,2,6,4,9,15,60.0,6,6,1,5,10,22,14,0,2.9,2.9,2.7,2.7,2.8,2.7,-1.9,-1.9,-1.8,0.13,0,0.1,0.03,0.1
Manchester City,Bournemouth,2024-11-02,L,A,1,2,-1,0,0,1,64,0,48,8,16.7,27.7,14,13,51.9,17,6,35.3,6,35.3,510,2751,1497,31,14,12,1,8.3,1,0,0,6,11,2,2,0,0,0,0,0,7,0.0,19.0,18,0.06,0.25,4,22.2,14.5,0,0,0,0,0,30,0,11.5,570,652,87.4,13,38,13,4,47,9282,2753,293,312,93.9,222,247,89.9,43,70,61.4,0,0,0,,0,0,,0,0,0,602,50,13,1,2,27,17,10,6,2,0,0,7,560,14,12,16,10,34,31,0,1,1,1,0,6,4,66.7,748,58,199,280,276,44,748,14,7,8,3,3,5,16,31.3,11,9,2,7,5,19,9,1,1.6,1.6,-0.5,-0.5,1.0,1.9,-0.6,-0.6,0.0,0.09,0,2.4,0.42,0.4
