Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Manchester Utd,Fulham,2024-08-16,W,H,1,0,1,0,0,1,55,0,23,6,43.5,35.1,19,16,54.3,21,8,38.1,11,52.4,420,2298,1138,15,18,16,2,12.5,2,0,0,12,10,2,2,0,0,0,0,0,6,0.0,8.5,14,0.07,0.2,5,35.7,17.6,0,3,0,0,0,58,4,16.3,430,524,82.1,10,31,7,2,43,6600,2181,207,231,89.6,158,188,84.0,32,54,59.3,0,0,0,,0,0,,0,0,0,483,38,9,1,2,18,15,7,3,2,0,3,7,428,18,4,10,13,24,23,1,0,0,0,0,2,2,100.0,640,67,170,292,183,22,640,21,14,9,9,3,12,20,60.0,8,11,3,8,19,40,22,0,2.4,2.4,2.0,2.0,2.0,1.0,-1.4,-1.4,-1.0,0.17,0,0.9,0.46,0.9
Manchester Utd,Brighton,2024-08-24,L,A,1,2,-1,0,0,1,52,0,54,9,24.1,27.1,6,8,42.9,22,10,45.5,9,40.9,433,2146,1069,15,14,9,0,0.0,2,0,0,13,8,2,2,0,0,0,0,0,4,0.0,9.0,11,0.09,0.33,3,27.3,16.3,0,6,0,0,0,50,1,14.6,470,552,85.1,11,28,7,2,34,8021,3065,214,238,89.9,214,231,92.6,34,53,64.2,0,0,0,,0,0,,0,1,0,512,34,9,4,1,12,14,4,2,0,1,6,11,466,14,7,7,8,21,18,2,0,1,0,0,4,2,50.0,643,87,290,247,110,26,643,19,11,13,3,3,14,24,58.3,10,12,4,8,12,31,9,0,1.4,1.4,-0.7,-0.7,1.4,1.3,-0.4,-0.4,-0.4,0.13,0,2.5,0.63,0.5
Manchester Utd,Liverpool,2024-09-01,L,H,0,3,-3,0,0,0,53,0,47,4,19.1,26.3,5,13,27.8,22,8,36.4,13,59.1,407,2038,916,12,5,6,0,0.0,4,0,0,7,7,0,0,0,0,0,0,0,8,25.0,22.1,8,0.0,0.0,3,37.5,15.6,0,0,0,0,0,51,3,27.3,453,556,81.5,7,31,6,3,33,7103,2494,215,243,88.5,185,212,87.3,28,55,50.9,0,0,0,,0,0,,0,0,0,504,52,9,1,1,19,26,5,3,0,1,0,14,446,5,8,19,11,16,16,0,0,0,0,0,3,0,0.0,661,73,248,287,133,26,661,32,20,15,14,3,14,19,73.7,5,6,1,5,7,39,10,4,1.4,1.4,-0.4,-0.4,1.3,1.0,-1.4,-1.4,-1.3,0.17,0,2.4,0.81,-0.6
Manchester Utd,Southampton,2024-09-14,W,A,3,0,3,0,0,3,56,0,32,3,21.9,28.9,7,4,63.6,25,14,56.0,7,28.0,466,2277,1169,27,13,6,0,0.0,4,0,0,14,11,6,4,2,0,0,0,0,3,0.0,9.7,20,0.15,0.3,10,50.0,17.4,0,0,0,1,0,45,0,13.0,576,640,90.0,17,41,15,1,54,9585,2992,283,308,91.9,264,279,94.6,27,44,61.4,1,0,1,100.0,0,1,100.0,0,0,0,601,39,11,5,3,9,17,7,2,0,3,0,8,569,13,8,10,14,39,36,2,0,0,0,1,3,2,100.0,744,56,203,374,174,34,744,22,13,8,10,4,13,17,76.5,4,8,2,6,12,34,12,0,2.6,2.6,1.5,2.3,2.6,2.2,0.4,0.4,0.4,0.13,0,1.0,0.09,1.0
Manchester Utd,Crystal Palace,2024-09-21,D,A,0,0,0,0,0,0,67,0,42,5,16.7,22.5,18,13,58.1,16,7,43.8,8,50.0,524,2651,1284,18,14,11,0,0.0,2,0,0,12,6,0,0,0,0,0,0,0,4,0.0,18.3,15,0.0,0.0,6,40.0,13.9,0,0,0,0,0,44,1,14.0,586,698,84.0,12,38,10,0,57,9740,3065,275,301,91.4,266,294,90.5,37,80,46.3,0,0,0,,0,0,,0,0,0,643,55,8,5,2,23,31,11,4,1,2,0,11,576,14,7,15,14,27,19,4,1,2,1,0,4,4,100.0,814,48,209,397,214,31,814,14,8,1,9,4,6,10,60.0,4,8,2,6,9,23,15,0,1.6,1.6,0.6,0.6,1.3,1.3,-1.6,-1.6,-1.3,0.12,0,0.5,0.13,0.5
Manchester Utd,Tottenham,2024-09-29,L,H,0,3,-3,0,0,0,39,0,25,9,36.0,32.6,6,8,42.9,9,2,22.2,6,66.7,308,1440,624,7,6,10,1,10.0,5,1,0,16,11,0,0,0,0,0,0,0,10,60.0,45.7,11,0.0,0.0,2,18.2,15.1,0,2,0,0,0,43,0,5.0,336,436,77.1,9,30,5,2,32,5950,2476,182,202,90.1,114,138,82.6,35,70,50.0,0,0,0,,0,0,,0,1,0,391,43,15,4,3,21,9,5,5,0,0,2,16,333,6,6,14,1,20,18,2,0,0,0,0,10,7,70.0,555,85,251,179,129,24,555,27,15,17,7,3,12,18,66.7,6,14,6,8,17,44,16,0,1.0,1.0,-3.4,-3.4,0.8,0.5,-1.0,-1.0,-0.8,0.09,0,3.4,0.35,0.4
Manchester Utd,Aston Villa,2024-10-06,D,A,0,0,0,0,0,0,47,0,25,3,40.0,39.8,14,8,63.6,12,4,33.3,8,66.7,255,1297,636,11,10,16,1,6.3,5,0,0,11,12,0,0,0,0,0,0,0,11,36.4,28.7,10,0.0,0.0,4,40.0,21.5,1,1,0,0,0,37,0,4.0,320,396,80.8,6,26,3,1,24,5203,1953,182,206,88.3,103,121,85.1,26,55,47.3,0,0,0,,0,0,,0,0,0,355,40,11,2,3,9,14,3,0,3,0,1,2,316,10,4,15,4,15,8,1,2,2,1,1,1,1,100.0,508,67,171,237,104,9,508,21,12,13,4,4,9,16,56.3,7,12,3,9,12,33,24,0,0.6,0.6,0.1,0.1,0.2,0.4,-0.6,-0.6,-0.2,0.06,1,0.4,0.39,0.4
Manchester Utd,Brentford,2024-10-19,W,H,2,1,1,0,0,2,50,0,41,4,61.0,41.6,22,18,55.0,12,5,41.7,7,58.3,351,1802,986,25,11,8,1,12.5,2,0,0,4,5,4,4,0,0,0,0,0,7,42.9,31.0,23,0.09,0.18,11,47.8,18.7,0,1,0,0,0,46,0,9.0,435,530,82.1,20,41,11,3,46,7200,2753,227,250,90.8,160,180,88.9,36,73,49.3,0,0,0,,0,0,,0,1,0,485,44,8,1,6,19,18,9,4,4,0,1,8,429,11,11,14,8,42,35,3,2,1,0,1,2,1,50.0,640,48,177,308,164,33,640,25,16,13,6,6,12,24,50.0,12,5,1,4,8,33,25,0,1.3,1.3,0.5,0.5,1.3,1.0,0.7,0.7,0.7,0.06,0,1.1,0.53,0.1
Manchester Utd,West Ham,2024-10-27,L,A,1,2,-1,0,0,1,58,0,31,6,32.3,30.7,14,13,51.9,14,7,50.0,7,50.0,417,2033,1008,17,15,15,1,6.7,1,0,0,7,6,1,0,0,0,1,0,0,6,16.7,28.0,18,0.06,0.2,5,27.8,18.0,1,3,0,1,0,41,0,11.0,486,595,81.7,14,46,10,3,47,8131,2578,245,279,87.8,174,202,86.1,52,86,60.5,1,1,0,0.0,1,0,0.0,0,0,0,546,46,8,6,6,24,24,5,3,2,0,3,9,483,15,7,12,4,35,28,1,3,1,2,0,3,1,66.7,714,76,210,318,188,32,714,19,11,6,10,3,6,16,37.5,10,13,1,12,6,25,31,1,2.3,2.3,-0.5,0.2,2.1,1.2,-1.3,-1.3,-1.1,0.13,1,2.0,0.37,0.0
Manchester Utd,Chelsea,2024-11-03,D,H,1,1,0,1,0,0,46,1,36,7,33.3,32.5,8,17,32.0,24,10,41.7,11,45.8,306,1718,813,17,9,12,1,8.3,6,0,0,19,13,2,1,0,0,0,1,0,7,28.6,25.9,10,0.0,0.0,3,30.0,18.3,1,4,1,0,0,41,0,8.7,344,441,78.0,7,24,4,1,30,6002,2133,153,178,86.0,164,186,88.2,22,59,37.3,0,0,0,,0,0,,0,1,0,400,37,12,2,0,13,12,4,2,0,0,4,9,339,9,5,5,9,21,15,1,1,0,2,2,3,2,66.7,554,67,225,222,113,19,553,22,13,11,9,2,9,24,37.5,15,15,5,10,11,33,20,3,2.0,1.2,0.9,0.1,0.7,0.4,-1.0,-1.2,-0.7,0.12,1,0.7,0.25,-0.3
