Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Newcastle Utd,Southampton,2024-08-17,W,H,1,0,1,0,0,1,23,0,16,2,81.3,52.4,7,9,43.8,7,1,14.3,5,71.4,108,694,373,8,6,24,1,4.2,2,1,0,15,16,2,1,0,0,0,0,1,10,100.0,65.6,3,0.33,1.0,1,33.3,13.2,0,1,0,0,0,31,1,20.5,128,207,61.8,3,6,4,0,15,2221,1134,72,93,77.4,36,53,67.9,15,50,30.0,0,0,0,,0,0,,0,0,0,163,43,18,0,1,12,11,3,3,0,0,1,6,127,6,1,10,8,6,2,1,0,0,2,1,3,3,100.0,317,84,150,101,72,12,317,16,14,8,7,1,7,13,53.8,6,24,11,13,4,20,39,0,0.3,0.3,-1.5,-1.5,0.3,0.2,0.7,0.7,0.7,0.08,0,0.4,0.14,0.4
Newcastle Utd,Bournemouth,2024-08-25,D,A,1,1,0,0,0,1,61,0,27,6,18.5,27.1,10,13,43.5,15,6,40.0,7,46.7,388,1986,844,19,14,14,1,7.1,2,0,0,8,19,2,2,0,0,0,0,0,9,66.7,49.4,14,0.07,0.2,5,35.7,12.6,0,0,0,0,0,59,6,19.2,428,552,77.5,14,32,15,5,45,7309,3014,209,237,88.2,185,213,86.9,29,68,42.6,0,0,0,,0,0,,0,0,0,487,65,20,1,4,26,25,9,4,2,0,0,20,422,14,8,17,14,26,22,2,1,1,0,0,4,3,75.0,658,70,224,283,156,31,658,21,12,9,9,3,12,14,85.7,2,10,4,6,4,25,16,1,1.6,1.6,-0.6,-0.6,1.7,1.4,-0.6,-0.6,-0.7,0.12,0,1.1,0.28,0.1
Newcastle Utd,Tottenham,2024-09-01,W,H,2,1,1,0,0,2,35,0,22,5,68.2,47.7,9,13,40.9,20,8,40.0,10,50.0,217,1081,438,9,4,22,1,4.5,4,0,0,16,13,4,3,1,0,0,0,0,9,66.7,53.4,9,0.22,0.67,3,33.3,14.0,0,2,0,0,1,40,2,15.7,207,296,69.9,6,15,4,1,13,3548,1659,105,123,85.4,69,83,83.1,25,60,41.7,0,0,0,,0,0,,0,0,1,243,51,17,1,1,12,16,7,5,2,0,2,12,206,4,4,11,12,15,10,3,0,1,0,1,6,6,83.3,443,92,217,153,79,13,443,17,8,7,5,5,13,23,56.5,10,22,7,15,14,31,32,1,1.8,1.8,0.6,0.6,1.8,1.4,0.2,0.2,0.2,0.2,0,1.5,0.26,1.5
Newcastle Utd,Wolves,2024-09-15,W,A,2,1,1,0,0,2,51,0,28,3,32.1,37.0,13,8,61.9,22,12,54.5,8,36.4,398,2086,1057,26,11,13,1,7.7,3,0,0,6,16,4,3,0,1,0,0,0,6,0.0,19.2,14,0.14,0.33,6,42.9,17.9,0,2,0,0,0,33,2,17.0,434,505,85.9,13,44,8,1,47,7391,2621,208,229,90.8,194,216,89.8,29,48,60.4,0,0,0,,0,0,,0,0,0,452,51,20,1,3,13,16,7,3,1,0,2,9,429,11,6,6,15,27,19,1,5,1,1,0,5,4,80.0,609,62,189,251,172,20,609,14,9,6,7,1,8,23,34.8,15,10,1,9,5,19,25,1,1.5,1.5,0.3,0.3,1.5,1.2,0.5,0.5,0.5,0.11,0,1.3,0.25,0.3
Newcastle Utd,Fulham,2024-09-21,L,A,1,3,-2,0,0,1,61,0,17,8,5.9,24.4,15,6,71.4,15,7,46.7,5,33.3,465,2334,957,15,13,13,0,0.0,0,0,0,8,16,2,2,0,0,0,0,0,11,18.2,23.6,16,0.06,0.2,5,31.3,16.9,1,6,0,0,0,37,0,2.0,537,605,88.8,12,33,7,3,46,8977,3070,260,280,92.9,232,247,93.9,36,57,63.2,0,0,0,,0,0,,0,0,0,549,50,16,6,3,12,19,0,0,0,0,6,3,531,13,6,17,14,30,22,2,1,1,3,1,11,8,72.7,702,81,288,269,148,18,702,9,5,6,2,1,7,11,63.6,4,6,2,4,10,19,15,3,1.5,1.5,-0.7,-0.7,0.9,0.8,-0.5,-0.5,0.1,0.1,1,3.0,0.29,0.0
Newcastle Utd,Manchester City,2024-09-28,D,H,1,1,0,1,0,0,38,1,18,6,33.3,35.1,13,6,68.4,12,8,66.7,2,16.7,271,1408,642,14,5,16,1,6.3,4,0,0,14,10,2,1,0,0,0,1,0,8,25.0,30.4,10,0.0,0.0,3,30.0,15.1,0,1,1,0,0,45,1,14.0,285,368,77.4,9,26,10,3,30,5019,2088,152,178,85.4,100,116,86.2,32,66,48.5,0,0,0,,0,0,,0,0,0,329,38,9,3,2,16,14,5,5,0,0,1,5,284,5,7,9,13,21,16,2,0,2,1,0,6,5,83.3,463,77,179,167,122,24,462,15,7,10,4,1,7,20,35.0,13,12,6,6,10,25,23,1,1.6,0.8,0.7,-0.1,0.8,0.7,-0.6,-0.8,-0.8,0.08,0,1.4,0.23,0.4
Newcastle Utd,Everton,2024-10-05,D,A,0,0,0,0,1,0,67,1,25,6,12.0,24.4,11,13,45.8,20,6,30.0,9,45.0,525,2950,1558,28,18,2,1,50.0,2,0,0,8,12,0,0,0,0,0,0,0,7,14.3,22.6,13,0.0,0.0,1,7.7,13.8,0,3,1,0,0,53,0,11.8,594,703,84.5,9,34,8,2,54,9922,3240,290,325,89.2,263,293,89.8,37,64,57.8,0,0,0,,0,0,,0,0,0,653,47,13,2,3,22,16,10,9,0,0,3,8,590,18,11,12,10,26,20,4,0,0,2,0,2,2,100.0,816,54,276,365,179,40,815,25,13,12,9,4,9,22,40.9,13,14,1,13,8,33,8,0,2.1,1.3,1.4,0.6,1.1,1.0,-2.1,-1.3,-1.1,0.1,0,0.6,0.28,0.6
Newcastle Utd,Brighton,2024-10-19,L,H,0,1,-1,0,0,0,60,0,21,9,19.0,24.4,10,16,38.5,21,10,47.6,8,38.1,461,2515,1261,25,12,8,0,0.0,2,0,0,11,8,0,0,0,0,0,0,0,7,14.3,27.1,21,0.0,0.0,6,28.6,17.3,2,3,0,0,0,51,1,15.0,479,599,80.0,16,44,11,0,57,8081,2728,229,270,84.8,222,246,90.2,26,61,42.6,0,0,0,,0,0,,0,0,0,551,45,7,4,1,23,20,9,6,0,1,3,10,478,12,10,13,18,38,25,4,2,3,3,1,5,4,80.0,719,43,167,334,227,42,719,26,19,4,15,7,14,17,82.4,3,11,2,9,13,39,7,1,2.0,2.0,0.9,0.9,1.8,1.3,-2.0,-2.0,-1.8,0.1,2,1.7,0.34,0.7
Newcastle Utd,Chelsea,2024-10-27,L,A,1,2,-1,0,0,1,50,0,30,12,23.3,29.3,14,13,51.9,13,6,46.2,4,30.8,372,1733,789,7,6,16,2,12.5,3,0,0,16,13,2,2,0,0,0,0,0,7,14.3,23.0,11,0.09,0.5,2,18.2,14.0,1,1,0,0,0,37,5,12.2,400,495,80.8,9,33,10,1,37,7138,2719,180,213,84.5,177,193,91.7,41,74,55.4,0,0,0,,0,0,,0,0,0,445,49,14,2,0,11,21,4,4,0,0,1,12,400,6,3,16,8,20,13,3,0,2,2,0,7,5,71.4,581,84,247,223,116,23,581,13,8,4,7,2,7,14,50.0,7,10,4,6,6,19,13,2,1.8,1.8,0.2,0.2,1.7,1.3,-0.8,-0.8,-0.7,0.16,1,1.9,0.28,-0.1
Newcastle Utd,Arsenal,2024-11-02,W,H,1,0,1,0,0,1,37,0,17,1,70.6,45.2,18,14,56.3,10,6,60.0,3,30.0,208,1108,512,10,6,21,2,9.5,4,0,0,16,18,2,2,0,0,0,0,0,11,100.0,64.5,9,0.11,0.25,4,44.4,14.6,0,0,0,0,0,40,0,6.9,218,321,67.9,7,16,5,1,24,3658,1497,106,122,86.9,91,115,79.1,17,67,25.4,0,0,0,,0,0,,0,0,0,269,52,18,1,3,13,18,4,2,2,0,0,12,215,6,5,9,14,18,17,0,1,0,0,0,0,0,,425,64,185,145,96,16,425,23,15,13,8,2,10,13,76.9,3,9,4,5,6,29,26,0,0.5,0.5,-0.5,-0.5,0.4,0.7,0.5,0.5,0.6,0.06,0,0.0,,0.0
Newcastle Utd,Nott'ham Forest,2024-11-10,W,A,3,1,2,0,0,3,56,0,18,4,33.3,35.2,22,15,59.5,16,2,12.5,12,75.0,421,2303,1318,25,17,18,3,16.7,1,0,0,6,13,5,4,0,0,1,0,0,3,66.7,45.7,17,0.18,0.5,6,35.3,16.1,0,0,0,0,0,50,1,9.7,453,546,83.0,13,42,10,1,56,7361,2550,229,257,89.1,190,221,86.0,27,53,50.9,0,0,0,,0,0,,0,0,0,500,46,16,1,3,28,20,5,4,0,0,0,4,447,17,6,19,17,27,23,2,0,1,1,0,3,2,66.7,666,47,187,271,213,30,666,13,8,7,4,2,6,12,50.0,6,10,3,7,14,27,23,1,1.6,1.6,1.1,1.1,1.3,1.4,1.4,1.4,0.7,0.1,0,0.9,0.3,-0.1
Newcastle Utd,West Ham,2024-11-25,L,H,0,2,-2,0,0,0,53,0,26,9,15.4,26.5,7,14,33.3,13,5,38.5,8,61.5,435,2486,1311,20,20,8,0,0.0,1,0,0,11,7,0,0,0,0,0,0,0,4,50.0,34.8,18,0.0,0.0,2,11.1,16.1,0,1,0,0,0,53,3,19.8,474,576,82.3,12,45,17,7,59,8196,2873,205,228,89.9,234,264,88.6,31,66,47.0,0,0,0,,0,0,,0,1,0,530,45,8,1,2,35,22,8,4,1,0,1,9,470,20,7,15,18,32,25,3,0,2,0,2,6,4,66.7,681,63,182,277,229,36,681,21,13,6,9,6,11,19,57.9,8,10,5,5,7,28,21,0,1.6,1.6,0.8,0.8,1.0,0.9,-1.6,-1.6,-1.0,0.09,0,1.2,0.2,-0.8
Newcastle Utd,Crystal Palace,2024-11-30,D,A,1,1,0,0,0,0,51,0,21,7,14.3,23.7,16,16,50.0,26,6,23.1,16,61.5,347,1760,821,12,10,19,3,15.8,3,0,0,11,12,0,0,0,0,0,0,0,8,87.5,57.6,1,0.0,,0,0.0,6.9,0,2,0,0,0,42,2,15.4,367,471,77.9,1,25,3,0,24,6776,2316,163,190,85.8,159,191,83.2,40,75,53.3,0,0,0,,0,0,,0,0,0,414,55,14,1,2,22,22,9,8,0,0,2,6,364,10,2,10,14,2,1,1,0,0,0,0,3,2,66.7,575,50,195,259,129,11,575,12,9,5,7,0,3,12,25.0,9,13,5,8,8,20,27,1,0.0,0.0,-1.7,-1.7,0.0,0.2,0.0,0.0,0.0,0.04,0,0.9,0.31,-0.1
Newcastle Utd,Liverpool,2024-12-04,D,H,3,3,0,0,0,3,42,0,19,12,26.3,31.5,9,9,50.0,31,12,38.7,9,29.0,282,1604,814,20,11,13,3,23.1,2,0,0,9,17,6,3,1,1,0,1,0,6,83.3,56.5,17,0.18,0.5,6,35.3,19.1,1,4,0,0,0,41,2,16.2,307,402,76.4,13,21,4,1,24,5041,1973,149,170,87.6,118,142,83.1,25,54,46.3,0,0,0,,0,0,,0,0,0,348,50,15,4,2,16,20,5,2,2,0,4,10,303,11,8,9,14,28,18,2,4,1,3,0,5,2,40.0,510,50,148,236,129,19,510,14,10,7,7,0,9,16,56.3,7,12,6,6,5,19,17,1,2.1,2.1,0.1,0.1,1.6,0.8,0.9,0.9,1.4,0.12,1,3.4,0.69,0.4
Newcastle Utd,Brentford,2024-12-07,L,A,2,4,-2,0,0,2,57,0,21,10,4.8,22.7,9,10,47.4,26,14,53.8,12,46.2,414,2314,1153,31,24,11,2,18.2,0,0,0,7,10,4,4,0,0,0,0,0,9,33.3,39.0,16,0.13,0.67,3,18.8,16.2,0,2,0,0,0,43,5,20.7,462,555,83.2,12,32,8,2,49,7640,2752,219,242,90.5,216,241,89.6,23,55,41.8,0,0,0,,0,0,,0,0,0,498,55,13,0,2,24,24,4,2,0,0,2,8,460,24,11,13,12,31,29,0,1,1,0,0,7,3,42.9,666,59,209,273,190,37,666,12,5,5,4,3,7,16,43.8,9,8,2,6,3,15,24,2,1.5,1.5,0.2,0.2,1.2,1.4,0.5,0.5,0.8,0.09,0,2.3,0.34,-1.7
