Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Nott'ham Forest,Bournemouth,2024-08-17,D,H,1,1,0,0,0,1,53,0,34,3,67.6,45.5,25,15,62.5,23,9,39.1,10,43.5,299,1594,936,18,17,18,0,0.0,1,0,0,17,8,1,0,0,0,1,0,0,13,23.1,22.5,14,0.07,0.13,8,57.1,19.2,0,1,0,0,0,49,0,9.3,420,543,77.3,11,24,11,2,37,6760,2706,226,259,87.3,147,184,79.9,30,63,47.6,0,0,0,,0,0,,0,0,0,490,52,12,1,0,13,23,2,2,0,0,1,12,410,17,3,12,8,26,22,1,0,3,0,0,4,3,75.0,677,87,204,277,206,28,677,24,12,11,11,2,10,15,66.7,5,12,3,9,7,31,26,0,1.3,1.3,0.1,0.1,0.5,0.8,-0.3,-0.3,-0.5,0.1,0,1.2,0.3,0.2
Nott'ham Forest,Southampton,2024-08-24,W,A,1,0,1,0,0,1,36,0,14,0,85.7,55.9,11,4,73.3,20,7,35.0,11,55.0,280,1792,873,23,18,10,2,20.0,3,0,0,14,14,1,0,0,0,1,0,0,4,50.0,37.0,23,0.04,0.13,8,34.8,17.2,0,1,0,0,0,50,0,3.5,306,383,79.9,17,24,7,2,29,5229,1881,157,174,90.2,106,124,85.5,34,63,54.0,0,0,0,,0,0,,0,0,0,342,40,14,1,2,19,11,10,5,5,0,1,11,303,18,13,9,7,37,27,2,2,6,0,0,1,1,100.0,503,44,131,225,156,33,503,24,15,12,10,2,12,19,63.2,7,8,3,5,11,35,23,0,2.2,2.2,2.1,2.1,1.9,1.0,-1.2,-1.2,-1.9,0.11,0,0.0,0.02,0.0
Nott'ham Forest,Wolves,2024-08-31,D,H,1,1,0,0,0,1,52,0,14,1,107.1,63.6,14,16,46.7,21,8,38.1,8,38.1,275,1377,724,25,7,6,0,0.0,3,0,0,15,17,2,0,1,0,0,1,0,7,0.0,9.6,16,0.06,0.2,5,31.3,14.6,1,4,0,0,0,44,0,5.7,312,412,75.7,15,34,6,1,38,5668,2317,140,162,86.4,132,167,79.0,35,66,53.0,0,0,0,,0,0,,0,0,0,358,50,17,0,1,23,17,7,4,3,0,4,10,312,7,10,18,15,30,21,3,2,1,2,1,2,1,50.0,525,44,163,226,140,36,525,17,12,7,10,0,6,14,42.9,8,9,3,6,10,27,13,0,1.0,1.0,0.3,0.3,1.0,1.2,0.0,0.0,0.0,0.06,1,0.6,0.29,-0.4
Nott'ham Forest,Liverpool,2024-09-14,W,A,1,0,1,0,0,1,32,0,18,0,111.1,64.0,12,21,36.4,14,6,42.9,5,35.7,196,1108,509,10,5,16,1,6.3,4,0,0,6,15,2,2,0,0,0,0,0,12,75.0,53.9,5,0.2,0.33,3,60.0,18.6,0,5,0,0,0,44,1,12.0,197,304,64.8,5,20,3,0,21,3484,1818,109,132,82.6,66,93,71.0,18,61,29.5,0,0,0,,0,0,,0,0,0,250,49,14,2,2,6,20,2,0,2,0,5,4,195,5,2,19,7,10,9,1,0,0,0,0,5,5,100.0,421,70,154,178,98,5,421,22,15,13,7,2,13,19,68.4,6,11,3,8,11,33,32,2,0.4,0.4,-0.5,-0.5,0.4,0.2,0.6,0.6,0.6,0.09,0,0.6,0.11,0.6
Nott'ham Forest,Brighton,2024-09-22,D,A,2,2,0,1,0,1,30,1,15,1,93.3,58.8,9,18,33.3,14,8,57.1,3,21.4,121,659,370,8,5,34,0,0.0,6,1,1,11,10,3,2,0,0,0,1,0,12,75.0,53.8,3,0.33,0.5,2,66.7,17.4,0,4,1,0,0,29,0,1.0,182,270,67.4,3,11,1,0,13,3374,1371,83,94,88.3,80,97,82.5,17,57,29.8,0,0,0,,0,0,,1,0,0,223,43,11,1,3,4,16,1,1,0,0,4,12,182,5,3,12,9,7,5,0,1,0,1,0,3,1,33.3,399,87,219,145,42,11,398,18,8,14,2,2,7,17,41.2,10,12,7,5,8,26,51,0,1.4,0.6,0.4,-0.4,0.6,0.4,0.6,0.4,0.4,0.21,0,1.1,0.36,-0.9
Nott'ham Forest,Fulham,2024-09-28,L,H,0,1,-1,0,0,0,41,0,15,1,60.0,40.7,18,7,72.0,6,4,66.7,1,16.7,275,1703,997,26,23,14,0,0.0,2,0,0,11,15,0,0,0,0,0,0,0,5,40.0,31.0,11,0.0,0.0,1,9.1,19.3,0,7,0,1,0,34,0,4.3,291,398,73.1,5,23,7,1,26,4468,1529,155,179,86.6,101,134,75.4,20,52,38.5,1,1,0,0.0,1,0,0.0,0,0,0,350,41,15,1,1,26,13,6,4,2,0,7,8,288,23,6,16,6,18,13,3,1,0,1,0,2,1,100.0,494,53,162,176,167,29,494,8,3,5,1,2,5,14,35.7,9,13,7,6,9,17,21,0,0.8,0.8,-0.5,0.3,0.6,1.0,-0.8,-0.8,-0.6,0.07,0,0.8,0.05,-0.2
Nott'ham Forest,Chelsea,2024-10-06,D,A,1,1,0,0,0,1,35,0,22,5,68.2,44.6,15,13,53.6,19,9,47.4,7,36.8,196,1073,610,14,10,23,0,0.0,4,1,1,11,11,2,1,1,0,0,0,0,14,92.9,61.1,16,0.06,0.11,9,56.3,20.2,2,3,0,0,0,35,0,2.0,249,339,73.5,9,20,6,3,20,3992,1708,141,162,87.0,80,101,79.2,18,54,33.3,0,0,0,,0,0,,0,0,0,292,44,11,4,1,11,14,3,1,1,0,3,9,246,10,3,14,7,26,18,2,1,3,1,1,8,7,87.5,459,86,180,177,113,20,459,12,6,6,4,2,4,15,26.7,11,18,5,13,6,18,33,1,0.9,0.9,-1.4,-1.4,0.5,0.4,0.1,0.1,0.5,0.05,2,1.9,0.25,0.9
Nott'ham Forest,Crystal Palace,2024-10-21,W,H,1,0,1,0,0,1,51,0,21,6,47.6,37.9,18,14,56.3,27,16,59.3,8,29.6,290,1679,923,25,15,12,0,0.0,2,0,0,9,11,2,2,0,0,0,0,0,9,33.3,26.0,20,0.05,0.17,6,30.0,18.0,0,2,0,0,0,39,0,7.0,391,493,79.3,15,32,6,2,38,6668,2549,194,219,88.6,135,156,86.5,43,75,57.3,0,0,0,,0,0,,0,0,0,440,51,14,1,3,23,21,6,4,2,0,2,14,385,15,6,18,15,36,24,3,3,5,0,1,7,7,100.0,625,58,173,258,200,30,625,9,5,2,6,1,3,9,33.3,6,16,5,11,14,23,18,0,1.7,1.7,0.7,0.7,1.5,1.2,-0.7,-0.7,-1.5,0.09,0,0.9,0.12,0.9
Nott'ham Forest,Leicester City,2024-10-25,W,A,3,1,2,0,0,3,35,0,14,1,107.1,62.5,15,24,38.5,24,15,62.5,5,20.8,200,1160,626,19,11,20,1,5.0,3,0,0,9,15,4,3,0,0,1,0,0,12,50.0,41.8,20,0.15,0.6,5,25.0,21.6,1,1,0,0,0,46,0,5.4,240,338,71.0,10,24,5,1,31,4348,2030,127,147,86.4,76,97,78.4,33,73,45.2,0,0,0,,0,0,,0,0,0,293,44,13,0,1,21,10,7,3,4,0,1,10,238,11,11,12,9,29,18,1,3,4,2,1,1,0,0.0,464,58,159,159,151,29,464,19,11,11,5,3,11,17,64.7,6,10,3,7,10,29,28,1,1.7,1.7,0.9,0.9,0.8,0.4,1.3,1.3,0.2,0.09,1,1.0,0.97,0.0
Nott'ham Forest,West Ham,2024-11-02,W,H,3,0,3,0,0,3,54,0,17,2,70.6,43.3,13,15,46.4,12,6,50.0,4,33.3,369,1640,926,23,12,10,0,0.0,1,0,0,7,8,5,2,1,0,0,1,1,3,66.7,43.7,19,0.16,0.5,6,31.6,18.7,1,1,0,0,0,41,0,14.0,397,489,81.2,14,32,8,0,45,6312,2296,225,249,90.4,122,148,82.4,34,63,54.0,0,0,0,,0,0,,0,0,0,445,43,9,2,1,20,20,10,3,5,0,1,8,396,12,9,17,9,34,22,5,2,2,2,1,1,1,100.0,606,36,169,209,231,31,606,18,12,10,6,2,7,17,41.2,10,7,1,6,6,24,25,0,2.2,2.2,2.0,2.0,1.7,1.5,0.8,0.8,0.3,0.11,1,0.0,0.03,0.0
