Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Southampton,Newcastle Utd,2024-08-17,L,A,0,1,-1,0,0,0,77,0,19,3,21.1,24.3,9,7,56.3,14,6,42.9,7,50.0,476,2657,1550,31,19,12,2,16.7,4,0,0,16,15,0,0,0,0,0,0,0,3,0.0,11.3,19,0.0,0.0,3,15.8,17.0,1,2,0,0,0,35,0,7.2,604,702,86.0,15,58,14,3,62,9503,2647,323,352,91.8,233,263,88.6,35,54,64.8,0,0,0,,0,0,,0,0,0,650,50,15,1,3,30,18,12,5,2,0,2,17,597,19,9,10,9,34,28,0,0,4,2,0,1,0,0.0,788,51,179,343,270,46,788,13,6,4,3,6,5,6,83.3,1,8,2,6,3,16,13,1,1.8,1.8,1.5,1.5,1.5,1.6,-1.8,-1.8,-1.5,0.1,1,0.6,0.63,-0.4
Southampton,Nott'ham Forest,2024-08-24,L,H,0,1,-1,0,0,0,64,0,22,8,13.6,22.0,4,11,26.7,22,7,31.8,12,54.5,481,2902,1650,29,25,14,1,7.1,3,0,0,14,13,0,0,0,0,0,0,0,9,0.0,20.1,5,0.0,0.0,1,20.0,19.7,0,0,0,0,0,39,0,6.0,618,691,89.4,4,31,9,2,49,9663,2830,306,325,94.2,279,307,90.9,19,37,51.4,0,0,0,,0,0,,0,1,0,648,43,15,0,0,14,13,4,1,2,0,0,5,609,25,5,13,12,9,6,1,0,1,1,0,8,7,87.5,800,70,240,387,175,20,800,18,12,12,5,1,11,18,61.1,7,15,6,9,2,20,19,2,0.1,0.1,-2.1,-2.1,0.1,0.4,-0.1,-0.1,-0.1,0.03,0,1.6,0.2,0.6
Southampton,Brentford,2024-08-31,L,A,1,3,-2,0,0,1,63,0,32,8,40.6,36.3,3,9,25.0,13,7,53.8,5,38.5,414,2030,1163,26,16,8,1,12.5,1,0,0,7,10,2,2,0,0,0,0,0,9,0.0,10.1,18,0.06,0.17,6,33.3,18.1,1,2,0,0,0,36,0,5.3,573,664,86.3,14,45,9,1,43,8784,2478,313,337,92.9,220,245,89.8,29,56,51.8,0,0,0,,0,0,,0,0,0,618,44,10,4,1,20,13,8,4,1,0,2,15,572,16,7,8,12,34,25,3,3,1,1,1,7,4,57.1,752,92,218,314,221,29,752,15,10,2,6,7,5,11,45.5,6,8,5,3,9,24,17,3,1.5,1.5,-1.3,-1.3,1.3,1.5,-0.5,-0.5,-0.3,0.09,1,3.2,0.45,0.2
Southampton,Manchester Utd,2024-09-14,L,H,0,3,-3,0,1,0,44,1,32,7,28.1,29.7,4,7,36.4,20,4,20.0,13,65.0,349,1736,947,21,8,7,2,28.6,1,1,0,11,12,0,0,0,0,0,0,0,5,0.0,5.8,5,0.0,0.0,2,40.0,17.4,0,0,1,0,0,32,2,15.5,439,505,86.9,4,27,3,0,22,6902,2174,207,227,91.2,193,212,91.0,21,41,51.2,0,0,0,,0,0,,0,2,0,472,33,13,1,2,7,11,0,0,0,0,0,6,436,8,9,11,9,10,5,1,1,1,2,0,10,7,70.0,616,71,247,269,105,15,615,21,14,7,12,2,7,21,33.3,14,15,7,8,11,32,16,0,1.1,0.3,-1.5,-2.3,0.3,0.3,-1.1,-0.3,-0.3,0.06,0,3.6,0.4,0.6
Southampton,Ipswich Town,2024-09-21,D,H,1,1,0,0,0,1,53,0,30,3,50.0,40.3,8,18,30.8,16,10,62.5,5,31.3,310,1630,777,14,9,17,1,5.9,4,0,0,16,16,2,1,0,1,0,0,0,7,28.6,22.4,11,0.09,0.33,3,27.3,13.7,0,3,0,0,0,33,4,21.4,439,517,84.9,8,25,7,0,25,7273,2115,213,235,90.6,195,217,89.9,26,50,52.0,0,0,0,,0,0,,0,1,0,476,38,17,5,1,9,10,2,0,2,0,3,3,436,9,4,3,12,19,12,0,4,2,1,0,6,5,83.3,622,68,226,300,97,19,622,16,7,5,10,1,8,16,50.0,8,8,3,5,15,31,34,0,2.4,2.4,0.8,0.8,2.4,0.8,-1.4,-1.4,-1.4,0.23,0,2.4,0.51,1.4
Southampton,Bournemouth,2024-09-30,L,A,1,3,-2,0,0,1,60,0,49,5,34.7,34.5,16,9,64.0,16,7,43.8,8,50.0,418,2160,885,12,15,16,1,6.3,5,0,0,12,19,2,1,0,0,1,0,0,6,0.0,7.8,9,0.11,0.33,3,33.3,18.4,0,1,0,0,0,38,2,19.0,530,620,85.5,7,27,6,1,34,8719,3105,260,281,92.5,224,251,89.2,33,55,60.0,0,0,0,,0,0,,0,0,0,562,57,20,0,2,14,23,4,3,1,0,1,13,525,15,4,18,12,16,12,1,1,1,1,0,6,3,50.0,743,85,309,307,134,16,743,20,12,10,10,0,5,13,38.5,8,12,5,7,8,28,21,1,0.6,0.6,-0.7,-0.7,0.4,0.6,0.4,0.4,-0.4,0.07,0,1.6,0.27,-1.4
Southampton,Arsenal,2024-10-05,L,A,1,3,-2,0,0,1,41,0,30,2,40.0,40.7,14,9,60.9,14,6,42.9,7,50.0,281,1420,795,15,10,27,0,0.0,3,0,0,9,10,2,1,0,0,0,0,1,17,5.9,14.7,8,0.13,0.5,2,25.0,16.4,0,0,0,0,0,26,1,14.0,345,411,83.9,5,21,3,0,14,5834,1921,164,185,88.6,155,170,91.2,23,49,46.9,0,0,0,,0,0,,0,0,0,371,40,11,1,3,7,7,1,1,0,0,0,3,343,10,2,14,9,15,10,1,1,2,0,1,6,3,50.0,530,136,267,205,65,8,530,15,10,8,7,0,5,19,26.3,14,20,10,10,9,24,33,3,0.6,0.6,-2.2,-2.2,0.4,0.2,0.4,0.4,0.6,0.08,0,2.7,0.44,-0.3
Southampton,Leicester City,2024-10-19,L,H,2,3,-1,0,0,2,42,0,34,3,55.9,44.9,12,7,63.2,19,6,31.6,12,63.2,235,1176,611,13,7,21,0,0.0,5,1,0,10,10,4,3,1,0,0,0,0,11,18.2,24.5,14,0.14,0.29,7,50.0,9.6,0,1,0,1,0,27,0,16.0,317,398,79.6,12,22,5,1,30,5616,2230,151,169,89.3,131,149,87.9,31,64,48.4,1,1,0,0.0,1,0,0.0,0,1,0,344,53,12,1,2,19,16,10,9,1,0,1,6,315,7,7,16,18,24,15,5,1,3,0,0,4,1,50.0,530,72,219,192,124,27,530,21,16,14,6,1,13,20,65.0,7,11,4,7,9,30,34,0,2.1,2.1,-0.9,-0.3,1.6,1.3,-0.1,-0.1,-0.6,0.15,0,2.2,0.39,-0.8
Southampton,Manchester City,2024-10-26,L,A,0,1,-1,0,0,0,43,0,57,9,17.5,24.7,8,6,57.1,17,6,35.3,9,52.9,406,1925,943,15,10,19,1,5.3,3,0,0,9,9,0,0,0,0,0,0,0,8,0.0,9.1,5,0.0,0.0,2,40.0,13.8,0,2,0,0,0,18,0,6.8,454,503,90.3,5,9,4,0,21,7201,2391,231,245,94.3,180,194,92.8,28,43,65.1,0,0,0,,0,0,,0,0,0,469,32,10,1,2,2,11,1,1,0,0,2,5,450,10,5,8,3,10,8,1,0,0,1,0,7,6,85.7,600,140,336,206,61,14,600,14,9,10,3,1,2,11,18.2,9,16,8,8,6,20,30,1,0.2,0.2,-2.7,-2.7,0.2,0.3,-0.2,-0.2,-0.2,0.04,0,0.8,0.11,-0.2
Southampton,Everton,2024-11-02,W,H,1,0,1,0,0,1,65,0,36,7,25.0,25.9,7,5,58.3,26,12,46.2,12,46.2,522,2116,1159,18,17,13,2,15.4,4,0,0,14,16,2,2,0,0,0,0,0,9,22.2,20.4,9,0.11,0.5,2,22.2,13.4,0,3,0,0,0,43,0,7.0,559,626,89.3,9,43,8,2,42,9582,3336,249,265,94.0,257,281,91.5,40,58,69.0,0,0,0,,0,0,,0,0,0,583,40,19,2,2,19,8,3,3,0,0,3,4,554,17,5,16,9,17,12,2,1,0,1,1,5,5,100.0,736,101,301,292,149,21,736,14,8,8,5,1,4,15,26.7,11,6,3,3,7,21,25,2,0.7,0.7,-0.8,-0.8,0.7,0.8,0.3,0.3,0.3,0.08,0,0.9,0.17,0.9
